JobDesc,JobTitle
"University Overview  The University of Pennsylvania, the largest private employer in Philadelphia, is a world-renowned leader in education, research, and innovation. This historic, Ivy League school consistently ranks among the top 10 universities in the annual U.S. News & World Report survey. Penn has 12 highly-regarded schools that provide opportunities for undergraduate, graduate and continuing education, all influenced by Penn's distinctive interdisciplinary approach to scholarship and learning.  Penn offers a unique working environment within the city of Philadelphia. The University is situated on a beautiful urban campus, with easy access to a range of educational, cultural, and recreational activities. With its historical significance and landmarks, lively cultural offerings, and wide variety of atmospheres, Philadelphia is the perfect place to call home for work and play.  The University offers a competitive benefits package that includes excellent healthcare and tuition benefits for employees and their families, generous retirement benefits, a wide variety of professional development opportunities, supportive work and family benefits, a wealth of health and wellness programs and resources, and much more.  Posted Job Title Data Scientist  Job Profile Title Data Analyst C  Job Description Summary The Perelman School of Medicine at the University of Pennsylvania is the oldest and one of the finest medical schools in the United States. Penn is rich in tradition and heritage and at the same time consistently at the forefront of new developments and innovations in medical education and research. Since its founding in 1765 the School has been a strong presence in the community and prides itself on educating the leaders of tomorrow in patient care, biomedical research, and medical education. http://www.med.upenn.edu/  Job Description  This analyst will work under the guidance of investigator in the Center for Biomedical image Computing and Analytics ( http://www.cbica.upenn.edu/ , CBICA), Director, Christos Davatzikos, PhD. The work involves testing, validating and extending advanced image processing algorithms, preparing and extending processing pipelines, and applying these pipelines on magnetic resonance brain imaging datasets from various studies involving both structural and functional data. The data analyst will collect and organize final quantitative and imaging results, perform quality control on the results, and communicate with clinical collaborators for the dissemination and discussion of the results. This position offers the opportunity to gain experience using advanced neuroimaging processing techniques and to apply these methods in the study of normal and pathological brain function.  Qualifications A Bachelor's Degree and 2 years to 3 years of experience or equivalent combination of education and experience is required. Experience with magnetic resonance imaging (MRI) analysis is required. Strong computer skills (knowledge of Python and/or Matlab, statistical analysis packages, basic shell scripting, experience in Unix platform) will be preferred.  The job pay range encompasses the full range of employees from new hires to the salaries of Penn employees with many years of experience and seniority and is not a precise indicator of salaries of new hires when looking at the top end. Based on what we pay employees coming into this position our pay range is 50,000-70,000 based on education and experience above the minimum qualifications .  Working Conditions Office, Library, Computer Room  Physical Effort Typically sitting at desk or table  Job Location - City, State Philadelphia, Pennsylvania  Department / School Perelman School of Medicine  Pay Range $50,684.00 - $138,391.00  Affirmative Action Statement Penn adheres to a policy that prohibits discrimination on the basis of race, color, sex, sexual orientation, gender identity, religion, creed, national or ethnic origin, citizenship status, age, disability, veteran status, or any other legally protected class.  Special Requirements Background check required after a conditional job offer is made. Consideration of the background check will be tailored to the requirements of the job.",Data Scientist
"Are you an experienced, passionate pioneer in technology? A system's professional who wants to work in a collaborative environment. As an experienced Data Scientist, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. Work you'll do/Responsibilities You will be responsible for managing day to day client business support of their IT landscape and applications The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it. The Team Our Strategy practice brings together several key capabilities that will allow us to architect integrated programs that transform our clients' businesses, including Corporate & Business Unit Strategy, Technology Strategy & Insights, Enterprise Model Design, Enterprise Cloud Strategy and Business Transformation. Strategy professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value. Strategy will help our clients:  Identify strategies for growth and value creation Develop the appropriate business models, operating models, and capabilities to support their strategic vision Maximize the ROI on technology investments and leverage technology and Cloud trends to architect future business strategies Qualifications Required Bachelor's Degree or equivocal BS/MS degree in an associated field with at least 7 years of experience. 5+ relevant experience within data science Programming skills to access, transform and prepare large scale data for statistical modeling. Experience utilizing statistical and machine learning methods required. Modeling concepts (logistic, Random Forest, NLP etc.) Strong python, SQL Experience modeling (especially NLP and marketing models) Must live in or be willing to relocate to Philadelphia, PA Limited Sponsorship may be available",Data Scientist
"Role purpose: The services that Elsevier provides are becoming increasingly dependent on Smart Content to support our corporate strategy of greater volume, types and sophistication of con tent. Elsevier are now looking for a Junior Data S cientist with a focus on Machine Learning , NLP , & i mage processing techniques and also experience with deployment of ML and other data science solutions via web front ends. B ack end development experience to help build state of the art application s in the health sciences domain, and host them robustly on web platform or deploy as APIs for wide availability . Hands on coding of NLP/ML/statistical algorithms and experience with web development is an absolute must. Th is person will partici pate in the d esign, prototyping and implementation of ML and automation applications for our businesses in health markets . These applications have two main goals: cost savings by building workflow efficiencies or revenue generation by working directly on products or product capabilities . You will work closely with the health sciences teams. Sample projects may include extracting m edical information from electronic health care records, integrating big data sets to perform predictive analytics, information retrieval, classifying and curating our image assets, content enrichment pipelines fo r clinical decision support and building customer facing solutions by rapid prototyping. You will also work closely with the EMMeT (Elsevier Medical Merged Taxonomy) team providing data analytics on EMMeT and related terminologies to support decision-making, designing automated approaches to bulk updates, ontology validation and terminology mappings. You will work with a team of medical experts, as well as product leads to determine how to best build and leverage semantic capabilities and build prototypes to showcase ML and AI capabilities . Models developed will need to be hosted either as an API or through full stack web development, depending on the case. Knowledge of P ython , Flask, JavaScript/HTML are mandatory. Experience with Natural Language Processing and Image Processing application s is necessary, and experience with medical terminologies such as UMLS, SNOMED CT, ICD-9, ICD-10, CPT, LOINC etc is a plus. Main Activities and Responsibilities : Text and data mining Bring active experience into the organization on extraction text and data information from structured and unstructured data. Applying and developi ng these techniques, you will drive the implementation of automated annotation processes. Also well-versed in machine learning, you will bring new processes into the organization in order to improve (in cost and time-efficiency) the data excerption processes in Elsevier. This work includes the application of Elsevier's taxonomy and ontology assets to a wide variety of content - as well as drive developments in the application of and expansion on these vocabularies. Web deployment , prototyping and operationalization The methods developed by the Junior Data Scientist and team must be shared with the larger group in a user friendly, accessible manner. ML models will routinely need to be integrated into APIs and web apps with custom UI. These will be deployed in production environments for companywide availability. Data analytics to support businesses and products Analyze extracted information to drive such processes as automated and manual data cleansing. Data analytics can also be used to identify research trends, drive decision for content acquisition, or merging big data sets to perform predictive analytics . Using visualizations tool s to present the extracted data to be ready for consumption will be another key ability. Contribute to process and product innovation T he Junior Data Sc ientist is also part of the wider Data Science, Health Content Operations team. Contributing to a culture of product and process innovation, this person will be a trusted resource in new development projects in Elsevier. The person will connect with IT developers and (content) subject matter experts, translating information needs into software development. As a specialist member of the team, the data scientist will serve as a specialist in th e i r own field. Proving and showcasing methodology This person will prove the utility of new methods in a scientifically sound way. To show the value of new types of extraction and techniques , visualization and presentation of the value of the extracted data will be another key ability. Education, Knowledge, Skills and Experiences : Proven development experience in some relevant implementation platforms for ML/ NLP tasks – proficiency in Python (preferred) , Julia and /or R Experience in web hosting and deployment – JavaScript, HTML, PHP, Tomcat, F lask, u WSGI , Swagger Experience working with Big Data and a ccessing, extracting and combining data from structured and unstructured data sources using SQL or NoSQL frameworks Experience using *nix sy stems, open source software, libraries and cloud computing Familiarity with ML/ NLP /data science applications to some healthcare problem is a requirement. Familiarity with supervised and unsupervised learning; model building, validation , and testing using state of art ML algorithms such as random forest, SVM , Logistic Regression, Bayesian modeling Familiarity with taxonomy applications across scientific and healthcare disciplines is a plus Knowledge and experience with web technologies such as React/Angular JS , LAMP is a plus. Experience with internationalization, validation techniques, and using statistical techniques in decision making is a plus Able to work with a variety of stakeholders at the mid and senior management level Experience with automat ion of workflows is highly valued; knowledge of validation techniques, and using statistical techniques in decision making also valued. Behaviors: Ability to drive new developments and implement process changes and disruptive technologies in the organization. Familiarity with agile software development. Good communication and documentation skills with the ability to convey complex technical concepts to non-technical professionals. Adopts pragmatic approach when choosing and implementing the right technologies to solve a problem, and develops with success metrics University graduate (Master level) computer science, data science, computational biology, bioinformatics, computational linguistics , physics, mathematics, statistics or any other quantitative discipline . Technical r esearch experience or coursework in in Machine Learning , Natural Language Processing , Computer vision and web deployment. - Elsevier is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact accommodations@relx.com or if you are based in the US you may also contact us on 1.855.833.5120. Please read our Candidate Privacy Policy",Data Scientist
"The Data Scientist 2 is responsible for aggregating and analyzing data to create actionable insights to drive business results. Uses either advanced statistical techniques or understanding of study design to provide deeper understanding of customer profile, behavior and actions. Collaborates with other data science teams, business partners across business units to recommend improvements across the enterprise. Delivers key data driven insights and recommends actions Responsibilities The ability to run turn-key analytics from data acquisition, data prep, analysis, and reporting of results Work with customer and sales to understand the question(s) they would like to understand from their data. Work with domain and disease experts to understand how data can be operationalized for proper data preparation before analysis. Analyze customers data to drive customer satisfaction. Create Visualizations and report to articulate technical results back to the customer in a way that is easy to understand. Assist in development of analysis products, tools and automation. Bring an in-depth understanding of the industry and ability to perform research towards specific or ill-defined questions. Qualifications  3+ years of experience working with real data in a professional environment. 3+ years of programming experience. 3+ years of experience working with patient-level data including working with systems and solutions for requesting anonymized, patient data from clinical studies. Experience leading teams of data scientists, developers, or analysts. BS/MS in a quantitative discipline: Statistics, Applied Mathematics, Operations Research, Computer Science, Engineering, Economics. To qualify, applicants must be legally authorized to work in the United States, and should not require, now or in the future, sponsorship for employment visa status.  Preferred Qualifications:  Expertise in at least one statistical software package, preferably R or SAS JMP. Advanced skills in a scripting language such as Python, R, or Java Ability to utilize existing packages in these languages. Proficiency in SQL. Strong computer skills. Strong skills in MS Office, in particular Excel and PowerPoint. Ability to analyze a problem and design paths to potential solutions to help companies make better decisions. Ability to consider multiple levels of the causes and effects of potential solutions. Ability to interpret complex business problems to technical problems, and solutions. Able to translate business objectives into actionable analyses. Able to communicate findings clearly to both technical and non-technical audiences. Attention to details that are critical in arriving to correct conclusions. Ability to work collaboratively and effectively with a dynamic project team members (Project manager, business analyst, developers, and management team). Ability to work independently with minimal supervision.  PRA is an EEO/AA employer and is committed to providing opportunities to minorities, women, veterans and individuals with disabilities.  Options Apply for this job onlineApply Share Sorry the Share function is not working properly at this moment. Please refresh the page and try again later. Share on your newsfeed Connect With Us!",Data Scientist
"Job Title  Data Scientist with Python   Relevant Experience (in Yrs)  6+   Technical/Functional Skills &nbs p; High in-depth understanding in AI/ML algorithms and how they work across various data source systems with empirical applications. Hands on in various AI related Python libraries like Pandas, NumPy, Scikit-Learn, Matplotlib, Kera’s etc High grade python programmer with proven proficiencies in application development with PySpark as a core API environment. Good working knowledge of AI/ML is desirable   Experience Required  10+   Roles & Responsibilities  Identify valuable data sources and automate collection processes Undertake preprocessing of structured and unstructured data Analyze large amounts of information to discover trends and patterns Build predictive models and machine-learning algorithms Combine models through ensemble modeling Present information using data visualization techniques</  Job Function CONSULTANCY Role Developer Job Id 187707 Desired Skills Data Science Desired Candidate Profile Qualifications : BACHELOR OF COMPUTER SCIENCE",Data Scientist
"Janssen Pharmaceuticals, Inc., a member of Johnson & Johnson's Family of Companies, is recruiting for a Data Scientist in Janssen Business Technology located in Titusville, NJ, or Horsham, PA.  At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found. The Janssen Pharmaceutical Companies of Johnson & Johnson provide medicines for an array of health concerns in several therapeutic areas. Our ultimate goal is to help people live healthy lives. We have produced and marketed many first-in-class prescription medications and are poised to serve the broad needs of the healthcare market - from patients to practitioners, from clinics to hospitals. For more about the Pharmaceutical Companies of Johnson & Johnson, visit: http://www.janssenpharmaceuticalsinc.com/. We are Janssen. Our mission drives us. Our patients inspire us. We collaborate with the world for the health of everyone in it.  The Commercial Data Sciences & Data Management team within Janssen Pharmaceuticals Business Technology organization is looking for an extraordinary scientist who is passionate about crafting, developing, and fielding data science solutions that drive impact for patients and for Janssen. There are many ways to explore and analyze data, and this powers the excitement and passion of data scientists at Janssen as many business units are eager to use the data to build business value. In this role you will be someone who stays on the cutting edge of artificial intelligence, data science and advanced analytics research through novel project execution and development of algorithms that influence decisions at various levels in the organization, including but not limited to omnichannel sales and marketing optimization, patient/payer analytics, and related commercially-focused model development. The role requires both a broad knowledge of existing AI-type algorithms and the creativity to invent and customize when necessary. You will partner with matrixed teams to deliver projects and develop solutions that in turn deliver insights. You will be part of a dynamic, accomplished organization that will support multiple therapeutic areas and commercial functions.   Qualifications Ph.D. with 0-2 years of experience, or M.S. with 3+ years of relevant pharma sales & marketing experience, in Computer Sciences, Statistics, Machine Learning & Artificial Intelligence, Physics, Molecular Biology, Bioinformatics, Computational Informatics, Medical Informatics, Computational Biology or a related discipline. Strong working knowledge of machine learning platforms/environments. Strong working knowledge of AI-type algorithms, including machine learning techniques such as regression, decision trees, probability networks, association rules, clustering, neural networks, and/or Bayesian models. Familiarity with large datasets, handling of healthcare relevant datasets and understanding of data analysis workflows. Proficient with one or more programming language such as Python, R, SAS or Java. Experience delivering on data science projects using predictive technologies, data mining and/or text mining. Familiarity with working in a cloud-based technology stack. Strong communication skills. This position can be based in one of our following locations: Titusville, NJ, Raritan, NJ, Spring House, PA, or Horsham, PA. Preferred Qualifications: Experience in the commercial pharmaceuticals business. Experience with sales and marketing best practices, processes, and related technology. Working knowledge of commercially available healthcare data sets. Experience with Pyspark is a plus. Proficiency with SQL is a plus. Thriving on a diverse company culture, celebrating the uniqueness of our employees and committed to inclusion, J&J is proud to be an equal opportunity employer.  #JNJDataScience   Primary Location United States-New Jersey-Titusville-1125 Trenton Harbourton Road Other Locations North America-United States-Pennsylvania-Horsham Organization Johnson & Johnson Services Inc. (6090) Job Function R&D Requisition ID 2105921379W",Data Scientist
"Position Description: Janssen Research & Development LLC, a Johnson & Johnson company, is recruiting for a Data and Analytics Engineer in the R&D Data Sciences team, located in Spring House, PA, or Titusville, NJ. As a member of the Data Platforms team, the Data Engineer will lead and deliver data integration and analytics solutions for Biomarker Diagnostic Operations data management. Our team supports projects from discovery through late development. This role is responsible for implementing R&D data pipelines as well as develop/deploy cut-edge technology/solutions that triangulate insights from datasets in Oncology domain. The role requires strong knowledge of data engineering, Machine Learning Operations, analytical solutions and creativity to invent and customize where necessary. The Data Engineer will: Implement data & Machine Learning engineering strategy Partner closely with multiple therapeutic area leads, data scientists and IT for implementation and execution Partner with R&D partners to deliver analytical data pipeline with a focus on Real World, Clinical and biomarker data Introduce/Lead/Participate in evaluations of algorithms, tools and technologies that enable R&D data science initiative  Qualifications  Qualifications Bachelors Degree in Bioinformatics, Statistics, Computer Science, Information Technology, Operation Research or a related discipline is required. 5+ years of life science industry experience on data science or data analytics teams required Proficient with one or more programming language such as SQL, Python, R, Java, distributed Machine Learning and AI frameworks is required Excellent communication, interpersonal, and written skills are required Working knowledge of a cloud platform such as AWS is desirable Understanding of cancer biology, biomarkers, genetics, genomics, and oncology preferred Working experience in data science projects using predictive technologies, data mining and/or text mining of datasets in the clinical or healthcare domain is required Strong knowledge of Machine Learning operations and deployment required Familiarity with machine learning techniques is preferred. Thriving on a diverse company culture and celebrating the uniqueness of our employees, we are committed to inclusion. We are proud to be an equal opportunity employer.  Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability. Working with Johnson & Johnson can change everything. Including YOU. #JNJDataScience #JRDDS   Primary Location United States-Pennsylvania-Spring House-Welsh & McKean Roads Organization Janssen Research & Development, LLC (6084) Job Function R&D Requisition ID 2105929400W",Data Scientist
"Marlette Funding is a consumer financial technology (fintech) business that offers consumers low-rate personal loans up to $50,000 through its Best Egg® brand. Marlette has experienced tremendous growth since its inception in 2014, with over $10B in consumer loans originated. Today, we’ve grown to over 200 employees, enjoy strong employee engagement scores and have been recognized numerous times as a best workplace in the mid-sized and fintech categories. Our goal is to create a positive workplace where our employees develop and thrive. To accomplish this we hire smart, highly driven people and frequently solicit their input and feedback to ensure that our culture and work environment meets their needs. Employees receive plenty of perks including competitive salary, bonuses, 401k match, generous PTO and holidays, a well-stocked kitchen (when we’re back in the office) and numerous fun events and charitable opportunities. * Marlette celebrates diversity and equal opportunity. *We are committed to building a team that represents a variety of backgrounds, perspectives and skills. The more inclusive we are, the better we will grow. Data Scientist Newark, CA or Wilmington, DE Full-Time, Direct Hire At Marlette we believe everybody should have the opportunity to enjoy life. As a fast growing fintech, we are on a mission to help our customers gain easy access to funds and reach their financial goals. Our Best Egg personal loan product has an impeccable record and stands out in the industry with its strong value proposition and overwhelmingly positive customer reviews. Data is at the heart of everything we do. Join a Data Science team working at the cutting edge within our industry and constantly advancing our ML practice. Our Data Science team is dedicated to creating machine-learning models that power innovation and creative insights that pioneer new products and help our business reach the next level. We work on diverse projects across all business units within the company and have a direct engagement model between data scientists and business stakeholders. Join a collaborative group of Data Scientists skilled in predictive analytics and help them to deploy and monitor real-time production-grade models in projects spanning the business from credit risk, direct marketing targeting, fraud operations, and many more! Enjoy the stability of a profitable, award winning fintech and challenge yourself with plenty of growth and upward mobility within a data rich environment. Be a part of a growing team using the latest tools and technologies to disrupt the industry and empower our customers to reach their financial goals. Role Highlights Be a part of the founding team to shape our new non-lending product and its roadmap. Architect and establish general analytic and ML protocol in various aspects of our non-lending products: From data-driven customer interactions and journey, to gaining insights of customers behaviors, to identify opportunities in the form of new product services or features. Go deep in customers’ credit and financial situations, and help them to overcome challenges. Be customers’ messenger to tell their stories to business stakeholders. Collaborate with business stakeholders to grab data-driven opportunities. Enjoy a culture rich in learning and frequent small wins, our Data Science team is small but mighty and contributes insights to decisions made across the entire business. To be successful in this role At least one year of data science experience or work program equivalents in a relevant field. Data science experience in social media or internet forum is a big plus. Proficiency in Python to develop machine learning models is required. Knowledge in Amazon Sagemaker is a plus Self-motivated and high creativity in problem solving; ability to immerse in customers’ point of view and tell their stories. Freestyle thinker; identify new areas that could benefit from data science. Knowledge in natural language processing (NLP). Proficiency in various Machine Learning algorithms both supervised and unsupervised. Ability to work in a fast-paced and fast-changing environment. Enjoy a culture rich in direct communication, no politics, and continual learning - where we celebrate success and have fun too Our Brand: At Best Egg, we believe money should be accessible so people can reach their goals, live a fuller life, and feel pride in knowing they have taken control of their finances. For those who need extra money to achieve the progress they seek in life, Best Egg is the modern solution-minded finance provider that mixes decades of banking experience with smart technology and deep customer insight to create products designed for today’s borrower, so that people can establish a smoother financial path. The egg symbolizes protection and a fresh start. * Looking for a way to stand out?* Send a follow up email to Talent Acquisition: savannah.scalyer@bestegg.com with your name and position of interest in the subject. In the email please include: Your resume attachment and a brief introduction highlighting what about this role stood out to you the most. Recruiting Agencies: We appreciate what you do and understand how challenging it can be, however please do not send us unsolicited resumes or cold outreach to our employees, job listings or recruiting team. Job Type: Full-time",Data Scientist
"At Vanguard, our mission is to help investors meet their financial goals, and that starts with providing the analytical insights they need. The strategic use of data is meaningful to helping our business develop new capabilities and solutions. As a Data Scientist, you will perform deep dive diagnostic, predictive, and prescriptive analytics to support data-driven business decision making. We have a rich array of data available to us and wealth of challenges to offer you. Make it count. In this role you will: Play a significant role in driving the data strategy for the department and deploying models to optimize fund accounting activities Onboard cutting-edge technologies to the department to facilitate AI and ML solutions Work closely with teams and drive analytics that have a large impact on Vanguard funds Partner and consult with Senior Leaders globally Make a meaningful impact to an evolving team by shaping the future of data, analytics, and reporting within Global Fund Accounting. Develop queries and perform extensive programming to access, transform, and prepare data for statistical modeling. Perform deep dive diagnostic, predictive, and prescriptive analytics to support data-driven business decision making. Identify and diagnose data inconsistencies and errors, documents data assumptions, and forages to fill data gaps. Engage with internal stakeholders to understand and probe business processes in order to develop hypotheses. Bring structure to requests and translates requirements into an analytic approach. Guide test design, research design, and model validation. Provide statistical consultation services. Serve as the analytics expert on cross functional teams for large strategic initiatives and contribute to the growth of the Vanguard analytic community. Prepare and deliver insight presentations and action recommendations. Communicate complex analytical findings and implications to business partners. The ideal candidate will have the below qualities: Must have expertise in coding, querying databases, and creating effective visualizations (Python, SQL, AWS, Tableau, Excel…) Expertise in data organization, data infrastructure, and data strategy Expertise in technologies used to manage data, coding, and visualizations (Python, SQL, AWS, Tableau, Excel…) Ability to apply statistical techniques, ML methods, and data analytics to solve business problems Ability to identify and effectively communicate insights derived from data to Senior Leaders  What it takes: Minimum of three years related work experience in analytical roles. Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling. Experience utilizing statistical and machine learning methods required Undergraduate degree in Analytics, Applied Mathematics, Economics, Statistics or related analytical field of study or equivalent combination of training and experience. Graduate degree preferred Special Factor: Vanguard is not offering visa sponsorship for this position. About Vanguard We are Vanguard. Together, we’re changing the way the world invests. For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you. We want to make success accessible to everyone. This is our opportunity. Let’s make it count. Inclusion Statement Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.” We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values. When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose. Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.",Data Scientist
"Job Summary Responsible for leveraging internal and external data to provide insights and information which supports a facts-based decision making process. Provides input into strategy, analysis methods and tool selection. Works with moderate guidance in own area of knowledge. Job Description Core Responsibilities Develop and deploy predictive models based on historical data that provide future predictions about customer behavior. Develop data mining, machine learning, statistical and graph-based algorithms designed to analyze massive data sets for business insights and partner with the data engineering team to ensure proper implementation and usage of algorithms. Review and approve methodologies used for advanced analysis projects (predictive models, clustering/segmentation, etc) by junior team members and others. Involve in complex projects using wide breadth of data sciences and advanced techniques. Manages the review, revision and maintenance of existing internal procedures to ensure quality and efficiency. Determine appropriate methods, prove viability of selected method and educate internal teams as to the analytical foundation. Use analytical rigor and statistical methods to analyze large amounts of data, extracting actionable insights using advanced statistical techniques such as data analysis, data mining, optimization tools, and machine learning techniques and statistics (e. g., predictive models, LTV, propensity models). Involve in large scale projects that utilize online & offline data, structured & unstructured data, set top box data (media/behavioral/attitudinal) to build customer centric models and optimization tools. Consistent exercise of independent judgment and discretion in matters of significance. Regular, consistent and punctual attendance. Must be able to work in variable schedule(s) as necessary. Other duties and responsibilities as assigned. Desired Skills Experience building and running stable, scalable pipelines to structure and to integrate Big Data. Experience with elastic storage and categorizing data in a Data Lake repository Experience with designing, building, and deploying MLOps pipelines Experience using statistical computer languages (R, Python, SQL, etc.) Strong analytic and algorithmic skills Experience using machine learning algorithms to catalog data preferred Desired Technical Experience Knowledge of a variety of techniques and when/how to apply to problems: Statistical modeling, machine learning, deep learning, natural language processing, data mining, reinforcement learning, etc.; Developing repeatable, dynamic & scalable models that are seamlessly incorporated into data analytic products; Building and running stable, scalable pipelines for large scale data Hands-on development experience in Java/Scala/HBase/Kafka/Spark/Python Education and Experience Master's degree required. PhD in a quantitative field preferred. Generally requires 2+ years related experience. Intermediate to Expert level proficiency with statistical probabilistic modeling techniques such as regression, tree-based methods (Random Forest, GBM), neural networks, support vector machines, supervised/unsupervised clustering techniques (k-means, DBSCAN, Expectation Maximization), principal component and factor analysis, etc. Expert working within enterprise data warehouse environments platforms (Teradata, Netezza, Oracle, etc.) and working within distributed computing platforms such as Hadoop and associated technologies such as SQL, HQL, MapReduce, Spark, Storm, Yarn, Kafka, Sqoop and Hive. Expert in at least one programming language such as Python, R, Scala, Julia, C#, Java, C++. Ability to explain complex statistical problems and solutions to laymen. Has a good understanding of overall business, including financial acumen, ability to convert complex data into insights and action plans, demonstrated in-depth understanding of predictive modeling life cycle and architects projects through implementation. Employees at all levels are expected to: Understand our Operating Principles; make them the guidelines for how you do your job. Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services. Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences. Win as a team - make big things happen by working together and being open to new ideas. Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers. Drive results and growth. Respect and promote inclusion & diversity. Do what's right for each other, our customers, investors and our communities. Disclaimer: This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications. Comcast is an EOE/Veterans/Disabled/LGBT employer.  Education Master's Degree Relevant Work Experience 2-5 Years  Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",Data Scientist
