JobDesc,JobTitle
"Agilent inspires and supports discoveries that advance the quality of life. We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise. Information about Agilent is available at www.agilent.com. The Digital Intelligence Organization empowers Agilent's digital transformation by embedding machine learning and predictive modeling to accelerate business growth. The organization encompasses web analytics, data engineering, and data science. We are seeking a data scientist who will apply machine learning and predictive modeling in enhancing customer digital experience and accelerating digital transformation. Responsibilities: Develop models by applying a deep knowledge and broad working experience of machine learning, web data, and cloud platforms (AWS, GCP). Clearly frame problems and choose the appropriate methodology and tools to maximize business impact. Identify required data sources and conduct data exploration analysis Verify and test the models before deployment Deploy models onto system, maintain the model post release, and track performance Work with partners across functions and product verticals: product managers, content and ecommerce teams, engineers, sales and marketing, program management to improve customer’s digital experience Expert in current best practices and new development in ML/AI technical methodologies and applications",Data Scientist
"Summary Posted: May 7, 2021 Weekly Hours: 40 Role Number:200238389 The HomeKit team provides the foundation that enables an entire ecosystem of secure and intelligent home connectivity. We are developing technologies and crafting experiences that revolutionize the way people harmonize with the accessories around them. The team is seeking a hardworking Data Scientist to push the boundaries of data collection, processing and visualization and building a foundation of data driven decision-making for a growing team. Key Qualifications Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing. 5+ years of proven experience building data science driven solutions to tackle business problems. Ability to dive into the details on product features and underlying architecture in order to help define success criteria and the ways we can measure that via metrics and other approaches. This will involve close collaboration with the engineering teams that develop those features. Conceive and design end-to-end optimized data modeling pipelines and customer analytic scripted solutions. Strong programming skills, including data-querying skills (SQL and/or Spark, etc.) and experience with a scripting language for data processing and development (e.g., Python, R, or Scala). Proven experience working with Tableau or other data visualization technologies. Ability to work multi-functionally with other Apple organizations including Marketing, Data Analytics, User Studies, Siri and application development teams. Strong interpersonal skills and the ability to naturally explain difficult technical topics to everyone from data scientists to engineers to business partners and leaders. Description The HomeKit organization is looking for an experienced and highly motivated data scientist! You will partner across engineering groups building extraordinary home related products, and promote a culture of using data to measure, understand, and improve our products and features. You have a background that fuses data science, engineering, and product thinking. You have years of practical experience building measurement, evaluation, and insights to improve products. In this role you will: Work closely with leadership and engineering teams to help define and prioritize the insights we need to make the very best products Drive the generation of insights from raw, unstructured data to improve existing features and explore strategic directions. Develop extensive knowledge of existing metrics, advocating for changes where needed. Work closely with engineering teams to guarantee the consistency and validity of metrics across platforms, modalities and languages. Conduct analysis that includes data gathering and requirement specifications, processing, analysis, and report generation. Drive regular insights reports and presentations with Apple’s leadership teams. Tackle difficult, non-routine analysis problems, applying advanced analytical methods as needed. Partner with your peers to build and prototype analysis pipelines that provide insights at scale. Promote adoption of best practices and build greater awareness of common data analysis pitfalls. Education & Experience BS or MS in Computer Science, Electrical Engineering, Software Engineering or Systems Engineering",Data Scientist
"Description: Welcome! We are looking for your creativity and expertise to analyze large data sets for the purpose of improving our customers operational processes and services. We prefer someone who can visit our Menlo Park, CA location for better access to our data and resources. Remote candidates are still welcome and encouraged to apply. Detect and correlate anomalies across disparate time-series data. Create and test analytic model(s) to be used against real-time time-series data. Evaluate and train various models to detect and cluster anomalies. Assign statistical significance/confidence interval to anomalies. Recommend and test predictive models and machine-learning algorithms. Skill Required: Proven data science or data analysis experience. Experience with unsupervised learning, Python, R, Spark ML library and similar technologies. Ability to understand business objectives and collaborate on data centric solutions to common operational problems. Experience analysis time-series data. Background in the Telecommunications/Cable industry a plus. BS Degree required, MS/Phd. is desirable. Location: Menlo Park, CA or Denver, CO preferred – open to alternate locations",Data Scientist
"Location: San Jose, CA, Irving, TX Salary: DOE What You’ll Do As a member of this dynamic and fast-paced team, you will perform cross-functional data engineering and analysis in a big data environment. Specific responsibilities include: Collect and organize data requirements and processes Work with data engineers to ensure the availability of accurate and timely data Perform impact assessment and deep-dive analysis in collaboration with stakeholders to ensure data integrity, consistency, usability, and completeness Write SQL for data support for business processes and ETL in Hadoop Identify patterns and trends and communicate them to stakeholders Assess usability of new data sources Apply statistical analysis to quantify impact of business processes. Extract patterns and actionable insights from data. Top Skills Required Demonstrate ability and job history of Predictive Analytics Modeling of Predictive Analytics Statistics Background SQL, HADOOP and SPARK Experience Qualification Bachelor’s degree or equivalent Strong statistical foundation including descriptive analysis and hypothesis testing Creative problem solver – ability to identify and analyze complex patterns Effective communicator with both technical and non-technical audiences. Proficient in SQL and at least one programming (or scripting) language SPARK, HADOOP",Data Scientist
"Get your career started at eHealth eHealthInsurance has many exciting career opportunities in a number of locations, across various functions. Come join us today! At eHealth, we are passionate about solving our nation's toughest problems to bring more suitable, accessible, and affordable health insurance to Americans. We are seeking an exceptional data scientist to join our growing team, which is developing cutting-edge machine learning products and solutions to drive better and faster decision making within our company and to better serve our customers. This is a fast-paced, collaborative, and iterative environment requiring quick learning, agility, and flexibility. How you will make an impact: Develop innovative ML/AI solutions for challenging business problems that are fundamental for eHealth. Conduct open-ended data exploration to evaluate and solve complex problems. Participate in all aspects of the project lifecycle from requirements gathering, data acquisition and preparation, hypothesis generation, ideation, coding, testing, and deployment of data science product. Work with business partners to identify opportunities for innovation. Work closely with engineers and product managers to productionize ML solutions. Basic Qualifications: BS/MS/PhD in Computer Science, Statistics, or a related quantitative field. Proficiency in Python, and scripting languages (Unix shell), and solid experience with git. Experience with ML frameworks, such as Scikit-learn, Spark ML, Tensorflow, Pytorch, etc. Proficiency in SQL, experience with distributed systems (Snowflake, Spark), and NoSQL systems (MongoDB). Nice to Have: Ability to work with ambiguous problem definitions. Experience with AWS ecosystem. Experience with Databricks (Spark) is a big plus. Experience with machine learning at scale is a big plus. Experience with experimental design and multivariate experiments is a big plus. Experience with text data and NLP (NLU & NLG). Experience with Deep Learning. Excellent communication skills in written and verbal forms, and an ability to communicate complex issues to a range of audience (management, peers, clients). eHealth is an Equal Employment Opportunity employer. It is our policy to provide equal opportunity to all employees and applicants and to prohibit any discrimination because of race, color, religion, sex, national origin, age, marital status, sexual orientation, genetic information, disability, protected veteran status, or any other consideration made unlawful by applicable federal, state or local laws. The foundation of these policies is our commitment to treat everyone fairly and equally and to have a bias-free work environment. If you are interested in applying for employment with eHealth and need special assistance or an accommodation to apply for a posted position contact us at: accommodations@ehealthinsurance.com .",Data Scientist
"Position Summary Data Scientist/Analyst    Technical professionals are defined by what they create. Samsung has the risk-taking corporate culture, strategic R&D investments, and global know-how to imagine, develop, and market products that lead the industry. Samsung’s Product Data, Advanced Analytics and Reporting team, located in Mountain View, California, is currently recruiting world-class data scientists and analysts who share our “Innovation through passion” philosophy and thrive in a fast-paced, results-driven environment. The candidate will be a part of an innovative, data-driven approach to user experience design that will drive improvements in the architecture, usability, and design of Samsung software and products, as well as content planning and curation, and marketing driven impact and effectiveness on product. Ready to re-imagine yourself? Imagine who you can become at Samsung.  We are looking for a Product, Content and UX Data Scientist/Analyst who is passionate about delivering leading-edge interactive entertainment experiences on TV and in-home consumer electronics to join our Product Data, Analytics and Reporting team. Data Scientists/Analysts plan, design, and execute end-to-end product data modeling, analytics and reporting agendas for products from concept generation through product release and ongoing development, outlining the data requirements and specs, data integrity, metrics definitions and reporting needs for individual products. The ideal candidate will have a proven track record generating product, content and user insights, translating insights into feature and product requirements, conducting rigorous evaluations and analysis, and communicating findings to stakeholders. You would analyze large-scale event-based usage data from our consumer products in customer’s homes. You will work with Product Managers, UX Designers, Marketers, Business Development and Content Curators to understand user, content and UX needs, requests and insights to drive product, UX, content, and marketing insights and innovation. You will also work with qualitative user experience researchers to maintain a complete picture of how our consumer products are used. You would also conduct large scale A/B testing with our products to compare alternative user experience designs on product usage. In this position, you would work effectively with designers, program managers, business development, content curators and hardware and software engineers in a highly collaborative environment. This position demands an individual that is organized, detail-oriented, and results-driven. Strategic thinking and creativity are critical attributes. Highly polished visual and verbal presentation skills are a must. Role and Responsibilities Required qualifications: Masters or Doctorate degree in Computer Science, Math and Statistics and/or Data Science Experience in TV/video, audio entertainment, social applications, and/or other home consumer electronics 2+ years of industry experience conducting quantitative data research and analytics Proficiency in analyzing large-scale customer event-based consumer product usage data (e.g., from TVs, voice assistants, digital appliances, web sites) Proficiency in at least one major programming language (e.g., Python) Proficiency using statistical packages (SPSS, etc.) Experience planning end-to-end research strategy aligned with product, content and marketing planning, design, and development cycles Experience with advanced methods for exploring consumer behaviors and characteristics (Multidimensional Scaling, Factor Analysis, Regression Analysis, Machine Learning, etc.) Demonstrated ability to visualize and present rich research data simply and clearly Ability to balance competing interests of various stakeholders and strive for achieving mutually beneficial and compliant solutions Clear and compelling communication to executive-level audiences Skills and Qualifications Desired qualifications: Expertise in rigorous quantitative data analytics practices (e.g. advanced statistical modeling and analysis, machine learning algorithms, funnel analysis, etc,) Experience conducting large-scale A/B testing on user products in the field #LI-GS1  Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.",Data Scientist
"Who You’ll Work With This role is part of a fun loving, diverse team, with a broad culture. You’ll be part of the Enterprise AI organization within Cisco’s Data & Analytics Office. You’ll work with data scientists, product managers, and sellers to guide the organization to producing effective solutions to critical sales problems.  What You’ll Do The Enterprise AI Sales team is looking for a strong Data Scientist to develop and apply state-of-the-art data science solutions to drive Sales transformation. You will invent, design and implement end-to-end reliable, scalable, efficient services. Use Cisco’s data to design, build, and deploy Machine Learning technologies as reliable and scalable services Drive end-to-end projects by identifying, gathering, cleansing, verifying, analyzing, and presenting data for key business problems while utilizing state-of-the-art methods & tools Create the vision for data science solutions incorporating the latest techniques Answer complex business questions via structured problem solving, technical analys i s, inferences, and delivering impactful insights & recommendations Engage with business to lead/cultivate long-term projects, create technical and non-technical plans, processes, roadmaps and metrics for achieving success Monitor and ensure life cycle maintenance of Machine Learning models and solutions, with focus on quality and impact Above all, come with a curious mind and a passionate learning mindset  Qualifications Strong background in statistics and machine learning, with 3 + years of proven experience in AI/ML with a Bachelors/ M asters in computer science , Statistics, Mathematics, Engineering, or a related subject Proficient in end - to - end data science solutions and techniques, machine learning, information retrieval, and applied statistics to deliver optimal business value with d efin ed metrics and modeling objectives Ability to do exploratory analysis on large volumes of data and find key descriptive and inferential properties (Strong attention to detail and accuracy ) Strong Python ( 3 + years) programming skills, with an ability to manipulate large and sophisticated datasets Knowledge of cloud services (GCP /AWS ) and developing data science projects Software development methodologies and tools Self-motivated, fast learner, excellent communication, presentation, interpersonal, and analytical skills  Tools Programming experience in Scripting languages like Python or R Data Querying experience in a variety of warehouses such as Snowflake, Teradata, Hive, HANA, Strong knowledge of GIT GCP/AWS (Or some other cloud services) Agile Data Science Development",Data Scientist
"Responsibilities  • Make recommendations regarding the collection, extraction, and transformation of large data sets • Interpret data and analyze results • Translate analytical insights into clear recommendations; identify trends and patterns to inform business decisions and product design • Leverage Python to analyze complex data • Design and develop customized interactive reports and dashboards in Tableau; schedule in Tableau Server • Define and develop a data migration strategy between different products and platforms • Develop creative ways to identify and use data that significantly impact key business metrics • Assess the potential usefulness and validity of new data sources • Utilize statistical approaches to build predictive models • Mentor other team members/ analysts to grow their skills and careers",Data Scientist
"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments. Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc. Design and implement reporting dashboards that track key business metrics and provide actionable insights Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groups Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions Prioritize leads so that the teams work on the most valuable cases Suggest improvements in the tools and techniques to help scale the team Currently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science, Mathematics, Economics, Statistics or related technical field Experience utilizing both qualitative analysis (e.g., content analysis, phenomenology, hypothesis testing) and quantitative analysis techniques (e.g., clustering, regression, pattern recognition, descriptive and inferential statistics) Experience in presenting qualitative and quantitative data Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment Experience as a Programmer - Python, Perl, Java, and/or C++ Experience in collaborating with individuals and organizations Internship experience in solving analytical problems using quantitative approaches Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started. Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",Data Scientist
"Zoomies help the world connect — and deliver happiness while doing it. We set out to build the best video conferencing product for the enterprise, and today help people communicate better with products like Zoom Phone, Zoom Rooms, Zoom Video Webinars, Zoom Apps, and OnZoom. We’re problem-solvers and self-starters, working at a fast pace to design solutions with our customers and users in mind. Here, you’ll work across teams to dig deep into impactful projects that are changing the way people communicate, and enjoy opportunities to advance your career in a diverse, inclusive environment. Our Data Science teams lie at the foundation of Zoom’s success. As a Data Science Intern you will play an important role in driving the growth of Zoom by surfacing, analyzing, and reporting on data that drives mission-critical business decisions. As a member of the Data Science team, you will focus on marketing and e-commerce analytics with the goal of scaling Zoom’s e-commerce and freemium insights business in a period of hyper growth and international expansion. You'll be working cross-functionally with teams of Product Engineers , Data Engineers, Sales and Marketing Managers on some of the most critical projects in the company. This paid internship is for a duration of approximately 10 - 12 weeks during the summer of 2021. The program offers cutting edge projects, as well as a mix of additional types of learning in areas of leadership and business acumen - and is packed full of fun! Responsibilities: Assist with building and maintaining Zoom product features and services. Build, deploy and upgrade our real time compute infrastructure. Design and implement features to improve our systems. Connect with customers to understand their goals and needs and translate those into solutions our team can deliver. Configure tooling for systems scalability, ensure we have capacity for future growth. Ensure our systems are continuously monitored and running efficiently with a consistent, unified experience across products, platforms, and devices. Test current algorithms and write testing documents. Collaborate with internal stakeholders across the business to drive the delivery of features, processes and happiness. Requirements: At least 18 years old, currently enrolled in a four year academic institution completing an undergrad, grad, or PhD degree in Business/Economics, Human-Computer Interaction, Computer Science or a related STEM field. Legally authorized to work in the United States. Due to the limited duration of this program, sponsorship for employment visa status is not available for this position. Availability to complete the full 10-12-week internship program during summer 2021, with a time commitment of approximately 30-40 hours per week. Must be highly proficient in SQL and Microsoft Excel Strong understanding of growth principles, product development, and product go to market processes Self-starter, ability to envision solutions and take initiative to see the solution to the end despite challenges. Ability to crystallize vague concepts into concise plans with clear documentation and data driven decision making . Detail oriented, organized, ethical, responsible, and self-motivated. Team player, ability to work effectively in a matrix organization. Consumer facing experience Strong communication and problem solving skills and a desire to learn something new. A passion for creating products that resonate emotionally with people. A passion for Zoom’s mission, vision, values, and culture.",Data Scientist
