JobDesc,JobTitle
"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. The Aviation Safety & Analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. We have a treasure trove of data including time series, text and sensor data and challenging problems to solve. We are seeking skills in machine learning, deep learning, text mining, big data and software/application development. If Sklearn, pyTorch, Keras,TensorFlow, LSTM, LDA, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. You are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. The candidate will work with the FAA and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. The candidate will be responsible for supporting a team of more senior AI/ML staff and Data Scientists in the following tasks: Leveraging AI/ML techniques and solutions to identify complex patterns for predicting safety hazards Increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, AI/ML techniques and human SME/analyst expertise Develop and prototype AI algorithms and software tools. Enhance and maintain current analysis tools, including automation of current processes using AI/ML algorithms. Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets Develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities Basic Qualifications: Bachelor’s Degree in Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields Hands-on Software Development Skills (Python-Preferred) Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms. Ability to work closely with Domain experts to develop tools/algorithms needed to answer research questions in their studies Excellent Communication Skills (with the abilty to explain developed tools and ML algorithms to a non-technical audience) Ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems Strong analytic, inferencing, critical thinking, and creative problem-solving skills Self-starter with ability to work both independently and with a team Preferred Qualifications: 1 to 2 years of relevant experience Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc. Ability to apply these frameworks to real problems in the ‘time -series’ domain Experience with interpretability of deep learning models Big Data Skills (Hadoop, Spark, recent deep learning platforms) Visualizations/Web Development Skills (e.g. Tableau, MEAN stack - MongoDB, ExpressJS, AngularJS, NodeJS). Practical experience with statistical analysis Experience with text mining tools and techniques including in areas of summarization , search (e.g. ELK Stack) , entity extraction, training set generation (e.g. Snorkel) and anomaly detection Expert software development skills lifecycle including developing and maintain good production quality code This requisition requires the following clearance(s): Suitability - FAA MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org. Copyright © 1997-2021, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",data scientist
"Overview  Guidehouse is a leading management consulting firm serving the public and commercial markets. We guide our clients forward towards new futures that build trust in society and your professional skills along the journey. Join us at Guidehouse.   Responsibilities  Responsibilities Responsible for leading a team of developers and participating in analysis of actual and predictable interacting operational activities of business to obtain a quantitative, rational basis for decision making through the application of logic and scientific or economic disciplines and techniques. Ability to devise modeling and measuring techniques; utilizes mathematics, statistical methods, engineering methods, operational mathematics techniques (linear programming, game theory, probability theory, symbolic language, etc.), and other principles and laws of scientific and economic disciplines. Ability to demonstrate a complete understanding and wide application of technical principles, theories, and concepts within the Data Science/Operations Research field and provide consultation to technical solutions over a wide range of complex difficult problems in which proposed solutions are imaginative, thorough, practicable, and consistent with organization objectives.  The Candidate will lead an Agile Software development team that is providing a Government client with a full-stack, scalable Business Intelligence solution. The team has delivered and will continue to deliver: Data Analysis Data Modeling Scalable Application Architecture Automated Pipelines Human Centered Designed Dashboards Intuitive User Experiences  Qualifications  Qualifications – Required  Demonstrates expert experience in leading software development efforts with clear examples of value added to the client Demonstrates experience interacting with end-users to understand and document business and functional requirements for complex projects, as well as collaborating with technical teams across the full software development life cycle Demonstrates considerable proven knowledge of analytical, organizational, planning and project management specific to software development lifecycle processes, which may include the following: Utilizing Software Development Lifecycle (SDLC), Object-oriented design, Human Centered Design (HCD); with a strong applied understanding of Agile Software Development. Understanding of Kanban principles is a plus. Designing and implementing technology for new or existing business applications. Developing systems requirements, designing, and prototyping, testing, training, defining support procedures, and implementing practical business solutions under weekly and monthly deadlines. Problem solving capabilities demonstrated in a team context to debug, troubleshoot complex software orchestrations, and/or identify solution options. Experience scoping and estimating project tasks, as well as managing multiple tasks with minimal supervision. Ability to collect, organize, manage, and process client’s sources of information and enhance data collection procedures. Understanding of the processing, cleaning, and verification of data used for analysis and ad-hoc analysis. Ability to perform verification, validation, and fault detection of data models. Experience with common data science tools, such as R, Python, MATLAB; with a heavy emphasis on Python. Applied statistics skills, such as distributions, statistical testing, regression, etc.  Minimum Years of Experience: 10 Years Minimum Degree Required: Master’s degree Clearance Required: Secret Qualifications – Desired  Degree Preferred: Master’s in a science, technology, math, engineering field preferred; humanities degree with equivalent technical experience acceptable  Skills Preferred:  Understanding of data visualization tools (MS Power BI, Tableau, Qlik etc.); with a heavy emphasis on Power BI. Examples of migration between multiple visualization tools is a plus. Understanding of the appropriate statistical model to apply to any problem. Strong understanding and experience working with cloud infrastructure services like Azure, Amazon Web Services & Google Cloud; with a heavy emphasis on AWS. Demonstrable experience with web applications. RPA orchestration, cloud architecture, data API integration, data analytics, AI, big data platforms, and automating machine learning components. Ability to stand-up and manage an integrated software development and machine learning environment. Experience in any database technology (SQL Server/Azure Cosmos DB) Experience in at least one statistical programming language (i.e., C#, Python, R); knowledge and understanding of Python Pandas is a plus. Experience implementing and automating models created by data science teams (i.e. Spark, Scala, Hive, Python, R, etc.) Experience working with different query languages (i.e. PL-SQL, T-SQL). Experience working with code repositories and continuous integration (i.e. Git, Jenkins, etc.)  Desired Qualifications:  Certified Scrum Master (CSM), Professional Scrum Master (PSM), or equivalent  Additional Requirements  The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.   Disclaimer  About Guidehouse Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.  Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.  If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.  Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.  Rewards and Benefits Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.  Benefits include: Medical, Rx, Dental & Vision Insurance Personal and Family Sick Time & Company Paid Holidays Position may be eligible for a discretionary variable incentive bonus Parental Leave and Adoption Assistance 401(k) Retirement Plan Basic Life & Supplemental Life Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts Short-Term & Long-Term Disability Tuition Reimbursement, Personal Development & Learning Opportunities Skills Development & Certifications Employee Referral Program Corporate Sponsored Events & Community Outreach Emergency Back-Up Childcare Program Position may be eligible for a discretionary variable incentive bonus",data scientist
"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?  At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.  AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include: Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization Use AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models Research and implement novel ML approaches, including hardware optimizations on platforms such as AWS Inferentia Work with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped Master’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. Publications or presentations in recognized ML journals or conferences Deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",data scientist
"Solution Engineer, Machine Learning and Data Platform Are you looking for a mission-based company making a positive impact on the environment? Read on!  We are changing the game and optimizing sustainable solutions in agriculture! Based out of California our office is home to 100+ team members with diverse experiences including computer vision, machine learning, systems software, autonomous vehicles and precision agriculture. Top Reasons to Work with Us We offer: Competitive pay and , benefits, & relocation package! Work in great technologies, making intelligent machinery for our clients! Mission driven teams, with a great culture 4.5/5 Star Rating on Glassdoor! -Remote position at this time- What You Will Be Doing Our Data and Machine Learning Platform is responsible for developing the next generation tools to support and enable development of intelligent machines.  Our work in the Platform team covers many areas: ranging from JavaScript integration with JupyterLab, so that ML engineers may better visualize their intermediate results, to building common query interfaces, so that roboticists can reduce diagnostics time.  As an integration engineer, you will be the bridge between the platform users and the platform, helping to accelerate the adoption of the common tools and practices developed within the Platform team. To do this, you will need to deeply empathize with and anticipate our end users: data scientists, roboticists, and ML engineers. You will work side-by-side with them to assist in the prototyping and integration of tools, contributing both to the core Platform as well as project-specific integrations.  In doing so, you will discover and deeply understand our users pain and provide advice on future platform products and features. What You Need for this Position Must have experience with: Jupyter Notebook JavaScript Python  Nice to have's : pandas NoSQL REST API's NumPy iPyWidget Matplotlib Tensorflow So, if you are a Solution Engineer, Machine Learning and Data Platform with experience, please apply today! Applicants must be authorized to work in the U.S.  CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",data scientist
"Areté, an employee-owned company, is a growing research and development firm recognized for contributing to national security objectives by supplying innovative solutions to challenging technical problems faced by the United States. Our Huntsville, AL office is developing new capabilities in detection of airborne threats using radar and EO/IR sensors for missile defense and has an immediate opening for a Computational Scientist. This is an exempt non-supervisory full-time position.  Primary Responsibilities: Design and implement advanced signal and image processing algorithms to extract actionable information from remote sensing data Design, develop, analyze, and test software applications from prototype to operational using modern software development languages and practices Assess algorithm performance on real-world data Develop requirements analysis, system architecture, and integrate new signal and image capture and processing technology systems Document results via written reports and/or well-commented code Required Qualifications & Experience: Bachelor’s, Master’s, or PhD in computer science, physical sciences, engineering, or mathematics Proficiency in C/C++ and/or Python Proven capability in software architecture and design with emphasis upon modular, maintainable, and extensible software designs and frameworks Excellent written and verbal communication skills Capacity to work in a team with minimal supervision and agility to work multiple potentially disparate projects simultaneously Proven capability to develop creative solutions to complex technical problems Appetite to attack and solve interesting problems of critical importance to national security U.S. Citizenship Preferred Qualifications & Experience: GPU acceleration of image processing algorithms using CUDA Cloud computing and/or developing cloud applications Experience in any of the following areas: sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm development Ability to present technical results to customers and at technical review meetings Proficiency in High Performance Computing techniques such as: multithreaded programming, inter-process communication, GPU programming, and coprocessor programming Active security clearance  Areté offers an excellent compensation and a full benefits package. U.S. citizenship, background screen and drug test are required to meet position eligibility. Submit your resume on-line at: http://www.arete.com  Areté is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law. If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact Arete Human Resources Representative. Areté will consider for employment-qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring.  Back Share Apply Now",data scientist
"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. The successful candidate will have demonstrated expertise analyzing large scale datasets from prominent and emerging domains as well as complex social networks using unique and innovative methodologies. A strong knowledge of data science, Python and other programming languages, and expertise leveraging open source technologies. Skills sought include: Utilize existing open source data science and agile development tools in support of national security missions Experience organizing analytic results for further analysis Ability to find patterns in data and clearly articulate the entire analysis (e.g., methodology, results, assumptions, constraints) using various suites of tools Creatively apply visualizations to large datasets Ability to understand and map data relationships Ability to assess the quality of data or tool against a set of requirements Ability to prepare comprehensive written reports, presentations, and charts based on research, collection, and analysis of intelligence data Excellent written and verbal communication skills, adapted to a variety of audiences and technical understanding Advanced and proven ability to: Assess the gaps between current capabilities and target business/IT needs Analyze and align business and technology strategies Identify, analyze, and recommend high-impact alternative solutions Basic Qualifications: Applicants selected for this position will be subject to a government security investigation and must meet eligibility requirements for access to classified information or applicants who are eligible for security clearances. BS and 5 years related experience. Required Qualifications: Active Top Secret clearance with the ability to obtain a TS/SCI with Polygraph Ability to leverage both MITRE and team knowledge effectively Ability to work with a variety of audiences to include sponsors, vendors, and partner contractors Experience manipulating datasets with at least one modern programming language or business intelligence platform like Python, Elasticsearch, SQL; with a focus on machine learning and/or statistical analysis. Must have good analytical, written, presentation skills Strong interpersonal communication skills to interact with senior Government staff, technical peers, and MITRE team members Ability to work in a dynamic fast-paced environment Excellent written and verbal communication skills, adapted to a variety of audiences and technical understanding Post-covid, ability to work in a “war room” environment (i.e., close quarters within an open team room with multiple conversations) Preferred Qualifications: Active TS/SCI with Polygraph Experience in a customer-facing environment Experience organizing analytic results for further analysis Ability to find patterns in data and clearly articulate the entire analysis (e.g., methodology, results, assumptions, constraints) using various suites of tools in Linux and Windows environments Experience with database technologies (e.g., PostgreSQL, Oracle, MySQL, Hadoop) Creatively apply visualizations to large datasets using tools like Kibana Ability to assess the quality of data or tools against a set of requirements Ability to prepare comprehensive written reports, presentations, and charts based on research, collection, and analysis of intelligence data This requisition requires the following clearance(s): MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org. Copyright © 1997-2021, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",data scientist
"Dynetics, a Leidos Company, is seeking a talented Junior Data Scientist to join a diverse, highly-skilled team to create unique solutions for complex problems in security engineering and cyber domains. With offices across the United States engaging in the defense, space, cyber and commercial fields, Dynetics provides responsive, cost-effective intelligence, engineering, scientific and IT solutions. Candidate should have 0 – 3 years of experience using analytical, statistical, and programming skills to collect, analyze, and interpret large data sets. Developing a wide range of technical competencies and should be familiar with several languages and reporting technologies, proficient in at least one of each. This could be an ideal opportunity for a strong junior developer to move into AI/ML. Basic Qualifications Design, develop, and maintain software applications using the AGILE Scrum process. This role requires familiarization with a range of data analysis tools and techniques. Create innovative solutions to meet the technical needs of customers. Develop custom data models and algorithms to apply to data sets. Participate in the development of documentation. Coordinate closely with team members and leadership to communicate project statuses and initiatives. Analyze data to effectively coordinate the installation of new systems or modifications to existing systems. Use tools such as JIRA and Confluence to track activities. Apply best practices and standard operating procedures. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Experience visualizing/preparing data for stakeholders. Experience querying and analyzing machine logs. Excellent written and verbal communication skills for coordinating across team. Candidate must have a BS and 1-3 years or prior relevant experience. Additional years of experience can be accepted in lieu of education. Other Qualifications Experience with any of the following is a plus - Python for AI, TensorFlow, Scikit Learn or Pytorch. Knowledge of Splunk, Nifi and Kafka or other big data pipeline architectures. Familiarity with the Elastic Search and Kibana for big data analysis and visualization. Additional skills in Data Analytics, SQL or specific military system domain knowledge a plus. Security Requirements Candidate must be a US Citizen and possess (and be able to maintain) a Final Top Secret/SSBI Clearance or meet the eligibility to obtain (and maintain) a Final Top Secret Clearance.",data scientist
"What we offer You will work on exciting and challenging topics together with a team in an ultra-modern, innovative and creative environment. Intensive on-the-job training with expert colleagues guarantees you will quickly become familiar with your duties and perform them independently. Performance related pay and the opportunity for personal and professional development are of course part of the package. Since 2009 Evonik Industries AG has been certified as a family-friendly company by the German Hertie Foundation. Click here to learn more about Evonik from our employees Evonik has an immediate opening at our Mobile, AL, location. This position leads and supports continuous improvement processes for the North America region, predominantly through the application of data science and machine learning methodologies. The support is given through consulting, mathematical data analysis, machine learning model selection and deployment, visualization, improvement tracking and project leadership & participation. The incumbent is perceived to be significantly adding to the overall deployment of data science and machine learning within the company for the North America region and even globally.  RESPONSIBILITIES Initiating and execution of data analysis, data science and machine learning projects Consulting of the Evonik chemical segments in the area of data analysis, data science and machine learning project End-to-end deployment of data science solution including machine learning model selection, data pipelining, and visualization Project leader with full responsibility on methodologies, quality, cost, time-frame and know how protection for development projects Developing new applications of data science and machine learning principles to asset maintenance, plant quality/cost/yield optimization, product development and business intelligence Performing analysis on cost reduction and turnover increase potential Providing industry best practices and standardization of data science methodologies Implementation and methodology transfer to/from other in-house sites Close cooperation and networking with operative units, internal and external development units and global competence centers Support on building and maintaining internal customer contacts as well as cooperation with external solution providers, universities and research institutes Support on marketing the methodology Support the development of data science and machine learning into a growing service for the region Consult Evonik Venture Capital on investments in the area of data science Serve as a key contact point in the region REQUIREMENTS BS Degree in Chemical Engineering or related field General understanding of manufacturing or chemical production processes 2+ years’ Work experience within manufacturing industry 2+ years’ background in mathematical and statistical methods Significant hands-on experience with data science and machine learning methods (Supervised and unsupervised learning, time-series analysis/forecasting, anomaly detection, prediction modeling, etc.) Experience with R, Python or other statistical/machine learning software Strong problem-solving ability Improvisation, coordination, and organization skills Proactive, flexible and good sense of responsibility Strong written and spoken English Excellent communication skills and ability to work in a team Willingness to travel on a regular basis at 25% (mainly domestic, sometimes international)  Your Application To ensure the fastest process of your application and to protect the environment, please apply online via our careers portal at https://careers.evonik.com. Only applications that are submitted via our online application tool can be considered. Please address your application to Woody B Burke. If you have any questions regarding the application process, please contact Mr. Antonio Bello (antonio.bello@evonik.com). VACANCY REFERENCE NUMBER 129435 Please note that Evonik will not accept any unsolicited application documents sent by staffing firms. Evonik works in conjunction with preferred service providers and will not pay any fee to staffing firms in the absence of an appropriate framework agreement. Should Evonik receive a candidate profile from a staffing firm with which it has no framework agreement, and should this candidate subsequently be considered in the recruitment process or offered employment, no claims from the staffing firm will be entertained in this regard.",data scientist
"Develops and applies interdisciplinary methods, algorithms, statistics, and research techniques in the development of data driven solutions to extract knowledge, provide insights, and present information from data in various structures and unstructured forms.  Principal Duties and Responsibilities (*Essential functions) Performs analysis of data systems, such as Big Data systems * Performs statistical analysis and provides input for reports and dashboards* Assists in the development of data products, reports, and dashboards or other display techniques* Evaluates data, algorithms, and their interaction to improve algorithm performance* May apply advanced statistics, including natural language processing and machine learning to create solutions Assists with data modeling and data virtualization* Writes code to preprocess and clean data May conduct unit testing and troubleshooting  At COLSA, people are our most valuable resource and centered at our core value. We invite you to unite your talents with opportunity and be a part of our “Family of Professionals!” Learn about our employee-centric culture and benefits here.  Required Skills  Required Experience Bachelors degree or higher in computer science, data science, engineering, math, statistics, operations research or related field or equivalent experience Minimum of 5-7 years related experience U.S. Citizenship required Familiarity with advanced machine learning, data science techniques and mathematical approaches Working knowledge of current operating systems and programming languages Active DoD Top Secret security clearance with eligibility for DIA-SCI access. Candidate selected must successfully pass a DIA CI polygraph within 60 days of hire  Preferred Qualifications Master's degree in Computer Science, Data Science, Engineering, Math, Statistics, Operations Research or related field or equivalent experience 2+ years programming experience in Python, R, Julia, TensorFlow, CUDA, JavaScript, Scala, Java, Unix/Linux, C, C++ Proactive self-starter capable of finding and solving problems with little guidance Applied Mathematics experience in areas such as Linear Algebra, Abstract Algebra, and Partial Differential Equations Possess a deep understanding of the mathematical concepts behind Artificial Neural Networks, and know how to tailor activation functions, loss functions, and network layers, beyond the use of basic ML libraries Familiarity with DevOps principles, CI/CD pipelines, and Agile methodologies DoD Analyst background  Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information. COLSA Corporation is an Equal Opportunity Employer, Minorities/Females/Veterans/Disabled. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.",data scientist
"The Statistician II applies intermediate statistical and technical skills in the design of research studies. Collects, compiles, and analyzes statistical data. Performs complex statistical analyses for a broad spectrum of data and studies. Evaluates research studies and recommend statistical procedures. Develops and maintains specialized databases. May serve as a consultant in the department or division. Assists with development of grant applications, presentation of results, and scientific papers for publication. The position requires extensive knowledge and expertise in analyzing Medicare administrative claims data in order to fulfill FDA mandated post-marketing surveillance of new line of therapy for treatment of osteoporosis.  Duties and Responsibilities Perform statistical analyses using appropriate software from an array of computer packages available along with research materials to support the methods used in these analyses. Perform statistical methods suited to specific research questions. Shape raw administrative claims data (Medicare, Medicaid, etc.) into various temporary and permanent analytical databases (SAS, R, STATA, SPSS). Perform regular updates, QA/QC, and design/edit/implement specification rules. Review for data entry errors in databases created by self and others. Produce reports and charts to communicate the analyses results to the investigators. Assist with writing scientific research papers in peer-reviewed journals. Collect, analyze, and interpret data; prepare statistical and narrative reports and/ or graphs. Remain current in the latest advancements in research-related topics by attending various conferences and seminars, communicating with experts in their respective fields, and reading relevant publications. Perform other duties as assigned  Annual Salary Range: $57,969.60 - $92,206.40  Master's degree in Math or a related field and three (3) years of related experience required. Work experience may NOT substitute for education requirement. Primary Location University Job Category Professional & Managerial Organization 311403000 Med - Immunology/Rheumatology Employee Status Regular Shift Day/1st Shift",data scientist
