JobDesc,JobTitle
"the search, data science & analytics (sda) team is looking for an associate data scientist. you will work with team members and cross functional partners and leverage machine learning, deep learning, nlp, graph algorithms and big data technologies (spark, nosql databases, distributed real-time systems), cloud platforms such as azure ml, and general purpose & scripting languages such as scala/python/r to drive innovative and impactful search, recommender systems and personalization customer experiences for kp digital.  some of the problems that you will work on:  build, tune and monitor dashboards that provide insights into business metrics (“health of the system”), customer feedback, as well as system level metrics  conduct data selection, data transformation/cleaning and exploratory data analysis on project specific data sets  provide insights and patterns that can be transformed into features for machine learning models and help with project roadmaps  build and tune models for search, recommender systems and data science projects.  designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse ""big data"" sources to generate actionable insights and solutions for clinical and non-clinical operations enhancements. interacts with mission-based teams to identify questions and issues for data analysis and experiments. develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. identifies, interprets and communicates meaningful insights from analysis and experiments to managers.  essential responsibilities:  design, develop, and evaluate state-of-the-art machine learning models for complex, large-scale data sets.  optimize machine learning models to scale in real-time streaming applications.  working experience with time series analysis, discrete data modeling and feature engineering.  embrace a fast paced, collaborative environment dedicated to building cutting-edge technology solutions using machine learning.  proficient in employing statistical and machine learning techniques to provide clinical decision support as well as improve auditing and standards of care.  works on problems of limited scope where analysis of situations or data requires a review of a variety of factors.  under supervision, coordinates solution development with machine learning scientists, physicians, and other stakeholders.  works harmoniously with other software engineers to facilitate model integration and deployment.  seek out open-source software packages or existing software code that can be reused or applied to assigned tasks.  under supervision, drives informed decision-making and present findings to both technical and non-technical audiences.  basic qualifications: experience minimum two (2) years of experience in a related field required or master's degree in mathematics, statistics, engineering, social/physical/life science, management science, business, economics or related field. education bachelor's degree in mathematics, statistics, engineering, social/physical/life science, management science, business, economics or related field, and two (2) years of experience in a directly related field required; or master's degree in mathematics, statistics, engineering, social/physical/life science, management science, business, economics or related field. license, certification, registration n/a  additional requirements: advanced knowledge of classification and regression algorithms. experience with ensemble techniques such as xgboost. working knowledge of haddop, spark, matlab, tensorflow, keras, pytorch, python languages & packages, jave, scala, and/or cuda. experience in vision & natural language processing using cnn, rnn, lstm and bert algorithms. experience with deep learning approaches to natural language understanding (nlu) and language modeling and processing. experience in building densely connected neural networks with tensorflow/keras. basic experience with image (dicom, nifti, jpeg, png) processing pipeline. experience using and building visualizations using large datasets and multiple data sources. must be able to work in a labor/management partnership environment.  preferred qualifications: three (3) years of directly related experience. master's degree in mathematics, statistics, engineering, social/physical/life science, management science, business, or economics.  primarylocation : hoursperweek : 40 shift : workdays : mon, tue, wed, thu, fri workinghoursstart : workinghoursend : job schedule : job type : standard employee status : regular employee group/union affiliation : nue-it-01|nue|non union employee job level : individual contributor job category : consulting services & project/program management (non-it) department : travel : yes, 10 % of the time",data scientist
"tasks the analyst, data science & analytics at porsche financial services, inc. (pfs) is part of the business unit risk management & controlling and represents the interface between it and business operations for porsche financial services (pfs), bentley financial services (bfs), lamborghini financial services (lfs) and bugatti financial services (bgfs) in the us and canada. the primary responsibilities include: work closely with it and business operations to understand data structures and requirements, and play a role in defining the reporting and analytics structure for the organization to drive continuous impact. this role will promote analytical thought process and make contribution to reporting, database developments, and transformation of new and legacy algorithms. the ideal candidate will have hands on experience in data querying and reporting with business intelligence and in analytical/statistical programming. experience in building data analysis, insights reporting, scalability and automation is essential. this position reports to the manager, credit risk management and analytics.  characteristic duties create standardized reports for risk management & controlling to drive analytical insights. act as a subject matter expert for all pfs departments on reporting and query questions and assist with data gathering, extracts, and report development for internal/external clients. recommend and implement improvements for reports, reporting processes and reporting systems. provide assistance in statistical analytics projects in risk. assist in maintaining and enhancing the availability, integrity, and usability of the porsche financial services central business data warehouse while considering internal data governance policies. participation in regular it and data governance meetings to ensure compliance of the central business warehouse with external and internal regulation. work with third party software providers on various data management projects including system conversions and data imports and extracts. qualifications minimum qualifications (education, formal training, experience, specialized knowledge, and special skills.) bs degree in a relevant field (e.g. analytics, computer science, mathematics, statistics, data science, engineering, economics). 2+ total years of experience in analytics and/or data modeling. experience in developing dashboards and reports in business intelligence tools such as microstrategy, tableau or power bi exposure in relational databases such as sql. proficiency with one or more statistical programming languages such as r or python proven project management and time management skills including the ability to prioritize and contribute to multiple assignments simultaneously, setting clear goals, and managing (internal) customer expectations. ability to communicate and present analytic solutions to a non-technical audience. proven analytical skills and commitment to detail and accuracy. experience within captive finance company finance area is a plus exclusive look behind the scenes principal working relationships (relationships inside the company, including titles of immediate supervisor and subordinates, and relationships outside the company.)  inside the company: manager, credit risk management and analytics. works closely with pfs, pfs d, pcna it and pag it departments.  outside the company: vendors (e.g. microstrategy, mhp, rstudio etc.), external auditors (pwc, state audits)     porsche is an equal opportunity employer and we take pride in our diversity. in order to provide equal employment and advancement opportunities to all individuals, employment decisions at porsche will be based on merit, qualifications and abilities. porsche does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, pregnancy, status as a parent, national origin, age, disability, family medical history, ancestry, medical condition, genetic information, sexual orientation, gender, gender identity, gender expression, marital status, familial status, registered domestic partner status, family and medical leave status, military status, criminal conviction history, or any other characteristic protected by federal, state or local law.",data scientist
"key role: leverage analytical expertise to improve public health. work closely with client to comprehend their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. develop algorithms, write scripts, and use automation and the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help your client make informed decisions. provide the client with a deep understanding of their data, what it means, and how it can be used. basic qualifications: experience with python or r experience with tableau or power bi ability to obtain a security clearance ba or bs degree additional qualifications: experience with pyspark, r spark, html, css, xml, or yaml experience with data gathering experience with the configuration of palantir foundry software knowledge of agile and scrum processes ma or ms degree clearance: applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. we’re an eoe that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",data scientist
"the operations decision science team at delta seeks a analytics specialist to take on developing data-driven solutions aimed at continually improving airline performance and decision making. an appropriate candidate will have great analytical and organizational skills to transform data into insights, distill requirements, and develop processes. while a deep knowledge in optimization or data science/ml is not necessary, previous experience in decision science environment will be a plus. the candidate should have excellent communication skills, business maturity, and feel comfortable in a fast-paced environment.  use data and analysis to convey solution impact and to support process driven solutions. develop business logic and critical metrics for incorporation into decision support models and tools. construct problem statement including problem description and improvement measures. drill down beyond the problem surface to understand root cause. logically structure recommendations and supporting data to formulate a solid, logical and understandable business case. contribute to project planning and effort estimation within scope. support the identification of risks and mitigation approaches. proactively share ongoing point of view and perspectives. interface with business unit leaders to develop and maintain internal customer relationships assist ods with requirement gathering leveraging clear direction from user sessions. practice safety-conscious environment resulting in employee safety and well-being",data scientist
"the analyst is responsible for the design, development, and optimization of techops aircraft maintenance and airport technical operations reporting and analytics. the analyst will develop actionable insights for strategic initiatives focused on key performance indicators used to drive world class maintenance operations and profitability. maintains analytics that influence overall divisional and corporate performance. leverages emerging technologies and identifies efficient and meaningful ways to communicate data and analysis in order to satisfy divisional needs.",data scientist
"description shift: day job  schedule: full-time  your talent. our vision. at anthem, inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members, greater value for our customers, and greater health for our communities. join us and together we will drive the future of health care. this is an exceptional opportunity to do innovative work that means more to you and those we serve at one of america's leading health care companies and a fortune top 50 company. responsible for the development and implementation of predictive modeling algorithms and techniques to solve business problems and optimize member experiences. must be able to commute to an anthem office - virginia beach, va, atlanta, ga, indinapolis, in, or mason, oh preferred primary duties may include but are not limited to: design predictive modeling projects to address specific business problems determined by consultation with business partners. work with data-sets of varying degrees of size and complexity including both structured and unstructured data. piping and processing massive data-streams in distributed computing environments such as hadoop to facilitate analysis. implements batch and real-time model scoring to drive actions. develops proprietary algorithms to build customized solutions that go beyond standard industry tools and lead to innovative solutions. develop sophisticated visualization of analysis output for business users. provides high-level controllership/evaluation of all output produced to ensure established targets are met. determines the continuous improvement opportunities of current predictive modeling algorithms. proactively collaborates with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns related to quality, use, cost and other variables. qualifications requires a bachelor’s degree in statistics, computer science, mathematics, machine learning, econometrics, physics, biostatistics or related quantitative disciplines and 3 or more years experience in predictive analytics or equivalent. must have advanced expertise with software such as python, r, sas, sas enterprise miner, sql, tableau or equivalent, or any combination of education and experience which would provide an equivalent background. phd and experience in the healthcare sector preferred. we offer a range of market-competitive total rewards that include merit increases, paid holidays, paid time off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few. anthem, inc. is ranked as one of america’s most admired companies among health insurers by fortune magazine and has been named a 2019 best employers for diversity by forbes. to learn more about our company and apply, please visit us at careers.antheminc.com. an equal opportunity employer/disability/veteran. anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all anthem positions.",data scientist
"the data scientist will be responsible for developing hypotheses and data sets to drive strategy and content created and provided by the digital marketing team, while maintaining the brand standards of gpc and/or its subsidiaries. this role provides a unique opportunity for qualified candidates to further grow as they mature in their career. responsibilities as a data scientist at gpc, you will be working on cutting edge technologies and ai projects with focus on nlp, deep learning, product recommendation, regression analysis, clustering, and classification. develop hypothesis, and provide exploratory analysis, data mining, and machine learning techniques to identify strategic business opportunity work on large scale data set proactivity engage with different groups and stakeholders to promote and implement data science initiatives responsible for analyzing structure and unstructured data to make recommendations and create actionable insights interact with internal team to sell new ideas and elicit feedback responsible for creating kpis using tableau, qlik, or power bi requirements ba/ba degree in computer science, statistics, mathematics, industrial engineering, electrical or computer engineering; master’s degree strongly preferred strong problem solving and analytical skills experience using statistical modeling and ml algorithms in r or python experience with sql server excellent written, communication, and presentation skills. experience with azure cloud, aws, or google cloud is preferred about gpc genuine parts company (gpc) is a service organization engaged in the distribution of automotive replacement parts, industrial replacement parts, office products and electrical/electronic materials. our products and services are offered through a network of over 2,000 operations, geographically located across the united states, canada and mexico. with over 80 years of distribution expertise, our well-positioned, regionally located distribution centers provide us with the unique ability to adapt our product and service lines to better suit our customers' needs. gpc's commitment and reputation for just-in-time service position us as a critical partner in our customers' success.",data scientist
"position purpose the data scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. this role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. data scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or nlp. as a data scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. this role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. in addition, data scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.  major tasks, responsibilities and key accountabilities 55% solution development - design and develop algorithms and models to use against large datasets to create business insights; participates in large data analytics project teams by serving as a technical lead for analytics projects; may lead small projects and work independently on solution development; execute tasks with high levels of efficiency and quality; make appropriate selection, utilization and interpretation of advanced analytical methodologies 20% communicating results - effectively communicate insights and recommendations to both technical and non-technical leaders and business customers/partners; present recommendations in a confident manner in order to influence execution of recommendation; prepare reports, updates and/or presentations related to progress made on a project or solution; clearly communicate impacts of recommendations to drive alignment and appropriate implementation 10% business collaboration - incorporate business knowledge into solution approach; effectively develop trust and collaboration with internal customers and cross-functional teams; work with project teams and business partners to determine project goals 15% technical exploration & development - seek further knowledge on key developments within data science, technical skill sets, and additional data sources; participate in the continuous improvement of data science and analytics by developing replicable solutions (for example, codified data products, project documentation, process flowcharts) to ensure solutions are leveraged for future projects; build and maintain library of reusable algorithms for future use, ensuring developed codes are documented  nature and scope this position typically reports to manager or above this position has 0 direct reports and leads/manages projects  environmental job requirements environment: located in a comfortable indoor area. any unpleasant conditions would be infrequent and not objectionable. travel: typically requires overnight travel less than 10% of the time. additional environmental job requirements: minimum qualifications must be eighteen years of age or older. must be legally permitted to work in the united states.  education required: the knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.  years of relevant work experience: 3 years  physical requirements: most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. on rare occasions there may be a need to move or lift light articles.  additional qualifications: demonstrated experience in predictive modeling, data mining and data analysis  preferred qualifications: masters in a quantitative field (computer science, math, statistics, etc.) or equivalent work experience 4+ years of experience in business intelligence and analytics working knowledge of microsoft excel and power point experience in a modern scripting language (preferably python) proficient running queries against data (preferably with google bigquery or sql) proficient with data visualization software (preferably tableau) proficient utilizing statistical techniques to identify key insights that help solve business problems knowledgeable in prescriptive modeling like optimization, computer vision, recommendation, search or nlp  knowledge, skills, abilities and competencies: action oriented: taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm business insight: applying knowledge of the business and the marketplace to advance the organization's goals collaborates: building partnerships and working collaboratively with others to meet shared objectives communicates effectively: developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences customer focus: building strong customer relationships and delivering customer-centric solutions drives results: consistently achieving results, even under tough circumstances nimble learning: actively learning through experimentation when tackling new problems, using both successes and failures as learning fodder optimizes work processes: knowing the most efficient and effective processes to get things done, with a focus on continuous improvement plans and aligns: planning and prioritizing work to meet commitments aligned with organizational goals self-development: actively seeking new ways to grow and be challenged using both formal and informal development channels",data scientist
"do you want to work in a team that’s at the heart of the microsoft’s public elastic compute and storage cloud, as well as microsoft’s private bing cloud? the three key services a modern cloud offers to its users are deployment, monitoring and repairs. the azure one deploy team builds the smarts at the cross roads of all these three. it is responsible for multi-level monitoring of both service and infrastructure health. it dynamically applies the health data to safely stage and orchestrate deployments and repairs for customer and infrastructural services on a global scale, across millions of virtual machines while maintaining high availability guarantees on services themselves. it is used by third party microsoft customers, first party microsoft services like hdinsight, sql azure, cosmos and indexserve, as well as for orchestrating upgrades and repairs to core infrastructural service like compute, networking and storage stacks.  azure one deploy system holds the key to unlocking rapid innovation while providing the most up-to-date infrastructure for customers maintaining service availability and quality. the work done in the team has a multiplier effect for the entire company as it delivers on a smart underlying infrastructure for everyone to use. the traditional methods of software delivery cannot keep up with the demand of the developer innovation and business need, and so we are innovating across all aspects of service delivery.  we are looking for talented and motivated data scientists that are interested in making their mark in azure and join a team with immense growth opportunities! the role of data scientist will require you to be innovator and great executor you are expected to be part of agile team and collaborate with partners on ambiguous topics to drive data-science solutions end-to-end. responsibilities you’ll experiment, rapidly prototype, and evaluate new data-science solutions that could be used in our current and future products you'll work with partner teams and make them more efficient, more effective, and more fun you’ll deal with business problems in azure one deploy and deliver data driven solutions till achieving the impact you’ll provide guidance and recommendations on data science investments across azure one deploy. and most of all, you'll demonstrate honesty, responsibility, integrity, and fulfillment of commitments. qualifications required qualifications: 3+ years of experience to implement statistical models, machine learning, and analysis (recommenders, prediction, classification, clustering, etc.) in big data environment.  preferred qualifications: master’s/phd degree in computer science, statistic, mathematic, economics or related field, or equivalent experience. excellent problem-solving skills and software development habits, including peer code reviews, unit testing, etc. enjoy dealing with ambiguity and complexity. ability to independently drive cross team collaborations and ship production features in a fast-paced startup environment. ability to provide technical leadership to other developers.  ability to meet microsoft, customer and/or government security screening requirements are required for this role. these requirements include, but are not limited to the following specialized security screenings: microsoft cloud background check: this position will be required to pass the microsoft cloud background check upon hire/transfer and every two years thereafter. #microsoftatl #azurecompute  microsoft is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. we also consider qualified applicants regardless of criminal histories, consistent with legal requirements. if you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the accommodation request form.  benefits/perks listed below may vary depending on the nature of your employment with microsoft and the country where you work.",data scientist
"feedzai is the market leader in managing financial risk with ai. we're coding the future of commerce with today's most advanced risk management platform powered by big data and machine learning. founded and developed by data scientists and aerospace engineers, feedzai has one mission: to make banking and commerce safe. the world's largest banks, processors, and retailers use feedzai's fraud prevention and anti-money laundering products to manage risk, while improving customer experience. the customer success team ensures our global customers achieve their business goals using our product. everything you do matters: all your code, machine learning models, advisory, management, and other actions/roles will have a material impact on the way our clients run their business and how effectively we fight fraud and protect people from wrongdoing. you will be able to interact and meet many people from widely different cultures around the world and understand the business like few others. you will be able to say you protect people on a daily basis. you will be challenged with new technology, new processes, and new mindsets and will be asked to contribute to ensure continuous improvement. come and change the world with us.   responsibilities: understanding the data which our clients provide to us; cleaning that data and validating that it is correct; preprocessing the data, usually by using a mixture of shell scripts and a programming language such as python, java, scala, etc iteratively computing features and tuning parameters to improve the quality of the model; communicating your findings to the project manager and assisting him/her in decision making on the data science part of the project; work together with key stakeholders (data scientists, engineers, risk managers) from our clients; work with other parts of the organization (product, research, etc.) to improve processes, best practices and tooling. requirements: msc or phd in computer science, electrical engineering, statistics, applied mathematics, physics or related field; proficient in machine learning (training and testing, avoiding overfit, etc.); knowledge of big data technologies such as spark, hadoop and related; proficiency in bash, python and either java or scala; knowledge of resource monitoring and runtime optimization (both at jvm and os level); knowledge of statistics or data visualization is a plus; knowledge of tree based algorithms (random forests, xgboost, lgbm) is a plus; knowledge of deep learning algorithms is a plus; ability to communicate your findings in a clear way.  feedzai is an equal opportunity employer. feedzai does not accept unsolicited resumes from recruiters or employment agencies.",data scientist
