JobDesc,JobTitle
"the data strategy & solutions team at catalina develops scalable data products for external clients, industry partners and internal stakeholders. this involves conceiving and developing new data solutions from initial concept, design, proof-of-concept, build, testing through production handoff. our industry leading data assets span virtually all aspects of consumer intelligence from purchase history, media consumption, mobile location, demographics, product labels, etc. we make that data even smarter and more actionable via advanced machine learning, data science, statistics, and related analytics methodologies that operate on big data and modern cloud computing platforms. our team is actively engaged in the strategy, evangelization and commercialization of these capabilities across our broad marketing solution suite. this position will report directly to the svp of the data strategy & solutions team. responsibilities work with product, technology, operations, sales and analytics to identify, design, build and deploy compelling capabilities with technology and processes that meet agreed to requirements and service levels onboards, manages, integrates and transforms very large data sets to meet critical solution use cases formulates mathematical models in an appropriate programming language or application to support working prototypes and new commercial data products conducts analysis and evaluation of alternative datasets from internal systems and external vendors providing stakeholders with an informative assessments and recommendations on appropriate usage and business value participates in the agile development process, leading project planning sessions with users, business analysts, and team members to gather and analyze business requirements utilizes and stays current on applicable programming languages and software technologies knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves operates with minimal supervision and high personal accountability to the project and team (supervision by manager and product owner a couple of times per week) researches and learns from industry and competitive approaches to our existing and future solutions qualifications ph.d. or masters degree in computer science, machine learning, engineering, mathematics, statistics, operations research, decision science, or related discipline and 1+ years experience after graduate school in computation, data science, machine learning or related; or bachelor degree and 4+ years experience excellent computing and software engineering skills with most of the following: python and r, cloud distributed computing (e.g., azure, databricks, snowflake), machine learning frameworks (e.g., spark mllib, tensorflow), unix, git, agile development tools, concepts of data engineering strong data analysis and manipulation experience with extremely large data, ideally with experience with both structured and unstructured data using modern cloud computing and legacy tools (e.g. sql, nosql) proven track record of being able to convince, design and build sophisticated data and analytic solutions to meet challenging business problems and opportunities good written and verbal communications with the ability to construct cogent design documents, emails and powerpoints strong demonstrated customer focus, collaboration skills and proven ability to produce consistent results in a fast paced, highly collaborative and fluid business environment ability to travel up to 25% about catalina catalina is a recognized leader in highly targeted, personalized digital media that drives, tracks and measures sales lift for leading cpg retailers and brands. powered by the most extensive shopper database in the world, catalina's mobile, online and in-store networks personalize the consumer's path to purchase, delivering $7.9 billion in relevant consumer value each year. catalina has no higher priority than ensuring the privacy and security of the data entrusted to us and maintaining the consumer trust paramount to the continued success of our business partners and catalina. based in st. petersburg, fl, catalina has operations in the united states, europe and japan. to learn more, please visit www.catalina.com or follow us on twitter @catalina. diversity, inclusion + belongingness catalina is committed to investing in, empowering, and retaining a more inclusive community within our company. we are dedicated to hiring and cultivating diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. we believe that true innovation happens when everyone has a seat at the table and a voice to be heard. our goal is to ensure that all our talented professionals are equipped with support, resources, and the opportunity to excel. the intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. incumbents may be required to perform other job-related tasks other than those specifically included in this description. all duties and responsibilities are essential job functions and requirements and are subjected to possible modification to reasonably accommodate individuals with disabilities. we are proud to be an eeo employer m/f/d/v. we maintain a drug-free workplace.",data scientist
"job description  our nielseniq teams empower our clients to make bold decisions and transform their businesses in trusted data, solutions, and insights designed to drive innovation and growth. the nielseniq north america data science operations team is passionate about solving complex client challenges and providing data-driven, actionable, timely, and innovative solutions. this data scientist position was created to support our consumer panel solutions. this position requires someone who is passionate about learning, consumer sourced data, data quality, statistical measurement, automation, efficiency, and consumer behavior. responsibilities support detailed analysis. simultaneously balance multiple projects. represent data science operations in interactions with other functions. oversee end to end implementation of solutions. ability to evaluate current methodologies quickly. document and present findings and recommendations. detect, troubleshoot, and resolve system anomalies. provide explanation to teams in a format that meets their level of understanding. continually develop a skill set.  qualifications  experience bachelor’s or master’s degree with a quantitative discipline. skills curiosity to learn and continually upgrade skills. disposition to understand processes and methodologies. quantitative aptitude with proven data analysis and problem-solving skills. proficiency with python or r, and sql. experience with working on large amounts of data. strong verbal, presentation, and written skills. strong planning and organizational skills. ability to work independently as well as in a team environment.  additional information  about nielseniq nielseniq is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. we provide consumer packaged goods manufacturers/fast-moving consumer goods and retailers with accurate, actionable information and insights and a complete picture of the complex and changing marketplace that companies need to innovate and grow. our approach marries proprietary nielseniq data with other data sources to help clients around the world understand what’s happening now, what’s happening next, and how to best act on this knowledge. we like to be in the middle of the action. that’s why you can find us at work in over 90 countries, covering more than 90% of the world’s population. for more information, visit www.niq.com. nielseniq is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity/affirmative action-employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. about nielseniq nielseniq is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. we provide consumer packaged goods manufacturers/fast-moving consumer goods and retailers with accurate, actionable information and insights and a complete picture of the complex and changing marketplace that companies need to innovate and grow. our approach marries proprietary nielseniq data with other data sources to help clients around the world understand what’s happening now, what’s happening next, and how to best act on this knowledge. we like to be in the middle of the action. that’s why you can find us at work in over 90 countries, covering more than 90% of the world’s population. for more information, visit www.niq.com. nielseniq is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity/affirmative action-employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.",data scientist
"wake up each day knowing that you are a part of something special. something real. something bold. are you looking for a place where you will have a role in shaping an industry? then it’s time for you to apply to join the pack. as an established leader in the 3pl industry, coyote has a robust dataset and consistent fire hose of data we use to create industry-leading models and insights. our established historical data and diverse customer base provide the source we need to train the industry's best models. our data science team finds creative uses of ml to bring cost savings, efficiency, and automation to the 3pl industry. from pricing to network optimization, our opportunities are limited only by our imaginations. we are looking for experienced data scientists with a passion for deriving value from data and an insatiable curiosity for learning and trying new things. ourdata scientists are responsible for conducting statistical analysis, creating & updating models, developing metrics, and contributing to research activities. primary responsibilities also include innovating new solutions and exploring relevant technologies. we work as a team with the rest of coyote to integrate data science into the complete coyote ecosystem. essential functions: create solutions to manage and consume various models and predictive tools. create, validate, test, and tune predictive and prescriptive models. analyze business and application data. research different modeling techniques for current and future solutions. required skills/experience: empathy, effective communication, and work life balance bs or ms in data science, mathematics, statistics, or physics 3+ years of experience in machine learning and predictive modeling at a professional level robust quantitative analysis, statistics, programming, and modeling skills experience manipulating, processing, and analyzing large data sets proficiency in relational databases and nosqlexpert in python preferred skills & education: cloud or containerization experience proficiency of big data and mpp frameworks spark, scikit learn, tensorflow, neural networks machine learning, nonlinear optimization, graph theory why coyote? onsite training and ongoing career development. competitive pay. comprehensive benefits package. internal advancement opportunities for high performers. global opportunities. casual dress & many perks. diverse and inclusive environment. opportunities to impact the world around you through our 360 sustainability initiatives. important notice to us applicants: coyote is an at-will employer. we are an equal opportunity employer. please view equal opportunity posters provided by the ofccp.",data scientist
"what is the purpose of this position?  we are looking for an experienced data scientist, who has previously supported healthcare software applications. the data scientist role involves solving technical, data-driven healthcare problems using computer science, mathematical, predictive modeling and statistical methods, & knowledge. this person will interact with teams from account management to application engineering and r&d, to conduct detailed analysis and experimentation to maximize the utility of predictive modeling, analytic and machine learning across waystar's product line. the role will focus on extending machine learning, predictive modeling, and analytic components to provide up-to-date intelligence to healthcare providers maximizing outcomes. an ideal candidate for this position can approach problem-solving challenges independently, has a strong attention to detail, and enjoys working in a fast-paced, collaborative, and team-based environment. what you'll be doing: works closely with application engineering, product management, and operational teams in designing, experimenting-with, and implementing machine learning and analytical systems applied to design information and user behavior works closely with application engineering teams to gather and process data, as well as in surfacing various analytically-based features in core products works on groundbreaking new applications of machine learning and analytic technology to healthcare, producing quantitative, justifiable results to guide feature planning translates real-world healthcare problems to mathematical frameworks works with product management, marketing, and sales as needed to promote sales and to incorporate market and customer feedback data exploration, hypothesis creation (from business and product goals), testing algorithms, scaling to large data-sets and validating results will be common tasks for this role understands, organizes, and communicates root causes of problems and successes succinctly what we're looking for: do you fit our team? complete familiarity with various statistical and machine learning techniques including: classification, regression, dimension reduction, clustering, and various multivariate methods complete familiarity with empirical approaches to estimate performance of machine learning models including: hold-out sets, cross-validation, leave-one-out testing understanding of orders of algorithms and how they scale demonstrated competency in r/python predictive modeling demonstrated competency in rdbms (e.g. sql server) ability to code in 1+ general purpose programming language (c#, java, etc.) must be a quick-learner with the ability to multi-task in a fast-paced environment outstanding presentation abilities and the ability to communicate with all levels of the business comfortable working in newly-forming, ambiguous areas where learning and adaptability are key skills outstanding communication and interpersonal skills must possess strong analytical, problem-solving, and writing skills proficient in microsoft office applications detail-oriented preferred skills: master of science degree or higher in the fields of computer science, statistics, or mathematics is preferred an aptitude for medical informatics is preferred waystar provides cloud-based technology that simplifies and unifies healthcare payments. together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. we are deeply committed to living out our organizational values: honesty; kindness; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun. waystar products have won best in klas® or category leader every year since 2010 and earned multiple #1 rankings from black book™ surveys since 2012. the waystar platform supports more than 500,000 providers, 1,000 health systems and hospitals, and 5,000 payers and health plans. for more information, visit waystar.com or follow @waystar on twitter.",data scientist
"published april 22, 2021 location chicago, il, united states of america job type full-time description title: data scientist job id: 10809 location: chicago, il salary: $75k-$100k status: us citizen or green card holders only: no remote work available about the client: our client is a leader in creating and providing innovative technical solutions to keep businesses, clients and individuals safe using the best artificial intelligence-based technology. about the data scientist position: uncover your full potential in a collaborative environment where you will be engaged with large data sets. you will lead analytic data studies against large volumes of data. about the data scientist responsibilities: analyze data using mathematical and statistical techniques coordinate research/analytical activities utilizing data points employ programming to clean, manipulate and utilize data provide information based on experimental results provide undiscovered solutions to command data challenges develop processes and methodology for prioritization and scheduling develop long-term data platform architecture strategies about the data scientist requirements: 4+ years of data science experience is required proficient with java or c++ proficient knowledge of python or r proven experience applying data science methods experience utilizing visualization tools masters’ degree in computer science, engineering, math, statistics of physics is required",data scientist
"sitting at the intersection of a three-way marketplace, rewards network is a ripe opportunity for a data enthusiast to tackle interesting and complex problems while delivering production-ready data science assets that integrate with our growing array of technologies and products. data scientists at rewards network operate at multiple levels, from delivering data assets that support tactical day-to-day operations, to strategic research helping shape top-level business decisions. the machine-learning models they design, integrate with our technologies to support member experience and client results. data scientists work closely with stakeholders across the company to understand our business needs and deliver immediate and long-term value. success in this role requires a driven problem-solver that is prepared to design and develop innovative solutions. rewards network supports restaurant businesses through marketing services that deliver high-value patrons. core to our value proposition is the seamless, low-friction experience we provide our full-price diners. this experience rests on an infrastructure of accurate and efficient credit card purchase tracking. to help us grow and maintain this foundational technology, rewards network is seeking a data scientist with experience working with credit card transactional data. what you'll do with us: drive actionable insights from data and present them to external and internal clients in a compelling manner collaborate across departments to understand business objectives and identify novel data-opportunities develop machine learning algorithms that support operations and production systems: e.g. retention and recovery automation, isomid inference, cross vendor identification of unique businesses, etc. contribute to the development and maintenance of our data infrastructure to enhance the cleanliness and effectiveness of our data sources collaborate in defining a clear and effective data model to support management of transactional channels create well documented coding and analytics packets to ensure reusability as the team expands who you are: experience working with credit card data from: payment processors, credit card networks (direct file feeds), and/or point-of-sales systems programming skills in form of python & sql. concise and organized programming skills will be highly valuable familiarity with aws (s3, redshift, sagemaker) will be valuable experience with any bi visualization tool comfortable working in a fast-paced environment flexibility to tackle the changing problems at hand both big and small strong written/verbal communication and presentation skills we connect diners to fantastic restaurant experiences by offering unique card-linked offers thanks to our ability to leverage advanced technology and powerful data analytics, while simultaneously providing value to our strategic partners' overall loyalty programs.  we work alongside our restaurant partners every day, sharing in the ebbs and flows of their business while helping them achieve their dreams. we provide marketing and financing that work with their business and are truly pay-for-performance. we help them increase revenue, traffic, and customer engagement. importantly, our services do not require the merchant to discount or give away their products.  even more, we enhance our partners' loyalty programs by offering a turn-key, scalable dining rewards program that is right for their business model and leverages their unique brand to help increase the value proposition for their customers.  finally, we connect our millions of members to our participating restaurants, allowing them to earn the rewards they desire when dining out.  rewards network is an equal opportunity employer (eoe). we encourage and strongly support workplace diversity.",data scientist
"department  ul urban crime lab data scientists  about the department  in cities across the country, people face high rates of gun violence, under-resourced schools, and social harms associated with the criminal justice system - all of which disproportionately impact people of color. these inequalities have profound consequences on public safety and opportunity. as a society we have failed to address these challenges, in part, because of our lack of understanding of the most effective and cost-effective solutions that can have a real impact on people’s lives. we believe that rigorous research can help. the university of chicago crime lab and education lab partner with cities and communities to use data and rigorous research to design, test, and scale programs and policies that enhance public safety, improve educational outcomes, and advance justice. our mission is to combine world-class data science and research, in partnership with government agencies, to substantially improve the effectiveness of the public sector and achieve impact at scale. to learn more about the crime lab and education lab, visit https://urbanlabs.uchicago.edu/labs/crime.  job summary  the job provides professional support and solves problems in collecting, organizing, and analyzing information from the university's various internal data systems as well as from external sources the job performs data analysis assignments related to data manipulation, statistical applications, programming, analysis and modeling in order to support projects. responsibilities contributes to the design, implementation, and validation of an efficient and reproducible data processing pipeline. builds and rigorously evaluates statistical models using best practices of machine learning and statistical inference. prepares project memos, summaries, presentations, reports, and other work products for dissemination targeting policymakers, academic researchers, and other stakeholders, as needed. analyzes moderately complex data sets for the purpose of extracting and purposefully using applicable information. provides professional support to staff or faculty members in defining the project and applying principals of data science in manipulation, statistica l applications, programming, analysis and modeling. performs other related work as needed  minimum qualifications  education: minimum requirements include a college or university degree in related field. - work experience: minimum requirements include knowledge and skills developed through 2-5 years of work experience in a related job discipline. - certifications: - preferred qualifications education: master's degree in computer science, statistics, data science, economics or a closely related field. technical knowledge or skills proficiency with statistical data analysis and machine learning using python or r . the ability to work in both is preferred. preferred competencies advanced knowledge of machine learning techniques and algorithms. e xperience developing reproducible and maintainable code. excellent written and verbal communication skills, with the ability to present data in a simple and straightforward way for non-technical audiences. strong interpersonal skills. strong initiative and a resourceful approach to problem solving and learning. ability to work independently and as part of a team in a fast-paced environment. sound critical thinking skills. strong attention to detail with superb analytical and organization skills. familiarity with program evaluation and causal inference. application documents resume (required) cover letter (required) reference information (required)  when applying, the document(s) must be uploaded via the my experience page, in the section titled application documents of the application.  job family  research  role impact  individual contributor  flsa status  exempt  pay frequency  monthly  scheduled weekly hours  37.5  benefits eligible  yes  drug test required  no  health screen required  no  motor vehicle record inquiry required  no  posting statement  the university of chicago is an affirmative action/ equal opportunity /disabled/veterans employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. for additional information please see the university's notice of nondiscrimination. staff job seekers in need of a reasonable accommodation to complete the application process should call 773-702-5800 or submit a request via applicant inquiry form . we seek a diverse pool of applicants who wish to join an academic community that places the highest value on rigorous inquiry and encourages a diversity of perspectives, experiences, groups of individuals, and ideas to inform and stimulate intellectual challenge, engagement, and exchange. all offers of employment are contingent upon a background check that includes a review of conviction history. a conviction does not automatically preclude university employment. rather, the university considers conviction information on a case-by-case basis and assesses the nature of the offense, the circumstances surrounding it, the proximity in time of the conviction, and its relevance to the position. the university of chicago's annual security & fire safety report (report) provides information about university offices and programs that provide safety support, crime and fire statistics, emergency response and communications plans, and other policies and information. the report can be accessed online at: http://securityreport.uchicago.edu . paper copies of the report are available, upon request, from the university of chicago police department, 850 e. 61st street, chicago, il 60637.",data scientist
"the safety and security of csc corptax’s current and prospective employees, customers, and the communities we serve are our top priorities. due to coronavirus (covid-19) concerns, we’ve transitioned to virtual interviews for the foreseeable future. we look forward to all upcoming video and phone interview conversations with our candidates. we’re always in search of top talent to join the csc corptax family. if you’re looking for a career change, don’t hesitate to apply or reach out to us. we’ll have virtual interactions until we’re able to resume in-person meetings. are you looking for the opportunity to learn from experts, take on new skills, make connections, and launch your career? join us! data science intern csc corptax is transforming the business of tax through technology and business process expertise. offering the first and only single platform solution on the market, corptax handles an unlimited range of data with great accuracy, speed, and transparency. we challenge ourselves every day to help our clients increase automation, manage risks, and make stronger decisions. we provide solutions to a multitude of fortune 1000 firms, including 50% of the fortune 500 and 60% of the fortune 100. corptax has been nationally recognized year after year as one of the top companies to work for in illinois and texas. we’re seeking highly motivated, enthusiastic individuals to join corptax in our dallas-fort worth office or work remotely. visit our website at corptax.com . corptax is looking for a data science intern who will be responsible for assisting our customer operations or business operations teams with the overall management of data-related projects. a successful candidate will participate in the software development life cycle including data analysis, research, documentation, and testing, and serve as a liaison between technical and nontechnical departments to ensure that all targets and requirements are met. responsibilities perform statistical data analyses for business functions collect and consolidate business data from multiple sources collaborate with functional teams to perform analytical projects communicate results of analysis to stakeholders and leadership develop functional requirements documentation to describe desired functionality develop clear, user-centric user stories, process diagrams, and wireframes to clarify the desired solutions work closely with corptax subject matter experts, development, content management, and others to develop product-functional requirements for potential products collaborate with product managers to understand product vision; advocate for and communicate this vision clearly to stakeholders generating, maintain, and delivering standardized reports developing sophisticated queries and formula driven results from oracle netsuite support other projects as assigned what you’ll need: zero to three years’ related experience excellent written and verbal communication skills, including the ability to interact professionally with people at all levels solid analytical and problem-solving skills proven ability to establish and maintain effective, respectful, and trusting relationships with clients and colleagues strong organizational and time-management skills with demonstrated ability to reprioritize across multiple projects excellent attention to detail financial, accounting, or tax software experience preferred data analytics, business process automation, workflow, or erp software background preferred salary: this is a paid internship. salary ($20-$30 per hour) will be based on college credits completed and experience. timeframe: full time (40 hours per week) for 12 weeks. this internship provides a great chance to learn from professionals, complete real and meaningful work, and gain valuable experience. our diversity is our strength. our employees create an environment where everyone is valued and respected. diverse teams give us a competitive advantage and drive innovation. we’re empowered to do what is right for each other and our customers. though we have many diverse employees, we’re one company that encourages everyone to bring their best selves to work every day. we’re better together. some people call this diversity and inclusion—we call it being genuine. csc corptax is an equal opportunity employer. #corptax #li-dnp #bi-remote",data scientist
"eleks data science office is looking for data scientist in our chicago location about customer our customer is one of the biggest insurance companies in the usa. in cooperation with the developing team, we will be working on the pipeline of pocs with the visual and data/modeling part. pocs are aimed at validating future products and services of the company. key duties and responsibilities getting insight into business problem, understanding the opportunity and value of analytical models for the customer collecting, transforming, and preprocessing raw data to prepare it for analysis deriving descriptive statistics out of the preprocessed data designing, developing, training, and testing data mining, machine learning, and artificial intelligence models and algorithms providing comparative research on different algorithms and models implementing the model in a form that can be easily used by engineers, documenting its interfaces delivering the model in a form that can be easily deployable and maintained specialized knowledge knowledge of time series analysis, probability theory and statistics, factor analysis, and optimization. basic knowledge of actuarial calculation and insurtech terms understanding (underwriting, claims, premiums). previous experience with economic/finance data search, analysis, and model building, knowledge of ml algorithms, and data analysis approaches. understanding how these theoretical concepts could be applied to real-world problems ability to understand the nature of business problems and see the place of analytical models in the solution skills and abilities strong english verbal and written communication skills great analytical skills self-organization, self-management ability to work independently with limited supervision ability to handle multi-tasking activities ability to learn quickly initiative and pro-active skills, and flexibility personal characteristics passion for learning and education business orientation result orientation job context customer-facing role high level of responsibility simultaneous handling and fast processing of multiple tasks lots of educational and self-educational activities culture of knowledge sharing what will you get with eleks above average compensation and competitive social package close cooperation with a customer business trips challenging tasks competence development ability to influence project technologies projects from scratch team of professionals dynamic environment with low level of bureaucracy medical insurance about eleks eleks is a custom software development company. we deliver value to our clients, thanks to our expertise and experience gained from working as a software innovation partner since 1991. our 1,600+ professionals located in the delivery centers across eastern europe and sales offices in europe and north america, provide our clients with a full range of software engineering services. these include product development, qa, r&d, design, technology consulting and dedicated teams.",data scientist
"dataiku allows enterprises to create value with their data in a human-centered way while breaking down silos and encouraging collaboration. one of the most unique characteristics of our product, dataiku, is the breadth of its scope and the fact that it caters both to technical and non-technical users. with dataiku, we aim to empower people through data and democratize data science.  the role of a data scientist at dataiku is quite unique. our data scientists not only code up solutions to real-world problems, but also participate in client-facing endeavors throughout the customer journey. this includes supporting their discovery of the platform, helping integrate dataiku with other tools and technologies, some user training, and co-developing data science projects from design to deployment.  just as the non-technical skills are important, so too are the technical. our data scientists work in the dataiku platform every day. aside from the visual tools, our team uses mostly python, with occasional work in other languages (e.g., r, sql, pyspark, javascript, etc.). an ideal candidate is excited to learn complex new technologies and modeling techniques while being able to explain their work to other data scientists and clients.  in this role you'll help the team: co-develop production-level data science projects with our customers analyze and investigate various kinds of data and machine learning applications across industries and use cases help users discover and master the dataiku platform, via user trainings, office hours, and ongoing consultative support provide data science expertise both to customers and internally to dataiku’s sales and marketing teams develop custom python or r-based “plugins” in collaboration with solutions, r&d, and product teams, to enhance dataiku’s functionality you might be a good fit for the role if you have: curiosity and a desire to learn new topics and skills empathy for others and an eagerness to share your knowledge and expertise with your colleagues, dataiku’s customers, and the general public the ability to clearly explain complex topics to technical as well as non-technical audiences 2 - 10 years of experience with ml tools (e.g., python, r) 2 - 10 years of experience building models familiarity with data visualization in python, r understanding of underlying data systems such as cloud architectures, hadoop, or sql  technical skills that may help you in the role: experience with consulting and/or customer-facing data science roles experience with data engineering or mlops experience developing webapps in javascript, rshiny, or dash experience building apis experience using enterprise data science tools passion for teaching or public speaking to fulfill its mission, dataiku is growing fast! in 2019, we achieved unicorn status, doubled in size and opened new offices across the globe. 2020 looked no different as we announced a $100 million series d in august! we are now more than 600 dataikers globally. spanning from sydney to frankfurt, denver to london, geography (and remote work) doesn’t stop dataikers from working closely together and sharing experiences. collaboration is key within our product and culture. we strive to create a sense of belonging and community while fostering diverse thinking by encouraging cross-team, cross-office interactions like our annual company offsite or paris onboarding. fly over to twitter, linkedin, and instagram to read stories about our culture, people, and success.  our practices are rooted in the idea that everyone should be treated with dignity, decency and fairness. dataiku also believes that a diverse identity is a source of strength and allows us to optimize across the many dimensions that are needed for our success. therefore, we are proud to be an equal opportunity employer. all employment practices are based on business needs, without regard to race, ethnicity, gender identity or expression, sexual orientation, religion, age, neurodiversity, disability status, citizenship, veteran status or any other aspect which makes an individual unique or protected by laws and regulations in the locations where we operate. this applies to all policies and procedures related to recruitment and hiring, compensation, benefits, performance, promotion and termination and all other conditions and terms of employment.",data scientist
