JobDesc,JobTitle
"duties:  responsible for working with business users to fully understand their needs for data science solutions; work with a variety of data sources, both internal and external, as well as structured and unstructured formats, to build analytic models utilizing machine learning techniques; partner with the it group to ensure that the data is sourced from the right location for data science model building; support the development of project deliverables, especially documentation, for data science deliverables; interact with data engineers, business analysts and others to ensure data solutions address full needs; leverage appropriate data science techniques to drive the creation of insights from data; combine data extraction, preparation, and data cleansing with model training and evaluation using pandas and alteryx; develop and code data science programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; use github and similar version control system to maintain source code; interpret and communicate insights and findings from analysis and experiments for a multi-department audience using data visualization tools including power bi and tableau; utilize ms access, ms excel, t-sql, oracle sql, python, r, healthcare data analytics, qualitative/quantitative statistical analysis, baseline/trend analysis and health economics to perform duties; access data from internal databases and sources, including warehoused and pre-modeled data; server as the tableau subject matter expert (sme); accountable for the development and production support of interactive data visualizations; perform tableau server administration for users and user groups; refresh scheduling via server and tsc; stay current on data science and analytics tools, techniques, and practices; and work in an agile/scrum environment to write clean, reliable, and testable code that supports rapid delivery via cicd and automated deployments.  location : 1414 e maple rd, troy, mi 48083  salary: $92,000 per year   minimum qualifications:  education: master’s degree in data analytics, data science, healthcare administration, health administration, statistics, or in a related field of study (will accept equivalent foreign degree);  training: none  experience: two (2) years in the position above, as a healthcare analytics analyst, as a healthcare analytics analyst ii, as a data associate/intern, or in a related occupation;  other requirements: experience must have included two (2) years use of all the following: python, oracle sql, tableau, power bi, ms excel, alteryx, ms access, r, qualitative/quantitative statistical analysis and baseline/trend analysis.  will also accept any suitable combination of education, training and/or experience.   ""dns"" #li-dni overview under the leadership of president and ceo wright l. lassiter, iii, henry ford health system is a  $6 billion integrated health system comprised of six hospitals, a health plan, and 250+ sites  including medical centers, walk-in and urgent care clinics, pharmacy, eye care facilities and  other healthcare retail. established in 1915 by auto industry pioneer henry ford, the health system  now has 32,000 employees and remains home to the 1,900-member henry ford medical group, one  of the nation’s oldest physician groups. an additional 2,200 physicians are also affiliated with the  health system through the henry ford physician network. henry ford is also one of the region’s  major academic medical centers, receiving between $90-$100 million in annual research funding and  remaining michigan’s fourth largest nih-funded institution. also an active participant in medical  education and training, the health system has trained nearly 40% of physicians currently practicing  in the state and also provides education and training for other health professionals including nurses,  pharmacists, radiology and respiratory technicians. visit henryford.com.  benefits whether it's offering a new medical option, helping you make healthier lifestyle choices or making the employee enrollment selection experience easier, it's all about choice. henry ford health system has a new approach for its employee benefits program - my choice rewards. my choice rewards is a program as diverse as the people it serves. there are dozens of options for all of our employees including compensation, benefits, work/life balance and learning - options that enhance your career and add value to your personal life. as an employee you are provided access to retirement programs, an employee assistance program (henry ford enhanced), tuition reimbursement, paid time off, employee health and wellness, and a whole host of other benefits and services. employee's classified as contingent status are not eligible for benefits. equal employment opportunity/affirmative action employer equal employment opportunity / affirmative action employer henry ford health system is committed to the hiring, advancement and fair treatment of all individuals without regard to race, color, creed, religion, age, sex, national origin, disability, veteran status, size, height, weight, marital status, family status, gender identity, sexual orientation, and genetic information, or any other protected status in accordance with applicable federal and state laws.",data scientist
"preferred qualifications master's degree or doctorate in statistics, mathematics or other applied science field or equivalent experience considerable experience with statistical tools and packages (e.g., python, r, sas) and methods to incorporate statistical results into analyses proficiency in at least one programming language, such as python, java or c/c++ working knowledge of standard querying with sql strong knowledge of statistical methods, particularly in the areas of modeling and business analytics comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources ability to communicate complex quantitative analysis in a clear, precise and actionable manner experience with modeling and forecasting proven track record as a lead resource for the business strong written and verbal communication skills proficiency with microsoft office suite job summary the data scientist works with business owners and technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. they draw upon their knowledge and experience in applied statistics, data mining, modeling, and forecasting to ensure accurate and clear results. they provide actionable opportunities for business leaders, develop and implement data science solutions and machine learning models to provide intelligent business process automation and decision-making. the data scientist is detail-oriented and highly aware of the impact of their analysis and solutions across the company. they take the initiative and focus on finding innovative solutions for a myriad of business challenges. responsibilities work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured, and unstructured data drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling clean data in preparation for analysis and modeling perform statistical summaries and tests for relevant business questions develop predictive statistical, behavioral, or other models via supervised and unsupervised machine learning, statistical analysis, and other modeling techniques translate business opportunities into data-driven machine learning and modeling solutions that revamp business processes deploy applicable models into the production system for business use perform statistical testing to enhance the predictability of deployed models summarize conclusions and solutions for presentation develop strong relationships with subject matter experts develop best practices for experimentation who we are amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. the company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. amrock is a preferred provider to five of the top 20 fortune 100 companies and many of the largest residential mortgage lenders. the company is based in detroit and retains regional operating centers in ohio, california, pennsylvania and texas. disclaimer this is an outline of the primary responsibilities of this position. as with everything in life, things change. the tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",data scientist
"role: sr. data scientist  cognizant (nasdaq: ctsh) is a leading provider of information technology, consulting, and business process outsourcing services, dedicated to helping the world's leading companies build stronger businesses. headquartered in teaneck, new jersey (u.s.). cognizant is a member of the nasdaq-100, the s&p 500, the forbes global 1000, and the fortune 500 and we are among the top performing and fastest growing companies in the world.  please note, this role is not able to offer visa transfer or sponsorship now or in the future* practice - aia - artificial intelligence and analytics  about ai & analytics: artificial intelligence (ai) and the data it collects and analyzes will soon sit at the core of all intelligent, human-centric businesses. by decoding customer needs, preferences, and behaviors, our clients can understand exactly what services, products, and experiences their consumers need. within ai & analytics, we work to design the future—a future in which trial-and-error business decisions have been replaced by informed choices and data-supported strategies.  by applying ai and data science, we help leading companies to prototype, refine, validate, and scale their ai and analytics products and delivery models. cognizant’s aia practice takes insights that are buried in data, and provides businesses a clear way to transform how they source, interpret and consume their information. our clients need flexible data structures and a streamlined data architecture that quickly turns data resources into informative, meaningful intelligence.  role: design and implement low-latency, high-availability, and performant applications  integration of user-facing elements developed by front-end developers with server-side logic  implementation of security and data protection  integration of data storage solutions  performance tuning, improvement, balancing, usability, automation  work collaboratively with design team to understand end user requirements to provide technical solutions and for the implementation of new software features.  building rest web services.  participate fully in the development process through the entire software lifecycle.  participate fully in agile software development process  qualifications: 5-8 years of overall technology experience (or) 6+ years of practical python back-end development experience  web-based back-end development experience  using python for back-end development very recent  experience of flask/django, redis, linux and nginx;  experience with sql server a plus.  sql database administration, postgresql  website front-end development, specifically in responsive web design  experience with javascript, jquery, html and css (they use less)  agile development methodology  experience in python, aws and data warehousing project/etl (building etl pipeline; sqs; sns; etc).  hands on experience for developing data warehouse solution in aws.  understand business requirements and existing system  actively participate in optimization and performance tuning of data ingestion and sql processes  knowledge on basic aws services like s3, ec2, ebs, iam, cloud watch, etc  ability to explain data lake architecture using aws services  cognizant is an equal opportunity employer m/f/d/v. cognizant is committed to ensuring that all current and prospective associates are afforded equal opportunities and treatment and a work environment free of harassment.  cognizant is recognized as a military friendly employer and is a coalition member of the veteran jobs mission. our cognizant veterans network assists veterans in building and growing a career at cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service.  #li-av1 #cb  employee status : full time employee shift : day job travel : no job posting : may 06 2021  about cognizant cognizant (nasdaq-100: ctsh) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. headquartered in the u.s., cognizant is ranked 194 on the fortune 500 and is consistently listed among the most admired companies in the world. learn how cognizant helps clients lead with digital at www.cognizant.com or follow us @usjobscognizant.  cognizant is recognized as a military friendly employer and is a coalition member of the veteran jobs mission. our cognizant veterans network assists veterans in building and growing a career at cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service. cognizant is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law. if you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email careersna2@cognizant.com with your request and contact information.",data scientist
"transforming the future with convergence of simulation and data data scientists analysts job summary: our client in dearborn, mi is looking for a data scientists analysts. this is a contract position. what you will do: we are looking for a data engineer that will work on the collecting, storing, transforming, processing, and analyzing of huge sets of data. the primary focus will be on choosing optimal solutions to create data products, then maintaining, implementing, and monitoring them. you will also be responsible for integrating them with the architecture used across the company. basics: proficient understanding of distributed computing principles management of hadoop cluster, with all included services ability to solve any ongoing issues with operating the cluster proficiency with hadoop v2, mapreduce, hdfs good knowledge of big data querying tools, such as pig, hive, and impala experience with scala spark experience with integration of data from multiple data sources knowledge of various etl techniques and frameworks, such as data stage, informatica experience with big data ml toolkits, such as mahout, sparkml, or h2o experience with cloudera/mapr/ selecting and integrating big data tools and frameworks required to provide requested capabilities performing data discovery within hadoop ecosystem implementing etl processes, such as data transformation using tool including but not limited to, hive, sql, python, pyspark, informatica, scala ensuring data quality and maintain profiles of data products monitoring performance and advising any necessary infrastructure changes complying with data governance and privacy policies defining data retention policies bachelor’s degree preferred: data science/engineering additional safety training/licensing/personal protection requirements how you will be successful: envision the future communicate honestly and broadly seek technology and business “first” embrace diversity and take risks what we offer: competitive salary comprehensive benefit package 401(k) with matching contributions paid time off employee discounts free training on all altair products why work with us: altair is a global technology company that provides software and cloud solutions in the area of data analytics, product development, and high-performance computing (hpc). altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. with more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities. our vision is to transform customer decision making with data analytics, simulation, and high-performance computing. for more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop ai, simulation and data-driven digital twins to drive better decisions, and deliver advanced hpc and cloud solutions to support unlimited idea exploration. to learn more, please visit altair.com ready to go? #onlyforward at our core we are explorers; adventures; pioneers. we are the brains behind some of the world’s most revolutionary innovations and are not only comfortable in new and unchartered waters, we dive headfirst. we are the original trailblazers that make the impossible possible, discovering new solutions to our customer’s toughest challenges. altair is an equal opportunity employer. our backgrounds are diverse, and every member of our global team is critical to our success. altair’s history demonstrations a belief that empowering each individual authentic voice reinforces a culture that thrives because of the uniqueness among our team",data scientist
"transforming the future with convergence of simulation and data data scientists analyst job summary: our client in dearborn, mi is looking for a data scientists analyst. this is a contract position. what you will do: as a people scientist on this team, you will leverage people data and research to solve business problems. you will engage in best practice projects that are global, enterprise-wide, science-based, and transformational in nature. you will integrate external research and internal data to understand client’s talent strategy today and help shape its future. basics: experience with data preparation/manipulation/analysis/visualization tools, such as excel, r, python, spss, mplus, alteryx, tableau, and qlikview ability to use research methods, data management, and advanced analytics to understand relationships among variables/data points ability to interpret the meaning of data/results for business partners and translate/apply findings into solutions for key business problems ability to consult others on organization design and workforce planning project management 2+ years grad or post-grad experience using robust research methods, data management, and advanced analytics to understand relationships among variables/data points (e.g., linear and logistic regression, organizational network analysis, structural equation modeling) 2+ years of grad or post-grad experience using data preparation/ manipulation/ analysis/ visualization tools like r, python, spss, mplus, alteryx, tableau, and qlikview experience in organization development and workforce planning preferred: conducting research in an organization or consulting environment formulating research questions with customers collecting and analyzing data generating insights from large and complex datasets sharing results with various types of audiences 2+ years of experience conducting research in an organization or consulting environment, including formulating questions with customers, collecting and analyzing data, generating insights, and sharing results with various types of audiences additional safety training/licensing/personal protection requirements: education: master's degree in a field emphasizing people science in organizations (e.g., industrial/organizational psychology, organizational dynamics, business analytics, economics, management, organizational behavior, data science, computer science or engineering) additional information: natural curiosity to solve complex problems in creative ways drive to enhance employee experience ability to communicate complex ideas/findings clearly and concisely knowledge of best practices and research supporting excellent measurement and/or survey design familiarity with designing and setting up intuitive data visuals and online dashboards interest in trends / emerging areas of people science how you will be successful: envision the future communicate honestly and broadly seek technology and business “first” embrace diversity and take risks what we offer: competitive salary comprehensive benefit package 401(k) with matching contributions paid time off employee discounts free training on all altair products why work with us: altair is a global technology company that provides software and cloud solutions in the area of data analytics, product development, and high-performance computing (hpc). altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. with more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities. our vision is to transform customer decision making with data analytics, simulation, and high-performance computing. for more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop ai, simulation and data-driven digital twins to drive better decisions, and deliver advanced hpc and cloud solutions to support unlimited idea exploration. to learn more, please visit altair.com ready to go? #onlyforward at our core we are explorers; adventures; pioneers. we are the brains behind some of the world’s most revolutionary innovations and are not only comfortable in new and unchartered waters, we dive headfirst. we are the original trailblazers that make the impossible possible, discovering new solutions to our customer’s toughest challenges. altair is an equal opportunity employer. our backgrounds are diverse, and every member of our global team is critical to our success. altair’s history demonstrations a belief that empowering each individual authentic voice reinforces a culture that thrives because of the uniqueness among our team.",data scientist
"dearborn ford motor company gdia job description & qualifications at ford motor company, we believe freedom of movement drives human progress. we also believe in providing you with the freedom to define and realize your dreams. with our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.  what you’ll be able to do: perform analysis and modeling of residual values, auction prices, and market drivers to support business and sales planning analytics (bspa) used vehicle valuations team and customers. develop and maintain models to quantify the relationship between auction prices and key residual values drivers develop and maintain models to optimize the distribution of remarketing vehicles apply and integrate latest analytical tools and data sources to more accurately model used vehicle prices execute both descriptive and inferential ad hoc requests for management and business customers in a timely manner provide data analysis visualization and prepare presentation materials to share with management and business customers analyze and evaluate remarketing programs development, progress and performance  scope: u.s. residual values and used vehicle market  the minimum requirements we seek: master’s degree in statistics, econometrics, data science, or similar scientific field of study 2+ years of experience using advanced modeling (including machine / deep learning, statistical, econometric, optimization, etc.) and simulation techniques in a business or academic environment 2+ years of experience with one or more of the following tools: data gathering & analysis skills/tools (e.g. sas, python, sql, hadoop, teradata, business objects, alteryx, etc.) and visualization skills/tools (e.g. qlikview, tableau, webfocus) our preferred requirements: 3+ years of auto industry related work (auto marketing and sales experience a plus) ability to effectively communicate, both verbal and written, across different levels of the organizations sas experience preferred have excellent time management skills and be able to handle working on multiple projects at the same time be able to make reasonable judgments and conclusions with limited information and resources be able to utilize all major modeling techniques as applied to short and long-term volume and price forecasts be able to quickly convert a real business requirement into a solvable modeling problem, sort out relevant information, and judge the solution against business reality be aspirational and curious in technical excellence and innovation have a lifetime learning attitude what you’ll receive in return: as part of the ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous pto, retirement, savings and stock investment plans, incentive compensation and much more. you’ll also experience exciting opportunities for professional and personal growth and recognition.  if you have what it takes to help us redefine the future of mobility, we’d love to have you join us.  visa sponsorship may be available for this position.  we are an equal opportunity employer committed to a culturally diverse workforce. all qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.  for information on ford's salary and benefits, please visit: https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2021-benefits-and-comp-gsr-sal-plan-1.pdf  auto req id 44107br state michigan skill team global data, insights & analytics (gdia) sub-component business and sales planning analytics",data scientist
"description   detroit demolition department data scientist  the data scientist will support the city of detroit demolition department through data analysis, manipulation, management/handling, quality control, mapping, and other tasks as needed. the demolition department’s data team utilizes various data management systems and techniques to track, analyze, and report on all activities related to the city of detroit’s blight remediation program.  the individual performing this job must be extremely detail-oriented, with very good organizational and computer skills.  reports to the assistant director – field operations direct report to a field superintendent  ~ this is a temporary assignment ~ examples of duties    assist with data quality control by cleaning, joining, updating, and refining data sets work with various forms of geospatial data to create maps, geographically cluster demolition targets, and develop effective and efficient demolition strategies work in conjunction with other city departments and partner agencies to improve data-sharing techniques, processes, and transparency support procurement and project planning operations by generating documentation for bid solicitations, creating presentations, and performing other miscellaneous tasks as needed perform various data entry tasks, especially into the primary data management system salesforce monitor all program data, both spatial and non, for inaccuracies or discrepancies use various statistical, spatial, or other methods to track and analyze demolition data from salesforce generate reports and dashboards using demolition data share data with other city departments and partner agencies as directed generate standard operating procedures for data-related processes perform additional duties as directed minimum qualifications high school diploma or ged bachelor’s degree or associate’s degree with professional experience preferred 1-3 years experience implementing data solutions including the extraction, processing, and transferring of data between various management systems with the use of critical thinking.  equivalency equivalent combinations of education and experience that provide the required knowledge, skills, and abilities will be evaluated on an individual basis.  license, certification and other special requirements: valid state of michigan operator license required employees in this class will be required to provide and operate a motor vehicle.  supplemental information    knowledge of: machine learning, model deployment, and cloud computing techniques to administer data solutions statistics, including regression analysis and parametric / non-parametric testing utilization of geospatial / non-geospatial technologies for data visualization and automation gis principles, proficiency in arcgis software, experience using arcgis developer tools and application development microsoft suite, particularly excel and access government, planning and/or policy and a willingness to learn the complicated details of the demolition program javascript, sql, python, tableau, fme, rpa, and salesforce preferred.  ability to: able to understand and fulfill oral and written instructions ability to work well in a fast-paced and demanding environment excellent time management skills and ability to multitask  required submittal information:  the following documents are required for consideration: cover letter updated resume  candidates considered for placement in this classification may be subject to a criminal background investigation based on the requirements of the position.  the above statements describe the general nature and level of work performed by employees assigned to the class. incumbents may be required to perform job-related responsibilities and tasks other than those stated in this specification. essential duties may vary from position to position.",data scientist
"background and overview: did you know that the bureau of labor statistics considers data science one of the top 20 fastest-growing occupations and has projected 31% growth over the next 10 years? according to glassdoor, data scientists make an average of $116,100 per year! this makes data science a highly lucrative career that spans multiple industries now and in the future. during the fellowship, bgcsm will look to develop and train youth for data science careers across multiple industries that include entrepreneurship. the knowledge and skills learned and applied will set fellows on a path to securing economic mobility for themselves, their families and to empowering their communities. job description: we are looking for ambitious youth interested in data science and entrepreneurship. successful candidates should have a healthy interest in science and math to join the bgcsm industry club—the leading program developing the next generation of entrepreneurs,as a data and risk management fellow. from april-august, youth will work with partner organizations and corporations to learn about careers in data science that include business analytics, social media analytics, sports statistics, insurance and risk management, coding, and much more. data science fellows will be required to attend all after-school workshops as well as have a positive, go-getter attitude. ideal candidates should have an interest in starting their own business, impacting their community, and exploring other career options in the data science and risk management field. 20 hours/week; willingness to work 2:30 pm – 5:30 pm weekdays, for 6 weeks during the 2nd-semester school year programming period 20 hours/week, between 9:00 am – 1:00 pm timeframe based on coursework and community mapping activities during the summer 6-week programming period. pay: $10/hour data science fellows engagement program activities developing a business concept pitching business concepts to investors community data mapping and analysis presenting data science research finding at symposium  data science intern qualifications includes but are not limited to: students aged 13-18 ability to attend in-person and virtual programming up to 5 times a week after school. the ability to work in the united states. how to apply please send us your resume as well as a 2–3-minute video telling us why you think you would be the right choice for the bgcsm industry club as a data and risk management fellow. only applicants who provide all requested items will be considered. to be considered, you must apply and submit your resume and video here: https://app.smartsheet.com/b/form/ceef2f9d5bf449d8b1a06adab135043a applications must be submitted to that link.",data scientist
"the vice president of global data and analytics will lead the vision, strategy, and execution for enterprise data for little caesar enterprises, inc. and ilitch companies to further build on goals of being a data-driven global enterprise. the position is responsible for articulating strategic opportunities for data analytics, for developing and delivering the roadmap to use cases from science to marketing, for developing resources and upskilling the businesses, and for driving the data strategy all as a connected part of the little caesars and ilitch companies global ecosystem. key responsibilities responsible for owning and developing the vision, strategy, and execution for global enterprise data & analytics, ensuring scalability of systems processes and talent. creation and management of a global integrated analytics roadmap. lead the team responsible for building and managing the technical infrastructure, data platform and visualization technologies. lead a global team of data engineers, data analysts and data scientists who are responsible for enterprise analytics and providing tools, data and expertise to functional business analytics teams within ilitch companies. define and own the strategy for investments, working closely with key business analytics leaders, and executive management. manage data insights and analytics, including enterprise dashboards and support the creation of functional dashboards in partnership with business functions. oversee various current and potential visualization tools leveraging little caesar enterprises, inc. technology wherever appropriate. oversee global data governance and data integrity protocols and procedures. lead machine learning and artificial intelligence initiatives. drive, mentor, and motivate the organization to focus on continuous operational excellence, enterprise analytics architecture evolution, improved solution design practices, and high-value technology selection decisions with transparency to business leaders and alignment with enterprise architecture. build an internal and external brand for the organization aimed at talent acquisition and retention in a highly competitive market.  minimum knowledge, skills, and abilities bachelor’s degree in computer science, engineering, statistics, applied mathematics or a related field. minimum of 15 + years working in data pipelines, data warehouse, data analytics, data science, machine learning, artificial intelligence (ai), or related disciplines. outstanding business acumen with an understanding of business drivers and of how to drive value to the customer. minimum of 10 + years working with a broad range of business intelligence (bi) tools. minimum of 10+ years working with customer data in a retail or quick service restaurant environment. proven leadership building data analytics, data science and data engineering capabilities. proven track record of coaching/mentoring individual contributors into more senior roles. ability to translate business needs to analytic requirements and interpret the results of complex data analysis and communicate them to broad audiences.  preferred knowledge, skills, and abilities experience working for/with business to consumer (b2c) technology companies. knowledge and practical application of advanced statistical analysis and mathematical modeling concepts and principles. advanced degrees in computer science, engineering, statistics, applied mathematics or a related field. experience in driving and leading data governance practices. experience productionalizing machine learning models.  working conditions works in a normal office environment where there is no physical discomfort due to temperature, noise, dust and the like. this position requires approximately 10%-20% travel which may include travel to restaurant locations and trade shows. this position requires the ability to adhere to the lce travel policy. requires accessibility during non-traditional hours such as evening, nights and weekends.  the above is intended to describe the essential job functions, the general supplemental functions and the essential requirements for the performance of this job. it is not to be construed as an exhaustive statement of all supplemental duties, responsibilities or nonessential requirements. little caesar enterprises has the right to change, modify, suspend, interrupt or cancel in whole or in part any job functions outlined in a job description at any time and without advance notice to the employee.",data scientist
"dearborn ford motor company product development job description & qualifications at ford motor company, we believe freedom of movement drives human progress. we also believe in providing you with the freedom to define and realize your dreams. with our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.  enterprise connectivity (ec) is a growing team that is looking for a data engineer/scientist to join the product development team. we are looking for a high-potential analyst to assist in all phases of analysis. this is an exciting role that will interface with a wide variety of teams both within ec and across the enterprise. this role with offer a broad spectrum of opportunities and will require a successful candidate to have strengths in both strategy and analytics.  what you’ll be able to do: strategic thinking: able to influence the strategic direction of the company by identifying opportunities in large, rich data sets and creating and implementing data driven strategies and key performance indicators modeling: experience with creating etl processes to source and link data, feature design and selection design and implement statistical / predictive models using edge algorithms on diverse sources of data and testing and validation of models. analytics: utilize analytical applications like r, python, sas, alteryx, matlab to identify trends and relationships between different pieces of data, draw appropriate conclusions and translate analytical and machine learning findings into business strategies. visualization: create visualizations to connect disparate data, find patterns and tell engaging stories. this includes both scientific visualization as well as geographic (gis) analysis using applications such as tableau and qlik, power bi or arcgis. communications and project management: capable of turning dry analysis into an exciting story that influences the direction of the business and communicating with diverse teams to take a project from start to finish. collaborate with product teams to develop and support our internal data platform and to support ongoing analyses. engage in exciting and constantly evolving projects that will help to form the future of ford motor company.  the minimum requirements we seek: bachelor’s degree in computer science, data analytics, or a related scientific field of study 1+ years of experience with sas, spss, python, r, java, matlab, arcgis or other analytic / development platforms. 1+ years of dynamic data modeling and machine learning experience. our preferred requirements: mba or master’s degree in a science-based program with an emphasis on data analysis familiarity with big data and machine learning tools and platforms. project management experience and strong leadership skills comfortable working in a dynamic environment where problems are not always well-defined inquisitive, proactive, and interested in learning new tools and techniques strong oral, written and interpersonal communication skills  what you’ll receive in return: as part of the ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous pto, retirement, savings and stock investment plans, incentive compensation and much more. you’ll also experience exciting opportunities for professional and personal growth and recognition.  if you have what it takes to help us redefine the future of mobility, we’d love to have you join us.  visa sponsorship may be available for this position.  we are an equal opportunity employer committed to a culturally diverse workforce. all qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.  for information on ford's salary and benefits, please visit: https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2021-benefits-and-comp-gsr-sal-plan-1.pdf https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2021-benefits-and-comp-ll6-sal-plan-1.pdf  auto req id 44705br state michigan skill team enterprise connectivity (ec) sub-component engineering",data scientist
