JobDesc,JobTitle
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"meet medpro group. we’re an industry-leading berkshire hathaway insurance company with a passion for our clients and our team. we are hundreds of professionals with varied backgrounds and experience levels who came together to achieve one goal: protecting those who have made it their mission to serve and care for others. never considered the insurance industry before? we think you should.  in this role you will…  translate business needs, processes and procedures into a workable system, and articulate on specific data science requirements by communicating about these requirements with technology experts. participate in developing functional requirements, testing, training and implementing data science solutions. develop detailed system requirements based on business needs, utilizing standard documentation guidelines and coordinating with technical resources throughout project cycle. participate in reviewing, analyzing, and evaluating underwriting and claims' user needs. participate in project meetings, project tracking, analysis, and reporting. provide reporting analysis on key projects and delivery outcomes with the business clients. develop documents for data science applications, system specifications and test plans, according to existing standards and methodologies. support implementation of high impact, cross-functional projects aligned with strategic business initiatives under the direction of a project manager or data scientist. support small to medium size projects including project planning, requirements definition and documentation, test case definition, execution of testing, and project implementation. assist in handling post-production issues until project has been approved for release to the business. perform other duties as assigned.  we are looking for candidates with…  bachelor’s degree or equivalent project/insurance experience. 3 or more years of related project or insurance experience. strong analytical skills. ability to resolve problematic issues in an efficient manner. excellent organizational and communication skills, demonstrated ability to work across technical and non-technical resources. understanding of systems and technical design. strong pc skills including word, excel, powerpoint, and visio. demonstrated ability to work independently and as a team member. ability to handle multiple, changing priorities, and deadlines in a very fast paced working environment.  why medpro?  medpro group’s mission is built on a century-old legacy of protecting those who protect others. from our roots in our hometown of fort wayne, indiana, we've worked diligently to become the nation's premier healthcare liability coverage provider, currently insuring more than 300,000 customers. with that growth, we've built a significant presence in all 50 states. our team works across the country to provide the best strategies to mitigate risk and preserve the reputations of those who have entrusted their good name to us. that passion – built on a foundation of a culture that values uncompromised integrity, obsessive client focus, great teamwork, and a long-term mindset – makes medpro a preferred employer that many call their career home.  general: medpro group is an equal opportunity employer.",data scientist
"at liberty mutual, our purpose is to help people embrace today and confidently pursue tomorrow. that’s why we provide an environment focused on openness, inclusion, trust and respect. here, you’ll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession. liberty mutual has proudly been recognized as a “great place to work” by great place to work® us for the past several years. we were also selected as one of the “100 best places to work in it” on idg’s insider pro and computerworld’s 2020 list. for many years running, we have been named by forbes as one of america’s best employers for women and one of america’s best employers for new graduates—as well as one of america’s best employers for diversity. to learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion we value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. to learn more about our benefit offerings please visit: https://lmi.co/benefits liberty mutual is an equal opportunity employer. we will not tolerate discrimination on the basis of race, color, national origin, sex, sexual orientation, gender identity, religion, age, disability, veteran’s status, pregnancy, genetic information or on any basis prohibited by federal, state or local law. senior software engineer – machine learning we deliver our customers peace of mind every day by helping them protect what they value most. our passion for placing the customer at the center of everything we do is driving a transformational shift at liberty mutual. operating as a tech startup within a fortune 100 company, we are leading a digital disruption that will redefine how people experience insurance. about the job: we are seeking an experienced senior software engineer with full stack skills to participate in software development within an agile team supporting our analytic platforms and services department. you will be working on runway, our internally developed platform for managing the deployment of ai/ml predictive models. runway makes it as fast and easy for data scientists to operationalize their python and r models while adhering to high standards for security, performance and availability. in addition to full-stack java development, this role also includes working on templates and ml operations components written in python. members of the runway team work closely with data scientists in all markets, so consulting skills and a desire to apply machine learning and artificial intelligence to high-value business challenges are critical to this role. the industry changes quickly, so we are looking for candidates who can respond to change, pick up new technologies quickly and adapt to changing requirements. we also want candidates who take pride in their work and have strong design and development expertise. we value quality code delivery and expect candidates to demonstrate competence at writing, testing and debugging java and python code. highly competitive candidates will have: familiar with python webserver and mlops libraries, such as flask, fastapi, mlflow and airflow knowledge of machine learning tools and practices data engineering skills, including sql databases, pandas and spark qualifications: bachelor's degree in technical discipline preferably computer science or software engineering 5+ years of professional development experience in java and python knowledge of it concepts, strategies, methodologies, architectures and technical standards analytical, problem solving, and communication skills familiarity with insurance functions and business operations extensive knowledge of design and development tools proficient in multiple programming languages and tools consulting, negotiation and consensus building skills strong presentation and written communication skill  bachelor's degree 16",data scientist
"the statistical programmer ii provides technical expertise for the conduct of clinical trials, and works with minimal supervision to support various programming activities related to the analysis and reporting of clinical study data. in addition, the statistical programmer ii may fill the statistical programming lead role (or part of that role) on small, non-complex projects.  qualifications qualifications: excellent analytical skills. proficiency in sas. knowledge and understanding of the programming and reporting process. knowledge of sops/guidelines, ich-gcp, and any other applicable local and international regulations such as 21 cfr part 11. ability to learn new systems and function in an evolving technical environment. ability to manage competing priorities and flexibility to change. attention to detail. ability to successfully work as part of a global team. work effectively in a quality-focused environment. effective time management in order to meet daily metrics or team objectives. show commitment to and perform consistently high quality work. business/operational skills that include customer focus, commitment to quality management, and problem solving.  knowledge and experience: competent in written and oral english. good communication skills. education: educated to degree level in a relevant discipline and/or equivalent work experience. eeo disclaimer parexel is an equal opportunity employer. qualified applicants will receive consideration for employment without regard to legally protected status, which in the us includes race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",data scientist
"customer service is broken — stuck in a time warp. as everything has evolved around it, the technology available to support the way businesses engage with customers has mostly stood still. the tools we have on the phones in our pockets are wildly superior to what's available to us when we engage with our favorite brands. the truth that no one wants to say out loud is that big tech has held the customer experience hostage for decades with its giant servers, complex implementations, buried software and expensive contracts. and that's just not ok with us.  so we founded edify and built huddle to seize the opportunity in the void. with customer experience being the final frontier in winning the hearts and dollars of consumers long-term, the brands who prevail are going to be the ones who have tools to do what no one else can. at last, there's a more predictable, reliable, cost-effective, transparent, full-featured, cloud-native, easy-to-get-and-use, intuitive, accessible, genius single piece of software that's changing everything.the time for employees to love work, and customers to love companies is here. and finally, so are the tools. we are edify. and we're customers, too. we are looking for a data scientist to join our quickly growing team at edify! the purpose of the data scientist is to analyze and derive information from our consumer data to drive business decisions. the data scientist will be working closely with different departments to help build the best product at edify! if you have a passion for saas, a start-up mentality and disrupting the norm, edify may be the place for you!  responsibilities work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. build advanced machine learning models implementing end-to-end algorithmic solutions. mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. develop processes and tools to monitor and analyze model performance and data accuracy. carry out independent research and innovation in new content.  qualifications degree in quantitative field (e.g. computer science, engineering, mathematics, statistics, operations research or other related field). 3+ years of industry or graduate research experience solving analytical problems and building models using quantitative, statistical or machine learning approaches. experience with machine learning, statistics, or other data analysis tools. mysql expertise. experience performing data extraction, cleaning, analysis and presentation of large datasets. at edify, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, national origin, gender, sex, gender identity or expression, sexual orientation, age, citizenship, marital or parental status, disability, veteran status, or other class protected by applicable law. we are proud to be an equal opportunity workplace.  for information about how we collect and use your personal information when you apply for one of our positions, please see our u.s. job applicant privacy notice.",data scientist
"description shift: day job  schedule: full-time  your talent. our vision. at anthem, inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members, greater value for our customers, and greater health for our communities. join us and together we will drive the future of health care. this is an exceptional opportunity to do innovative work that means more to you and those we serve at one of america's leading health care companies and a fortune top 50 company. responsible for the development and implementation of predictive modeling algorithms and techniques to solve business problems and optimize member experiences. must be able to commute to an anthem office - virginia beach, va, atlanta, ga, indinapolis, in, or mason, oh preferred primary duties may include but are not limited to: design predictive modeling projects to address specific business problems determined by consultation with business partners. work with data-sets of varying degrees of size and complexity including both structured and unstructured data. piping and processing massive data-streams in distributed computing environments such as hadoop to facilitate analysis. implements batch and real-time model scoring to drive actions. develops proprietary algorithms to build customized solutions that go beyond standard industry tools and lead to innovative solutions. develop sophisticated visualization of analysis output for business users. provides high-level controllership/evaluation of all output produced to ensure established targets are met. determines the continuous improvement opportunities of current predictive modeling algorithms. proactively collaborates with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns related to quality, use, cost and other variables. qualifications requires a bachelor’s degree in statistics, computer science, mathematics, machine learning, econometrics, physics, biostatistics or related quantitative disciplines and 3 or more years experience in predictive analytics or equivalent. must have advanced expertise with software such as python, r, sas, sas enterprise miner, sql, tableau or equivalent, or any combination of education and experience which would provide an equivalent background. phd and experience in the healthcare sector preferred. we offer a range of market-competitive total rewards that include merit increases, paid holidays, paid time off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few. anthem, inc. is ranked as one of america’s most admired companies among health insurers by fortune magazine and has been named a 2019 best employers for diversity by forbes. to learn more about our company and apply, please visit us at careers.antheminc.com. an equal opportunity employer/disability/veteran. anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all anthem positions.",data scientist
"about calm we have a simple mission at calm: to make the world a happier and healthier place. the heart of calm is digital but the brand is expanding offline into a variety of products and services that bring more peace, clarity and perspective into people’s busy lives. we are building calm into the nike of the mind. we believe calm can become one of the most valuable and meaningful brands in the world. over 75 million people have downloaded the app and we are growing by 100,000 new downloads a day. the company is profitable and headquartered in san francisco, ca. calm was co-founded by alex tew (million dollar homepage) and michael acton smith (mind candy, moshi monsters, firebox).  mission  the data engineering team’s mission is to make calm’s data reliable, trustworthy and easy to use. to do that, we’re building a data ecosystem that enables the entire organization to use data to make our product better, facilitate decision making and help drive business value.data engineers at calm work closely with internal stakeholders, defining requirements and designing and building solutions that meet those requirements. we are a group of strong communicators, who care about our stakeholders and each other. we love to work together as a team to find simple solutions to complex problems. our current stack includes airflow, dbt, tableau, redshift, sqs, sns, and sagemaker all deployed on docker and kubernetes on aws - but we’re always open to the right technology for the job.you can read more about our interview process, our engineering organization, and what we've worked on recently. outcomes build data integrations within our data platform and between partners write well-tested, production ready code in python, go, and/or sql improve the efficiency, reliability, and latency of our data system create automated, highly reliable data pipelines help define and craft our data model onboard onto airflow and redshift and assist with improvements and maintenance define, design, and build data testing and quality frameworks test all code written and ensure production readiness before shipping work cross-functionally with our product, marketing and growth teams on complex and exciting projects that propel calm’s business stays up-to-date with high-potential new technologies, and can evaluate and present to the team for calm’s use case  competencies experience working with at least one data processing tool such as spark, redshift/snowflake, airflow/luigi, etc basic working knowledge of other big data technologies experience building and maintaining critical, reliable etl pipelines experience writing production-level code in python or go fluent in sql proactive communicator who can translate between technical and non-technical stakeholders excellent sense of how to drive business impact team player who gives and takes feedback in a thoughtful way, and loves to help others. work cross-functionally with our product, marketing and growth teams on complex and exciting projects that propel calm’s business bonus points if you have some devops related-experience working with, e.g., kubernetes, terraform, etc. or if you have previous experience as a data scientist or analyst at least 2 years of data engineering experience  benefits competitive salary and equity unlimited pto we pay your medical, dental, & vision insurance premiums 401k commuter benefits life insurance and disability benefits apple equipment opportunity to work with a product focused on making the world happier and healthier and much more!  calm is deeply committed to diversity, equity and inclusion, both in our hiring practices and in our experiences as a calm employee. we strive to create a mindful and respectful environment where everyone can bring their authentic self to work, and experience a culture that is free of harassment, racism, and discrimination. calm is proud to be an equal employment opportunity employer. we do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. calm is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. please inform calm’s recruiting team if you need any assistance completing any forms or to otherwise participate in the application process.",data scientist
"summary of the role: the senior data analyst is responsible for reporting and analysis on all aspects of delivery projects and processes. this includes kpi, financial and process efficiency reporting across the hospitality delivery organization. the successful candidate should be intellectually curious and quantitatively oriented able to identify and concisely communicate the ""so what?"" often buried within the data.  are you the next senior data analyst we are looking for? you will be expected to derive insights from vast data sets that may vary by product domain. you will be a key driver in informing future automation and process improvement opportunities. in this role you’ll: generate and distribute pre-defined daily, weekly and monthly financial and operational reports to key stakeholders. report should include actionable insights generated by the analyst. perform ad-hoc reporting and analysis as directed or as self-identified would be beneficial to potentially drive actionable insights. analyze operational processes and team workload to identify potential areas of automation or process improvement. assist in defining slas for key process steps by leveraging real-world data and time-in-motion studies. help to complete and manage a variety of special projects dealing with all functional areas of the business that may be assigned periodically as business needs demand.  about the ideal candidate: education: degree in quantitative field preferred relevant work experience: minimum 5 years of experience in data analysis, project management, financial analysis, operations process improvement business understanding: salesforce.com experience a plus skills: computing: advanced excel/vba skills required languages: excellent command of english, oral and written what we can offer you: the opportunity to work for one of the world’s top leading travel tech companies; a company that originated in technology innovation and sees the world with a technology-first perspective skills development and opportunities to try new ideas a global diverse work environment  application process: the application process takes no longer than 10 minutes! create your candidate profile, upload your cv and apply. are you the one we are looking for? apply now!  we are an equal opportunity employer and seek to hire the best candidate regardless of age, beliefs, disability, ethnicity, gender or sexual orientation. any duplication and display of partial or full content of our job advertisement on any support, such as brochures, websites, mail, emails, this list is not exhaustive, is strictly forbidden without prior formal amadeus’ authorization. recruitment agencies: amadeus does not accept agency resumes. please do not forward resumes to our jobs alias, amadeus employees or any other company location. amadeus is not responsible for any fees related to unsolicited resumes.",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 6+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",data scientist
"company description  at ksm consulting, you are bigger, bolder, and brighter. you bring innovative ideas to the table, and you learn from the experts sitting beside you. you stand on the shoulders of giants and on some days, you are the giant. that’s what we call… you. amplified. at our growing, indianapolis-based technology, data, and management consulting firm, you’ll be exposed to the latest industry trends as well as some of the most challenging problems our clients face. and through deep understanding, tenacity, collaboration, and know-how, you help those clients find the solution that’s right for them. in everything you do, you’ll help your clients, colleagues, and communities thrive.  job description  to help continue our rapid growth and solve our clients’ toughest problems, we need a machine learning engineer to join the team. in this role, you’ll work with a strong team of data engineers, data architects, and data scientists to solve some of the most exciting and challenging problems faced by companies and governments in today’s fast-paced environment. many of your efforts will provide you the opportunity to apply innovative and difference-making decisions while working with complex and/or unstructured data. you will gain visibility with senior leadership and work with a team that prioritizes your growth as a machine learning engineer. if you love to solve problems and add value, please consider what your typical days might look like: design, develop and deploy production-ready algorithms at scale design develop and maintain data collection pipelines from diverse sources, structured and unstructured data design, develop and maintain pipelines for model training and development drive optimization, testing and tooling to improve quality of solutions  qualifications  this is not an entry level/recent graduate role and requires at least 1-2 years of related industry experience. some of the skills and experience we are expecting include: bachelor’s degree in computer science or related technical field required. experience with modern programming languages e.g. python, c#, java and open source technologies experience deploying and maintaining models at scale experience with data structures, algorithm design, problem solving and complexity analysis working knowledge of statistical analysis and predictive modeling solid understanding of oo and common design patterns, ci/cd processes and container technologies. working knowledge of relational and nosql database languages experience with common development tools (git, maven, jenkins) is a plus experience with developing software products for cloud platform, e.g. aws, azure, gcp is a plus experience with big data or streaming platforms, e.g. spark, kafka, mongodb is a plus proficiency with apis, orchestration, and automation is a plus comfortable on linux for both development and operations.  additional information  what you should know about ksmc: ksmc employees work hard. we solve big problems, serve lots of clients, and are generally engaged throughout the entire workday and beyond. we compensate well and show our appreciation in lots of ways including thursday throwdowns, quarterly employee events, community day, and family outings. we have a great benefits package including a self-managed pto policy. our snack room is well stocked with healthy drinks and food to keep you going during your work day. our comprehensive wellness program includes team recreation activities and wellness reimbursement. ksmc values lifelong learning and encourages all team members to continue to grow through formal and informal paths that include an educational assistance program. we emphasize your career advancement and development and set aside intentional time twice a year to evaluate your progress and goal set together, including your career growth track. we pride ourselves in having the best talent in the industry and hope that you’re up for the challenge!",data scientist
