JobDesc,JobTitle
"about working at commerce wouldn’t it be great to build your career at a bank that’s known for helping people with their financial challenges? that’s exactly what you’d be doing when you join the team at commerce bank. we’re looking for teammates who are ready to do whatever it takes to help our customers with their everyday financial needs. you’d be helping yourself too, because commerce has a tradition of recognizing and rewarding team members for their talent, skills and contributions.  no wonder we’ve been an industry leader for over 150 years and have developed a reputation as a great place to work in the financial services world. if you’d like to be a part of a team and culture that is respected by its peers and in your community, we should talk. we’re always looking for the best and brightest.  job summary  deliver statistical and/or machine learning solutions to clients of enterprise analytics and business intelligence in support of business strategic objectives. essential functions the types of tasks this role will be responsible for include the following: collaborating with others to understand the business problem analyzing data, building statistical, econometric, and/or machine learning models and assessing their quality designing experiments and assessing the results monitoring model performance and making recommendations communicating results & recommendations to senior management identifying opportunities to apply statistics to improve business performance develop meaningful data visualizations using powerbi  knowledge, skills, and abilities  the following skills will be important to succeed in this role: experience with logistic regression, decision trees, survival analysis, time series analysis, design of experiment, machine learning and other statistical techniques communicating clearly and concisely to individuals from various backgrounds influencing others in both verbal and written communication leveraging education, colleagues and training opportunities to develop solutions independently solve problems and seek out solutions to drive business results   education/experience minimum 4-year degree in statistics or similar quantitative field of study working knowledge of sas, r, python, or similar statistical programming package proficient in working with key statistical and economic principles python, r, sas or sql programming skills   preferred qualifications: 1-2 years statistical analysis, machine learning, big data development, database, programming and project management related experience experience with relational databases experience with hadoop and big data technologies location: 811 main st, kansas city, missouri 64105 time type: full time",data scientist
"about our team: our kar data science team is seeking a data scientist to assist in our overall analytic functions that supports sales, strategic and marketing planning, product development/enhancement and overall customer needs analysis. as part of kar data science growing team, the data scientist will be responsible for acquiring and analyzing the data and turning the data in information that can be leveraged by the data science and business teams to make business decisions. what you will be doing: acquire, manipulate, and analyze big data sets from a variety of sources including social media, digital platforms, conversion data, or other first-party client data and provide insights / recommendations around customer lifecycle & product usage. partner with the vp of data science with report development and ad-hoc analysis of sales and customer analytics. discover or support new business or product road map ideas with research and analytics strategy recommendations. assist in documentation of business requirements, business rules, and data sources & transformations. responsible for creation of easy-to-understand, always-on data analytic visualizations and automation. build and own continuous delivery etl and analytics systems and content that are: almost real time, highly reliable, adaptable and reusable. project manage entire engagement with product owners, sales & it teams to conduct data analysis, testing and report back findings on data. manage customer analysis requests & report troubleshooting as well as say “no” when they don’t make sense. collaborate with cross-functional teams for information sharing and on-going process improvement endeavors. develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality what you need to be successful: minimum 5 years of professional experience as a business analyst or data driven (developer, dev ops, engineer, network analyst) experience of statistical tools such as r, python scikit, tensorflow, scpy etc high proficiency ins sql based query languages. (multiple flavors preferred) basic understanding of no-sql based systems ability to turn loosely defined business rules into tested complex, reliable, autonomous, fast business logic. advanced knowledge of microsoft excel, and aversion to using it. programming experience in at least one language such as (python, ruby, javascript -preferred) or c-based experience with (domo preferred) or similar (powerbi, tableau). understand and use rest apis and other web data structures familiarity with at least one cloud provider stack (aws preferred) azure, digitalocean, google enthusiastic about managing multiple priorities and working diligently to see them to completion with strong organizational and communication skills motivated by challenge and autonomy. strong technical background and ideology, loosely held understand the difference between precision and accuracy and know when each is appropriate.",data scientist
"data scientist senior level data analyst or data scientist who can help us use and interpret data to generate insights to drive business decisions. the data analyst will be a part of the data and analytics team and as a part of the larger application development organization, will be working with business stakeholders, data engineers, software developers, and project managers to deliver data and analytics products. the person will work closely with managers and senior managers to translate business objectives into analytics requirements. analysts will use the centralized data repository to come up with the analysis and recommendations, and to communicate the insights and actions to the business via data visualization, presentation or report. an experienced resource must also be able to clean and pull the data if the data is not available in centralized repository. required education & experience: bachelors degree in statistics, mathematics or computer science proficient experience in developing predictive and prescriptive models 3+ years of data visualization experience experience in data visualization software like tableau. 3+ years of experience in python – must be proficient with python as this is used daily 5+ years of experience in data analysis 5+ years of experience in tsql, ssis and ssrs ability to effectively interact with senior management and individuals in all areas of the bank preferred experience: statistics and mathematics background is strongly preferred background in finance, banking, or mortgage origination preferred",data scientist
"as an associate data scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, it system, business processes, or external data. you will also access, cleanse, compile, and transform disparate data sets to conduct exploratory and pre-defined analyses using scientifically valid techniques and generate meaningful insights as well as assist with feasibility studies to identify data availability, quality and modeling requirements, and dependencies. back to description cerner jobs and careers  client services working directly with our clients is one of the most impactful careers you will find. whether your background is in health care, business or technology you can help transform the quality of care for all of us. qualifications basic qualifications master’s degree in statistics, computer science, analytics, biostatistics, applied mathematics, software engineering, data science, software engineering, computer engineering, physics, economics, biomedical engineering, operational research, or related field, or equivalent relevant work experience at least 1 year of statistical programming and applied programming work experience at least 1 year data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience preferred qualifications experience with relational databases and sql; nosql databases (hbase, cassandra, mongodb, couch db, riak) and unstructured data; spark; pig and avro experience with agile software development methodologies expectations willing to travel up to 20% of the time as needed must be currently residing in or willing to relocate to the kansas city metro area or live within a virtually approved city willing to work additional or irregular hours as needed and allowed by local regulations work in accordance with corporate and organizational security policies and procedures, understand personal role in safeguarding corporate and client assets, and take appropriate action to prevent and report any compromises of security within scope of position perform other responsibilities as assigned additional information applicants for u.s. based positions with cerner corporation must be legally authorized to work in the united states. verification of employment eligibility will be required at the time of hire. visa sponsorship is not available for this position.  some cerner positions may be obligated to comply with client-facing requirements and occupational health requests, including but not limited to, an immunization set, an annual flu shot, an annual tb screen, an updated background check, and/or an updated drug screen. relocation assistance available for this job: no virtual eligible job no cerner is a place where people are encouraged to innovate with confidence and focus on what is important – people’s health and the care they receive. we are transforming health care by developing tools and technologies that make it more efficient for care providers and patients to navigate the complexity of our health. from single offices to entire countries, cerner solutions are licensed at more than 25,000 facilities in over 35 countries.  cerner’s policy is to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. cerner is proud to be a drug-free workplace.",data scientist
"duties summary this position is being announced as direct hire authority for certain personnel of the department of defense (dod) section 1109 of the national defense authorization act (ndaa) to recruit and appoint qualified candidates to positions in the competitive service.  about the position: serves as an operations research analyst (data scientist) in the dam and levee safety data management branch, us army corps of engineers, kansas city district.  responsibilities responsible for the application of operations research, data analysis and visualization techniques for data science methodologies for the army corps of engineers data management of dam, levee, flood modeling, risk and consequence analysis. conducts relevant research and analytical studies of dam, levee, flood risk problems to support critical business processes and/or decisions. identifies, develops, and integrates pertinent information, including internal and external sources, through various data collection procedures and technologies, including emerging data science and big data methodologies. participates in the planning and implementation of methods, models, and tools and partners with other analysts to identify opportunities for significant process enhancements and recommend changes. prepares reports and creates/delivers presentations to the organization, senior leaders, and other external groups. create technical analysis using advanced excel, python, api interactions, sql, machine learning, r and more. create visualizations of the producing using spatial and non-spatial tools like leaflet, qlik, tableau, powerbi, javascript (d3.js, leaflet.js, etc) and html5/css. provides governance and best practices of data structures, data integrity, privacy, security, and querying. travel required occasional travel - this position has a temporary duty (tdy) or business travel requirement of 10% of the time. supervisory status no promotion potential none job family (series) 1515 operations research 1530 statistics requirements requirements conditions of employment appointment may be subject to a suitability or fitness determination, as determined by a completed background investigation. appointment to this position is subject to a two year probationary period unless the appointee has previously met the requirements as described in 5 cfr part 315. this position has a temporary duty (tdy) or business travel requirement of 10% of the time. qualifications who may apply: us citizens  in order to qualify, you must meet the education and/or experience requirements described below. experience refers to paid and unpaid experience, including volunteer work done through national service programs (e.g., peace corps, americorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). you will receive credit for all qualifying experience, including volunteer experience. your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. additional information about transcripts is in this document.  basic requirement for operations research (1515): degree: in operations research; or at least 24 semester hours in a combination of operations research, mathematics, probability, statistics, mathematical logic, science, or subject-matter courses requiring substantial competence in college-level mathematics or statistics. at least 3 of the 24 semester hours must have been in calculus.  basic requirement for statistics (1530): a. degree: that included 15 semester hours in statistics (or in mathematics and statistics, provided at least 6 semester hours were in statistics), and 9 additional semester hours in one or more of the following: physical or biological sciences, medicine, education, or engineering; or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health sociology, political science, public administration, psychology, etc. credit toward meeting statistical course requirements should be given for courses in which 50 percent of the course content appears to be statistical methods, e.g., courses that included studies in research methods in psychology or economics such as tests and measurements or business cycles, or courses in methods of processing mass statistical data such as tabulating methods or electronic data processing.  -or-  b. combination of education and experience - courses as shown in a above, plus appropriate experience or additional education. the experience should have included a full range of professional statistical work such as (a) sampling, (b) collecting, computing, and analyzing statistical data, and (c) applying statistical techniques such as measurement of central tendency, dispersion, skewness, sampling error, simple and multiple correlation, analysis of variance, and tests of significance.  *applicants must meet the one of the basic requirements listed above; in addition to the specialized experience described below.  specialized experience: one year of specialized experience which includes: applying analytical concepts and techniques to design, evaluative studies and/or projects to provide strategic advice to senior leadership; the ability to work directly to correct deficiencies or improve the performance of systems, processes, or operations; applying expert knowledge of particular classes of problems and the ability to develop associated problem solving methods. this definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (gs-11).  some federal jobs allow you to substitute your education for the required experience in order to qualify. for this job, you must meet the qualification requirement using experience alone-no substitution of education for experience is permitted at the gs-12 level. education foreign education: if you are using education completed in foreign colleges or universities to meet the qualification requirements, you must show the education credentials have been evaluated by a private organization that specializes in interpretation of foreign education programs and such education has been deemed equivalent to that gained in an accredited u.s. education program; or full credit has been given for the courses at a u.s. accredited college or university. for further information, visit: http://www.ed.gov/about/offices/list/ous/international/usnei/us/edlite-visitus-forrecog.html additional information male applicants born after december 31, 1959, must complete a pre-employment certification statement for selective service registration. you will be required to provide proof of u.s. citizenship. two year trial/probationary period may be required. direct deposit of pay is required. selection is subject to restrictions resulting from department of defense referral system for displaced employees. if you have retired from federal service and you are interested in employment as a reemployed annuitant, see the information in the reemployed annuitant information sheet. this is a career program (cp) 18 - engineers & scientists position. multiple positions may be filled from this announcement. salary includes applicable locality pay or local market supplement. when you perform a civilian permanent change of station (pcs) with the government, the internal revenue service (irs) considers the majority of your entitlements to be taxable. visit https://www.dfas.mil/civilianemployees/civrelo/civilian-moving-expenses-tax-deduction/ for more information. if you are unable to apply online or need to fax a document you do not have in electronic form, view the following link for information regarding an alternate application. permanent change of station (pcs) allowances may be authorized, subject to the provisions of the joint travel regulations and an agency determination that a pcs move is in the government interest.  how you will be evaluated you will be evaluated for this job based on how well you meet the qualifications above. once the announcement has closed, a review of your application package (resume, supporting documents, and responses to the questionnaire) will be used to determine whether you meet the qualification requirements listed on this announcement.  if, after reviewing your résumé and/or supporting documentation, a determination is made that you have inflated your qualifications and/or experience, you may lose consideration for this position. please follow all instructions carefully when applying, errors or omissions may affect your eligibility.  you should list any relevant performance appraisals and incentive awards in your resume as that information may be taken into consideration during the selection process. if selected, you may be required to provide supporting documentation.  selection is subject to restrictions resulting from department of defense referral system for displaced employees.  if you have retired from federal service and you are interested in employment as a reemployed annuitant, see the information in the reemployed annuitant information sheet.  veterans and military spouses will be considered along with all other candidates. background checks and security clearance security clearance not required drug test required no position sensitivity and risk non-sensitive (ns)/low risk trust determination process suitability/fitness required documents required documents the documents you are required to submit vary based on whether or not you are eligible for preference in federal employment. a complete description of preference categories and the associated required documents is in the applicant checklist (external).  as described above, your complete application includes your resume, your responses to the online questionnaire, and documents which prove your eligibility to apply. if you fail to provide these documents, you will be marked as having an incomplete application package and you will not be considered any further.  1. your resume: your resume may be submitted in any format and must support the specialized experience described in this announcement. if your resume includes a photograph or other inappropriate material or content, it will not be used to make eligibility and qualification determinations and you may not be considered for this vacancy. for qualifications determinations your resume must contain hours worked per week and the dates of employment (i.e., hrs per week and month/year to month/year or month/year to present). if your resume does not contain this information, your application may be marked as incomplete and you may not receive consideration for this position. for additional information see: what to include in your resume. 2. other supporting documents: cover letter, optional most recent performance appraisal, if applicable this position has an individual occupational requirement and/or allows for substitution of education for experience. if you meet this requirement based on education you must submit a copy of your transcript with your application package or you will be rated ineligible. see: transcripts and licenses  note: documents submitted as part of the application package, to include supplemental documents, may be shared beyond the human resources office. some supplemental documents such as military orders and marriage certificates may contain personal information for someone other than you. you may sanitize these documents to remove another person's personal information before you submit your application. you may be asked to provide an un-sanitized version of the documents if you are selected to confirm your eligibility. if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. benefits benefits a career with the u.s. government provides employees with a comprehensive benefits package. as a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. opens in a new windowlearn more about federal benefits. review our benefits eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. contact the hiring agency for more information on the specific benefits offered.  help this job is open to the public u.s. citizens, nationals or those who owe allegiance to the u.s.",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 6+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",data scientist
"cerner is hiring an associate senior data analyst! as an associate senior data analyst you will analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients. you will consult on data and modelling impacts, guiding clients through inter-dependencies and analysis decision impacts as well as transform data as appropriate for specific team functions or processes.  you will assist consultants with data analysis to identify and quantify realized value and opportunities for clients. you will be responsible for obtaining and analyzing relevant data and synthesizing both quantitative and qualitative results. various programming languages, statistical software, visualization tools, and client environments will be used. this requires the ability to learn independently and apply new skills quickly. apply today to learn more! back to description cerner jobs and careers  client services working directly with our clients is one of the most impactful careers you will find. whether your background is in health care, business or technology you can help transform the quality of care for all of us. qualifications basic qualifications bachelor's degree in information systems, management information systems, mathematics, statistics, actuarial science, analytics or related field, or equivalent, relevant work experience at least 2 years of work experience in data analysis, including data management, transformation and visualization expectations must be willing to travel up to 20% as needed willing to work additional or irregular hours as needed and allowed by local regulations work in accordance with corporate and organizational security policies and procedures, understand personal role in safeguarding corporate and client assets, and take appropriate action to prevent and report any compromises of security within scope of position perform other responsibilities as assigned additional information applicants for u.s. based positions with cerner corporation must be legally authorized to work in the united states. verification of employment eligibility will be required at the time of hire. visa sponsorship is not available for this position.  some cerner positions may be obligated to comply with client-facing requirements and occupational health requests, including but not limited to, an immunization set, an annual flu shot, an annual tb screen, an updated background check, and/or an updated drug screen. relocation assistance available for this job: no virtual eligible job no cerner is a place where people are encouraged to innovate with confidence and focus on what is important – people’s health and the care they receive. we are transforming health care by developing tools and technologies that make it more efficient for care providers and patients to navigate the complexity of our health. from single offices to entire countries, cerner solutions are licensed at more than 25,000 facilities in over 35 countries.  cerner’s policy is to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. cerner is proud to be a drug-free workplace.",data scientist
"about working at commerce wouldn’t it be great to build your career at a bank that’s known for helping people with their financial challenges? that’s exactly what you’d be doing when you join the team at commerce bank. we’re looking for teammates who are ready to do whatever it takes to help our customers with their everyday financial needs. you’d be helping yourself too, because commerce has a tradition of recognizing and rewarding team members for their talent, skills and contributions.  no wonder we’ve been an industry leader for over 150 years and have developed a reputation as a great place to work in the financial services world. if you’d like to be a part of a team and culture that is respected by its peers and in your community, we should talk. we’re always looking for the best and brightest.  essential functions oversee department workflow and effectively communicate decisions, priorities and relevant information to team members provide guidance to employees on departmental projects/issues, coach and develop training plans, lead development conversations and answer day-to-day questions for team members act as an expert providing direction and guidance to process improvements, creation of best practices, and establishing policies provide mentoring, coaching and management to team members lead complex data and business analyses to develop business plans and identify recommendations and insights work independently to construct highly complex statistical and financial models to forecast business performance; coach others on model development and analysis establish the metrics required to measure business performance and develop the process for identifying and addressing performance gaps manage complex, time-sensitive projects and prepare intelligence reports with clear implications lead cross-functional teams across the entire span of business planning activities contribute to priority projects by adding creative insights and developing recommendations identify cutting-edge analytical tools, models, and methods for making key business decisions perform other duties as assigned knowledge, skills & abilities required strong knowledge of the data science field extensive knowledge and understanding of how to analyze business problems using statistical analysis and financial modelling with ability to identify emerging trends from market and industry data strong business/financial acumen and technical knowledge within area of responsibility. excellent analytical thinking, technical analysis, and data manipulation skills with ability to leverage new analytical techniques to develop creative approaches to business analysis strong project management skills, including leading large, cross-functional initiatives developed leadership skills, including team building, conflict resolution, and management ability to apply advanced statistical methodologies such as mixed model (random and fixed effects), simultaneous equations, time series based methods, and neural networks ability to comprehend and apply principles of advanced calculus, machine learning and advanced other statistical theory work effectively in cross-functional teams, having demonstrated strong partnerships with both internal and external business partners and alliances. demonstrated ability to collect and organize data, work effectively with complex relational databases, conduct analysis and report on and apply results to actionable insights/recommendations ability to develop and coach team members with proven ability to achieve results through collaboration and teamwork self-starter with excellent decision making skills and the ability to effectively communicate and interact with all levels of the company, clearly expressing ideas and concepts, both verbally and in writing motivated and organized self-starter with strong attention to detail and the ability to manage multiple priorities ability to remain adaptable and resilient to all situations with an optimistic outlook and cast a positive shadow that is aligned with our culture and core values advanced level proficiency with microsoft word, excel and outlook education & experience bachelor’s degree in data science or equivalent combination of education and experience required 4+ years of experience as data scientist required 2+ years of leadership experience preferred solid data modelling experience is required with proven application in applying decision trees, regression analysis, neural network and other data mining techniques, experience with time series and experimental design. advanced hands on experience required in statistical software (e.g. sas, r, python) and big data environments (e.g. cloud (e.g. aws, azure), and on-prem (e.g. hadoop), as well as traditional data warehouse environments (e.g. teradata). location: 811 main st, kansas city, missouri 64105 time type: full time",data scientist
"our medicaid market team is hiring for a senior date engineer. as a senior data engineer, you will build and automate scalable components within cerner’s machine learning ecosystem that manage the flow of data, features, and predictions—in real-time and batch—as well as components related to the operations of the overall prediction model lifecycle application of intelligence to financial data streams and data sets. participate in architecture discussions, design sessions and code reviews to review for functional correctness, architectural maintainability and performance collaborate with strategists and data scientists to influence requirements and design prototypes use big data tools to design batch and streaming feature pipelines and pipelines to populate a data lake create clear, well-constructed strategic technical designs for large or complex scope projects with assistance estimate work effort for current and future projects of large or complex scope develop and document the strategy to maintain and support the platform, pipelines and tooling share knowledge and skills across the team through mentorship, coaching, technical talks and blogs  back to description cerner jobs and careers  client services working directly with our clients is one of the most impactful careers you will find. whether your background is in health care, business or technology you can help transform the quality of care for all of us. qualifications  basic qualifications bachelor’s degree in computer science, computer engineering or information systems or software engineering or related field, or equivalent relevant work experience 5 years of software engineering work experience 1 year of data engineering and cloud technology work experience including data analysis, data ingestion, data modeling and/or machine learning preferred qualifications experience with java, python and scala experience working with big data and big data technologies expectations 0-20% travel willing to work additional or irregular hours as needed and allowed by local regulations work in accordance with corporate and organizational security policies and procedures, understand personal role in safeguarding corporate and client assets, and take appropriate action to prevent and report any compromises of security within scope of position perform other responsibilities as assigned additional information applicants for u.s. based positions with cerner corporation must be legally authorized to work in the united states. verification of employment eligibility will be required at the time of hire. visa sponsorship may be available for this position.  some cerner positions may be obligated to comply with client-facing requirements and occupational health requests, including but not limited to, an immunization set, an annual flu shot, an annual tb screen, an updated background check, and/or an updated drug screen. relocation assistance available for this job: no virtual eligible job yes cerner is a place where people are encouraged to innovate with confidence and focus on what is important – people’s health and the care they receive. we are transforming health care by developing tools and technologies that make it more efficient for care providers and patients to navigate the complexity of our health. from single offices to entire countries, cerner solutions are licensed at more than 25,000 facilities in over 35 countries.  cerner’s policy is to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. cerner is proud to be a drug-free workplace.",data scientist
"welcome to one of the toughest and most fulfilling ways to help people, including yourself. we offer the latest tools, most intensive training program in the industry and nearly limitless opportunities for advancement. join us and start doing your life's best work.(sm) as a senior data scientist with united healthcare networks, you will use advanced database tools to provide specialized data analysis. they organize, sort and filter data in order to distinguish patterns and recognize trends. they develop and maintain data preparation and validation routines to support data mining and have experience in creating complex data mining algorithms. they select, recommend and apply appropriate analytic and statistical methodologies and techniques to execute against an analysis plan or research objectives. positions in this function use advanced statistical and inferential analysis programs to provide specialized data analysis. organizes, sorts and filters data in order to distinguish patterns and recognize trends. develops and maintains data preparation and validation routines to support data mining and has experience in creating complex data mining algorithms. selects, recommends and applies appropriate analytic and statistical methodologies and techniques to execute against an analysis plan or research objectives. creates data warehouses/marts and/or develops data mining analyses to support business decisions. you’ll enjoy the flexibility to telecommute* from anywhere within the u.s. as you take on some tough challenges. primary responsibilities: architect / design data infrastructure and loading solutions design, develop, and manage data loading processes using established etl methodologies develop, enhance, and integrate data and business intelligence solutions develop technical specifications and design documents test data warehouses / data marts deploy and maintain data infrastructure and loading solutions build new / support existing ssis data processing / user interface applications generally work is self-directed and not prescribed works with less structured, more complex issues assesses and interprets customer needs and requirements manage operations to ensure data loading processes have completed accurately as scheduled / intended you’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in. required qualifications: bachelor’s degree in computer science, information systems, mathematics or related field 5+ years of experience in writing complex sql queries to manipulate, extract and load data using etl 5+ years of data analysis advanced level of programming knowledge and of relational databases, database structures and design, systems design, data management, data warehouse ability to understand a data loading process and build qa to ensure accurate data loading wiling to get into the weeds of the data in order to identify patterns willing to get into the weeds of the data in order to correct discrepancies in a pattern ability to do production level work (operational) medium to advanced proficiency with ssis data tools and development if you need to enter a work site for any reason, you will be required to screen for symptoms using the protectwell mobile app, interactive voice response (i.e., entering your symptoms via phone system) or similar unitedhealth group-approved symptom screener. when in a unitedhealth group building, employees are required to wear a mask in common areas. in addition, employees must comply with any state and local masking orders preferred qualifications: medium to advanced proficiency with ssrs development vb.net / c#.net programming experience identifies solutions to non-standard requests and problems solves moderately complex problems and/or conducts moderately complex analyses works with minimal guidance; seeks guidance on only the most complex tasks ability to translate concepts into practice detail oriented process oriented  careers with unitedhealthcare. let's talk about opportunity. start with a fortune 7 organization that's serving more than 85 million people already and building the industry's singular reputation for bold ideas and impeccable execution. now, add your energy, your passion for excellence, your near-obsession with driving change for the better. get the picture? unitedhealthcare is serving employers and individuals, states and communities, military families and veterans wherever they're found across the globe. we bring them the resources of an industry leader and a commitment to improve their lives that’s second to none. this is no small opportunity. it's where you can do your life's best work.(sm) the salary range for colorado residents is $79,700 to 142,600. pay is based on several factors including but not limited to education, work experience, certifications, etc. as of the date of this posting, in addition to your salary, uhg offers the following benefits for this position, subject to applicable eligibility requirements: health, dental, and vision plans; wellness program; flexible spending accounts; paid parking or public transportation costs; 401(k) retirement plan; employee stock purchase plan; life insurance, short-term disability insurance, and long-term disability insurance; business travel accident insurance; employee assistance program; pto; and employee-paid critical illness and accident insurance. *all telecommuters will be required to adhere to unitedhealth group’s telecommuter policy diversity creates a healthier atmosphere: unitedhealth group is an equal employment opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. unitedhealth group is a drug-free workplace. candidates are required to pass a drug test before beginning employment job keywords: senior data scientist, uhn strategy & analytics, telecommute, telecommuting, telecommuter, remote, work from home, overland park, ks, kansas",data scientist
