JobDesc,JobTitle
"company:  kharon is a leading source for analysis on the intersection of international security and the global economy. the world's largest financial institutions and multinationals rely on kharon's technology platform to identify threats and opportunities in markets impacted by today's most pressing security issues, including wmd proliferation, terror finance, corruption, environmental degradation, forced labor, and political interference. we are hiring data scientists to expand and enhance our research and analysis platform, which leverages open-source intelligence, data mining, network analysis, and machine learning to generate unparalleled insights on networks engaged in illicit financial activity, enabling customers to make informed decisions on complex security, policy, and regulatory issues. this position is located in los angeles, ca. about you:  the successful candidate will excel in designing, evaluating, and executing on solutions to open-ended problems through superior analytical skills, resourcefulness, and tenacity. they will be innately curious and have demonstrated an entrepreneurial spirit through academic, professional, or extracurricular experiences. they will have demonstrated their ability to quickly learn new skills and familiarize themselves with new subjects.   role & responsibilities: coordinate with product and engineering teams to design, develop, and deploy tools for identifying and monitoring networks exposed to illicit financial activity. work closely with researchers, product, and business development to identify, analyze, and operationalize novel datasets. build models to derive insights from disparate data sources, accelerate analyst workflows, and enrich kharon’s proprietary knowledge graph. communicate potential value of insights derived from new and existing data sources through visual, data-driven storytelling. research and learn new frameworks, languages, and technologies as needed.  key qualifications : bachelor’s degree in computer science, statistics, engineering, physics, or other analytical discipline, plus one year of relevant professional experience strong proficiency in python experience with designing, evaluating, and optimizing machine learning models familiarity with nlp familiarity with web crawling and scraping familiarity with data wrangling, cleaning, and transformations experience interacting with sql and nosql databases   bonus :  m.s. or phd in computer science, statistics, engineering, physics, or related quantitative field experience with java, c++, r, or scala experience with nlp demonstrated understanding of key international security and business issues through professional or academic experience proficiency in a foreign language — especially russian, chinese (mandarin), korean, turkish, farsi/persian, arabic, spanish, french, ukrainian, or japanese  kharon values candidates with unique perspectives and experiences. if you think you're a good fit, please apply - we're excited to hear from you!",data scientist
"come join us and find out why cedars-sinai has been ranked as one of the top 100 best places to work in it as ranked by 2018 computerworld magazine and awarded ""most wired, level 10"" in 2019 by chime healthcare's most wired!  the enterprise information services (eis) team at cedars-sinai understands that true clinical transformation and the optimization of a clinical information systems implementation is fueled through the alignment of the right people, processes and technologies. what will you be doing in this role? the data scientist delivers analytical solutions using programming, data-mining, statistics, machine-learning and visualization techniques. responsibilities include understanding complex analytic issues through discussion with clinical and operational staff, constructing analytic datasets using sql, building and deploying machine learning models, communicating findings through presentations and dashboards. the data scientist writes clean, performant, reusable code to perform to train and deploy models in cloud and on-prem environments.  educational requirements: bachelor's degree in computer science, machine learning, applied mathematics, econometrics, statistics, engineering, physics, or related discipline. master's degree in computer science, machine learning, applied mathematics, econometrics, statistics, engineering, physics, or related discipline is preferred. experience requirements: minimum 2-4 years of professional experience in healthcare or pharmaceutical industries working with electronic medical record data. experience programming at an intermediate to advanced skill level with a high-level programming language such as r or python. experience programming at a basic to intermediate proficiency level in sql. demonstrated ability to express complex analytical and technical information to senior management or to audiences with clinical training. demonstrated problem solving, analytical reasoning and decision-making skills. strong understanding and experience in researching and resolving data issues with a logical, instinctive, and problem-solving mentality working with large, complex and incomplete sources. exhibit strong project management skills and experience working independently on multiple projects with competing priorities and a strong commitment to meeting goals and deadlines. experience in healthcare machine learning is preferred.  working title: data scientist department: eis data analytics team business entity: corporate services city: los angeles job category: information technology job specialty: business intelligence/reporting position type: full-time shift length: 8 hour shift shift type: day  educational requirements: bachelor's degree in computer science, machine learning, applied mathematics, econometrics, statistics, engineering, physics, or related discipline. master's degree in computer science, machine learning, applied mathematics, econometrics, statistics, engineering, physics, or related discipline is preferred. experience requirements: minimum 2-4 years of professional experience in healthcare or pharmaceutical industries working with electronic medical record data. experience programming at an intermediate to advanced skill level with a high-level programming language such as r or python. experience programming at a basic to intermediate proficiency level in sql. demonstrated ability to express complex analytical and technical information to senior management or to audiences with clinical training. demonstrated problem solving, analytical reasoning and decision-making skills. strong understanding and experience in researching and resolving data issues with a logical, instinctive, and problem-solving mentality working with large, complex and incomplete sources. exhibit strong project management skills and experience working independently on multiple projects with competing priorities and a strong commitment to meeting goals and deadlines. experience in healthcare machine learning is preferred.",data scientist
"in the face of the increasing danger posed by covid-19 to people held in jails and prisons, the ucla prison law and policy program launched the ucla covid-19 behind bars data project. the project tracks covid-19 conditions in jails and prisons and the efforts, both in and out of court, to decrease jail and prison populations and improve conditions to ensure the safety of residents and staff. ucla school of law seeks data scientist research fellow to track viral spread, screening procedures, testing, and analyze covid-19 infections and deaths in carceral facilities (prisons, jails, immigration detention centers, and juvenile detention centers).  appropriate candidates will have significant experience with data science and the criminal justice system, alongside skills in python, r, or a similar language. in particular, they should have proficiency in: (1) scraping and compiling data from a range of web sources, (2) data management and cleaning, (3) statistical methods, (4) data visualization, (5) drafting and organizing public records requests to gather relevant documents from state agencies, and (6) carrying out optical character recognition on differently formatted government documents to centralize requested data into a machine readable format.  percentage of time: 100%  shift start: 8:00 am  shift end: 5:00 pm  qualifications for position  9 records  qualifications  required/preferred  bachelor's degree in a related field or equivalent combination of education and experience.  required  familiarity with the criminal justice system.  required  experience with python, r, or a similar statistical computer languages to manipulate data and draw insights from large data sets.  required  experience managing large and diverse research teams with varying levels of data science literacy.  preferred  desire to work in a collaborative and diverse environment.  required  outstanding initiative, judgment, attention to detail, ability to work independently and problem solve creatively.  required  exceptional analytical, writing, and editing ability.  required  demonstrated ability to present research findings in written, verbal, or electronic formats to be understood by various audiences to arrive jointly at decisions, conclusions, or solutions.  required  ability to work after hours or evenings and weekends, as needed, to fulfill job responsibilities.  required  additional posting information  bargaining unit: 99-policy covered  application deadline: 05-13-2021  external posting date:",data scientist
"we are looking for forward-thinking data science enthusiasts who are interested in designing, developing, and optimizing impactful advanced analytics solutions & experiments. the data science internship will provide a strong foundational knowledge and exposure to cutting edge technologies and techniques. we have multiple openings and offer both full-time and part-time engagements. about systech: systech is a modern data and analytics consulting firm, helping clients embed data -driven capabilities into their business operations. we offer end-to-end data engineering services and outcomes-basedanalytics solutions, todrive your business forward in the digital age. systech has over 25 years of experience, delivering 1500+ projects to industry- leading brands across the world. some of the projects other interns have worked on: increased contribution and effectiveness of every marketing dollar through ai and ml – enabled modeling detected fraud and compliance irregularities implemented advanced ml and deep learning algorithms to prevent revenue leakage and illuminate new areas of opportunity for innovation maximized revenue by optimizing products, services and offers mix increased operational efficiency with optimized supply chain and demand forecasting reduced patient readmission percentage and prevented penalties for a skilled nursing facility optimized effort/cost invested in reaching out to customer by predicting their propensity to respond enabled effective operational decision-making through predictive modeling of eta for intermodal transport networks  at systech, you will have the opportunity to: implement enterprise-level machine learning solutions to solve business challenges using programming languages like python and cloud platforms like amazon web services synthesize and leverage complex datasets to drive data strategy/execution and develop proof of concepts design and develop dashboards to present predictions and insights conduct advanced research for identifying and implementing latest analytics solutions assist senior members to conduct comprehensive machine learning workshops/webinars work on case studies and white papers showcasing the power of advanced analytics wrangle data and perform slice and dice analysis using sql understand a real-life business problem and try to solve it using advanced analytical solutions  the ideal candidate possesses one or more of the following: (working towards) a degree in business analytics, statistics, data science, information systems, computer science, or related field required practical experience and expertise in applied statistics and machine learning methodologies (e.g. classification, regression, clustering, time series analysis, hypothesis testing, dimensionality reduction. hands on experience using statistical programming languages like python or r (python preferred) experience with data exploration and visualization tools (for ex. tableau, powerbi) strong sql skills experience with database management/distributed framework: aws, oracle, mysql, sql server, spark knowledge in rest apis, ci/cd and docker experience with cloud platforms (aws, azure, etc.) demonstrated ability to translate complex data sets into clear and actionable narratives, and the ability to communicate opportunities and challenges to multiple stakeholders ability to think strategically and deliver optimized solutions under stringent deadlines excellent communication, documentation, and presentation skills",data scientist
"snap inc. is a camera company. we believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. our products empower people to express themselves, live in the moment, learn about the world, and have fun together. snapchat is the camera used by millions of people every day to snap with family, watch stories from friends, see events from around the world, and explore expertly curated content from top publishers. in short, we are a passionate team working hard to build the best platform in the world for communication and storytelling. we are looking for a data scientist to join our product team at snap inc! working from our los angeles, san francisco, mountain view or seattle office, you will use data to help the team understand what is working, what to improve and what gaps we have. partnering with product, design and engineering, you will be a core member in driving our overall roadmap and long-term strategy what you’ll do: use your quantitative skill sets to present data in an organized way that goes beyond the numbers and articulates how snapchat users interact with our products set product goals, design and evaluate experiments, monitor the health of our products and understand changes to our kpis partner with product, design and engineering to influence and inform our roadmap, strategy and product launches exploratory analysis that influence longer-term thinking including understanding how our products impact the broader ecosystem and user behavior trends knowledge, skills, abilities: excellent verbal and written communication skills, with high attention to detail strong statistical knowledge ability to initiate and drive projects to completion with minimal guidance a team player who can collaborate with engineers, product managers, designers and other cross-functional teams minimum qualifications: bachelor’s degree in math, statistics, computer science, or other quantitative field or equivalent years of experience 3+ years of experience in quantitative analysis & data science or a related field fluency in sql or other big data querying language preferred qualifications: master or ph.d degree in math, statistics, computer science, or other quantitative field experience with causal inference techniques, experimental design and/or a/b testing experience with analytical packages such as scipy or r experience with a programming language, such as python experience in a product-focused role at a social media and/or mobile technology company at snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. if you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com . our benefits : snap inc. is its own community, so we’ve got your back! we do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. our benefits are built around your needs and include paid maternity & paternity leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in snap’s long-term success!",data scientist
"exponent is a leading engineering and scientific consulting firm that brings together more than 90 different disciplines to solve the most pressing and complicated challenges facing stakeholders today. our vision is to engage the brightest scientists and engineers to empower clients with solutions for a safe, healthy, sustainable and technologically complex world. we leverage over 50 years of experience in analyzing accidents and failures to advise clients as they innovate their technologically complex products and processes, ensure the safety and health of their users, and address the challenges of sustainability. we offer opportunities for you to expand your engineering or scientific knowledge amidst experts from top programs at over 500 universities. at exponent, you will apply your experience, technical skills, and prior academic research to a fulfilling career in consulting. you will have the opportunity to develop continuously through formal and informal development programs, coaching and mentoring, and involvement in a wide array of projects. we are excited about your interest in joining our growing team! key statistics: 1100+ team members 900+ consultants 550+ ph.d.s 30+ offices globally we are currently seeking a data scientist for our data sciences practice in los angeles, ca. in this role, your primary work will revolve around helping exponent’s team rapidly implement and iterate algorithms, analyses, and visualizations to support clients in the consumer electronics, utilities, and life sciences.. you will be responsible for: supporting a range of consulting activities related to large-scale network problems involving civil infrastructure, including model development, data analysis, and visualization developing cloud-based storage and computation solutions including client-facing visualizations of key decision metrics actively solving technical and logistical problems in a fast-paced environment working with interdisciplinary teams comprised of consultants from data sciences, buildings & structures, mechanical engineering, human factors, etc. you will have the following skills and qualifications: ph.d. in statistics, computer science, computer engineering, or a related engineering/scientific field (such as applied mathematics, civil engineering, mechanical engineering, electrical engineering, industrial engineering, or applied physics) demonstrated experience and expertise in one or more of the following areas: machine learning geospatial analysis operations optimization data engineering data analysis and visualization the desire to work with a diverse set of clients and engage in work outside of the traditional data science field proficiency with 2 or more of the following: python, r, c++, sql, and linux (rh 7+) experience with 1 or more of the following: aws, azure, google cloud, and web services experience building dashboards with at least 1 of the following is preferred: tableau or power bi experience developing software for a range of platforms (pcs, mobile, embedded devices, etc.) is preferred strong practical engineering ability combined with leadership and project management skills prior experience with civil infrastructure (such as electric, gas, or water utilities) is preferred excellent verbal and written communication skills ability to work independently and in multidisciplinary teams to learn more about life at exponent and our impact, please visit the following links: https://info.exponent.com/our-impact www.exponent.com/careers/grad-students we value and encourage diversity and inclusivity across all facets of our firm. having a team built of people with different backgrounds, skills and perspectives allows us to provide better value to our clients and enjoy an enriched work environment. our firm is committed to offering a variety of programs and resources to support health and well-being. we believe that providing competitive benefits as well as compensation and recognition programs empowers our staff to do work that makes a difference. exponent is a proud equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, veteran status, disability, sexual orientation, gender identity, or any other protected status. if you need assistance or accommodation due to a disability, you may call us at +1 (650) 688-6968 or email hr@exponent.com.",data scientist
"the data scientist will support our efforts to build better advertising technology solutions and make more informed decisions using data. this position is within the data science team and works closely with members of the technology, product, and operations teams. the team the nexstar data science team builds machine learning applications and other data-enabled solutions for nexstar media, inc. the datasets include online and offline data across multiple screens, thousands of campaigns running on television, mobile, desktop, and ott. principle duties & responsibilities: analyze large datasets to identify key factors of ad campaign performance build and improve machine learning models to predict audience behavior implement and automate feature engineering algorithms and methods integrate data assets from multiple internal and external systems classify text and video content using nlp and other methods specialized knowledge/skills/abilities: detail-oriented with an affinity for data and analysis excellent interpersonal, written, and verbal communications skills technical capacity (sql, python, machine learning, statistical analysis) enjoys collaborating and is action-oriented education & experience: preferred - bs in quantitative field (statistics, cs, engineering, physics, etc.) but will consider work, internship, or similar experience that includes daily usage of python and sql required - experience analyzing and preparing data with sql and python required - experience training and evaluating machine learning models with scikit-learn required - knowledge of machine learning principles and algorithms nice-to-haves: experience working in the online marketing industry and a/b testing practical experience with nlp solutions like word2vec, lda, bert experience with aws redshift and s3 basic understanding of version control with git building and monitoring statistical models in a production environment understanding of yield optimization algorithms",data scientist
"summary the data science team at disney streaming services combines deep data analysis and research of our rich user data to present a compelling vision around user retention and preferences across the vast ecosystem of our product offerings and content. we are the insights and modeling partners for the content, marketing, product, and engineering teams at disney+, hulu and espn+. as data scientists, we use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. if you are someone who loves to work cross-functionally, build models, perform statistical analysis, and create visualizations to provide scalable and iterative capabilities, then this is a fantastic role for you! what you'll do modeling: apply state of the art machine learning and statistical analysis to develop models related to opportunity sizing, targeting, and optimization. deep analysis: analyze user behavioral data to identify patterns, uncover opportunities, and create common understanding of how people are interacting with the service and content. visualization of insights: development of prototype solutions, mathematical models, algorithms, and robust analytics leading to impactful insights communicated clearly and visually. partnership: partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform capabilities around data modeling, data visualization, experimentation and data architecture. what to bring bachelor's degree in a quantitative field (e.g. computer science, engineering, mathematics, physics, operations research, econometrics, statistics) 5+ years related experience with developing machine learning models and conducting statistical analysis deep understanding of machine learning concepts and statistical methods ability to draw insights and conclusions from data to inform model development and business decisions desire to collaborate with other data scientists, data analysts, and key business partners proficient in analyzing data and developing ml models using python (with ml frameworks like tensorflow, scikit-learn, etc.) capable of reading and writing object-oriented code to review and implement modeling pipelines (airflow, luigi, etc.) understanding of sql and distributed data technologies (hive, spark) nice to haves ms or phd in computer science, engineering, statistics, economics, physics or related quantitative field (e.g. econometrics, mathematics, operations research) working knowledge of bayesian modeling and familiarity with probabilistic programming packages/language such as stan, pymc experience fully integrating data science solutions into the business and operationalizing ml models",data scientist
"must live in the us  us citizen or us resident with excellent communication skills  must have automotive, fintech or financing cars industry experience  data scientist provide technical and thought leadership designing, testing and implementing methodologies to forecast and monitor metric time series. develop algorithms to detect anomalies, assess risks/threats, and core metric fluctuations. conduct ad-hoc analysis to understand unexpected metric movements and communicate results to other data scientists, product managers and company leadership. interface with engineers, product managers and product analysts to understand data needs and help build data products. drive the design, building, and launching of new data models and data pipelines in production.  job responsibilities:  build best-in-class predictive models and decision tools: identify issues and recommend testable improvements to different aspects of the business research into which algorithms work in related industries prioritize and balance the data science work and the speed to market for new improvements the 5 main algorithms data scientist will be developing are: #1. value (fair market value) #2. vehicles in demand (predict) #3. recommendation models (i.e. collaborative filtering…meaning if guy x does this and most likely guy y will do this). #4. predictive exchange- when is customer thinking about buying another car - for example it will be possible in 4 months she/he will have the option to change car #5. credit underwriters, how likely is customer not likely to pay  job requirements:  bachelor's degree in a stem or related quantitative field (economics, social sciences, finance). have proven experience in using statistical and/or predictive modeling to build algorithms that will move human behavior in a desired direction. technical expert in data science and programming. experience building algorithms, data analysis and visualization. experience working with large datasets in a cloud environment. have proven knowledge of advanced modeling techniques such as classification/regression, spatial analysis, time series analysis. have used location-based data to solve the optimization of complex customized networks in the mobility space. have outstanding written and verbal communication skills. the data scientist must have automotive, credit or financial industry experience.  big plus have 1 year experience working remotely  #landkickassjob #remotejobs #partyforgood @recruitingforgood  90-110/hr",data scientist
"warnermedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: hbo, hbo max, warner bros., tnt, tbs, trutv, cnn, dc entertainment, new line, cartoon network, adult swim, turner classic movies and others.  the job  as a data scientist, you will be responsible for leveraging data analytics, visualization, and data science to help drive growth and improve retention for our new streaming service hbo max, with a specific focus on predictive analytics and forecasting.  you will build data science models, perform advanced analytics and data mining to help the business understand hbo max consumer behavior, retention dynamics, predict customer lifetime value, execute audience segmentation and facilitate forecasting initiatives.  the daily apply supervised and unsupervised machine learning techniques and statistical inferences, such as linear and logistic regression, decision trees, ensemble models, survival analysis, and k-means clustering. develop customer lifetime value predictive model, forecasting, and propensity models to facilitate customer lifecycle marketing and management. build modeling pipelines iteratively and implement models in production to provide insights at scale. synthesize analytics and statistical approaches into easy-to-consume storylines, both visually and verbally in presentations and dashboards, and provide indicated actions for business audiences. capture business requirements for data and analytics solutions and collaborate with the marketing, content, and strategy teams to ensure analytics requirements align with business needs. support day-to-day collaboration with business stakeholders to communicate insights and recommend data-informed strategies. the essentials ba/bs in statistics, mathematics, economics, industrial engineering or other quantitative discipline. advanced degree is a plus good understanding of predictive modeling and marketing science 1-3 years of experience building data science models (time series, regression, decision trees, k-means, survival analysis etc.) experience with large data sets and analytical tools. proficiency in scripting languages (advanced sql, python, r, etc.) knowledge of a dashboarding language (tableau, looker, etc.) or equivalent report building experience not required but a plus. knowledge and experience in machine learning engineering tools (aws sagemaker, apache airflow) preferred passionate about using data to drive strategy and product recommendations experience in subscription-based businesses or ecommerce preferred  the perks   exclusive warnermedia events and advance screenings paid time off every year to volunteer for eligible employees access to well-being tools, resources, and freebies access to in-house learning and development resources part of the warnermedia family of powerhouse brands  warner media, llc and its subsidiaries are equal opportunity employers. qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",data scientist
