JobDesc,JobTitle
"this position will lead efforts to maintain a database of health-related data and to conduct data analysis and reporting for modeling the health system and supporting efforts to improve outcomes. this position will manage data, conduct data queries and extractions, and perform statistical analysis for various projects and service requests at chir.  this position is expected to last one year.  must be an approved applicant of the optional practical training (opt) program job family business operations department name chs chir full-time/part-time full-time vp code vp/exec vice prov dpc scope of search open grant funded position this is not a grant funded position and is not contingent on future grant funding. salary range $56,600 - $60,000 per year; doe close date 11-may-2021 category 02 essential duties oversees secure collection, cleaning, standardization, transformation and storing of data from various sources. maintains databases and related programs in a thorough and efficient manner, ensuring data quality. identifies and uses appropriate investigative and analytical technologies to identify patterns, interpret and verify results. uses predictive modeling, statistics, trend analysis and other data analysis techniques to explore data and to answer specific research questions. co-creates models that describe the current health system and sub-systems. evaluates the impact of innovations and interventions intended to improve health outcomes. utilizes effective project planning techniques to break down projects into tasks and ensure deadlines are met. prepares, or oversees the preparation of, reports, dashboards and presentations. collaborates with the team in order to improve the effectiveness of computational models through the use of data and feedback from stakeholders. other duties as assigned minimum qualifications bachelor’s degree in statistics, computer information systems, business information, economics or a related field and three (3) years of related data analysis experience, or, any equivalent combination of experience and/or education from which comparable knowledge, skills and abilities have been achieved. desired qualifications evidence of being an approved applicant of the optional practical training (opt) program experience working with health data. experience in using ms sql, data visualizations, database software and statistical programs. demonstrated knowledge of statistical analysis, database architecture, data mining and predictive modeling tools and techniques. experience in using and learning a wide variety of tools and languages to achieve results (e.g., r, sas, spss, python, hadoop, rapidminer, sql, javascript, etc.). experience in completing projects with evidence of creative and critical thinking. experience in communicating findings in a clear, accurate and user-friendly manner. experience in working independently and within a team. working environment use basic math ability to clearly communicate to preform essential functions regular activities require ability to quickly change priorities, may include/subject to resolution of conflicts use of software/computer equipment for extended periods of time use critical thinking to make decisions and/or analyze and report data/results of tests conducted adherence to all regulations pertaining to personally identifiable information and protected health information department statement for over two decades, the center for health information & research (chir) has been a community resource and partner for organizations and individuals seeking comprehensive health information, data analytics and reporting for public, private and research uses. chir collects and analyzes health and social determinants data from a variety of data partners, including the homeless management information system) in our secure central repository. all data are linkable, creating one of the most complete and accurate longitudinal profiles of individuals and populations over time and across providers and insurers in arizona. visit https://chir.asu.edu  the college of health solutions (chs) is dedicated to translating scientific advances into practical interventions to improve health outcomes through education, research and service. we equip students with the knowledge and skills to influence healthier lifestyle choices; develop creative interventions to improve the health of people and populations; analyze and translate large amounts of health data into solutions; and maximize the technology, science, business and application of diagnostics. chs research programs encompass basic/discovery science, clinical trials, intervention science and measurement of health outcomes. chs takes an interdisciplinary approach to address the complex systems that underpin health problems. the college is highly collaborative, transparent and team-oriented with an innovative organizational structure that includes translational teams, affinity networks, and academic programs to improve the health of people and communities.  the current training programs include behavioral health, biomedical diagnostics, biomedical informatics, executive and continuing education, exercise science, health promotion, health sciences, kinesiology, medical studies, nutrition, population health, the science of health care delivery, and speech and hearing science. our programs are offered at asu’s downtown phoenix, polytechnic, tempe, west and lake havasu campuses, as well as on mayo clinic’s scottsdale campus.  for more information about asu and the college of health solutions, visit http://about.asu.edu/ and https://chs.asu.edu asu statement arizona state university is a new model for american higher education, an unprecedented combination of academic excellence, entrepreneurial energy and broad access. this new american university is a single, unified institution comprising four differentiated campuses positively impacting the economic, social, cultural and environmental health of the communities it serves. its research is inspired by real world application blurring the boundaries that traditionally separate academic disciplines. asu serves more than 80,000 students in metropolitan phoenix, arizona, the nation's fifth largest city. asu champions intellectual and cultural diversity, and welcomes students from all fifty states and more than one hundred nations across the globe.  asu is a tobacco-free university. for details visit www.asu.edu/tobaccofree  americorps, peace corps, and other national service alumni are encouraged to apply.  arizona state university is a vevraa federal contractor and an equal opportunity/affirmative action employer. all qualified applicants will be considered without regard to race, color, sex, religion, national origin, disability, protected veteran status, or any other basis protected by law.  notice of availability of the asu annual security and fire safety report in compliance with federal law, asu prepares an annual report on campus security and fire safety programs and resources. asu’s annual security and fire safety report is available online at https://www.asu.edu/police/pdfs/asu-clery-report.pdf. you may request a hard copy of the report by contacting the asu police department at 480-965-3456.  relocation assistance – for information about schools, housing child resources, neighborhoods, hospitals, community events, and taxes, visit https://cfo.asu.edu/relocation-services. employment verification statement asu conducts pre-employment screening which may include verification of work history, academic credentials, licenses, and certifications. fingerprint check statement this position is considered safety/security sensitive and will include a fingerprint check. employment is contingent upon successful passing of the fingerprint check. instructions to apply application deadline is 3:00pm arizona time on the date indicated.  please include all employment information in month/year format (e.g., 6/88 to 8/94), job title, job duties and name of employer for each position.  resume should clearly illustrate how prior knowledge and experience meets the minimum and desired qualifications of this position.  asu does not pay for travel expenses associated with interviews, unless otherwise indicated.  only electronic applications are accepted for this position.  important note: what is the meaning of “equivalent combination” in the minimum qualifications? it means one year of higher education or 24 credit hours, is equal to one year of experience. for example, a four year bachelor’s degree is equal to four years of experience.  data scientist | arizona state university",data scientist
"we are looking for a data science intern to help grow on’s business intelligence & analytics team capabilities from descriptive to predictive. this is an unprecedented, opportunity to work with the data science team within information technology (it) organization, and a growing, $5.8b+ enterprise that recognizes the need to evolve. operating in vuca (volatile, uncertain, complex, and ambiguous) environments, you will build business partnerships, create predictive models, and influence enterprise decisions. • collaborate with business partners to identify & align on significant business challenges • rapidly prototype / operationalize predictive models to deliver impactful & actionable insights that address said challenges • educate senior business leaders on the accuracy, completeness, and value of predictive model insights • evangelize and drive consensus for predictive models and their associated roadmaps to business partners, information technology (it), and other stakeholders • develop, analyze, and optimize predictive analytics roadmap based on accuracy, effectiveness, scalability, future-proofing, cost, and efficiency  qualifications  currently pursuing a degree in data science, industrial engineering, artificial intelligence, applied/traditional statistics, mathematics, computer science, computer engineering, information systems or a related field. • experience prototyping / operationalizing predictive models to deliver impactful & actionable insights • programing experience in languages such as python, r • familiarity with sql queries and working with databases • must work effectively in vuca environments • must work with little or no direct supervision • must work with all levels of the organization • excellent communication and documentation skills • strong analytical and problem solving skills  equal employment opportunity on semiconductor is an equal opportunity employer. the company maintains policies and practices that are designed to prevent discrimination or harassment against any qualified applicant or employee to the extent prohibited by federal, state and local laws and regulations. by way of example, discrimination on the basis of race, ethnicity, color, religion, ancestry, national origin, citizenship, sex (including pregnancy, childbirth, or related medical conditions), age, marital status, sexual orientation physical or mental disability, medical condition, genetic information (including test results), status as a vietnam-era or special disabled veteran, uniform service member status, political affiliation, union membership, gender identity or gender expression, or any other characteristic protected by applicable law is prohibited. primary location: us-az-phoenix work locations: usaz01 on hdqtrs us8 5005 e mcdowell rd phoenix 85008-4229 job: intern travel: no job posting: may 6, 2021, 12:42:59 pm",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  pursuant to the los angeles fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  for employees based in colorado, this position starts at $114,700 per year. a sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",data scientist
"job description  candidate for this position will collect and organize data from the wwweb, builds and implement mathematical models in a recognized tool (matlab, simulink, python, etc.) and communicate (speaking and writing) with both mathematical and business team members. explore modeling a dynamic commercial ecosystem using network analytics. this will include: collecting and organizing historical and current data from a wide variety of sources building network models based on that data including business rules governing the behavior of the entities in the modelled ecosystem validating the model as well as possible using the data (explaining past events in the ecosystem such as mergers, acquisitions, etc. studying future-looking what-ifs using the model. the ideal candidate should exhibit the following behavioral traits: self-motivated individual willing to work independently without need for daily supervision strong verbal and written communication and interpersonal skills with customers and stakeholders strong quantitative, analytical, and problem solving skills, problem/conflict resolution skills effective prioritization and time management skills willing to work effectively in a complex, global and fast-paced work environment length of internship: minimum of 3 months to start in summer 2021 to be executed remotely.  qualifications  candidate must possess the below minimum qualifications to be initially considered for this position preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates experience listed below would be obtained through a combination of your school work classes, research and or relevant previous job and or internship experiences. this is an entry level position and it will be compensated accordingly. minimum qualifications: candidate must be pursuing ms or phd degree in electrical engineering, computer science, computer engineering, mathematics or related field. minimum of 6+ months of experience in: python, c, c++, , matlab mysql, postgresql preferred qualifications: minimum of 6+ months of experience in: javascript, html, css inside this business group  the data center group (dcg) is at the heart of intel’s transformation from a pc company to a company that runs the cloud and billions of smart, connected computing devices. the data center is the underpinning for every data-driven service, from artificial intelligence to 5g to high-performance computing, and dcg delivers the products and technologies—spanning software, processors, storage, i/o, and networking solutions—that fuel cloud, communications, enterprise, and government data centers around the world.  other locations  virtual us and canada  posting statement  all qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance. annual salary range for jobs which could be performed in us, colorado: $52,000.00-$147,000.00  benefits: we offer a total compensation package that ranks among the best in the industry. it consists of competitive pay, stock, bonuses, and benefit programs. find more information about our amazing benefits here",data scientist
"senior data scientist are you an experienced, passionate pioneer in technology - a solutions builder, a roll-up-your-sleeves technologist who wants a daily collaborative environment, think-tank feel and share new ideas with your colleagues - without the extensive demands of travel? if so, consider an opportunity with our us delivery center - we are breaking the mold of a typical delivery center. our us delivery centers have been growing since 2014 with significant, continued growth on the horizon. interested? read more about our opportunity below ... work you'll do/responsibilities work with data science techniques and libraries to show data's applicability to business problems. perform exploratory data analysis to define analytical models. develop advanced quantitative models using a variety of programs/software to support predictive assessments. provide expertise for analytical, programmatic, strategic, and operational analysis. explain analytics model behavior/results in the vernacular of business. perform technical risk analysis and reliability assessments. perform multiple forms of advanced analyses, sustainment, optimization, text analytics, machine learning, parametric and non-parametric statistical models and techniques. build, test, validate and demonstrate analytical models through various relevant error metrics and calibration techniques. provide recommendations for plans, programs, strategies, policies and budgets. design algorithms that require a number of different models/methods to be used in an ensemble. deploy models into production. the team analytics & cognitive in this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment. the analytics & cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. together with the strategy practice, our strategy & analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets. analytics & cognitive will work with our clients to: implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms. leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions. drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing as-a-service offerings for continuous insights and improvements. qualifications required bachelor's degree or equivalent work experience in statistics/technology/science/engineering/applied mathematics or a similar quantitate analytics field. 6+ years of experience in developing algorithms using data science technologies to build analytical models. 6+ years of data extraction/manipulation experience using scripts specific to python and/or r. 6+ years of experience with python and/or r programming. 5+ years of experience with presentation and data analysis software such as: sas, r, spss, matlab, qlikview, excel and access +python. 6+ years of modeling experience using a variety of regression and supervised and unsupervised learning techniques. 6+ years of experience in data wrangling/cleansing, statistical modeling, and programming. travel up to 20% (while 20% of travel is a requirement of the role, due to covid-19, non-essential travel has been suspended until further notice). must be willing to live and work in one of our center locations: lake mary, fl (orlando area) mechanicsburg, pa (harrisburg area) gilbert, az (phoenix area) must be legally authorized to work in the united states without the need for employer sponsorship, now or at any time in the future. preferred phd in a quantitative analytics field. experience with tableau or similar visualization tool. business analytics experience in one or more of the following industries: insurance, consumer products and packaged goods, and human resources. experience conducting modeling and simulation analysis, dod science and technology (s&t) analysis, program analysis and evaluation, c4/it and cyber analysis, manpower analysis, training and education analysis, dod logistics, maintenance, and supply analysis, naval amphibious shipping analysis, strategic plans analysis, strategic investment analysis, cost and economic modeling and analysis, operations research analysis, readiness analysis, force preservation analysis.",data scientist
"imprint is building a payments and loyalty platform from the ground up to serve modern brands and their customers. imprint is backed by thrive capital, affirm, box group, and leading angel investors, including the ceos of skims, allbirds, warbyparker, plaid, and nubank. we are focused on building a brilliant team who want to change payments and who embody imprint's values. the data scientist will be part of the data science team with the responsibility to build ai/machine learning models that help to drive meaningful improvement in customer engagement with our process/product capabilities and fraud/risk outcomes. this will create a significant competitive advantage for imprint in our understanding of behavior of customers of digital merchants and create a deep moat around our business. your day-to-day work closely with director science and engineering team to conceptualize the ai/machine learning models that can help enhance imprint product and customer/applicant processes lead the thinking in terms of creating experimental design to run test vs control that would help to optimize decisions across the customer life cycle in terms of how customers/applicants interact with imprint product/processes. two examples of decision areas would be: call to action we display on the start page of the application and how this changes the likelihood of the applicant starting the application, customer limit increase over time: what additional revenue and spend does this drive vs increase in default, etc. develop and deploy underwriting and customer management scorecards to predict likelihood of default based on bureau, bank cash flow, merchant and other information develop behavioral models to predict spend, revolver vs transactor behavior, balance etc. that are a key input into customer lifetime valuation models that determine approval/decline and limit assignment. develop application stage scorecard to predict likelihood of incoming application to be fraudulent by aggregating data from diverse sources 3rd party sources deep dive analysis into customer spend and reward redemption patterns and create customer propensity models that can help to drive increase in customer lifetime value for imprint and empower consumers to maximize the rewards they earn and use track customer's interactions with imprint app to understand features that drive value or create frustration for the customer and work with product/engineering to on how to optimize those features and their display to customers work under supervision of the director of data science to drive data science research into new data sources and modeling techniques to improve discrimination of our decision models leading to improvement in business outcomes and create a sustainable business advantage for imprint partner with program management and engineering teams to conceptualize and deploy infrastructure capabilities to house data that is required to build and execute ai/machine learning models create robust tracking processes to closely monitor performance of the ai/machine learning models to ensure that score cards are working as designed we are looking for folks with strong foundation in data science, machine learning, and analytics, including statistical data analysis and a/b testing 3-5 years of proven experience building data science driven solutions to solve business problems & drive customer experience in a consumer focused technology company ability to dive into the details of customer journey and product features in order to help define success criteria and the ways we can measure that via metrics and other approaches. this will involve close collaboration with product & engineering teams strong programming skills, including data-querying skills (sql and/or spark, etc.) and experience with a scripting language for data processing and development (e.g., python, r, or scala) solid exposure to machine learning and open source tools in terms of both model development & implementation strong communication skills and the ability to naturally explain difficult technical topics to everyone from data scientists to engineers to business partners and leaders interest in working at a fast growing startup and be part of the initial team cute or embarrassing picture of them as a child to put on our intranet perks & benefits competitive compensation and equity packages leading configured work computers of your choice up to $2,000 budget for your home-office improvements unlimited vacation policy fully covered, high-quality healthcare including fully covered dependent coverage additional health coverage includes access to one medical and option to enroll in an fsa 16 weeks of paid parental leave for the primary caregiver and 8 weeks for all new parents an understanding that successful remote work requires flexibility and an appreciation for asynchronous work access to industry leading technology across all of our business units — stemming from our philosophy that we should invest in resources for our team that foster innovation, optimization, and productivity location we are a remote-first company and are welcoming candidates in the usa or canada with a preference for phoenix, arizona",data scientist
"job description  ** this is a 2021 summer graduate internship job assignment ** the selected candidate will be responsible for, but not limited to: using predictive modeling statistics. machine learning data mining and other data analysis techniques to collect explore and extract insights from structured and unstructured data. developing software algorithms and applications to apply mathematics to data. performing large-scale experimentation and build data-driven apps to translate data into intelligence solve a variety of business problems and enable business strategy. assisting business with casual inferences amp observations with finding patterns relationships in data.  the ideal candidate should exhibit the following behavioral traits: communication skills. analytical skills. problem solving. action orientation. project management skills.  qualifications  you must possess the below minimum qualifications to be initially considered for this position. preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. experience would be obtained through a combination of prior education level classes, and current level school classes, projects, research, and relevant previous job and/or internship experience. position not eligible for intel immigration sponsorship.  minimum qualifications: candidate must possess at least one of the following: 1. currently pursuing a master's degree in industrial engineering mathematics, computer science or similar field. with at least 3+ months of experience in the below-mentioned areas of expertise. 2. currently pursuing a ph.d. in industrial engineering mathematics, computer science, or a similar field. with at least 6 months of experience in the below-mentioned areas of expertise. expertise areas: proficiency in jmp opl and simulation tools matlab sql etc. background in rapid application development and integration. software development debugging performance characterization optimization skills.  preferred qualifications: expertise in relational database structures research methods machines learning cloud-based technologies big data technologies like hadoop, hbase, lucenesolr analytics packages, r, mahout, octave, weka. scripting languages like python, perl, and r. programing languages like java, cc, and sql. data scientist toolkit including time series models machine learning simulation optimization and the skills to develop models with structured-unstructured big data. inside this business group  as the world's largest chip manufacturer, intel strives to make every facet of semiconductor manufacturing state-of-the-art - from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class supply chain and facilities support. employees in the technology and manufacturing group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of moore’s law to bring smart, connected devices to every person on earth  posting statement  all qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance. annual salary range for jobs which could be performed in us, colorado: $52,000.00-$147,000.00  benefits: we offer a total compensation package that ranks among the best in the industry. it consists of competitive pay, stock, bonuses, and benefit programs. find more information about our amazing benefits here",data scientist
"join a bank like no other. when you work with the world's most innovative companies, you know you're making a difference. our clients are the game changers, leaders and investors who fuel the global innovation economy. they're the businesses behind the next medical breakthroughs. and the visionaries whose new technologies could transform the way people live and work. they come to svb for our expertise, deep network and 30+ years of experience in the industries we serve, and to partner with passionate, enterprising svbers, dedicated to helping them grow and succeed at every stage of their business. join the svb team and help bring our clients’ world-changing ideas to life. data scientist will be responsible for a range of task including: data mining, etl, analyzing of structured data from a wide variety of sources and identifying and scoping opportunities to automate repeatable processes create complex queries to retrieve data and analyze discrepancies. interpret data, analyze results using statistical techniques and provide ongoing reports. implement custom processes for data cleansing and transformation. identify, analyze, and interpret trends or patterns in complex data sets. utilize multiple tools and programs to analyze and convert source data to a standardized format. perform data quality control reviews and data assessments to identify trends and anomalies. build and maintain documentation for data conversion processes while seeking out process improvements. work with product and engineering to define objectives and develop analytic tools and products. research new techniques and best practices within the industry. work closely with oe team to prioritize information needs. determine data quality and accuracy. makes recommendations to ensure adherence to consistent definitions, business naming standards, development of standard calculations, security requirements, etc. identify and raise of data quality issues for remediation. qualifications  adept at query writing strong ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy excellent verbal and written communication skills. passion for all things data and data-driven solutions. strong work ethic and high standards for achievement analytical, result driven with high attention to detail. self-starter, quick learner, problem-solver and someone who relishes challenges. accomplish targeted performance objectives with a positive and can-do attitude. strong communication and collaborative problem-solving skills bachelor’s degree from an accredited university or college in data analytics or computer science, or equivalent 3+ years using sql or other query and scripting languages to aggregate, gather, and manipulate data. 2+ years reading and writing analytical programming languages (sql, python, r, or similar). advanced knowledge of business objects, sql, and microsoft applications, including excel and access. proficient in analytic and visualization software (tableau, power bi, alteryx, databricks or similar) deep understanding of relational databases, etl tools, data conversion and data cleansing methodologies experience with (or at least exposure to) cloud-based databases like redshift, snowflake, or bigquery. strong knowledge of statistics and experience using statistical packages for analyzing large datasets especially excel and sql experience with autosys and vb macros to automate data analysis and daily reports process improvement fundamentals masters’ degree from an accredited university or college in data analytics or computer science preferred but not required banking experience within operations, technology and other support functions preferred but not required lean or six sigma green belt certification – preferred experience with big data technologies, such as spark and hadoop, is a plus.",data scientist
"description cloud data scientist be at the forefront in using data to drive sustainable sales and growth. find value and uncover hidden insights in data that others can’t to drive efficiency and effectiveness in our sales engine. we are looking for a data scientist who will support our growing cloud business, building the framework to track performance and drive data-driven business decisions that will attain and retain our partners and grow their accounts. ingram micro touches 80% of the technology you use every day with our focus on technology solutions, cloud, and commerce and lifecycle solutions. with $50 billion in revenue, we have become the world’s largest technology distributor with operations in 59 countries and more than 35,000 associates. we continue to strategically expand our global reach with 40 acquisitions since 2012. how do you stand out? the ideal candidate is adept at working with our global customer success and sales and marketing teams to find opportunities for proactive sales engagement. they must have strong experience in creating models to identify and predict customer behaviors as well as increase sales efficiency across sales and marketing. he/she will stay ahead of our performance, predicting future outcomes by identifying actionable trends and patterns.  responsibilities: work with our global customer success team to prioritize efforts on our partner accounts that maximize customer retention (reduce churn), engagement (cross sell opportunities) and lifetime revenue (loyalty). work with global sales and marketing to identify emerging trends and propensity to buy, driving sales productivity and effectiveness of marketing campaigns. optimize go-to-market strategies for different regions/countries, comparing performance and identifying areas of focus use predictive modeling to optimize customer experiences and sentiment by quantitatively identifying unmet needs that allow ingram cloud to differentiate our value develop kpis/metrics to monitor and analyze performance at regional/country/product level to maximize profitability, growth and the lifetime value of our partners what you bring to the role qualifications: strong problem-solving skills along with sound business sense. they must have strong experience in building and implementing predictive models knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications experience using statistical computer languages (r, python, sql, etc.) to manipulate data and draw insights from large data sets/multiple data sources experience with reporting tools (power bi, etc.) to effectively communicate actionable insights to stakeholders experience working with and creating data architectures excellent written and verbal communication skills for coordinating across teams a drive to learn and master new technologies and techniques bachelor’s degree in quantitative field with 5-10 years relevant experience this is not a complete listing of the job duties. it’s a representation of the things you will be doing and you may not perform all of these duties. ingram micro inc. is committed to creating a diverse environment and is proud to be an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or any other protected category under applicable law.",data scientist
"city scottsdale state arizona telecommute no department research why mayo clinic mayo clinic is the nation's best hospital (u.s. news & world report, 2020-2021) and ranked #1 in more specialties than any other care provider. we have a vast array of opportunities ranging from nursing, clinical, to finance, it, administrative, research and support services to name a few. across all locations, you'll find career opportunities that support diversity, equity and inclusion. at mayo clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. we invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career! position description maintains an effective collaborative relationship with project team members. supports project team needs under the direction of project leads. applies knowledge and techniques in data management (e.g., data integrity and preparation), programming (e.g., data manipulation), statistics and/or bioinformatics (e.g., data analysis and summarization), and workflow management to accomplish research tasks. familiarity with programming languages and techniques is required. seeks educational opportunities and shares knowledge within teams to enhance professional development. qualifications a minimum of a bachelor's degree with a major in statistics, biostatistics, bioinformatics, mathematics, computer science, data science, or quantitative degree relevant to the current needs. additional qualifications some experience or coursework in computer programming or statistical software (e.g., sas, r, python) for data management and statistical and/or bioinformatics analysis is preferred. applicable skills include organization, documentation, written and oral communication. a commitment to customer service with an attitude of owning the experience of each customer is required. other beneficial attributes include logical and systematic thinking, basic knowledge of human physiology and/or medical terminology, and inquisitiveness. will be expected to work independently and in a team environment. gpa of 3.0 or greater is preferred. exemption status exempt compensation detail education, experience and tenure may be considered along with internal equity when job offers are extended. the minimum salary every 2 weeks is approx $2,237.60, based on a full-time position. benefits eligible yes schedule full time hours / pay period 80 schedule details must be able to work an 8 hour shift monday through friday between 7:00 am and 7:00 pm. weekend schedule as needed. site description over the next four years, mayo clinic is making significant investments in both the physical and technological future of health care, through doubling the size of the mayo clinic campus in phoenix, inclusive of practice, education, and research activities. mayo clinic's campuses in arizona are located in phoenix and scottsdale, in the beautiful sonoran desert. the region is known as the valley of the sun, a metropolitan area with more than 4 million residents in 25 cities and towns. with phoenix being the sixth largest city in the nation, this sunny ""desert metropolis"" offers the amenities of a big city in the midst of a strikingly beautiful, rugged, southwest landscape. scottsdale frequently earns praise as a highly desirable place to live. the city's more than 200,000 residents enjoy a vibrant mix of culinary hot spots, arts and entertainment, professional and collegiate sports teams, and community resources. the region's desert climate promotes an outdoor lifestyle with a full complement of sports and recreation. category clinical labs and research career profile research job posting number 152196br recruiter frank harris equal opportunity employer as an affirmative action and equal opportunity employer mayo clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. women, minorities, veterans, people from the lgbtq communities and people with disabilities are strongly encouraged to apply to join our teams. reasonable accommodations to access job openings or to apply for a job are available. email",data scientist
