JobDesc,JobTitle
"job details description milliman is seeking a data scientist major to join our milliman consulting team to build data-driven tools that provide insight to clients investing in the mortgage market. milliman is an industry leading consulting firm that deploys advanced proprietary models and machine learning algorithms in evaluating mortgage collateral for government agencies, mortgage lenders, insurers, reinsurers, and investors. our consulting work is supported by a powerful toolkit of data analytics solutions informed by years of in-depth work in the mortgage industry. the data scientist will maintain and develop the algorithms as well as interpret the information along with the current data science team to continue the development of industry leading tools, analysis and reporting capabilities. role the data scientist will support and/or lead initiatives primarily related to empirical model development, monitoring, maintenance, documentation, and governance of the suite of models. specific areas of focus may include but are not limited to the modeling of: mortgage prepayments, mortgage interest rates, mortgage delinquencies and foreclosures, mortgage production and margins, as well as credit risk transfer valuations including stochastic valuation modeling. methodologies and algorithms currently used include logistic regression, xgboost, and linear regression. additional algorithms should be researched and evaluated as part of the role. the data scientist will be responsible for designing and developing high quality modeling solutions from simple data analysis to deploying complex statistical techniques. the data scientist must be adept at managing competing priorities, advancing multiple projects concurrently, and working with project managers on numerous consulting projects. qualifications required: completion of bachelor’s or master’s degree in data science with concentration in math, statistics, finance, economics, computer science or related field experience executing all phases of modeling projects: identifying the potential business problem, data exploration, form hypothesis and recommendations, post implementation monitoring interdisciplinary knowledge including finance, mathematics, statistics, and programming understanding of principles and mathematics behind predictive and stochastic modeling proficiency in data query and statistical tools/languages such as sas, r, python, sql, or similar data exploration and visualization with powerbi, or similar statistical and machine learning methods competencies that support success in the role: strong communication skills (both verbal and written) ability to help identify client issues and resources needed to solve problems analytical thinking skills to evaluate analyses for communication to clients ability to help plan and organize work for projects ability to teach and check work of less experienced staff can complete project deliverables, meet deadlines, and ensure compliance with quality procedures strong time management skills ability to work independently and within a team client focused and results oriented organizational expertise and flexibility ambition and excitement for professional development  location: this position will be based out of the milliman office in brookfield, wi. applicants must be willing to work onsite in the milliman office. our office is following local guidelines for covid-19, which may require remote work for a period of time. equal opportunity employer/protected veterans/individuals with disabilities the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 cfr 60-1.35(c)",data scientist
"are you a highly capable, motivated data scientist with experience in leveraging machine learning technologies to derive insights from big data? do you have a passion for solving interesting and meaningful problems using principled techniques and practices? join our kohl’s data science organization! the biggest and single most important aspect that we look for in aspiring data scientists is intellectual curiosity, people who love the joy of discovery. you will work with top-talent and the latest technology which will lead to a unique opportunity to turn insights into products, generating opportunities to grow sales and profitability for the company but also your responsibility and skill set around data science applications in retail. you’ll be working within a balanced team alongside engineers, a product manager and designer. in addition, you will be a member of the broader data science organization, and participate in our data science study groups, team activities, and attend conferences. develops and executes statistical and mathematical solutions to business problems frame problem, determine intended approach and recommend quantitative methods to develop solution use analytical rigor and statistical methods to analyze large amounts of data, culling actionable insights using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining design experiments to answer targeted questions document projects including business objective, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics develops materials to explain project findings to management develops new algorithms and mathematical approaches to understand kohl's audiences and solves complex business problems such as optimizing product performance, revenue and adoption identify and drive continuous improvement of key business metrics in assigned business functional area drive adoption and usage of analytical products and models think in terms of iterative development, document, and communicate throughout products data science lifecycle build and validate models  qualifications experience developing custom models based on in-depth understanding of underlying data, data structures, and business problems to ensure analytics deliverables meet stakeholders need experience developing state of the art algorithms using machine learning, statistical and optimization methods to power various aspects of highly complex business models experience using modern analytics tools and languages such as python, r, spark, sql (bigquery), etc strong problem solving skills with an emphasis on product development experience proposing rapid experiments to test the effect of new strategies or initiatives, and iterate quickly required 2+ years of progressively complex data science or analytics experience bs in data science, computer science, machine learning, applied mathematics, or equivalent quantitative field spark, python, r proficiency preferred master's degree retail experience supply chain management marketing models logistics experience",data scientist
"at northwestern mutual, we are strong, innovative and growing. we invest in our people. we care and make a positive difference. at northwestern mutual, we believe relationships are built on trust. that our lives and our work matter. these beliefs launched our company over 160 years ago. today, they're just a few of the reasons why people choose to build careers at northwestern mutual. we're strong and growing. in a company with such a long and storied history, this may be the most exciting and important time to be a part of northwestern mutual. we're strong, innovative and growing. we invest in our people. we provide opportunities for employees to grow themselves, their career and in turn, our business. we care. we make a positive difference in our communities. nationally, thousands have benefitted from our support of research and programs to fight childhood cancer. each year, our foundation, employees and financial representatives donate time, talent and financial support to causes they're passionate about. what's the role? who we are: data science and analytics plays a key role in the core data and analytics (cda) organization. we leverage data to provide key insights, business intelligence and data science products that advance nm's strategic priorities. role and responsibilities : as an associate data scientist, you will be a part of the team that uses computer vision to convert unstructured data sources into structured data that can be used to train machine learning models. our successful candidate will have a demonstrated ability to apply advanced statistical and mathematical analysis, data mining, and predictive modeling to find novel solutions to complex and varied problems. you will advance this work by building solutions from scratch and by leveraging existing vendor solutions. you will support the interactions with internal business partners by visualizing recommendations and metrics. you will share best practices with peers around core methodologies, patterns, standards, and processes. responsibilities: we are looking for someone who will work diligently in a collaborative environment. this individual will: apply advanced statistical and mathematical analysis, data mining, and predictive modeling to find novel solutions to complex and varied problems. interpret available internal and external data resources to develop and deliver information solutions, including analytical information. develop and deploy testing hypotheses and analyze test results, providing the necessary analytical rigor to ensure data quality, consistency, repeatability, and accuracy of insights. qualifications : bachelor's degree in data science, statistics, mathematics, operations research, computer science, economics, or another field that uses statistics and/or predictive modeling required. master’s degree or phd in data science, statistics, mathematics, operations research, computer science, economics, or another field that uses statistics and/or predictive modeling is a plus. knowledge of machine learning and/or statistics is required. programming experience in python and/or r is required. must be able to write basic sql queries (e.g., joins on at least two tables, aggregate functions, and conditional statements). ability to use version control, such as git, to commit and track changes to code is preferred. knowledge of computer vision and/or natural language processing methods is a plus. experience using cloud environments like azure, aws, gcp and/or databricks is a plus. ability to drive innovation by exploring new methods and techniques that could sharpen or speed up our product decision-making processes. keen attention to data quality, consistency, reproducibility, and accuracy of insights is a must. passion for problem solving, research, quantitative analysis, and analytical working techniques. extremely organized with high attention to details. excellent time and project management skills, with the ability to manage detail work and communicate project statuses effectively to both technical and non-technical audiences. #li-post this job is not covered by the existing collective bargaining agreement. required certifications: grow your career with a best-in-class company that puts our client’s interests at the center of all we do. get started now! we are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.  find your future we’re excited about the potential people bring to northwestern mutual. you can grow your career here while enjoying first-class perks, benefits, and commitment to diversity and inclusion. flexible work schedules concierge service comprehensive benefits employee resource groups",data scientist
"position type : full time type of hire : experienced (relevant combo of work and education) travel percentage : 0% job description are you curious, motivated, and forward-thinking? at fis you’ll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun. what you will be doing employ machine learning and statistical modeling to create and enhance data driven products analyze and extract insights from internal and external data work with big data and transform complex datasets into more usable formats work with a variety of data science tools and programming languages such as sas, python, r, scala, sql work independently and collaborate with other groups to solve complex problems create and present analyses to internal and external partners and clients document models and write code to track and monitor models and product performance understand the realities of model development and make pragmatic and business-aware choices when trading-off sophistication and accuracy versus implementation and performance costs other related duties assigned as needed what you bring: masters or phd in statistics, decision sciences, applied mathematics, economics or computer science or the equivalent combination of education, training, and work experience. knowledge in machine learning, artificial intelligence, statistical modeling, data visualization, and data analysis proficient in data science tools and programming languages such as sas, python, r, scala, sql experience or knowledge of cloud-based technology ability to collaborate with others and solve complex problem proficiency in solutions design and requirements outstanding verbal and written communication skills to technical and non-technical audiences of various levels in the organization, e.g., executive, management, individual contributor excellent analytical, decision-making, problem-solving, team, and time management skills ability to persuade and influence others on the best approach positive outlook, strong work ethic, and responsive to internal and external clients and contacts ability to work as part of a team or alone making a strong contribution in either scenario exceptional statistical, mathematical and analytical skills superior interpersonal, communication and presentation skills delivery-oriented team player who takes responsibility for the team’s success and strives to continually learn and improve ability to interface with all levels of employees and effectively interact with various functional areas and facilities ability to establish and maintain effective working relationships with employees, management, and clients what we offer you a multifaceted job with a high degree of responsibility and a broad spectrum of opportunities a broad range of professional education and personal development possibilities – fis is your final career step! a competitive salary and benefits a variety of career development tools, resources and opportunities the chance to work on some of the most challenging, relevant issues in financial services & technology time to support charities and give back in your community . privacy statement fis is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. for specific information on how fis protects personal information online, please see the online privacy notice. eeoc statement fis is an equal opportunity employer. we evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, genetic information, national origin, disability, veteran status, and other protected characteristics. the eeo is the law poster is available here supplement document available here  for positions located in the us, the following conditions apply. if you are made a conditional offer of employment, you will be required to undergo a drug test. ada disclaimer: in developing this job description care was taken to include all competencies needed to successfully perform in this position. however, for americans with disabilities act (ada) purposes, the essential functions of the job may or may not have been described for purposes of ada reasonable accommodation. all reasonable accommodation requests will be reviewed and evaluated on a case-by-case basis. sourcing model recruitment at fis works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. fis does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company. #pridepass",data scientist
"at northwestern mutual, we are strong, innovative and growing. we invest in our people. we care and make a positive difference. data scientist applies and integrates statistical, mathematical, data mining, predictive modeling and business analysis skills and techniques to discover and identify new insights, advise on turning new insights into meaningful opportunities and outcomes, and providing the tracking and measurement of results. develop prototype solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualization of sophisticated data sets for productization and monetization. drive innovation by exploring new experimentation methods and statistical techniques that could sharpen or speed up our product decision-making processes. crafts new data collection frameworks for structured and unstructured data. develop and deploy testing hypotheses and analyze test results, providing the vital analytical precision to ensure data quality, consistency, repeatability, and accuracy of insights. requirements: bachelor's degree in data science, statistics, mathematics, operations research, computer science, econometrics or related field 2+ years shown experience statistical knowledge and intuition - ideally utilized in a/b testing experience with distributed databases and query languages like hive, spark, scala, or pigprogramming experience with a scripting language such as python, perl, java, or ruby proficiency with a statistical analysis tool such as r or sasmachine learning experience ability to tell a story with data. what does the analysis tell you? what should be the next move for the business? why do you think what is happening, is happening? ability to influence others with the story of what you're seeing in the data and make business recommendations strong time and project management skills, with the ability to lead detailed work and communicate project status optimally to all levels master's degree in related field a plus phd in related field a plus grow your career with an outstanding company that puts our client’s interests at the center of all we do. get started now! #li-post this job is not covered by the existing collective bargaining agreement. this is a long-term temporary position expected to last 12-18 months. required certifications: grow your career with a best-in-class company that puts our client’s interests at the center of all we do. get started now! we are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.  find your future we’re excited about the potential people bring to northwestern mutual. you can grow your career here while enjoying first-class perks, benefits, and commitment to diversity and inclusion. flexible work schedules concierge service comprehensive benefits employee resource groups",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",data scientist
"at northwestern mutual, we are strong, innovative and growing. we invest in our people. we care and make a positive difference. at northwestern mutual, we believe relationships are built on trust. that our lives and our work matter. these beliefs launched our company over 160 years ago. today, they're just a few of the reasons why people choose to build careers at northwestern mutual. we're strong and growing. in a company with such a long and storied history, this may be the most exciting and important time to be a part of northwestern mutual. we're strong, innovative and growing. we invest in our people. we provide opportunities for employees to grow themselves, their career and in turn, our business. we care. we make a positive difference in our communities. nationally, thousands have benefitted from our support of research and programs to fight childhood cancer. each year, our foundation, employees and financial representatives donate time, talent and financial support to causes they're passionate about! what's the role? who we are: data science and analytics plays a key role in the core data and analytics (cda) organization. we leverage data to provide key insights, business intelligence and data science products that advance nm's strategic priorities! role and responsibilities : as a lead data scientist, you will be a part of the accelerated underwriting team that delivers machine learning models to implement our corporate initiatives to make our application process faster and easier for our clients. our successful candidate will be able to apply and integrate advanced statistical, mathematical, data mining, predictive modeling, and business analysis to discover and identify new insights. you will advance the work by helping to turn those insights into actionable outcomes. through team exposure and interaction with business clients, you will be able to influence others by telling a story through data. be prepared to visualize recommendations for forecasts, metrics, and complex data sets. you will share best practices with peers through coaching and mentoring around core methodologies, patterns, standards and processes. responsibilities include but are not limited to : applies and integrates advanced statistical, mathematical, data mining, predictive modeling and business analysis skills and techniques to discover and identify new insights, predict and prescribe outcomes, advise on turning new insights into impactful opportunities and outcomes, and provide the tracking and measurement of results. develop solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualization of complex data sets for productization and monetization. models need constant refitting as data changes over time. identifies available internal and external data resources to develop and deliver information solutions, including analytical information. applies creative problem solving and inter-departmental networking to address data and information needs across the enterprise. shares best practices with peers through coaching and mentoring around core methodologies, patterns, standards and processes. drive innovation by exploring new experimentation methods and statistical techniques that could sharpen or speed up our product decision-making processes through extensive analysis, this individual will discover technology improvement opportunities and will work with other teams to address these opportunities. qualifications : bachelor's degree in data science, computer science, mis, math, statistics, business or related field. master's degree in data science, statistics, mathematics, operations research, computer science, econometrics or related field. advanced degrees, such as ms or phd in data science, statistics, mathematics, or a related field is a big plus 7+ years progressively responsible experience with a proven track record of leveraging analytics to drive significant business impact or to develop data/algorithm-based products extensive experience working with data and developing, crafting and presenting analytics, including some programming experience and work with multiple data bases. expertise in one or more development or advanced analytical tools such as r, sas, python, tableau relational, and/or columnar data experience required. expert level knowledge of advanced analytical model development and construction proven ability to question assumptions, demonstrate relational analysis and integration of all components needed to solve problems, understand the scope and limitations of field data and communicate in writing and verbally the meaning, trends and issues of utilizing data for decision making. proven ability to build rapport, negotiate, gain the confidence and work successfully with home office leaders in a variety of areas across the company. proven ability to lead decision making process through idea sharing and consensus building. proven ability to frame-out rough ideas and transform them into data that illustrates outcomes. must have ability to exercise judgment and discretion when presenting and explaining recommendations to field and home office leaders. encourage innovation by exploring new experimentation methods and stati stical techniques that could sharpen or speed up our product decision-making processes develop and deploy testing hypotheses and analyze test results, to ensure data quality, consistency, repeatability, and accuracy of insights ability to tell business story with data. experience in coaching and mentoring staff members required. proven management skills including negotiating, leadership, delegation, planning and organization. proven track record in meeting aggressive deadlines. proficiency in cloud environments like azure, aws, or gcp including model deployment preferred passion for problem solving, research, quantitative analysis, and analytical working techniques extremely organized with high attention to details excellent time and project management skills, with the ability to manage detail work and communicate project status effectively to all levels proven track record in meeting aggressive deadlines #li-post this job is not covered by the existing collective bargaining agreement. required certifications: grow your career with a best-in-class company that puts our client’s interests at the center of all we do. get started now! we are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.  find your future we’re excited about the potential people bring to northwestern mutual. you can grow your career here while enjoying first-class perks, benefits, and commitment to diversity and inclusion. flexible work schedules concierge service comprehensive benefits employee resource groups",data scientist
"at northwestern mutual, we are strong, innovative and growing. we invest in our people. we care and make a positive difference. at northwestern mutual, we believe relationships are built on trust. that our lives and our work matter. these beliefs launched our company over 160 years ago. today, they're just a few of the reasons why people choose to build careers at northwestern mutual. we're strong and growing. in a company with such a long and storied history, this may be the most exciting and important time to be a part of northwestern mutual. we're strong, innovative and growing. we invest in our people. we provide opportunities for employees to grow themselves, their career and in turn, our business. we care. we make a positive difference in our communities. nationally, thousands have benefitted from our support of research and programs to fight childhood cancer. each year, our foundation, employees and financial representatives donate time, talent and financial support to causes they're passionate about. we are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law. what's the role? who we are: data science and analytics plays a key role in the core data and analytics (cda) organization. we leverage data to provide key insights, business intelligence and data science products that advance nm's strategic priorities. role and responsibilities : as a senior data scientist, you will be a part of the accelerated underwriting team that delivers machine learning models to implement our corporate initiatives to make our application process faster and easier for our clients. our successful candidate will be able to apply and integrate advanced statistical, mathematical, data mining, predictive modeling, and business analysis to discover and identify new insights. you will advance the work by helping to turn those insights into actionable outcomes. through team exposure and interaction with business clients, you will be able to influence others by telling a story through data. be prepared to visualize recommendations for forecasts, metrics, and complex data sets. you will share best practices with peers through coaching and mentoring around core methodologies, patterns, standards and processes. responsibilities include but are not limited to : develop solutions to support analytic insights using mathematical models, algorithms, machine learning techniques and robust analytics apply analytical and business knowledge in real-world setting to solve complex problems access, gather, and analyze data from multiple internal and external sources apply creative problem solving to address data and information needs produce actionable visualizations that identify areas of improvement and displays root cause analysis of problems present findings in a professional manner to leaders in the organization qualifications : bachelor's degree in data science, statistics, mathematics, operations research, computer science, econometrics or related field 5+ years relevant experience with a proven track record master's degree or phd in data science, statistics, mathematics, operations research, computer science, econometrics preferred with relevant work experience experience with scripting languages such as python, sql, or r proficiency in cloud environments like azure, aws, or gcp including model deployment preferred passion for problem solving, research, quantitative analysis, and analytical working techniques ability to influence others with the story of what you're seeing in the data to make business recommendations extremely organized with high attention to details excellent time and project management skills, with the ability to manage detail work and communicate project status effectively to all levels proven track record in meeting aggressive deadlines #li-post this job is not covered by the existing collective bargaining agreement. required certifications: grow your career with a best-in-class company that puts our client’s interests at the center of all we do. get started now! we are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.  find your future we’re excited about the potential people bring to northwestern mutual. you can grow your career here while enjoying first-class perks, benefits, and commitment to diversity and inclusion. flexible work schedules concierge service comprehensive benefits employee resource groups",data scientist
"what you will do the data scientist will play a pivotal role in planning, executing and delivering machine learning-based projects. the bulk of the work will be in machine learning (ml) modelling, management and problem analysis, data exploration and preparation, data collection and integration, operationalization. the data scientist will be a key interface between the analytics team and the business(s) and various other departments (such as it). candidates need to be very much self-driven, curious and creative. how you will do it problem analysis and project management guide and inspire the organization about the business potential and strategy of artificial intelligence identify data-driven/ml business opportunities collaborate across the business to understand it and business constraints prioritize, scope, and manage data science projects and the corresponding key performance indicators (kpis) for success define and communicate governance principles data collection and integration understand new data sources and process pipelines and catalog/document them acquire access to various databases and other sources systems such as sql or graph databases create data pipelines for more efficient and repeatable data science projects data exploration and preparation apply statistical analysis and visualization techniques to various data, such as hierarchical clustering, t-distributed stochastic neighbor embedding (t-sne), principal components analysis (pca) machine learning generate hypotheses about the underlying mechanics of the business process test hypotheses using various quantitative methods display drive and curiosity to understand the business process to its core network with domain experts to better understand the business mechanics that generated the data machine learning apply various ml and advanced analytics techniques to perform classification or prediction tasks integrate domain knowledge into the ml solution; for example, from an understanding of financial risk, customer journey, quality prediction, sales, marketing testing of ml models , such as cross-validation, a/b testing, bias and fairness operationalization collaborate with ml operations (mlops), data engineers, and it to evaluate and implement ml deployment options integrate model performance management tools into the current business infrastructure implement champion/challenger test (a/b tests) on production systems continuously monitor execution and health of production ml models establish best practices around ml production infrastructure other train other business and it staff on basic data science principles and techniques train peers on specialist data science topics network with internal and external partners upskill yourself (through conferences, publications, courses, local academia and meetups). promote collaboration with other data science teams within the organization (if there is a decentralized data science practice). encourage reuse of artifacts what we look for skills knowledge/skills coding knowledge and experience in several languages: for example, r, python/jupyter, sas, java, scala, c++, excel, matlab, etc. experience with popular database programming languages including sql, pl/sql, for relational databases and upcoming nonrelational databases such as nosql/hadoop-oriented databases such as mongodb, cassandra, and others. experience with distributed data/computing tools: mapreduce, hadoop, hive, kafka, also mysql, and so on experience of working across multiple deployment environments including [cloud, on-premises and hybrid], multiple operating systems and through containerization techniques such as docker, kubernetes, aws elastic container service, and others. machine learning and data science knowledge/skills experience in one or more of the following commercial/open-source data discovery/analysis platforms: [rstudio, spark, knime, rapidminer, alteryx, dataiku, h2o, sas enterprise miner (sas em) and/or sas visual data mining and machine learning, microsoft azureml, ibm watson studio or spss modeler, amazon sagemaker, google cloud ml, sap predictive analytics. expertise in solving [vision, text analytics, credit scoring, failure prediction, propensity to buy] problems is preferable. knowledge and experience in statistical and data mining techniques: generalized linear model (glm)/regression, random forest, boosting, trees, text mining, hierarchical clustering, deep learning, convolutional neural network (cnn), recurrent neural network (rnn), t-distributed stochastic neighbor embedding (t-sne), graph analysis, etc. interpersonal skills and characteristics all candidates must be self-driven, curious and creative. they must demonstrate the ability to work in diverse, cross-functional teams in a dynamic business environment. candidates should be confident, energetic self-starters, with strong moderation and communication skills. candidates should exhibit superior presentation skills, including storytelling and other techniques to guide and inspire. experience candidates should have a minimum of eight (8) years of relevant project experience in successfully launching, planning, and executing data science projects. a specialization in text analytics, image recognition, graph analysis or other specialized ml techniques such as deep learning, etc., is preferred. ideally, the candidate is adept in agile methodologies and well-versed in applying devops/mlops methods to the construction of ml and data science pipelines. candidates should ideally exhibit project experience in applying ml and data science to business functions candidates need to demonstrate that they were instrumental in launching significant data science projects. candidates should have demonstrated the ability to manage large data science projects and diverse teams. education a bachelor’s or master’s degree in computer science, data science, operations research, statistics, applied mathematics, or a related quantitative field [or equivalent work experience such as, economics, engineering and physics] is preferred. alternate experience and education in equivalent areas such as economics, engineering or physics, is acceptable. experience in more than one area is strongly preferred. candidates will ideally have a specialization in ml, ai, cognitive science or data science. who we are clarios is a world leader in advanced energy storage solutions. we partner with our customers to meet increasing market demand for smarter applications, on a global scale. our 16,000 employees develop, manufacture and distribute a portfolio of evolving battery technologies for virtually every type of vehicle. technologies that deliver uniquely sustainable, next-generation performance, and bring reliability, safety and comfort to everyday lives. we add value at every link in the supply chain, contributing to the progress of the communities we serve and the planet we all share. learn more about clarios at www.clarios.com. to all recruitment agencies: clarios does not accept unsolicited agency resumes/cvs. please do not forward resumes/cvs to our careers email addresses, clarios employees or any other company location. clarios is not responsible for any fees related to unsolicited resumes/cvs. clarios, llc is an equal employment opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, status as a qualified individual with a disability, or any other characteristic protected by law. for more information, please view eeo is the law, eeo is the law (supplement), and pay transparency non-discrimination. if you are an individual with a disability and you require an accommodation during the application process, please email special.accommodations@clarios.com.",data scientist
"company overview brady corporation is an international manufacturer and marketer of complete solutions that identify and protect people, products and places. brady’s products help customers increase safety, security, productivity and performance and include high-performance labels, signs, safety devices, printing systems and software. founded in 1914, the company has a diverse customer base in electronics, telecommunications, manufacturing, electrical, construction, medical, aerospace and a variety of other industries. brady is headquartered in milwaukee, wisconsin and as of july 31, 2020, employed approximately 5,400 people in its worldwide business. brady’s fiscal 2020 sales were approximately $1.08 billion. brady stock trades on the new york stock exchange under the symbol brc. more information is available on the internet at www.bradycorp.com. position reports to: director of business intelligence position summary: a key member of the business intelligence team, this person will design and tune the ai/stat models to meet the business needs. essential duties and responsibilities: understand the business need including nuances of the products, sales channels, business cycles, and levers like promotions, advertising, etc. ensure completeness, accuracy, and quality of data received. identify anomalies in the data and resolve the anomalies partnering with business. etl and develop scalable machine learning pipelines. design, configure and tune the ai product model to generate the necessary model outputs. evaluate the accuracy of the model outputs and analyze the output to identify issues in the model. create and present reports showing model performance, and have an engaging conversation with business stakeholders. analyze and resolve any ongoing issues with model performance. required knowledge, skills & abilities bachelor’s degree in computer science, computer engineering, electrical engineering, statistics, applied mathematics, or other related fields 3+ years of data science experience working in applied machine learning. 2+ years of hands-on experience in python, and sql. be able to use data visualization / bi tools, such as tableau, power bi, or qlik. skilled in developing and deploying machine learning models and solutions, analytical problem-solving, pattern recognition, and predictive modeling understanding of data structures, data modeling, and software architecture. the experience of working on cloud infrastructures will be helpful. expertise in evaluating model output and identifying model improvement opportunities. excellent problem-solving skills and natural ability to think analytically. strong communication skills. strong work ethic and passion for learning and contributing to the development collaborative mindset. able to collaborate closely and effectively with teams desired knowledge, skills & abilities master’s degree, mba or ph.d. degree is a plus. data engineering experience is a big plus. good understanding manufacturing planning process. understanding of manufacturing data model is a plus. 1+ years of hands-on experience in aws, azure, or google bigquery.",data scientist
