JobDesc,JobTitle
"as a data scientist you will be working on consulting side of our business. you will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. you will be performing thorough testing and validation of models, and support various aspects of the business with data analytics. ability to do statistical modeling, build predictive models and leverage machine learning algorithms. this position will combine the typical data scientist math and analytical skills, with research, advanced business, communication, and presentation skills. primary job location is in sacramento, but work-from-home option is available.  qualifications bachelors, ms or phd in a relevant field (computer science, engineering, statistics, physics, applied math) experience in r and/or python is preferred",data scientist
"west sacramento  most companies try to meet expectations, dunnhumby exists to defy them. using big data, deep expertise and ai-driven platforms to decode the 21st century human experience – then redefine it in meaningful and surprising ways that put customers first. across digital, mobile and retail. for brands like tesco, coca-cola, procter & gamble and pepsico.  we’re looking for an associate applied data scientist who expects more from their career. it’s a chance to apply your expertise to distil complex problems into compelling insights using the best of machine learning and human creativity to deliver effective and impactful solutions for clients. joining our advanced data science team, you’ll investigate, develop, implement and deploy a range of complex applications and components while working alongside super-smart colleagues challenging and rewriting the rules, not just following them.  what we expect from you  degree in a relevant subject programming skills (hadoop, spark, sql, python) statistical modelling analytical techniques and technology quality assurance and testing  what you can expect from us  we won’t just meet your expectations. we’ll defy them. so you’ll enjoy the comprehensive rewards package you’d expect from a leading technology company. but also, a degree of personal flexibility you might not.  plus, thoughtful perks, like early finish friday and your birthday off.  you’ll also benefit from an investment in cutting-edge technology that reflects our global ambition. but with a nimble, small-business feel that gives you the freedom to play, experiment and learn.  and we don’t just talk about diversity and inclusion. we live it every day – with thriving networks including dh women’s network, dh proud, dh parent’s & carer’s, dh one and dh thrive as the living proof. everyone’s invited.  our approach to flexible working  at dunnhumby, we value and respect difference and are committed to building an inclusive culture by creating an environment where you can balance a successful career with your commitments and interests outside of work.  we believe that you will do your best at work if you have a work / life balance. some roles lend themselves to flexible options more than others, so if this is important to you please raise this with your recruiter, as we are open to discussing agile working opportunities during the hiring process.  for further information about how we collect and use your personal information please see our privacy notice  #li-tg1",data scientist
"business environment and job description alldata is a large contributor to the success of autozone. it is an exciting blend of commercial software products with strong market leadership around the globe. within alldata, the new data science and insights organization contributes critically to business strategy, planning, and operations. our advanced analytics and collective business acumen drive business results. we are launching a large-scale big data program whereby we are collecting a high volume of vehicle repair and part sale data to create a competitive advantage for autozone. to better leverage our data resources, we are looking for a data scientist to contribute to the development of predictive models in key products and services, engage with management and senior stakeholders across the business, advise and provide solutions and communicate the value of our services to the market. responsibilities translate complex datasets into strategic insights for the business and to communicate to non-technical audiences, visualize results, and create understandings and solution buy-in contribute to the development of automotive analytics products to solve challenges in automotive and other market (i.e. actuarial, data services, supply chain, manufacturing, etc.), taking account of user needs, technology and operational landscape collaborate with a range of stakeholders to deliver commercial value identify new analytics trends and opportunities to drive the innovation agenda across business functions & big data analytics community evaluate and improve the quality of both internal and external data assets and work with technology in setting key requirements for data sourcing and decision making. contribute to expand the knowledge base within area of expertise, which includes iaas, daas, visualization, analytics, or techniques, and strategy recommendations  required qualifications advanced degree (phd or master) in quantitative fields. minimum 5-7 years of related experience solid understanding of machine learning, artificial intelligence, statistical analysis (including probability, inference, and a good portfolio of modeling approaches), and/or operations research. experience in iaas/daas is a plus experience working with large datasets using tools like sql, hadoop, spark, hive, etc. ability to create/test hypotheses from raw data sets, build and validate relevant models, draw meaningful conclusions, effectively communicate results verbally, in writing, and by visualization ability to implement data transformation and to deploy predictive models in at least one of the common programming languages (e.g. python, java/scala, c/c++/c#) proficient in statistical packages and ml libraries (e.g. r, sas, spark mllib) experience with natural language processing is a strong plus experience with microsoft azure is a strong plus familiarity with leading visualization tools (e.g. power bi, tableau) passionate about learning new technologies and solving difficult problems effective communication skills and ability to collaborate in a cross functional",data scientist
"data scientist overview: 4insite is looking to add a talented and energetic individual to our team. as a data scientist you will be responsible for enterprise-wide process improvement initiatives across multiple business units to realize technology and operational improvements. you will develop process models for current and future-state business processes; identify and address process improvements though automation and simplification; and, appropriate process measures and controls for data quality and operational compliance. responsibilities work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. assess the effectiveness and accuracy of new data sources and data gathering techniques. develop custom data models and algorithms to apply to data sets. use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. coordinate with different functional teams to implement models and monitor outcomes. develop processes and tools to monitor and analyze model performance and data accuracy.  qualifications master's degree in math, statistics, data science, machine learning, computer science or another quantitative/scientific discipline required. years of experience 5+ experience in python is preferred",data scientist
"business environment and job description alldata – taking automotive intelligence to the next level alldata is a large contributor to the success of autozone. it is an exciting blend of commercial software products with strong market leadership around the globe. within alldata, the new data science and insights organization contributes critically to business strategy, planning, and operations. our advanced analytics and collective business acumen drive business results.   we are launching a large scale big data program whereby we are collecting a high volume of vehicle repair and parts sold data to create a competitive advantage for autozone. to better leverage our data resources, we are looking for a lead data scientist to provide technical data science expertise and govern technical and methodology approach for the automotive industry. they will develop key predictive models, products and services, and manage resources to execute against the internal demand plan. the lead data scientist will engage with senior stakeholders across the business to advise and provide solutions and communicate clearly to colleagues the value of big data to the local market, being the company’s subject matter expert. responsibilities acts as the principal technical expert in the company, identifying opportunities that make commercial difference and leads the development of analytics initiatives takes responsibility for the translating complex datasets into strategic insights for the business and communicates simply to non-technical audiences, visualizing results, to create understanding and solution buy-in develops automotive analytics products to solve challenges in automotive and other markets (i.e. actuarial, data services, supply chain, manufacturing, etc.), taking account of user needs and technology and operational landscape collaborates with a range of stakeholders to deliver commercial value in the industry identifies new analytics trends and opportunities to drive the innovation agenda across business functions, iot, iaas and big data analytics community supports the prioritization of both internal and external data assets and works with technology in setting key requirements for data sourcing provides thought leadership and contributes to expanding the knowledge base within area of expertise including iaas, daas, visualization/analytics/or methods and techniques, and strategy recommendations qualifications education and experience required: advanced university degree (phd strongly preferred) or ma/ms. typically 8-12 years total experience. 4-7 years post degree experience with strong research experience and exposure to real-world applications. solid experience in artificial intelligence, statistics, technology, iaas/daas is a plus. solid understanding of company financial improvement initiatives, management consulting, corporate strategy, investment banking, and/or market research. solid understanding of design of experiments, artificial intelligence, statistical analysis (including probability, inference, and a solid portfolio of modeling approaches), and/or operations research. deep experience conducting research in field of expertise. experience in big data analytics and deployment of models and algorithms from large volumes of structured and/or unstructured data in a commercial /consumer environment ability to test hypotheses from raw data sets, draw meaningful conclusions, and effectively communicate results verbally, in writing, and through effective visualization strong knowledge of big data technology (e.g. hadoop mr, interactive sql on hadoop, nosql, spark, r, sas, scipy, webfocus, tableau, gis) ability to work in cross functional teams to translate business issues into potential analytics solutions proficient in statistical packages and machine learning libraries (e.g. r, python scipy and nltk, spark mllib, sas) familiarity with leading visualization tools (e.g. webfocus, tableau, qlikview) familiarity with implementing data transformations and algorithms in programming languages persuasive communication skills with prior experience communicating analytics results to senior management, ability to work independently and manage complex objectives and present recommendations, and strong leadership skills, including coaching, teambuilding, conflict resolution, and management",data scientist
"job description  this position is associated with the sale of intel's nand memory and storage business to sk hynix (you can read more about the transaction in the press release - https://newsroom.intel.com/wp-content/uploads/sites/11/2020/10/nand-memory-news-q-a.pdf). the transaction will enhance the resources and potential of the business' storage solutions, including client and enterprise ssds, in the rapidly growing nand flash space amid the era of big data.  this is an exciting time to be at intel - come join our design product test solutions (dpts) team and work on one of the most advanced 3dnand and ssd technology portfolios in the world. as the global leader in the semiconductor industry, intel possesses many industry-leading ssd technologies including the most capable quadruple level cell (qlc) nand flash products. you will be part of a world-class team that will transition to lead the ssd business at sk hynix.  this position aligns to phase 2 of the transaction, which includes nand technology and component development along with fab operations. employees aligned to phase 2 will continue to be employed by intel and will continue to develop nand technology and components and manufacture nand wafers at the fab. phase 2 of the transaction is expected to close in march 2025, at which time employees aligned to this phase of the transaction will transition employment to sk hynix. component design engineers are responsible for the design and development of electronic components. responsibilities may include: the design of chip layout circuit design, circuit checking, device evaluation and characterization, documentation of specifications, prototype construction and checkout, modification and evaluation of semiconductor devices and components, performing developmental and/or test work, reviewing product requirements and logic diagrams, planning and organizing design projects or phases of design projects. responds to customer/client requests or events as they occur. develops solutions to problems utilizing formal education and judgement.  as a contributor with our group, you will work on challenging analytics problems to improve design velocity and reduce uncertainty, including big data and machine learning problems, and with an emphasis on visualization aspects. you will have the opportunity to grow, develop, and network for your future while making real contributions to our innovations.  an ideal candidate would exhibit behavioral traits that indicate: analytical mind with problem solving skills work independently and manage stakeholders deal with ambiguity in defining activities and direction passion for the job high motivation with a strong work ethic planning skills written and verbal communication skills  qualifications  you must possess the below minimum qualifications to be initially considered for this position. preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. minimum qualifications: bachelor's degree in computer science, statistics, mathematics, electrical engineering, or computer engineering 2+ years of professional experience with software development, data analysis, machine learning, data visualization. data visualization tools and platforms, particularly dash (polt.ly) and powerbi or tableau preferred qualifications experience with the following : python experience strongly preferred machine learning / deep learning artificial intelligence database systems (including sql server and mongodb) online analytical modeling (olap) / data mining / sql server analysis services tabular models statistical modeling additional intel-related skills include any aspects of vlsi design, product development engineering and/or test engineering. inside this business group  non-volatile solutions memory group: the non-volatile memory solutions group is a worldwide organization that delivers nand flash memory products for use in solid state drives (ssds), portable memory storage devices, digital camera memory cards, and other devices. the group is responsible for nvm technology design and development, complete solid state drive (ssd) system hardware and firmware development, as well as wafer and ssd manufacturing.  other locations  us, california, santa clara  posting statement  all qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.",data scientist
"job description autodesk is seeking a machine learning engineer/data scientist to join our sales data science team. we build innovative data products and machine learning solutions for autodesk's sales teams. in this critical role, you will work alongside product development, product managers, and data engineers to tackle fundamental data science models in our asia-pacific (apac) sales region. to apply for this position, please send your resume at : career@cotocus.com we prefer to select professionals those who are certified in their domain from ""official certification company's"" like redhat, chef software inc, puppet, docker, google, amazon inc. etc. or authorized training partners like scmgalaxy inc. devopscertification.co etc.",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 10+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped mater’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us",data scientist
"we are looking for a person who is passionate to teach and mentor our students. ms or phd in relevant field (computer science, engineering, statistics, physics, applied math) with at least 2 years of experience as a data scientist. this is a part time job starting with a minimum time commitment of 1.5 hrs per week and more if you are further interested. you will be mentoring students online using video conferencing tools.",data scientist
"micron’s vision is to transform how the world uses information to enrich life for all. join an inclusive team focused on one thing: using our expertise in the relentless pursuit of innovation for customers and partners. the solutions we create help make everything from virtual reality experiences to breakthroughs in neural networks possible. we do it all while committing to integrity, sustainability, and giving back to our communities. because doing so can spark the very innovation we are pursuing.  req. id: 282322  micron technology’s vision is to transform how the world uses information to enrich life and our commitment to people, innovation, tenacity, collaboration, and customer focus allows us to fulfill our mission to be a global leader in memory and storage solutions. this means conducting business with integrity, accountability, and professionalism while supporting our global community.  responsibilities include but are not limited to:  helping define micron's long term roadmaps for datacenter ssd products, services, and solution offerings produce the financial business cases that support the micron ssd roadmap drive customer relationships in order to author world-class documents for products on the micron datacenter ssd roadmap communicate with industry analysts, developing and presenting micron's storage direction attendance and presentation at key datacenter computing industry events understand the current & future trends in the datacenter computing/ storage market and evaluate which trends make commercial and economic sense for micron to pursue including; business models, technologies, and future applications partner with customers to understand key technology and innovation trends, and provide analysis to resolve best fit for micron's product plans analyze the competitive landscape and properly position micron datacenter products vs the competition work with micron's sales and business development teams to understand customer demand and market segmentation to drive applicable forecasts to support the product line align with advanced engineering organization to ensure datacenter needs are represented in the r&d process align and coordinate strategies across micron's product, services, and sales divisions establish a clear demand profile for your product(s) that encompasses an deep understanding of the storage market’s tam, sam, and som down to a customer level. your qualifications include, but not limited to: ability to grasp complex financial, technical, and marketing information to develop ssd product plans and strategies. proven experience writing marketing requirements documents that bridge customer/technical needs into clearly defined features and benefits. strong communication and presentation skills including to customers and senior executive management. demonstrate critical thinking skills. experience leading cross-functional teams and working across multiple locations. ability to travel both domestically and internationally. a bs or ba degree in engineering or business/marketing, mba (preferred) and 8+ years combined of product development, marketing, and customer experience in storage or technology-related field. solid state drive experience is also preferred. about us as the leader in innovative memory solutions, micron is helping the world make sense of data by delivering technology that is transforming how the world uses information. through our global brands — micron, crucial and ballistix — we offer the industry’s broadest portfolio. we are the only company manufacturing today’s major memory and storage technologies: dram, nand, nor and 3d xpoint™ memory. our solutions are purpose built to leverage the value of data to unlock financial insights, accelerate scientific breakthroughs and enhance communication around the world. micron benefits employee rewards program, healthcare, paid time off (combined sick and vacation time), retirement savings plans, paid maternity/paternity leave, employee assistance program, professional development training, workplace wellness programs, micron health clinic (boise only), fitness center / activity rooms (boise only), tuition reimbursement, micron corporate discounts, casual dress attire. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. to request assistance with the application process and/or for reasonable accommodations, please contact micron’s human resources department at 1-800-336-8918 (or 208-368-4748) or submit job information request form.  about micron technology, inc. we are an industry leader in innovative memory and storage solutions. through our global brands – micron® and crucial® – our broad portfolio of high-performance memory and storage technologies, including dram, nand, 3d xpoint™ memory and nor, is transforming how the world uses information to enrich life. backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5g, machine learning and autonomous vehicles, in key market segments like mobile, data center, client, consumer, industrial, graphics, automotive, and networking. our common stock is traded on the nasdaq under the mu symbol. to learn more visit micron.com/careers  all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.  micron prohibits the use of child labor and complies with all applicable laws, rules, regulations and other international and industry labor standards.  micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with micron.  for us sites only: to request assistance with the application process and/or for reasonable accommodations, please contact micron’s human resources department at 1-800-336-8918 or 208-368-4748 and/or by completing our general contact form  keywords: folsom || california (us-ca) || united states (us) || ssd engineering || experienced || regular || manufacturing/production operations || #li-cm1 || tier 4 ||",data scientist
