JobDesc,JobTitle
"scripps health administrative services supports our five hospitals and 19 outpatient facilities, which treat half a million patients annually through 2,600 affiliated physicians. at scripps health, you will experience the pride, support, respect that has been repeatedly recognized as one of the nation’s top 100 places to work.  you’ll be surrounded by people committed to making a difference in the lives of their patients and their teammates. so if you’re open to change, go ahead and unlock your potential. truven health analytics named scripps health among the top five large health systems in the nation. scripps was the only california health care system on the truven top 15 health systems list this year. this is the fifth time scripps has received the honor. as a data scientist for scripps, your work will support important clinical and business operations, as well as strategic and enterprise initiatives that make an impact throughout the entire health system. you will create advanced integrated and comprehensive analyses, providing a high-level of consultative and analytical expertise to generate knowledge in support of various internal and external stakeholders. your products will drive strategies in furtherance of continuous improvement and strategic and quality improvements supporting some of our highest priority objectives. play an integral role in assisting with developing methodologies, performing analyses, summarizing results, and developing outcome conclusions for project teams, leaders, and internal and external stakeholders. this role will collaborate with enterprise analytics teams, clinicians, physicians, operations, and executive leadership to create dashboards and information providing descriptive, predictive, and prescriptive analytics. we are looking for a sharp, strong communicator with a high degree of emotional intelligence who can provide strategic and technical input alongside excellent customer service. this is a full-time, salaried position, located at our corporate offices in la jolla and offers scripps health’s award-winning benefit package. preferred education/experience/specialized skills/certification: master's degree. epic working experience highly preferred. healthcare experience. previous data analysis experience proficient using at least one data visualization product (tableau, powerbi, etc.). proficiency in powerbi preferred. proficient in sql. programming experience in r and/or python preferred. required education/experience/specialized skills: bachelor's degree. excellent communication skills in order to directly communicate at a consumer level with internal clients.  scripps health is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex (including pregnancy, sexual orientation, or gender identity/expression), age, marital status, status as a protected veteran, among other things, or status as a qualified individual with disability.",data scientist
"about us, but we’ll be brief  experian is the world’s leading global information services company, unlocking the power of data to create more opportunities for consumers, businesses and society. we are thrilled to share that fortune has named experian one of the 100 best companies to work for. in addition, for the last five years we’ve been named in the 100 “world’s most innovative companies” by forbes magazine. experian datalabs is a r&d unit at experian formed with the desire to work in collaboration with experian’s business units to enhance relationships with clients and acquire strategic datasets. experian® is a global leader in providing information, analytical tools and marketing services to organizations and consumers to help manage the risk and reward of commercial and financial decisions. using our comprehensive understanding of individuals, markets and economies, we help organizations find, develop and manage customer relationships to make their businesses more profitable.  what you’ll be doing you will be part of experian north america r&d datalabs concentrating on research and development of novel analytical solutions, new product prototyping, as well as new data asset evaluation and acquisition. this position requires extensive background and knowledge in deep learning and machine learning. the key job functions include: develop complex machine learning-based analytical solutions extracting insights from large amount of structured and unstructured data from diverse data sources identify/develop appropriate machine learning/deep learning/natural language understanding/natural language processing techniques to uncover the value of the data designing data structure and data storage schemes for efficient data manipulation and information retrieval developing tools for data processing and information retrieval analyzing, processing, evaluating and documenting large data sets applying, developing and inventing algorithms to solve challenging business problems validating score performance and conducting roi and benefit analysis documenting and presenting model process and model performance what your background looks like advanced degree in machine learning, data science, ai, computer science, computer engineering, electrical engineering, physics, statistics, applied math or other quantitative fields 0-6 years of working experience in data science, and/or predictive modeling demonstrated ability to lead and execute projects from start to finish ability to independently support existing products proven track record in modifying and applying advanced algorithms to address practical problems experience in deep learning (cnn, rnn, lstm, attention models, etc.), machine learning (svm, glm, boosting, random forest, etc.), graph models, and/or, reinforcement learning. experience with generative modeling techniques such as gan experience with open source tools for deep learning and machine learning technology such as pytorch, keras, tensorflow, scikit-learn, pandas, etc. proven ability to work independently on development of complex models with extremely large and complex data structures proficient in more than one of python, r, java, c++, or c experience in large data analysis using spark (pyspark preferred) robust knowledge and experience with statistical methods plusses: experience with natural language processing, natural language understanding, and the relevant open-source tools experience in developing, modifying and experimenting advanced language models experience in developing/applying/evaluating conversational ai technology extensive knowledge of sql experience with hadoop and nosql related technologies such as map reduce, hive, hbase, mongodb, cassandra, etc. experience with online, mobile marketing analytics experience with gpu programming solid knowledge of bayesian statistical inference and related machine learning methods. experience with agile methods for software development  perks  during this pandemic, all experian employees are working remotely. once it’s safe to do so, we’ll slowly return to our offices however we are in no rush to do this. the safety of our employees is of utmost importance. four weeks of vacation to start, five sick days and two volunteer days (plus eleven paid holidays) competitive pay and comprehensive benefits package, with a bonus target of 20% flexible work schedule and relaxed dress code experian is proud to be an equal opportunity and affirmative action employer. our goal is to create a thriving, inclusive and diverse team where people love their work and love working together. we believe that diversity, equity and inclusion is essential to our purpose of creating a better tomorrow. we value the uniqueness of every individual and want you to bring your whole, authentic self to work. for us, this is the power of you and it ensures that we live what we believe.",data scientist
"about the role power digital, one of san diego’s top digital marketing agencies is growing our innovative technology team! we are located in old town, san diego and are looking for an experienced data scientist who is an expert in predictive ml modeling and development.  in 2020 power digital launched nova, our proprietary platform for digital marketing auditing, forecasting, strategy planning, and reporting. the nova platform integrates data from hundreds of clients and dozens of data sources. using this data, it can analyze and make recommendations for over 50 marketing strategies in 13 marketing channels to provide insights and tools for our employees & customers.  current data initiatives include forecast modeling and recommendation engine in the nova software platform. you will be responsible for developing underlying models and algorithms supporting these initiatives, coordinating these features into production, measuring results, and iterating to increase accuracy and value over time.  the ideal candidate will have a passion for learning, data, scale, and agility. you will leverage your strong collaboration skills and ability to extract valuable insights from complex data sets to execute against and contribute to our product roadmap.  as a part of our technology team, this role will contribute to our nova software by performing requirements engineering and deploying new features. this includes participating in agile development processes like sprint planning, standups, reviews, retrospectives, sprint boards, backlogs, and ticket management. this data scientist will work with team members to continue to grow the department capabilities and support our clients. responsibilities identify and build machine learning models appropriate to product needs validate and optimize models in real-time collaborate with engineering team to bring models to production software features measure and improve models and data accuracy over time partner with product, engineering, and users to identify and prioritize new features and algorithms based on usage and feedback analyze and improve data storage & strategy including quality, sources, maintenance, and structure to meet product needs build expert knowledge in marketing industry data sources provide mentorship and guidance to data analysts qualifications experience of building and maintaining machine learning systems (configuration, data collection, data verification, feature extraction, resource and process management, analytics, training, serving, validation, experimentation, monitoring) understanding of ml techniques and algorithms (supervised vs. unsupervised learning, regression, recommendation, etc) strong knowledge of model building & validation procedures experience with r, python or other programing languages experience with sql strong data skills and the ability to work with large structured and uengnstructured data sources good analytical and critical thinking good written and verbal communication skills undergraduate or higher degree in data science, statistics, computer science, or other relevant areas strong understanding of statistics knowledge of aws or other cloud-based infrastructure  we are passionate about digital marketing and web solutions and are looking for some great technical talent to join our team! we would love to talk to you if you think you could help our team.  for direct submission, email vp product & engineering, chris fitkin at c.fitkin@powerdigitalmarketinginc.com.",data scientist
"job description  plans, designs and develops tools and models for deep learning that combine unsupervised and supervised learning. develop deep learning frameworks including deep network construction, network architecture and hyper parameter tuning. develop new deep learning algorithms to exploit novel distributed processor architectures. utilizes efficient data loading and data augmentation techniques. experience designing professional software using python, c++. drive to solve customers' problems using technical creativity and hard work. master's or phd in computer science, electrical engineering or related fields (statistics, applied math, computational neuroscience).  qualifications  required qualifications: ph.d. in computer science, electrical engineering, or related fields (statistics, applied math, computational neuroscience) 3+ years of hands-on experience with deep learning research and model development.  preferred qualifications: multiple peer reviewed machine learning publications in prominent industry journals experience running experiments on cluster software (e.g. kubernetes) inside this business group  intel labs is the company's world-class, industry leading research organization, responsible for driving intel's technology pipeline and creating new opportunities. the mission of intel labs is to deliver breakthrough technologies to fuel intel's growth. this includes identifying and exploring compelling new technologies and high risk opportunities ahead of business unit investment and demonstrating first-to-market technologies and innovative new usages for computing technology. intel labs engages the leading thinkers in academia and industry in addition to partnering closely with intel business units.  other locations  us, california, santa clara  posting statement  all qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.",data scientist
"provides technical direction, including both strategic and tactical planning, execution and support of strategies for the scpmg medical informatics group. the position entails developing machine learning approaches to address healthcare's triple aim: to improve the health of populations, to lower the cost of care, and enhance the care experience.  essential responsibilities: design, develop, and evaluate state-of-the-art machine learning models for complex, large-scale data sets. use statistical and machine learning techniques to provide clinical decision support as well as improve auditing and standards of care workflows. deliver insights and values from heterogeneous data to investigate complex problems in the health care domain for multiple use cases. use machine learning, statistical and programming skills to enable data analytics. drive informed decision-making and present findings to both technical and non-technical audiences. work closely with physicians to identify medically relevant use cases, develop machine learning models, and validate impact provide technical direction and mentor junior members of the medical informatics team. work closely with software engineers to facilitate model integration and deployment embrace a fast paced, collaborative environment dedicated to building atop cutting-edge technology.  basic qualifications:  experience  minimum five (5) years of experience in architecting and building scalable distributed systems, working in a fast-paced multidisciplinary environment, advocating innovative uses for data, including methodologies, techniques, and tools, working with software development life cycle (sdlc) and leading from conceptualization to production stage large-scale applications.  education  master's degree (ms) in computer science or related fields  license, certification, registration  n/a  additional requirements:  experience with deep learning frameworks: e.g. tensorflow, pytorch.  knowledge of classification and regression algorithms  experience with deep learning approaches to natural language understanding (nlu) and language modeling.  experience with time series analysis, discrete data modeling and feature engineering.  expert knowledge of python  experience with sql  preferred qualifications:  experience with java/c++  experience with machine learning continuous integration and deployment  experience with tensorflow serving  doctorate degree in computer science or related fields  knowledge of healthcare terminology  notes:  this is a temporary position.  primarylocation : hoursperweek : 40 shift : workdays : mon, tue, wed, thu, fri workinghoursstart : workinghoursend : job schedule : job type : standard employee status : temporary employee group/union affiliation : nue-scal-01|nue|non union employee job level : individual contributor job category : information technology department : travel : yes, 10 % of the time",data scientist
"the challenge: are you excited at the prospect of unlocking the secrets held by a data set? are you fascinated by the possibilities presented by machine learning, artificial intelligence advances, and iot? in an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. as a data scientist, you can turn these complex data sets into useful information to solve global challenges. across private and public sectors -from fraud detection, to cancer research, to national intelligence, you know the answers are in the data.  we have an opportunity for you to use your leadership and analytical skills to improve the dod and federal agencies. you’ll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. you’ll lead data science training and curriculum, mentor teammates, develop algorithms, write scripts, build predictive analytics, use automation, and apply machine learning to turn disparate data points into objective answers to help our nation’s services and leaders make data-driven decisions. you’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. join us as we use data science for good in the dod and federal agencies.  empower change with us. you have: experience with executing data science, machine learning, or artificial intelligence principles experience with one or more statistical analytical programming languages, including python or r experience with providing online or in-person teaching or training experience with identifying analytic insight in data, developing visualizations, presenting findings to stakeholders, and statistical analysis techniques experience with designing and implementing custom machine learning algorithms, graph algorithms, and semantic web knowledge of object-oriented programming, including java and c++ ability to build complex extraction, transformation, and loading (etl) pipelines to clean and fuse data together ability to obtain a security clearance ba or bs degree nice if you have: experience with designing and implementing custom machine learning algorithms experience with developing instructional materials for online or hybrid courses experience with teaching in an online modality experience with graph algorithms and semantic web experience with designing and setting up relational databases experience with navy mission systems experience with managing a small team of 3-5 people and the technical delivery of a data science, machine learning, or artificial intelligence project ability to grow into a technical lead of one or more data science projects ma or ms degree in mathematics, cs, or related quantitative field clearance: applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. build your career: at booz allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. when you join booz allen, you’ll have the chance to: access online and onsite training in data analysis and presentation methodologies, and tools like hortonworks, docker, tableau, and splunk change the world with the data science bowl—the world’s premier data science for social good competition participate in partnerships with data science leaders, like our partnership with nvidia to deliver deep learning institute (dli) training to the federal government  you’ll have access to a wealth of training resources through our analytics university, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. pursuing certifications that directly impact your role? you may be able to take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. we’ll help you develop the career you want as you chart your own course for success. we’re an eoe that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  pursuant to the los angeles fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  for employees based in colorado, this position starts at $114,700 per year. a sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",data scientist
"bigger challenges. bolder ideas. global impact. at viasat, we’re on a mission to deliver connections with the capacity to change the world. we’re the company behind the world’s fastest satellite internet service, with technology that’s helping to bridge the digital divide and improve life for our customers around the globe. by providing powerful new ways for people to connect with one another, gain greater access to education, entertainment, medical research, commerce, and much more, our team is empowering millions of customers worldwide. we’re looking for passionate, innovative professionals to join our team and connect the world to more. you’ll work in a collaborative and inclusive environment that values diverse perspectives and continuous learning, and provides industry-leading benefits with unmatched opportunities for career growth. our team is fearless in pursuit of new ideas and uncompromising in our quest to become the world’s first truly global internet service provider. interested in joining our mission? take a look at career opportunities at viasat today.  job description as a data scientist, you will be part of a diverse team of engineers developing next-generation, vertically integrated products and services at viasat. you will develop new, novel algorithms and techniques for analyzing complex data sets collected during viasat’s product and service lifecycles. you will be responsible for defining and developing models that produce new inferences and enable action by adjacent teams. you will work with software engineers to create new tools, libraries, and services that can expand viasat’s ability to understand complex data sets. you will be part of a growing team developing cloud-based solutions for tackling problems found at the cutting edge of technological development. on this team, you’ll build a breadth of knowledge including distributed systems, predictive analytics, and machine learning. you will design, develop, and deploy analytic pipelines to answer questions across multiple business areas and disciplines for viasat’s broad but vertically integrated products. we encourage learning through immersion, collaboration and action. we value adaptability and curiosity. our ideal candidate is someone focused on solving tough problems using data and loves doing so. you will have a role in the training and education of your peers by providing technical guidance and supporting team member growth. as a data scientist, you will contribute with: analytics: architect, design, and build data analysis pipelines working with large and complex data sets to monitor and analyze metrics inference: use statistical tools to design experiments and determine causality algorithms: design and create predictive and decision-making algorithms for various business needs data engineering: transforming and understanding data from many systems  requirements bs in a data related field such as mathematics, computer science, engineering, physics, data science or similar at least 5 years of experience in this or a similar role excellent understanding of several statistical and machine learning models extensive experience with software development in languages such as r, python, or matlab experience working with test, manufacturing, industrial, and quality engineers for data science/machine learning applications in a manufacturing environment u.s. citizenship required travel up to 10% preferences ms/phd in a data related field such as mathematics, computer science, engineering, physics or similar experience in a technical leadership or team leadership role knowledge of rf engineering or rf electronics experience using machine learning operations (mlops) experience deploying machine learning across the product lifecycle, from development through manufacturing, collaborating with domain experts and engineers experience deploying and maintaining machine learning models in a production environment  additional requirements and information minimum education: ba/bs years of experience: other travel: up to 10% citizenship: us citizenship required clearance: none worker classification: employee  viasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic.",data scientist
"about us, but we’ll be brief we are thrilled to share that fortune has named experian one of the 100 best companies to work for. in addition, for the last five years we’ve been name in the top 100 “world’s most innovative companies” by forbes magazine.  experian datalabs is a r&d unit at experian formed with the desire to work in collaboration with experian’s business units to enhance relationships with clients and acquire strategic datasets. experian® is a global leader in providing information, analytical tools and marketing services to organizations and consumers to help manage the risk and reward of commercial and financial decisions. using our comprehensive understanding of individuals, markets and economies, we help organizations find, develop and manage customer relationships to make their businesses more profitable.  what you’ll be doing you will be part of experian north america r&d datalabs concentrating on research and development of novel analytical solutions, new product prototyping, as well as new data asset evaluation and acquisition. this position requires extensive background and knowledge in deep learning and machine learning, as well as experience in researching and developing conversational ai technology using latest deep learning technology. the key job functions include: develop complex machine learning-based analytical solutions extracting insights from large amount of structured and unstructured data from diverse data sources researching and implementing conversational ai technology and applications implementing and experimenting various language models (transformer, bert, gpt, etc.) and their new applications identify/develop appropriate machine learning/deep learning/natural language understanding/natural language processing techniques to uncover the value of the data designing data structure and data storage schemes for efficient data manipulation and information retrieval developing tools for data processing and information retrieval analyzing, processing, evaluating and documenting large data sets applying, developing and inventing algorithms to solve challenging business problems validating score performance and conducting roi and benefit analysis documenting and presenting model process and model performance what your background looks like advanced degree in machine learning, data science, ai, computer science, computer engineering, electrical engineering, computational linguistics, physics, statistics, applied math or other quantitative fields 0-6 years of working experience in data science, and/or predictive modeling demonstrated ability to lead and execute projects from start to finish ability to independently support existing products proven track record in modifying and applying advanced algorithms to address practical problems experience in deep learning (cnn, rnn, lstm, attention models, etc.), machine learning (svm, glm, boosting, random forest, etc.), graph models, and/or, reinforcement learning. experience with generative modeling techniques such as gan experience with open source tools for deep learning and machine learning technology such as pytorch, keras, tensorflow, scikit-learn, pandas, etc. experience with natural language processing, natural language understanding, and the relevant open-source tools experience in developing, modifying and experimenting advanced language models experience in developing/applying/evaluating conversational ai technology proven ability to work independently on development of complex models with extremely large and complex data structures proficient in more than one of python, r, java, c++, or c experience in large data analysis using spark (pyspark preferred) robust knowledge and experience with statistical methods plusses: extensive knowledge of sql experience with hadoop and nosql related technologies such as map reduce, hive, hbase, mongodb, cassandra, etc. experience with online, mobile marketing analytics experience with gpu programming solid knowledge of bayesian statistical inference and related machine learning methods. experience with agile methods for software development",data scientist
"tusimple company overview come join a higher calling and find a deeper purpose! tusimple is a fully commercialized autonomous trucking company. as a multi-national artificial intelligence technology company, we are at the epicenter of the autonomous vehicle universe. our breakthroughs are leading the industry in autonomous trucking. while inventing the framework of autonomous driving, our live fleet of autonomous trucks have fully evolved land freight. tusimple is leading the way by hiring the most talented researchers, engineers, and scientists. tusimple was founded half a decade ago with the goal of bringing the top minds in the world together to achieve the dream of a driverless truck solution. with a foundation in computer vision, algorithms, mapping, and artificial intelligence, tusimple has created the first commercially viable autonomous freight network.  role responsibilities builds fluency in python-centric open source tools such as pandas, numpy, scipy, and scikit-learn builds fluency in visualization tools and styles for effective communication of insights understands valid statistical approaches for unlocking actionable insights builds intermediate knowledge of ml and applies novel/appropriate techniques to various problems develops working knowledge of production level code becomes familiar with internal tools becomes familiar with essential data sources for analysis regularly works with structured and unstructured data to extract, clean, and transform data in large and complex dbs builds elementary knowledge of tusimple infrastructure and respective high level business justification  experience & skills required experience as a self-directed analyst who excels at finding business critical patterns and drives them to influence decisions elementary knowledge of machine learning and statistics (hypothesis testing, probability, and descriptive statistics) strong programming skills in python or other languages such as r, c++. efficient communication skills are needed to be able to collaborate within the team to complete their work, with minimal assistance from more senior team members.  tusimple benefits 100% employer-paid healthcare premiums for you and your family work visa sponsorship available relocation assistance available breakfast, lunch, and dinner served every day full kitchens on every floor with unlimited snacks, drinks, special treats, fruits, meals, and more stock options / equity gym membership reimbursement monthly team building budget learning/education budget employer-paid life insurance employer-paid long and short disability tusimple is an equal opportunity employer. this company does not discriminate in employment and personnel practices on the basis of race, sex, age, handicap, religion, national origin, or any other basis prohibited by applicable law. hiring, transferring and promotion practices are performed without regard to the above-listed items. brown university, california institute of technology, carnegie mellon university, columbia university, cornell university, dartmouth college, duke university, georgia institute of technology, harvard university, harvey mudd college, massachusetts institute of technology, north carolina state university, northwestern university, princeton university, purdue university, rice university, rose - hulman institute of technology, stanford university, tufts university, university of california — berkeley, university of california — los angeles, university of illinois-urbana-champaign, university of maryland-college park, university of massachusetts-amherst, university of michigan-ann arbor, university of notre dame, university of pennsylvania, university of southern california, university of texas austin, university of washington, university of wisconsin-madison, williams college, worcester polytechnic institute (wpi), yale university, mit, cmu, waymo, uber, facebook, uber, amazon, cruise, tesla, argo ai, baidu, didi, zoox, nutonomy, nuro, aptiv, pony.ai, kodiak, toyota, nissan, gm, ford, vw, autonomous car, autonomous driving, robotics, artificial intelligence, machine learning, deep learning, perception, prediction, planning, control, anduril industries, sift, nauto, tempus, salesforce, automation anywhere, sensat, phrasee, defined crowd, pymetrics,siemens, socure, aeye, rev.com, suki.ai, verkada, datavisor, people.ai, alphasense, icertis, casetext, blue river tech, nvidia, bright machines, orbital insight, brighterion, h2o, intel, clarifa, x.ai, zebra medical vision, iris ai, freenome, neurala, akamai, zoho, servicenow, salesforce, oracle, tableau,splunk,cvent, veeam,atlassian, docusign, dropbox, veeva systems, proofpoint, cornerstone, qualtrics. new relic, okta, intralinks, mulesoft, freshworks, slack, twilio, anaplan, stripe, workfront, smartsheet, zuora, outsystems, coupa, cylance, elastic, zoom, sailpoint, blackline, icims, digitate, qualys, kareo, datastax, discoverorg, siteimprove, druva, centrify, looker, similarweb, odoo, kyriba, sumo logic, sisense, pagerduty, digitalocean, liquid web, zaloni, databricks, servicetitan, fastly, snaplogic, mendix, couchbase, egnyte, seismic, bill.com, justworks, collibra, activecampaign, schoology, salesloft, cylynt,",data scientist
