JobDesc,JobTitle
"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. The Aviation Safety & Analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. We have a treasure trove of data including time series, text and sensor data and challenging problems to solve. We are seeking skills in machine learning, deep learning, text mining, big data and software/application development. If Sklearn, pyTorch, Keras,TensorFlow, LSTM, LDA, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. You are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. The candidate will work with the FAA and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. The candidate will be responsible for supporting a team of more senior AI/ML staff and Data Scientists in the following tasks: Leveraging AI/ML techniques and solutions to identify complex patterns for predicting safety hazards Increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, AI/ML techniques and human SME/analyst expertise Develop and prototype AI algorithms and software tools. Enhance and maintain current analysis tools, including automation of current processes using AI/ML algorithms. Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets Develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities Basic Qualifications: Bachelor’s Degree in Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields Hands-on Software Development Skills (Python-Preferred) Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms. Ability to work closely with Domain experts to develop tools/algorithms needed to answer research questions in their studies Excellent Communication Skills (with the abilty to explain developed tools and ML algorithms to a non-technical audience) Ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems Strong analytic, inferencing, critical thinking, and creative problem-solving skills Self-starter with ability to work both independently and with a team Preferred Qualifications: 1 to 2 years of relevant experience Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc. Ability to apply these frameworks to real problems in the ‘time -series’ domain Experience with interpretability of deep learning models Big Data Skills (Hadoop, Spark, recent deep learning platforms) Visualizations/Web Development Skills (e.g. Tableau, MEAN stack - MongoDB, ExpressJS, AngularJS, NodeJS). Practical experience with statistical analysis Experience with text mining tools and techniques including in areas of summarization , search (e.g. ELK Stack) , entity extraction, training set generation (e.g. Snorkel) and anomaly detection Expert software development skills lifecycle including developing and maintain good production quality code This requisition requires the following clearance(s): Suitability - FAA MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org. Copyright © 1997-2021, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",data scientist
"The West Virginia University Research Corporation is seeking applications for a Data Scientist for the Rockefeller Neuroscience Institute. This position will assist investigators with data analysis, modeling, forecasting, and deployment of models focused on population health, clinical neuroscience, and human performance. This position will assist the director of data science to carry out research and development projects for the Rockefeller Neuroscience Institute. In order to be successful in this position, the ideal candidate will: Work independently and/or with data science and analytics team to carry out data analysis on large data sets; Create visualizations, develop and validate models, and generate reports for research protocols associated with clinical, population health, and human performance. Data mining to select features in order to build and optimize classifiers using machine-learning techniques to be used for models and analytics reports.  Qualifications Master’s degree computer science, engineering, physics, mathematics, data, neuroscience, or related field. Ph.D. preferred. Two (2) years of experience working with healthcare data. Development of custom data models and algorithm on large data sets Data model validation and optimizing Development of machine-learning techniques Creating data visualizations Creating and working with data architectures Solid technical understanding (data science, A.I., software engineering) and an ability to gut check technical feasibility and timelines; removing technical development barriers Superior knowledge of statistical and analytical methodology and tools A background in big data ecosystems Knowledge of AWS Data Lake services, neural networks, and experimentation methodologies Demonstrated experience conceiving and building successful analytics programs utilizing key technologies (e.g., ML/AI) within healthcare organizations Ability to translate clinical experiences and realities of medical practice in to opportunity and vision for the future AB testing and experimental design processes Strong communication skills needed to collaborate, negotiate and influence effectively with all stakeholders at RNI Advanced knowledge and experience with best in class data strategy design Proven experience monetizing data and demonstrated ability to leverage data assets into various sectors Analytically minded Familiar with physiological data from wearables devices, data from cognitive and behavioral assessments, and medical data from Electronic Medical Record data (i.e., chronic pain, aging and Alzheimer’s disease, heart failure, addiction). About Research Corporation  West Virginia University Research Corporation is proud to be an Equal Opportunity employer. West Virginia University Research Corporation values diversity among its employees and invites applications from all qualified applicants regardless of race, ethnicity, color, religion, gender identity, sexual orientation, age, nationality, genetics, disability, or Veteran status.  Job Posting: Mar 31, 2021 Posting Classification: Research Corporation Exemption Status: Exempt Benefits Eligible: Yes Schedule: Full-time",data scientist
"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory 10+ years of industry experience in predictive modeling, data science, and analysis Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?  At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.  AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include: Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization Use AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models Research and implement novel ML approaches, including hardware optimizations on platforms such as AWS Inferentia Work with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped Mater’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. Publications or presentations in recognized ML journals or conferences Deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",data scientist
"The Statistical Programmer II provides technical expertise for the conduct of clinical trials, and works with minimal supervision to support various programming activities related to the analysis and reporting of clinical study data. In addition, the Statistical Programmer II may fill the Statistical Programming Lead role (or part of that role) on small, non-complex projects.  Qualifications Qualifications: Excellent analytical skills. Proficiency in SAS. Knowledge and understanding of the programming and reporting process. Knowledge of SOPs/Guidelines, ICH-GCP, and any other applicable local and international regulations such as 21 CFR Part 11. Ability to learn new systems and function in an evolving technical environment. Ability to manage competing priorities and flexibility to change. Attention to detail. Ability to successfully work as part of a global team. Work effectively in a quality-focused environment. Effective time management in order to meet daily metrics or team objectives. Show commitment to and perform consistently high quality work. Business/operational skills that include customer focus, commitment to quality management, and problem solving.  Knowledge and Experience: Competent in written and oral English. Good communication skills. Education: Educated to degree level in a relevant discipline and/or equivalent work experience. EEO Disclaimer Parexel is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to legally protected status, which in the US includes race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",data scientist
"Position: AI & Automation Salesforce Engineer  Job Description: What you will be doing: Build, deploy and test on the AI/automation roadmap Research and development (R&D) and processes to meet the needs of our AI strategy Understand company and client challenges and how integrating AI capabilities can help create solutions Collaborate with cross-functional teams to identify and prioritize key areas of the business where AI solutions can drive significant business benefit Analyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standards Advise business leaders on a broad range of technology, strategy, and policy issues associated with AI Deveo functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, working with an advanced engineering team and executive leadership Document and articulate solution architecture and lessons learned for each exploration and accelerated incubation Manage a team to conduct assessments of the AI and automation market and competitive landscape What we are looking for: 2+ years of experience in applying AI to practical and comprehensive technology solutions 4+ years of experience technically supporting a CRM (Salesforce preferred) Proven experience with ML, deep learning, Tensorflow, Python, NLP, Salesforce AI (Bots & Discovery), RPA toolsets Experience with program leadership, governance, and change enablement Knowledge of basic algorithms, object-oriented and functional design principles, and best practice patterns Experience with REST API development, NoSQL design, RDBMS design and optimizations Experience/Education Typically requires 4-6 years of related experience with a 3 year degree; or 3 years and an advanced degree; or equivalent work experience What's in it for you: At Arrow, we recognize that financial rewards and great benefits are important aspects of an ideal job. That's why we offer competitive financial compensation, including various compensation plans, and a solid benefits package (http://benefits.arrow.com) Medical, Dental, Vision Insurance 401k, With Matching Contributions Paid Time Off Health Savings Account (HSA)/Health Reimbursement Account (HRA) Options Short-Term/Long-Term Disability Insurance Wide Variety of Growth Opportunities Annual Hiring Range/Hourly Rate: $90,000.00 - $110,000.00 Actual compensation offer to candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level. The pay ratio between base pay and target incentive (if applicable) will be finalized at offer.  Location: US-CO-Denver, Colorado (Panorama Arrow Building)  Time Type: Full time  Job Category: Information Technology EEO Statement: Arrow is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, gender, sexual orientation, gender identity, national origin, veteran or disability status. (Arrow EEO/AAP policy)",data scientist
"Works on the cutting edge of high-performance computing, data science, and advanced analytics. Supports local and federal law enforcement agencies by exploring, identifying, and investigating patterns in their temporal, geo-spatial, and contextual data. Exploits identified patterns in the design and implementation of tools and communicates findings to analysis team and leadership. Coordinates with government and contractor partner personnel to better understand the customer’s needs and how to best support the mission. Works with Datasets of different sizes and formats. Possesses a strong software, data science, and analytical background and a skilled communicator capable of tailoring data and information for the appropriate audience. Collaborates with other contractors, Government civilians, and inter-agency representatives. Required ABET accredited BS in Engineering, or a BS in Computer Science or technology discipline Minimum 3 years of experience in fields related to data science and analytics Strong understanding of data preprocessing (Extract, Transform, & Load (ETL), data munging, cleaning), analysis and visualization techniques Experience with statistical analysis and modeling in Python (SciPy, NumPy, NetworkX, scikit-learn, etc) Windows and Linux Operation System knowledge Some travel Ability to obtain and maintain security clearance Desired Familiar with networks, cluster analysis, decision trees, collaborative filtering, and geo-spatial analysis. Understanding and application of feature engineering, extraction, and reduction Experience with rapid prototyping, algorithm development, implementation, application, and adaption from free open-source software (FOSS) projects Familiar with software engineering and development best practices (agile software development) Experience with software systems engineering and software testing in an Agile methodology Necessary Competencies Honesty, superior ethics Interpersonal savvy, excellent communication skills Ability to be a team player Initiative Positive attitude Professionalism Life at INTUITIVE® Awards: INTUITIVE’s many awards showcase our success at building a professional and well-rounded culture of excellence. Awards include Best Small and Medium Companies to Work for in the U.S. in Fortune Magazine, Huntsville Best Places to Work, National Prime Contractor of the Year Award, Best for Vets in Military Times Edge Magazine, Top 50 Companies in America for Workers over 50, Torch Award for Ethics, Family Friendly Business Award, Fit Friendly Company Award, and more. Employees take great pride in these validations of our success. Giving Back: Giving in the community includes investment of time and effort, as well as monetary action. Very thoughtful in our choices, we focus on helping children and the elderly, as we feel they are most often overlooked. This approach results in meaningful employee involvement as we volunteer at a local school, support organizations that care for the homebound, assist groups that care for homeless children and families, support veteran organizations and activities, et al. Employee feedback shares how very rewarding such activities are. Fun: Our natural atmosphere of camaraderie and professionalism fosters our coming together to enjoy many events, the success of which is evidenced by great turn-out, lots of fun, and wonderful feedback. Focus on Health: Very health-conscious from the top down, we incorporate many types of health-related events and activities, resulting in positive impact on health-care cost outcomes. We are a proud winner of the Fit Friendly Company Award from the American Heart Association. Incentives: A robust focus on recognition for performance, accomplishments, and creativity is part of our attracting and retaining skilled and talented individuals, supporting our outstanding retention rates. Continuing Education: Close attention to the development of our employees and supporting them in many avenues of continuing education are a part of our company fabric, and result in the furthering of the caliber of our capabilities as well as the satisfaction of our employees. Disability Accommodation for Applicants - Intuitive Research and Technology Corporation is an Equal Employment Opportunity employer and provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in its job application procedures. If you have any difficulty using our online system and you need an accommodation due to a disability, you may use the following alternative email address or phone number to contact us about your interest in employment at INTUITIVE sonya.tolliver@irtc-hq.com or 256-922-9300 x. 1113. Our process is to respond and to work with the requestor to identify a workable accommodation to the application process.",data scientist
"Overview: Based in Northern, VA, Axiologic Solutions LLC has opportunities for you to become part of our high-quality team that delivers innovative solutions to key federal clients. We are currently seeking a Data Scientist to oversee and manage complex, state of the art, new unique programs and projects related to information technology. Responsibilities: Develop and presents issues, conclusions, and recommendations to senior leadership based on reviews and evaluations. Directs and conducts analysis of requirements pertaining to Agency programs and objectives. Examines policies to identify those affecting programs and determines approaches to resolving issues Identify problem areas, define the nature and scope of the problem and objectives sought. Work with a team to design, implement, and maintain new systems. Provide guidance to the customer on best-practices. Perform other duties as assigned. Qualifications: Must have an active/current TS/SCI and be able to pass a CI Poly. Approximately ten (10) years of experience in information systems development, focused on processing large volume, near-real time data feeds to meet data analytics and security requirements. Experience and knowledge of tools associated with counterintelligence and HUMINT collectors. Bachelor's Degree in computer science, information systems management, mathematics, engineering, or other relevant discipline. Knowledge of web services feeds. Demonstrated work experience in architecting new system solutions using current technologies, as well as transitioning existing systems into modern technologies without negatively impacting operational and compliance requirements. Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists, etc. Demonstrated experience as a SME to prioritize and meet tactical and strategic requirements for frameworks and systems to process data. Demonstrated experience in information systems development across the IT lifecycle, with a focus on systems to perform high volume and velocity data processing on disparate data types/formats. Demonstrated experience architecting and delivering automated and scalable data process monitoring and data quality systems and processes. Must be a diverse thinker and be able to work in a large group setting. Write and edit technical documents and reports; Write, edit, and produce contents for contract deliverables: reports, training materials, presentation slides, letters, fact sheets, diagrams, and capability. Effectively communicate project expectations to team members and stakeholders in a timely and clear fashion. Communicate formally and informally through existing forums to stakeholders at all levels, including senior leadership. AWS, Atlassian Suite products like Jira/Confluence and AWS Cloud experience desired. Work Environment: This is a full-time position, requiring 40 hours per week Monday through Friday within the contract hours of 6:00 a.m. to 6:00 p.m. Travel Requirements: Travel may be required both inside and outside the Washington National Capital Region (NCR).  Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.  Applicants with a physical or mental disability, who require a reasonable accommodation for any part of the application or hiring process, may e-mail their request to Jennifer.chavira@axiologicsolutions.com, call 571-758-3780, or visit our office at 8280 Willow Oaks Corp. Dr. Suite 450, Fairfax Virginia for assistance. Determinations on request for reasonable accommodation will be made on a case-by-case basis.",data scientist
"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?  At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.  AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include: Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization Use AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models Research and implement novel ML approaches, including hardware optimizations on platforms such as AWS Inferentia Work with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped Master’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. Publications or presentations in recognized ML journals or conferences Deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",data scientist
"The Rockefeller Neuroscience Institute at West Virginia University Research Corporation is seeking applications for a Director of Data Science to work with the Research, Development & Data Analytics program to manage and build a team of data scientists and analysts to work with researchers on data analysis, modeling, forecasting, and deployment of models focused on population health, clinical neuroscience, and human performance. This position will assist the director of Research Operations to carry out research and development projects for the Rockefeller Neuroscience Institute. In order to be successful in this position, the ideal candidate will: Be an evangelist and organizational thought leader for how to best use data and research insights to guide decision-making. Develop an internal customer-focused operating model to deliver reporting, dashboards, insights, analytics, data stewardship, and data-driven operational assets to drive value to RNI using data as a competitive advantage Manage all phases of full life-cycle implementation projects, including blueprinting, design, development, testing, deployment and support Identify and remove obstacles, mitigate risks for flawless execution and solution delivery Aptitude to translate the overall objectives of RNI into actionable, quantitative plans Ensure consistent definitions and metrics across the organization Responsible for defining and driving data analytics and intelligence opportunities for RNI Apply the use of machine learning to improve customer/consumer experience Retain and recruit a large and growing data science, analytics and engineering team Create a virtuous cycle of platform adoption with improved data insights and streamlined publishing/access Drive revenue and cost optimization decisions and experiment ideas with business leaders based on data insights Focus on delivering solutions to improve decision-making, optimize research processes, increase operational efficiency, and ultimately, transform data into actionable insights Lead the ongoing growth, design, and expansion of a high-quality data platform from across a wide variety of data sources, and supporting an array of streaming, operational and research workflows. Champion the effort to democratize data access at RNI, powering analyses and strategies with easy access to high quality data. Champion AI/analytics projects to all stakeholders Strong coach and leader responsible for mentoring individual team members and providing the opportunity to grow within the team Properly implement AB testing and experimenting into end-consumer apps; host interviews/surveys with users to better understand their needs and behaviors to improve the apps Implement and secure mechanisms to enforce data privacy and data protection regulations Ensure consistent definitions and metrics across the organization Data Governance Product Roadmap Creation / Collaboration Qualifications Master’s degree in computer science, engineering, physics, mathematics, data, neuroscience, or related field. PhD preferred. Experience with formal research processes and being a part of a research-oriented group. Five (5) years of experience in senior-level technology management, ideally leveraging significant data resources. A solid technical understanding (data science, A.I., software engineering) and an ability to gut check technical feasibility and timelines; removing technical development barriers Superior knowledge of statistical and analytical methodology and tools A background in big data ecosystems Ability to lead whiteboard strategy discussions and can help a team understand and own the overall strategic direction and create an executable plan to push out to broader teams Knowledge of AWS Data Lake services, neural networks, and experimentation methodologies Demonstrated experience conceiving, building and leading successful analytics programs utilizing key technologies (e.g., ML/AI) within healthcare organizations Ability to translate clinical experiences and realities of medical practice in to opportunity and vision for the future Results-oriented leader with a proven track record of leading a data transformation initiative AB testing and experimental design processes Strong leadership and communication skills needed to collaborate, negotiate and influence effectively with all stakeholders at RNI Advanced knowledge and experience with best in class data strategy design Experience in building and growing teams and providing mentorship to junior team members Proven experience monetizing data and demonstrated ability to leverage data assets into various sectors Analytically minded Familiar with physiological data from wearables devices, data from cognitive and behavioral assessments, and medical data from Electronic Medical Record data (i.e., chronic pain, aging and Alzheimer’s disease, heart failure, addiction). About Research Corporation  West Virginia University Research Corporation is proud to be an Equal Opportunity employer. West Virginia University Research Corporation values diversity among its employees and invites applications from all qualified applicants regardless of race, ethnicity, color, religion, gender identity, sexual orientation, age, nationality, genetics, disability, or Veteran status.  Job Posting: Mar 31, 2021 Posting Classification: Research Corporation Exemption Status: Exempt Benefits Eligible: Yes Schedule: Full-time",data scientist
"Experience your AI at Liquid Analytics. Liquid Analytics is a collaborative environment where you have the freedom to create great business software as part of a team of caring software engineers. Do you enjoy putting your computer science degree to work, creating modern cloud-native high-performance code in Julia? You love to code, dream in code, and envision your career at the forefront of computer science and AI, and working with customers to achieve their goals. We are building a High-Performance Computing (HPC) Julia Language development team for our product Liquid DecisionsJulia programming language, VS-Code, Github, Flux Experience & Requirements You have a minimum of 5 years of Machine Learning and High-Performance Computing experience. You have working knowledge in either Natural Language Processing (NLP) or Computer Vision. You have solid experience in development environments, data structures, algorithms, networking, user interfaces, APIs, software testing, and problem solving. You love to code! Problem Statements and Algorithms: You must have an undergraduate degree in computer science and a PhD in Computer Vision or NLP. You have the mind of a scientist which means, you define problem statements, followed by hypotheses, and verified with experiments. As a Machine Learning researcher and modeller you can design Natural Language Processing (NLP) and Computer Vision systems with tools like GPT3 and YoloV4. This means you have working mathematics knowledge of linear algebra, calculus, geometry, statistics and logic. Solving difficult and unique problems with code is the art of programming. Languages: You are joining our ‘Polyglot development environment’ where we write working code in a new language after three weeks of immersion. You work on both front-end and back-end applications. Visualization of algorithms is required for customers to experience their AI. Our primary Machine Learning language is Julia. Development Environment and Testing: You have solid experience with GIT and Jenkins. Software unit testing is part of your development process. Databases and Data Structures: You have strong SQL and NoSQL database skills with specific distributed database experience. OS and Networking: You have strong networking experience that allows you to build high-performance computing applications in the cloud. You have working knowledge of APIs including using websockets, HTTP/REST, and gRPC libraries. You have very strong Linux OS skills. You are eligible to travel anywhere in North America and like to work with customers to understand their needs and experiences. Building, maintaining, and evolving cloud applications requires proactive and assertive customer engagement. We love to work with assertive creative problem solvers who love to create high-performance cloud solutions with state of the art software languages and libraries. Checklist: Domain and Data Knowledge Problem Statement Hypothesis Prep and Blend Data Experiments Visualization and Presentation Algorithm design Software Engineering Mathematics Details Job Type: Full-time As a professional software engineer, you have a separate and efficient home developer workspace that allows you to focus on work and allows you to relax in a separate space. We are looking for full-time contributing members who are 100% focused on Liquid Analytics products. As such we are not looking for part-time or contractors. To Apply Please send your cover letter, resumé and a sample of your code to: Nathalie Burstein at info@liquidanalytics.com. Be sure to include the title of the job you’re applying to. Liquid Analytics offers competitive salaries, great benefits, and more. We are also an equal opportunity employer. We look forward to your application.",data scientist
