JobDesc,JobTitle
"at knime, we are merging science with state-of-the-art technology. we are looking for enthusiastic people who are interested in helping to continue building great software and supporting our awesome user base. we offer competitive salaries, a chance to be part of a rapidly growing, young company, and the opportunity to participate in one of the hottest technology areas out there: making sense of data! we are not really looking for people who bring along predefined skill sets - instead, we are searching for new members of a highly interactive team, people who enjoy being part of an evolving project and seeing their job description evolve over time while the company grows. if you don't find a job that fits your skill set below but you'd love to help us make a difference, feel free to reach out and explain how you could fit into the team. description we are looking for the right people to join our well-funded, growing open source startup and to help us to continue to build exciting technology that makes our users happy. right now, we are looking for a data scientist to join our evangelism/education team in austin, tx*.  who are you?  you have a background in data science and enjoy teaching and explaining to others both the theory and practical application behind it. experience with the different phases of the complete data science life cycle is a plus. this is a public-facing role, which requires a friendly and helpful attitude towards our community and customers as well as fluency in english. you are active on social media and love learning and sharing your data science insights. you are a wizard with blending data from varied sources, and bringing to bear cutting-edge algorithms and techniques on that data – but most importantly, you are able to tell the story of your analyses to others with a less technical background than your own. above all, you enjoy meeting the challenge of helping others solve their data science problems.  what’s the job?  in this position, you will be part of the evangelism/education team and work both as an instructor and evangelist using knime software to tell interesting stories. you will do things like run training courses, create educational material, and experiment with new algorithms and methods with rosaria, satoru, corey, and others. you will be helping with the definition and the execution of the knime outreach program to academia. if you have some experience with knime software already, that’s great – but if you don’t, we’ll help you learn",data scientist
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"we strongly encourage people of colour, lesbian, gay, bisexual, transgender, queer and non-binary people, veterans, parents, and individuals with disabilities to apply. bumble is an equal opportunity employer and welcomes everyone to our team. if you need reasonable adjustments at any point in the application or interview process, please let us know.  in your application, please feel free to note which pronouns you use (for example - she/her, he/him, they/them, etc).  bumble is looking for a senior data scientist to join our team and assist us in using data science to deliver effective results. together with us you will develop machine learning models to serve a variety of areas within the business; product, marketing, billing teams and so on.  with millions of images and messages exchanged on our platform every day, there is a wealth of opportunity to make a real difference in this role and help people to find love all over the world! the ideal candidate combines strong business acumen, extensive experience in machine learning applications along with a passion for tech. key accountabilities deliver impactful business results through the development and delivery of cutting-edge machine learning models leverage big data tools and techniques in order to build innovative solutions using appropriate modelling techniques assist in driving improvements to our current prediction modelling infrastructure in terms of process, performance and testing work with large, complex data sets whilst solving challenging business problems collaborate with internal business stakeholders, data scientists and engineers in order to identify improvement opportunities from an ai perspective experience we are looking for: demonstrable experience implementing machine learning models; from initial conception right through to the final productionalised model extremely confident in terms of programming and scripting (strong python essential) high familiarity with libraries such as scikit-learn, tensorflow, keras, pandas, numpy strong statistical modelling background python web development (tornado, flask) experience is desirable ability to combine business intuition with the application of advanced solutions a passion for keeping up with the latest ongoings in data science and machine learning communities a curious mind, self-starter and endlessly keen to learn and develop themselves professionally with over 700 staff in 10+ countries all working remotely during the time of covid-19, we’ve worked hard to adapt and support our teams during this challenging time, including: flexible working hours streaming free, live yoga & meditation sessions each week, as well as a full weekly timetable of free online exercise classes ‘random coffee’ - connecting staff across the globe in pairs once a week to get to know each other over a video chat ‘first fridays’ - meal delivery for a remote lunch with your team once a month employee support fund for those whose households are experiencing financial hardship due to covid-19 written resources to guide employees through this challenging time you will also be taken through a fully digital onboarding process!  about bumble inc.: bumble inc. is the parent company of badoo and bumble, two of the world’s highest-grossing dating apps with millions of users worldwide. the bumble platform enables people to connect and build equitable and healthy relationships. founded by ceo whitney wolfe herd in 2014, the bumble app was one of the first dating apps built with women at the center, and the badoo app, which was founded in 2006, was one of the pioneers of web and mobile dating products. bumble currently employs over 700 people in offices in austin, barcelona, london, and moscow. for more information, please visit: https://team.bumble.com/",data scientist
"at yeti, we believe that time spent outdoors matters more than ever and our gear can make that time extraordinary. when you work here, you'll have the opportunity to create exceptional, meaningful work and problem solve with innovative team members by your side. together, you'll help our customers get the high-quality gear they need to make the most of their adventures. we are built for the wild™.  the data scientist will draw insights from large and/or complex data sets to solve business problems addressed by use cases. the data scientist will assess applicability of different ai/ml methods for different use cases and be responsible for building and iterating models to support business outcomes. the data scientist will help drive advanced analytics thinking and methodologies by investigating various topics and sharing insights with broader data & analytics team as well as business stakeholders  responsibilities: gather business requirements, translate them into information solutions, identify required data structures and apply strong expertise in advanced analytics techniques (e.g. artificial intelligence and machine-learning) to design, prototype, and build solutions to business problems collaborate with data engineer(s) to support data modelling and testing during projects ensure analytics tools and methods used in projects are robust and of the highest quality ensure frequent communication with other stakeholders to drive use case development and manage expectations on model limitations and lead times collaborate with business units to provide technical guidance related to ai/ml based models develop best practices for analytics (models, standards, tools) and share learnings with peers contribute to build the capabilities of advanced analytics, attending conferences, allocating time to investigate new topics, etc.  qualifications and attributes: bachelor's degree in a relevant field and at least 4 years' experience in a data science related role or master's degree or higher in computer science, mathematics, engineering, and at least 0-2 years' experience in a statistical and/or data science role expertise in advanced analytical techniques (e.g. descriptive statistics, machine learning, optimization, pattern recognition, cluster analysis, segmentation analysis, etc.) experience using analytical tools and languages, (e.g., python, r, matlab, etc.) experience working with large data sets and distributed computing tools (e.g. hadoop, hive, spark, aws lambda, etc.) experience with data visualization tools (e.g. tableau, powerbi) diligent attention to detail and strong technical intuition knowledge of the industry and ability to translate business needs into advanced analytics solutions ability to communicate effectively with both the advanced analytics team and business unit leadership skills that includes experience collaborating with a cross-functional teams ability to manage time and schedules to meet deadlines  yeti is proud to be an equal opportunity employer.  #li-cl1",data scientist
"ph.d./m.s. in computer science, machine learning, operational research, statistics or a related quantitative field 2+ years of hands-on modeling and mathematical optimization techniques tailored to meet real life problems through a record of achievements in industrial and/or academic environments strength in distilling problem definitions, models, and constraints from complex business problems and requirements ability to convey mathematical results to non-science stakeholders 2+ years hands-on experience in python, perl, scala, java, c#, c++ or other similar languages experience working with open source optimization libraries (pulp, or tools, scipy) and/or with commercial solvers (fico, gurobi, cplex) the aws applications team builds powerful, intuitive, and market-defining business and productivity applications to help our customers stay ahead of their changing business needs, and remove the burden of undifferentiated heavy lifting that business users go through daily. these applications leverage the power of machine learning and the large ecosystem of aws services such as sagemaker, aws lambda, amazon s3, and amazon quicksight to provide a truly frustration-free, easy-to-use, extensible, and natural customer experience. we are hiring for a new data science team in aws applications to focus on solving problems at massive scale. this is a unique green-field chance to join a new team, and has tremendous opportunity for career growth.  joining the aws apps team gives you the opportunity to: solve challenging problems and help customers modernize their core it applications work for a company that’s a recognized leader in the cloud computing space have direct impact on hundreds of thousands of users of aws apps services be involved in the fast growing big data space – learn from the experts what you will do here we are looking for a seasoned applied scientist with expertise in mathematical optimization to join the team. in this position, you will play a pivotal role in building the brain behind aws applications. you will be responsible for building models, prototypes, simulations, and state-of-the-art optimization algorithms that can scale across several product lines. you will advise and closely collaborate with product and engineering teams to develop innovative products that disrupt established industries. in this role, you will also work closely with the renowned machine learning and optimization community at amazon.  the successful candidate must have exceptional analytical skills and demonstrated experience developing and implementing machine learning and optimization solutions in organizations. we are looking for a proven ability to execute both strategically and tactically, and someone who is excited to take on new, ambiguous projects that will be industry defining. as a senior science leader on the team, your specific responsibilities will include: understand customer problems and define solutions for optimization challenges in new product areas develop scalable mathematical models to help customers derive optimal or near-optimal solutions prototype and implement new learning algorithms and prediction techniques create simulations to test devised solutions advise and collaborate with product and engineering teams to design and implement software solutions for machine learning and optimization problems help hire and build a growing science community in the aws applications space inclusive team culture here at aws, we embrace our differences. we are committed to furthering our culture of inclusion. we have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. we have innovative benefit offerings, and host annual and ongoing learning experiences, including our conversations on race and ethnicity (core) and amazecon (gender diversity) conferences. amazon’s culture of inclusion is reinforced within our 14 leadership principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. work/life balance our team puts a high value on work-life balance. it isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. we believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. we offer flexibility in working hours and encourage you to find your own balance between your work and personal lives. this position involves on-call responsibilities, typically for one week every two months. we don’t like getting paged in the middle of the night or on the weekend, so we work to ensure that our systems are fault tolerant. when we do get paged, we work together to resolve the root cause so that we don’t get paged for the same issue twice. mentorship & career growth our team is dedicated to supporting new members. we have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. our senior members enjoy one-on-one mentoring and thorough, but kind, code reviews. we care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future.  ph.d. in operations research proven track record of successfully applying ml-based and optimization solutions to complex problems in business, science, or engineering. prior production level software development experience 3+ years of practical experience applying machine learning to solve complex problems in an applied environment excellent written and verbal communication skills with teams, technical teams, and leadership this role can be located in arlington, va, austin, tx, vancouver, canada, or seattle, washington.  amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us.",data scientist
"location: based in austin, tx travel: 0-20% about us: at valkyrie, we are scientists, innovators and strategists on a mission to advance the field of data science and put our cutting-edge technology to work on humanity's biggest challenges. we champion integrity, ingenuity and inclusion. we see opportunity in adversity and believe in creating a brighter, more human future with thoughtfully designed solutions. we seek leaders in the fields of science and strategy who think with both sides of their brains and are deeply committed to serving clients and their customers. data scientist position: the data scientist ii is the right fit for a motivated scientist that is excited to be part of a growing business and is passionate about finding insights in data through the scientific method. we are looking for candidates who are interested in analyzing data, developing models based on that data and transforming the outputs of those models to valuable insights. as a data scientist ii, you will be assisting in algorithmic development, statistical analysis, machine learning and development of database structures. you will be supporting in-depth investigations and experimentations with emerging platforms and frameworks. you will identify new opportunities and business value for data innovation. the right candidate for this role has experience and is passionate about leveraging statistical and/or programming knowledge to transform data into actionable insights. scientist ii qualifications: bachelor’s degree or master’s degree in stem (science, technology, engineering, math) or related field 1-2 years of professional experience in a scientific role exposure to data science languages: python (preferred) understanding of various fields of advanced mathematics: calculus, linear algebra, graph theory, differential equations, statistics, system modeling, stochastic / non-linear dynamic, etc knowledge of machine learning techniques: supervised, unsupervised modeling, classification, clustering, etc. deep learning techniques including convolutional neural networks, and the technologies to support them (pytorch, tensorflow, theano) * some experience with visualization tools: plotly, matplotlib, seaborn, ggplot, etc. conceptual understanding of various database structures: relational (sql), document (mongodb), graph (neo4j), column (google bigtable) experience in effective collaboration and technical problem solving within multidisciplinary teams exceptional written and verbal communications skills along with experience assisting in the preparation and delivering of documentation, proposals, presentations, and structured working sessions to all levels in a client organization perks: competitive compensation profit sharing tremendous growth potential open and unlimited pto & sick time flexible hours, work from home as needed healthcare, dental, hsa parking included stocked kitchen with healthy snacks, drinks, coffee, etc lots of team events including happy hours, catered lunches, and other fun outings innovative, collaborative, and fun work environment that fosters a positive and supportive culture for growth full-time employment: ability to work as a full-time employee job type: full-time pay: $85,000.00 - $115,000.00 per year benefits: 401(k) dental insurance health insurance health savings account paid time off parental leave professional development assistance vision insurance schedule: monday to friday supplemental pay: bonus pay education: bachelor's (required) experience: python: 1 year (required) work location: one location work remotely: temporarily due to covid-19",data scientist
"we’re looking for data scientists to work on our core and business products (ex. instagram, messaging, growth, engagement, ads, ar/vr) to help shape the future of what we build at facebook. you will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. the perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. you are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product. apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products partner with product and engineering teams to solve problems and identify trends and opportunities inform, influence, support, and execute our product decisions and product launches the data scientist analytics role has work across the following four areas: product operations: forecasting and setting product team goals, designing and evaluating experiments, monitoring key product metrics, understanding root causes of changes in metrics, building and analyzing dashboards and reports, building key data sets to empower operational and exploratory analysis, and evaluating and defining metrics exploratory analysis: proposing what to build in the next roadmap, understanding ecosystems, user behaviors, and long-term trends, identifying new levers to help move key metric, and building models of user behaviors for analysis or to power production systems product leadership: influencing product teams through presentation of data-based recommendations, communicating state of business, experiment results, etc. to product teams and spreading best practices to analytics and product teams data infrastructure: working in hadoop and hive primarily, sometimes mysql, oracle, and vertica, and automating analyses and authoring pipelines via sql and python based etl framework ba with 2+ years, ma with 1+ years, or phd with 9+ months of experience with: performing quantitative analysis data querying languages (e.g. sql), scripting languages (e.g. python), or statistical/mathematical software (e.g. r, sas, matlab) applied statistics or experimentation (i.e. a/b testing) in an industry setting communicating the results of analyses to product or leadership teams to influence the strategy experience in a consumer technology company facebook's mission is to give people the power to build community and bring the world closer together. through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. whether we're creating new products or helping a small business expand its reach, people at facebook are builders at heart. our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. together, we can help people build stronger communities - we're just getting started. facebook is proud to be an equal opportunity and affirmative action employer. we do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. we also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. if you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",data scientist
"as a data scientist in the source-to-settle team, you will be developing statistical methodologies and models to monitor the effectiveness of the business, detect anomalies, and identify business improvement opportunities. this requires collaborating with various business leaders and senior management to understand business needs, provide accurate techniques to quantify effectiveness, and effectively present and communicate results.  primary responsibilities will include: take defined business objectives and produce analytics to provide actionable insights  effectively communicating with procurement, expense, accounts payable and senior business leaders to facilitate broader analytics understanding  develop presentations and lead discussions on results of the analyses in a clear and effective manner through creative visualization  researching, prototyping, and testing new methodologies for measuring effectiveness and building predictive algorithms  developing post-hoc methods to improve the accuracy and efficiency of estimation  be a leader in statistics and data analysis for the entire analytics team  develop models for anomaly detection, fraud detection, recommendations, etc.  identify new patterns through data mining  miscellaneous tasks to support the reporting operations  skills and qualifications: bachelor’s degree in data science, statistics or related fields  at least 3 years of experience in obiee/ oracle analytics cloud, data warehouse, sql, ml, nlp  expertise with a statistical analysis software package (r, python, or similar)  exceptional problem-solving skills with focus on practical business implications.  self-motivated, independent, organized and proactive  ability to think critically and work autonomously with minimal supervision  excellent communication and presentation skills  procurement, travel & expense, or accounts payable analytics experience is a plus.  capable of quickly becoming familiar with new approaches to machine learning.  provides programs to improve operational efficiency, consistency, and compliance in support of the organization*s financial and tactical business objectives. provides business practices and processes. develops, communicates, and trains the organization on business practices and processes.  provides programs to improve operational efficiency, consistency, and compliance in support of the organization's financial and tactical business objectives. provides business practices and processes. develops, communicates, and trains the organization on business practices and processes.  serve as a liaison with other divisions such as finance, contracts, hr, legal, shared services, accounts receivable, purchasing, and risk management in an effort to ensure accurate and timely transaction processing. collect, input, verify, correct, and analyze data to measure key performance indicator actual versus business objectives. provide updates to management regarding budget to actual, informing them of deviations and opportunities. provide management with economic impact and compliance issues surrounding key business decisions and/or deals. communicate oracle business practices to the organization and monitor process and approvals for full compliance. drive implementation of new processes and procedures.  job duties are varied and complex utilizing independent judgment. may have project lead role. attention to detail critical. ability to collect, organize, and display data in spreadsheet format. follow-through skills necessary to get information from internal and third parties and have data errors/omissions corrected. for this, relationship management skills strongly desired. strong written and verbal communication skills to interact with management and possible clients desired. 5 plus years relevant work experience. innovation starts with inclusion at oracle. we are committed to creating a workplace where all kinds of people can be themselves and do their best work. it’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. that’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.  oracle is an equal employment opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.",data scientist
"who we are braze delivers customer experiences across email, mobile, sms, and web. customers, including seamless, hbo, disney, urban outfitters, and venmo, use the braze platform to facilitate real-time experiences between brands and consumers in a more authentic and human way. and we do it at scale – each month, tens of billions of messages are sent to a network of over 2 billion active users through braze. need more proof? braze was named a leader in the gartner magic quadrant for mobile marketing platforms in 2019 and the forbes cloud 100. the company has also been selected as one of inc. magazine's best places to work (2019 and 2020), and crain's best places to work in nyc (2019 and 2020). what you'll do braze is seeking a data scientist to join our growth team to automate and optimize our customers' growth and retention programs through ml-assisted decision-making, and prediction. at braze, we don't just use machine learning to build models, we've built a on-demand ml model delivery platform to help our customers take advantage of the billions of users and hundreds of billions of data points that flow through our systems. you will help discover the scope of what is possible with machine learning and ai in our systems, test and validate new predictive and statistical features, and tailor complex ai workflows for easy use by non-technical users. you will help build processes for maintenance and monitoring of these tools as well as for management and sharing of model code and testing. collaborate with engineering, product and data consultants to build innovative ways to leverage data and automate decision-making for our customers. explore and analyze the billions of daily data points that braze's customers generate in search of predictive, valuable, actionable signals. build, analyze, and iterate on models that are best suited for the job, whether that's supervised or unsupervised learning, neural networks, or simple regressions build processes to help catalog, maintain, and share the above with fellow data scientists and engineers who you are masters in computer science, applied mathematics, or similar computational field or equivalent experience extensive experience prototyping, refining and deploying predictive models and machine learning & ai, neural networks in a production setting experience with frameworks such as tensorflow, pytorch, or similar 2+ years of software engineering experience proficiency with relational databases 2+ years working with cloud or distributed systems bonus: publication record in machine learning, artificial intelligence, or similar algorithmic fields familiarity with document-based databases what we offer competitive compensation that includes equity generous time off policy to balance your work and life, including paid parental leave competitive medical, dental, and vision coverage for you and your dependents collaborative, transparent, and fun loving office culture if you are a california resident subject to the california consumer privacy act, click here to understand how braze processes your personal information and how you can exercise your rights. if you are located in the eu or uk visit our privacy policy to understand how braze processes your personal information and how you can exercise your rights.",data scientist
"job description this position will work with marketers and data scientists to develop scalable machine learning models for physical retail and digital sales channels. looking for strong data and technical skills - the right candidate for this position will have a strong understanding of business and marketing performance. responsibilities build, maintain and evolve models that measures causal impact of marketing activities like media, promotions, and pricing. understand various experiment set up for a/b testing and causal inferencing techniques. manage modeling processes from end-to-end including data gathering, data validation, model building, calibration, cross-validation, and maximizing model accuracy. interpret and validate model results with statistical checks. design reports, data visualizations and presentations to track model performance and communicate business impact to marketing leadership teams. translate strategic business questions into analyses that inform business decisions. explain complex modeling approaches in simple terms; develop compelling narratives that connect modeling results with marketing problems. work closely with marketing teams to ensure that analytical products support organizational goals and solve key business problems. build & maintains strong working relationships across departments or teams based on trust and mutual respect. communicate with senior stakeholder to balance stakeholder and analytics perspectives. desired skills & experience master’s degree in a quantitative discipline (e.g., data science, statistics, applied mathematics, or economics). phd preferred. 5+ years of hands-on experience developing advanced marketing measurement methods; proficiency with predictive modeling techniques. working knowledge of supervised (glm, classification models, ensemble techniques, regularization techniques, bayesian models, hierarchical models etc.) and unsupervised models (clustering, principal component analysis, etc.). very strong programming skills in python, with strong sql skills. knowledge of aws. experience working with enterprise scale databases, with demonstrated ability to independently query and prepare data for analysis. self-directed, innovative thinker. in addition to a strong attention to detail, strong candidates will also be able to see the strategic implications for the business in the big picture. you are fluent in telling the story to both technical and non-technical audiences. strong candidates will have a curious mind, a passion for synthesizing information from multiple sources, the ability to interpret data through the lens of shopper behavior, and a habit of translating data into insights that drive action. strong communication and presentation skills and ability to partner with internal stakeholders to shape marketing strategy and planning. experience with various types of marketing data, including data regarding media (e. g., iri, kantar, nielsen) and digital audience (e. g., dmps), ad-serving (e.g., google dcm, atlas), and digital clickstream (e.g., google analytics, adobe). job types: full-time, contract pay: from $60.00 per hour schedule: monday to friday education: master's (required) experience: python: 3 years (required) sql: 3 years (required) developing advanced marketing measurement methods: 5 years (preferred) predictive modeling techniques: 5 years (preferred) full time opportunity: no work location: one location company's website: https://www.oxfordcorp.com/en-us work remotely: temporarily due to covid-19 covid-19 precaution(s): remote interview process",data scientist
