JobDesc,JobTitle
"battelle delivers when others can’t. we conduct research and development, manage laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.  we recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply. job summary battelle’s trust and assurance cyber analytics department is seeking data scientist to work in our columbus, ohio location.  “from silicon to systems” - we are an elite, multi-disciplinary team, bringing together the brightest minds from physics, computer science, electrical engineering, and mathematics to develop unique embedded security solutions for government and industrial customers.  battelle has been trusted by elite government clients to solve some of the world’s hardest security problems. we work in small agile teams to push the bounds of computing technology. our high-powered labs include specialized software and hardware, so our engineers have everything they need to invent new cyber solutions. our team is casual putting results over formality. team members can work flexible hours, and battelle maintains a 9/80 schedule meaning employees have a chance to take every other friday off.  we encourage new ideas with our large internal research and development (irad) program where engineers work on projects they are passionate about. inventors and innovators are rewarded by our industry leading ip compensation program. our group works collaboratively with many parts of battelle’s larger organization on projects ranging from genomics to robotics. major responsibilities aid in the design and implementation of machine learning, data mining, data fusion, and data engineering techniques applied to cyber security problems learn and become fluent in the details of security related domains in order to devise data driven solutions – this can range from software fuzzing to micro-electronic supply chain analysis improve existing techniques and devise new techniques to solve security data problems independently propose and develop creative solutions to unique problems, potentially leading ir&d projects identify and articulate strengths and weaknesses of solutions, conclusions and problem approaches during technical discussions. the following is required bachelor’s degree in stem field (statistics, physics, computer science, mathematics, electrical engineering, or similar) with 1-5 years’ experience demonstrated experience developing in either python or r. experience solving complex data problems experience applying machine learning, statistics and/or data mining techniques excitement about learning new technical subject areas and curiosity about cyber security problems must be a sole us citizen with the ability to obtain and maintain a us government security clearance. the following is desired advanced degree in stem field (statistics, physics, computer science, mathematics, electrical engineering, or similar) with 0-2 years experience experience with deep learning methods and with microelectronic design workflow electronics bench skills such as digital and analog test & measurement ability to generate verification test benches for simulating and validating microelectronic designs experience in vulnerability analysis for either software or hardware understanding of vhdl and/or verilog hardware description languages. familiarity with compiled languages like c, c++, or rust familiarity with shell scripting languages like bash, zsh, or csh active secret or top-secret clearance legal disclaimer the above statements are intended to describe the nature and level of work being performed by people assigned to this job. they are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. no statement herein is intended to imply any authorities to commit battelle unless special written permission is granted by battelle’s legal department. benefits battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401k, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.  battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity or expression, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable federal, state, or local law. our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. we will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within battelle.",data scientist
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"battelle delivers when others can’t. we conduct research and development, manage laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.  we recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply. job summary battelle’s trust and assurance cyber analytics department is seeking a senior data scientist to work in our columbus, ohio location.   “from silicon to systems” - we are an elite, multi-disciplinary team, bringing together the brightest minds from physics, computer science, electrical engineering, and mathematics to develop unique embedded security solutions for government and industrial customers.  battelle has been trusted by elite government clients to solve some of the world’s hardest security problems. we work in small agile teams to push the bounds of computing technology. our high-powered labs include specialized software and hardware, so our engineers have everything they need to invent new cyber solutions. our team is casual putting results over formality. team members can work flexible hours, and battelle maintains a 9/80 schedule meaning employees have a chance to take every other friday off.  we encourage new ideas with our large internal research and development (irad) program where engineers work on projects they are passionate about. inventors and innovators are rewarded by our industry leading ip compensation program. our group works collaboratively with many parts of battelle’s larger organization on projects ranging from genomics to robotics. major responsibilities lead the design and implementation of machine learning, data mining, data fusion, and data engineering techniques applied to cyber security problems learn and become fluent in the details of security related domains in order to devise data driven solutions – this can range from software fuzzing to micro-electronic supply chain analysis improve existing techniques and devise new techniques to solve security data problems independently propose and develop creative solutions to unique problems, potentially leading ir&d projects identify and articulate strengths and weaknesses of solutions, conclusions and problem approaches during technical discussions. the following is required bachelor’s degree in stem field (statistics, physics, computer science, mathematics, electrical engineering, or similar) with 8+ years’ of experience advanced degree in stem field (statistics, physics, computer science, mathematics, electrical engineering, or similar) demonstrated experience developing in either python or r. experience solving complex data problems experience applying machine learning, statistics and/or data mining techniques excitement about learning new technical subject areas and curiosity about cyber security problems must be a sole us citizen with the ability to obtain and maintain a us government security clearance. the following is desired experience with deep learning methods and with microelectronic design workflow electronics bench skills such as digital and analog test & measurement ability to generate verification test benches for simulating and validating microelectronic designs experience in vulnerability analysis for either software or hardware understanding of vhdl and/or verilog hardware description languages. familiarity with compiled languages like c, c++, or rust familiarity with shell scripting languages like bash, zsh, or csh active secret or top-secret clearance legal disclaimer the above statements are intended to describe the nature and level of work being performed by people assigned to this job. they are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. no statement herein is intended to imply any authorities to commit battelle unless special written permission is granted by battelle’s legal department. benefits battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401k, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.  battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity or expression, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable federal, state, or local law. our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. we will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within battelle.",data scientist
"description our enterprise data and analytics department is growing, and we're looking for an outstanding data scientist to join our team. at huntington, you will leverage machine learning, segmentation, and statistical inference on huge data sets to improve how we understand our customers and the communities we serve. our goal is to be the best performing regional bank in america, and we need data and analytics to meet that goal. from a technology perspective, you will leverage on- and off-premises computing technology while you work on giant data sets to mine insights and build machine learning solutions. you will implement cutting-edge targeting techniques and deploy them at scale. your solutions will be used in production daily. key responsibilities own the entire model development process, from identifying the business needs, data sourcing, model fitting, presenting results, and production scoring work closely with line of business executives and product managers to develop strategy and apply model predictions. drive innovation and improvement of statistical methods and procedures. stay current with emerging statistical trends to maintain a strong understanding of statistical model development, theory and practice. basic qualifications: master's degree in statistics, economics, data science, or related field. 5+ of work experience in financial services, retail, healthcare, telecommunications, entertainment, or consulting. 2 years of experience in statistical programming with r, sas, python, or other languages. preferred qualifications: ph.d. preferred excellent written and verbal communication skills, with a proven ability to interact effectively across all organizational levels. practical and theoretical knowledge of data mining and machine learning techniques and statistical concepts progressive thinking and problem solving, with a strong ability to manage ambiguity/complexity. ability to work effectively in teams as well as independently across multiple tasks while meeting aggressive timelines. experience working in a consumer-centric company with teams of technical professionals in a cross-functional environment. willingness to embrace change, constructively negotiate constraints, and effectively leverage resources to create exceptional outcomes. talent for inspiring high levels of professional demeanor and integrity. eeo/aa employer/minority/female/disability/veteran/sexual orientation/gender identity",data scientist
"primary responsibilities: automate and productionalize data assets at scale  perform analysis on large amounts of data from multiple and disparate sources analyze data and results to ensure data quality, statistical relevance, etc. with a critical mindset and aware of the limitations of the tools used  develop and own new data assets for bionics program and beyond design analytical engines to derive insights for decision-makers research, develop, and implements new methods of measuring and analyzing data sets and processes  coach and develop your skills, build expertise within chase small business banking act as a sme in data science and analytics within small business banking and beyond, create frameworks for common topics communicate in a simple, conclusive manner, focusing on the key messages ensure buy-in from key stakeholders and clients  qualifications background:  phd or msc. in a scientific field (mathematics, physics, computer science, engineering, etc.) minimum 2 years (5 if msc.) of advanced analytics experience exposure to ai/ml and statistical modeling  skills: proficient in data transformation using sql expertise in python, pyspark, or scala working knowledge of cloud technologies gcp, aws, azure, or databricks proficient in data mining and advanced analytical methods chase is a leading financial services firm, helping nearly half of america's households and small businesses achieve their financial goals through a broad range of financial products. our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. we also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs. we recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. we are an equal opportunity employer and place a high value on diversity and inclusion at our company. we do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. in accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. equal opportunity employer/disability/veterans",data scientist
"it's fun to work in a company where people truly believe in what they're doing ! job summary data science team delivers the best in class actionable business insights through cutting-edge predictive models and data science techniques. the data scientist is responsible for generating data-driven insights using advanced analytics and machine learning techniques to support enterprise data science needs within alliance data’s card services division. job description essential job functions process and project management- extract data from multiple sources (brand transaction data, credit transaction data, care center data, digital data, etc.) , conduct exploratory data analysis, and address common data issues like missing and extreme values. use advanced analytics to assess portfolio performance and identify business opportunities. tr anslat e business problems into statistical or mathematical problems . d evelop machine learning models to drive business decision and optimize return on investment . values strategic communication and the importance of building consensus. documentation - document analysis processes and results, summarize data insights, and present key findings to internal as well as external partners. follow model governance procedure that includes but not limited to saving the original model training datasets, creat ing model documentati on, and complet ing tests when required or requested. design and develop - support enterprise data science needs, such as marketing campaign models, card value proposition design and optimization, text analytics, and optimization, etc. research state-of-art statistical analysis techniques to continuously improve data science team’s competence within the analytics industry . business acumen through demonstrated knowledge of credit card operations, banking, financial, loyalty rewards, retail, and credit card regulations. reports to: lead or above working conditions/ physical requirements : normal office environment direct reports none minimum qualifications : bachelor’s degree in statistics, mathematics, engineering, data science, computer science, economics some experience b uilding sophisticated models to address business problems via machine learning models , segmentation, time series and other advanced analytics meth o dologies . experience preferred experience: master’s degree or phd in statistics, mathematics, engineering, data science, computer science, economics three or more years p rofessional hands-on experience in building sophisticated models to address business problems via machine learning models , segmentation, time series and other advanced analytics meth o dologies . experience in marketing, bank card business, credit card business, consulting, retail, or financial services. education: bachelor’s degree (required), master’s degree certifications: work experience some experience (internship, classroom or on the job) skills advanced analytics, building models, credit card industry, financial services industry, machine learning, matlab, python, r statistics, sas, segmentation, statistical models, statistics, times series about alliance data card services alliance data card services provides market-leading private label, co-brand, general purpose and commercial credit card programs, digital payments and comenity-branded financial services. using the industry’s most comprehensive and predictive data set, advanced analytics, and broad-reaching capabilities, alliance data card services has been helping partners increase sales and provide greater value to their customers for more than 30 years. follow alliance data card services on twitter , facebook , linkedin and instagram . about bread ® a division of alliance data, bread is a leading digital payments company that works with merchants and partners to personalize payment options for their customers. through its full-funnel recommendation engine, bread empowers merchants to sell more, improve conversion and lift average-order-value. follow bread on twitter , facebook and linkedin . alliance data card services and bread are a proud part of the alliance data enterprise, a fortune 500 and s&p midcap 400 company headquartered in columbus, ohio with more than 8,000 associates worldwide. alliance data offers a competitive salary, a comprehensive selection of benefit options including 401(k). all job offers are contingent upon successful completion of credit and background checks. alliance data is an equal opportunity employer. alliance data will provide accommodations to applicants needing accommodations to complete the application process. any applicant offered employment will be required to establish that they are legally authorized to work in the united states for alliance data. alliance data participates in e-verify. alliance data will consider for employment qualified applicants with criminal and credit histories in a manner consistent with the requirements of all applicable laws, including the city of los angeles’ fair chance initiative for hiring ordinance. alliance data complies with the americans with disabilities act (ada), as amended, and all applicable state/local laws. applicants with disabilities may contact alliance data to request an arrange for accommodations. if you need assistance to accommodate a disability, you may request an accommodation at any time. please contact the recruiting team at taops@alliancedata.com . job family: data and analytics job type:  regular",data scientist
"company description  our company abercrombie & fitch co. is a portfolio of lifestyle brands including abercrombie & fitch, abercrombie kids, hollister, and gilly hicks. reaching customers across 120+ countries, we strive to create customer-centric, omni-channel experiences for our global customer base. our values how do we do it? every day, our associates show up and empower one another to stay curious and think big. as a team of relentless innovators, we aren’t afraid to dream boldly. we are accountable and aim to the highest caliber to understand, push boundaries and embrace change. we coach, mentor, care, and bring our best selves every day because we are in this together. whether you lead yourself, a team, or the company, everyone is a leader at a&f.  job description  our global data & analytics team is the hub of harvesting and analyzing data to drive strategic, customer-centric business decisions for our brands. by collaborating with partners across a broad variety of business functions, associates on our d&a team provide recommendations that allow our teams to push boundaries and stay at the forefront of retail trends. the assistant data scientist on our a&f corporate analytics team will focus on statistical modeling, customer segmentation, geo analytics and modeling, advanced customer and product lifecycle analyses, e-commerce, and measurement process support. primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel sales potential by market, develop modeling/segmentation approach for various work streams, incorporate new data types & sources into existing data structures, and develop actionable data products that drive the company’s bottom line. this role closely partners with our marketing/real estate/product management/operations teams to help support their advanced analytics/reporting and segmentation needs. the assistant data scientist brings passion for learning and data-informed decision making that shapes holistic view of our business with consideration for all aspects of the customer experience - from front-end web & store experience through order fulfillment and customer service. what will you be doing? modeling & segmentation build innovative machine learning models and segmentations for personalization initiatives to drive margin, revenue, and conversion. develop geo optimization models that drive market opportunity assessment and real estate location selection; decompose omni-channel impact in the marketplace as result of store open/closures. build out robust advanced segmentation schemes for our customer and email files. develop various predictive models (response, propensity, life-time value, affinity, churn etc.). understand and be able to apply advanced modeling techniques such as logistic regression, generalized linear models, decision trees, random forest, cluster analysis, survival analysis, etc. identify ""low hanging"" opportunities to increase conversion, save costs, drive revenue. incorporate new data sources (social, clickstream, unstructured) & new types of data into segmentation/modeling/analysis. analytics ecosystem serve as quantitative sme for broader a&f team. help identify cross-channel / cross-platform optimization opportunities for customer, product, market, promotions and price. be an evangelist of data-informed decision-making and consistently look out for new ways to leverage data and analytics. ensure data accuracy and single source of truth; work with data engineers to identify or build new solutions. what will you need to bring? bachelor's degree in data analytics, statistics, mathematics, computer science, information systems, or related field 0-1 year of data/customer analytics experience (retail environment is a plus), including: customer-level predictive models/segmentation geo/location analytics advanced analyses (ltv, basket analysis, contact stream optimization, elasticity etc.) advanced reporting; or proficiency with sql, sas, python or r. familiarity with geo analytics tools and big data platforms is a plus. highly motivated/self-starter with a sense of ownership, willingness to learn, and desire to succeed. must perform well in high-pressure situations, balance competing priorities, and demonstrate the ability to work without direct supervision.  additional information  abercrombie & fitch co. is an equal opportunity employer",data scientist
"we believe a large part of building an effective insurance company can be solved with a principled quantitative framework. we are committed to the rigorous development and effective deployment of modern statistical machine learning methods to problems in the insurance industry.  a data scientist at root is responsible for the end-to-end development of statistical methods and algorithms. this includes taking high-level business challenges, translating them into a concrete, quantitative framework, and shepherding solutions from r&d into production. data scientists typically work on cross-functional teams, regularly engaging with the members of various departments including product, actuarial, marketing, and engineering.  associate data scientists will join root’s data science rotation program. this 9 month program is designed for aspiring data scientists with a strong background in a technical field to kick-start their career in data science. you will apply quantitative techniques to real business problems while developing your theoretical and technical foundation in statistics and machine learning. we are looking for candidates with high quantitative aptitude, strong programming skills, and a passion for problem solving. responsibilities: learn and apply fundamental statistical and machine learning techniques to solve quantitative problems rapidly grow your data science toolkit through on-the-job training and dedicated coursework tackle quantitative insurance challenges in areas such as telematics risk scoring, pricing, reserving, and estimating customer lifetime value effectively communicate insights from complex analyses at the end of the rotation program, demonstrate sufficient mastery of data science fundamentals to qualify for a promotion to data scientist i qualifications: in-depth knowledge of a technical discipline, phd preferred mathematical maturity and basic understanding of probability theory e.g. independence, bayes’ theorem, combinatorics, calculus strong programming skills in r or python with some experience fitting models exceptional communicator and storyteller end-to-end ownership mentality with a high level of attention to detail data analytics maturity: able to review descriptive statistics and business metrics and make recommendations",data scientist
"job description: fiserv’s technology analyst program is an early career development program where candidates experience two one-year assignments in a core functional role within the firm. each assignment builds upon the other and together will provide a breadth of experience unique in the business world…and unique to you! we are looking for university graduates with drive, enthusiasm, and an evolving target for their career. as a part of the technology analyst program, you will have the opportunity to participate in complex projects that can have a significant impact on the business while strengthening the skills vital to lead in the fintech industry. training curriculum, mentoring, on the job learning and exposure to senior leadership will be offered in these entry-level opportunities with the ability to advance within our company upon completion of the two-year program. this cyber security team is responsible for performing analysis of datasets from a wide array of sources, including security tool event and machine data, and ensuring the completeness and quality of the underlying is aligned with the organizational strategy and complies with best practices. the role will expose the candidate to new technologies and modern advanced analytical techniques. qualifications: recent graduates of a bachelor’s degree program 3.0 + gpa relevant experience (including projects and internships) demonstrating skills in research and analysis, and have experience analyzing large, complex, multi-dimensional datasets with a variety of tools proficiency in microsoft productivity applications, with an emphasis in excel programing knowledge in one or more of the following: python, r, scala, java, sas, sql working knowledge of a visual data exploration tool e.g. tableau or power bi intermediate level of ms excel skills, including formulas, vba, macros and data tables understanding of existing & emerging data technologies (splunk, elasticsearch, etc) ability to implement verbal and visual storytelling with data high curiosity for data discovery strong problem-solving and data exploration skills strong verbal and written communication skills ability to adapt to a changing environment and prioritize tasks accordingly experience working in a fast-paced environment and flexible to changing priorities military-affiliated applicants encouraged to apply (veterans, military spouses, and guard/reservists) must possess unrestricted work authorization and not require future sponsorship tech tracks: cyber infrastructure data science it project management majors: a range of college majors are considered based on specific needs of department such as: computer science, network engineering, engineering, mathematics, cyber security, mis, data science, and stem (science, technology, engineering, or math), but willing to train the right candidate. please note: our technology analyst program interview process begins in october and typically lasts through mid may for a june 2021 start date. you can expect to hear from one of our recruiters if your qualifications align. learn more about fiserv: to support the total well-being of our associates, fiserv takes a broad approach to our benefits. we offer a comprehensive benefits package that provides flexibility and affordability with a variety of medical, dental, vision, life insurance and disability options. we are #fisvproud of our benefits and well-being programs. our commitment to wellness, wellness education, preventive services and fitness activities are designed to meet you where you are. life moves fast. and as it does, we know most people aren’t thinking about “financial services”. but we are. we help people and businesses move money and information every minute of every day. our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely. we’re fiserv, a global leader in fintech and payments enabling innovative financial services experiences that are in step with the way people live and work today. the company’s approximately 44,000 associates proudly serve clients in more than 100 countries, so their customers, members and consumers can move money when and where they need it, at the point of thought. our aspiration is to move money and information in a way that moves the world. as a fortune™ 500 company and one of fortune magazine world’s most admired companies for the seventh consecutive year, we are committed to excellence and purposeful innovation. we welcome and encourage diversity in our workforce. fiserv is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran explore the possibilities of a career with fiserv and find your forward with us. #fsap",data scientist
"if you have an autism diagnosis and are looking for a career in tech in a great work environment, we want to hear from you. auticon currently has an immediate hiring need for data scientists- from junior (minimum 1 year professional experience, see skills and qualifications for specifics) to senior level professionals. for these roles, we are looking for individuals with quantitative degrees comfortable enough with research methodologies that they can tackle abstract business and engineering problems with extreme precision, and who have the enthusiasm and initiative necessary to deliver those answers at a fast pace. you should have demonstrable programming skills (python preferred) and be comfortable with the engineering development process. as a data scientist at auticon you will help our clients solve fascinating and challenging problems. we realize that getting and keeping a job can be challenging, so we’re on your side. we provide a professional auticon job coach and technical leader in an accommodating work environment to help you succeed. the skills and main responsibilities for this role are below, but you do not have to meet all of them to apply! the role: as a data scientist at auticon you will need strong creative problem-solving skills to translate a wide variety of business processes or problems into ai, machine learning, deep learning, or neural network solutions and the technical background to implement those solutions. the ideal candidate will be involved in methodically running experiments to evaluate alternate models via theoretical approaches. responsibilities: analyze large, noisy data sets from many different sources to discover trends and patterns undertake preprocessing of structured and unstructured data build predictive models and learning algorithms write sql, nosql, or similar data queries perform statistical tests and evaluations to make good decisions and determine the right action build and manage data pipelines and processes communicate results with stakeholders, executives, and other non-data scientists in a way that they can understand and makes them feel empowered collaborate with engineering and product development teams deliver on timeline commitments where necessary help interface and facilitate collaboration with the client’s team, in collaboration with and alignment with job coach and their responsibilities work alongside your dedicated job coach for support help outline and scope engagements (senior level only) coach less experienced data scientists on your auticon team (senior level only) skills and qualifications: 1+ years of relevant professional work experience includes: paid and unpaid work, full-time/part-time work, freelance professional work (paid or unpaid, client or family/friend), internships does not include: college courses or personal projects work experience does not have to be consecutive ability to keep track of many complicated interactions between different data sources solid mathematical skills bachelor’s, masters or phd in applied mathematics, statistics, data science, or similar scientific/technical field (or equivalent experience) preferred but not all skills mandatory to apply: experience with python (including numpy, pandas, scikit learn, tensorflow), sql, and familiarity with software development tools and workflow (automated testing, git, clean code)  applicants must now and in the future be legally eligible to work in the us for any employer. auticon does not provide visa sponsorship or transfer for this opening. apply now please send an email to with your resume attached, briefly stating whether or not you have an autism spectrum diagnosis and what your expertise is. auticon provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. this policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.",data scientist
