JobDesc,JobTitle
"innovar group is looking for a data scientist in westminster, colorado  click apply now to learn more about this job  innovar group is currently seeking a smart, energetic, and intelligent data scientist to join a well-established company in westminster, co. this is a great opportunity to gain “start-up” experience while still having stability. job type: database analysis/development category: financial experience: direct hire salary: $120,000+ depending on experience  about us: we open doors to great opportunities  innovar group is comprised of senior talent agents who deliver top recruitment services to clients throughout the united states. we bring a new era of recruiting to the industry by aligning state-of-the-art technology with outstanding talent.  innovar - derived from the latin “to innovate” - this is what we set out to do each and every day. we strive to go beyond the norm to utilize innovative next-gen recruiting tools connecting us to the world at large in order to uncover high-impact technology talent for our valued clients. our goal is straightforward: the unmitigated satisfaction of each client. the difference is significant; we provide consummate service and foster long-term, thriving relationships with our clients. in essence, we work as a vital member of your talent acquisition team.  keywords: benefits / engineering / publishing / experience / process management /",data scientist
"data scientist- biotech remote usa major biotechnology company work with biotech data management & biostatistics experts by bringing your programming skills to the team we are seeking programmer/engineers with 3 to 5 years of experience with python, as well as various aspects of object-oriented programming, and aws general expectations program within the python programming language familiarity with pandas and numpy libraries work with large datasets and databases (mysql) work with amazon web services (aws) and big data technologies such as glue and lambda work with a system architecture which has already been built, and provide integration to other systems within the organization familiarity with statistical analysis software such as r, rstudio, and tableau familiarity with r studio, shiny r, tableau and quicksight familiarity with spark (ada) familiarity with hadoop clusters familiarity with data pipeline and workflow management tools awareness or familiarity with medidata rave, electronic data capture system for clinical research a plus above-average communication skills this role requires excellent communication and self-motivation skills as an independent contributor, incumbent will be part of a team with colleagues working from home across the u.s. as a key player in this team, you must have the ability to provide thoughtful input on how to move projects forward above all, be a world-class communicator. you may spend much time communicating with non-programmers within the organization experience & education requirements you are accustomed to working from home, and contributing to a team you are adept at explaining technical and programming information to non-programmers. you may have worked for a large or small company, and appreciate soliciting ideas and suggestions from others you are organized and goal oriented. you strive to complete projects and deliverables on time with exceptional quality you would rather pick up the phone and talk to someone instead of email them and wait for an answer you enjoy technology and talking to others about it education a bachelor’s degree (or equivalent) is preferred, but not required with sufficient programming experience persons with software and system certifications and 3 to 5 years of hands-on programming experience with python are encouraged to apply job type: full-time pay: $115,000.00 - $130,000.00 per year benefits: 401(k) 401(k) matching dental insurance employee assistance program flexible schedule flexible spending account health insurance life insurance paid time off referral program retirement plan vision insurance schedule: 8 hour shift experience: python: 3 years (required) aws: 1 year (required) r studio and shiny r: 1 year (preferred) tableau and quicksight: 1 year (preferred) work location: fully remote work remotely: yes",data scientist
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"when you join verizon verizon is a leading provider of technology, communications, information and entertainment products, transforming the way we connect across the globe. we’re a diverse network of people driven by our ambition and united in our shared purpose to shape a better future. here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. together, we are moving the world forward – and you can too. dream it. build it. do it here. what you’ll be doing... verizon is serious about innovation. about being the first and being the best. verizon location services (vls) sits at the core of the strategy and new business development organization and is a critical part of driving innovation across our global customer base, both inside and outside of verizon. backed by more than 50 years of location-based expertise, we are building solutions that leverage the power of location intelligence to help drive technologies of the future. technologies like 5g, multi-access edge computing and artificial intelligence that are allowing us to create products that were previously impossible. we’re building tomorrow with the best of today. your role use your experience and skill set (along with your imagination) to manipulate and analyze complex, high-volume, high-dimensionality data from varying sources to help develop various types of data-driven products. conduct market/competitive research and analysis to understand current market trends; identify “white space” opportunities; and understand technology distributions that could impact the data science road map. spearhead statistical analysis,third party data integration and hypothesis testing. establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation. collaborate with other engineers or engineering teams to push the algorithms into production. use your passion for identifying questions and for answering hard questions with data to improve business performance. what we’re looking for... you'll need to have: bachelor’s degree in engineering, statistics, or mathematics or or four or more years of work experience. six or more years of relevant work experience. experience in exceptional data mining, statistical analysis and coding skills. experiencein big data technologies and strong skills in a statistical programming language such as python, r or scala. skills with analyzing and deconstructing very large data sets. even better if you have master’s degree or phd in applied mathematics, statistics, physics, computer science, operations research or related field. ability to solve problems, attitude, an entrepreneurial spirit, and a desire to unlocking multi-millions worth of unique data. experience in exceptional data mining, statistical analysis and coding skills. experience on the amazon cloud platform and working in spark, redshift, parquet. ability to balance the “art and science” by solving analytical problems using quantitative and qualitative approaches. passion forknowledge and helping othersknow how the mapquest data and information can be leveraged everyday across b2c and b2b products. ability to turn significant amounts of data into informative/ insightful actions through various statistical techniques that turns into business results. ability to work independently as well as lead small cross-functional teams leadership experience in location-based analytics. experience with mobile technologies, geospatial and location services. knowledge of big data processing technologies such as kafka, hadoop, and nosql database. experience with deep learning technologies such as convolutional neural networks and their application to computer vision. knowledge with agile development methodology. compensation our benefits are designed to help you move forward in your career, and in areas of your life outside of verizon. from health and wellness benefits, short term incentives, 401 (k) savings plan, stock together, paid time off, parental leave, adoption assistance and tuition assistance, plus other incentives,we’ve got you covered with our award-winning total rewards package. for part-timers, your coverage will vary as you may be eligible for some of these benefits depending on your individual circumstances. if you are hired into a colorado work location, the compensation range for this position is between $100,800 and $187,200 based on a full-time schedule. the salary will vary depending on your location and confirmed job-related skills and experience. this is an incentive based position with the potential to earn more. for part-time roles, your compensation will be adjusted to reflect your hours. equal employment opportunity we're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and veteran status. at verizon, we know that diversity makes us stronger. we are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. we strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. check out our diversity and inclusion page to learn more.",data scientist
"are you inspired by challenging the status quo? do you thrive in collaborative environments that drive results? if so, gates could be for you.  gates is a leading manufacturer of application-specific fluid power and power transmission solutions. we push the boundaries of material science to engineer solutions that continually exceed customer expectations.  let's simplify it… think belts and hoses. found in motorcycles, conveyor belts, cars, tractors, blenders, vacuum cleaners, bicycles, & 3d printers just to name a few. because why not do it all?  what to expect at gates, we welcome challenges, celebrate hard work, and continually seek new talent to join our global company. our downtown denver office is seeking to hire a passionate associate data scientist within the existing data science function. this role will use data science and analytic techniques to provide gates' leadership team with a data-driven approach to solving problems.  you'll be working directly with the manager of data science to define, track, and deliver projects to business functions throughout the organization. this is an exciting opportunity for you because you will be solving real-world problems with data science! your objective/goals will be working with diverse sets of structured and unstructured datasets to deliver business value. you'll be able to generate novel insights from the data and deliver them to key stakeholders. key responsibilities (to name a few): exploring and working with a wide range of datasets driving analytic solutions for multiple business functions scoping and executing all steps of the data science process    about you the ideal candidate is a data practitioner who has experience working with diverse sets of structured and unstructured datasets to deliver business value. this individual needs to own and drive analytics solutions for multiple business functions by scoping and executing all steps of the data science process. they will be responsible for independently exploring and working with a wide range of datasets and are expected to generate novel insights from the data and deliver them to key stakeholders. this individual needs to be passionate about the data science research process and intellectually curious about solving real-world problems with data.  undergraduate degree in data science, statistics, computer science, or related field required master's degree or phd in data science, statistics, computer science, business administration, or a related field preferred 1-3 years of relevant experience in data science or business analytics setting proficiency in multiple programming languages including python, r, and sql required experience with bi/analytics tools including alteryx, tableau, and power bi preferred experience with data engineering and database development (aws, microsoft azure) a plus exposure to analysis around market intelligence and economic data a plus strong intuition for analytical methodologies and a desire to solve novel technical challenges excellence in balancing multiple projects in a fast-paced environment strong written and verbal communication skills ability to work independently and on a team, as well as report findings to executive level individuals have a tenacious desire to impact the success of the business must be legally authorized to work in the united states without company sponsorship.  pay & benefits full-time medical, dental, vision insurance and other voluntary benefit options: benefits begin on the first day of the month immediately following your date of hire eligible for 3 weeks of paid vacation + 11 holidays (9 scheduled & 2 floating) + 8 sick days. all vacation days are accrued 401(k): 3% company contribution and additional 3% company match tuition reimbursement learn more about the benefits we provide at www.gateshealth.com  why gates? founded in 1911 in denver, colorado, gates is publicly traded on the nyse. while we might operate in a vast amount of time zones we operate as 'one gates' and have a common goal of pushing the boundaries of materials science. we invest in our people, bringing real-world experience that enables us to solve our customers' diverse challenges of today and anticipate those of tomorrow.  while we expect the best, we also want to give you the best. that's why at gates we provide an environment where people can succeed from our policy of 'dress for your day' (yes - that means you can wear jeans), health club reimbursement, to our ownership of your work/life balance and more. visit www.gates.com/careers to learn more.  work environment while performing the duties of this job, the employee is frequently required to sit; use hands to finger, handle, or feel objects, tools, or controls; and talk or hear. the employee is occasionally required to stand, walk, and reach with hands and arms. the employee must frequently lift and/or move up to 10 pounds. specific vision abilities required by this job include close vision.  gates is an equal opportunity and affirmative action employer and is committed to ensuring equal employment opportunities for all job applicants and employees. employment decisions are based upon job-related reasons regardless of race, sex, color, religion, age, disability, pregnancy, citizenship, sexual orientation, gender identity, national origin, protected veteran status, genetic information, marital status, or any other consideration defined by law.  are you driven by possibility?  # li-ch1",data scientist
"job summary the cooperative institute for research in environmental sciences (cires) at cu boulder encourages applications for an associate scientist position within the physical sciences laboratory (psl) of noaa’s earth system research laboratories (esrl) in boulder, colorado. psl and cires are participating in the noaa “climate-fisheries initiative” to enhance access, analysis, and visualization of ocean data and model output. the chosen candidate will assist in the development of a centralized hub for climate and oceanographic information and the creation of new data portals for use in marine resource applications. the position will entail working with federal and university employees to build psl’s data archive by downloading and processing large earth system model data sets and developing software that will enable users worldwide to access, analyze, and display the data. in addition, the individual may also participate in research projects contributing to publications and presentations.  the university of colorado boulder is committed to building a culturally diverse community of faculty, staff, and students dedicated to contributing to an inclusive campus environment. we are an equal opportunity employer, including veterans and individuals with disabilities. who we are cooperative institute for research in environmental sciences  at cires, the cooperative institute for research in environmental sciences, more than 800 environmental scientists work to understand the dynamic earth system, including people’s relationship with the planet. cires is a partnership of noaa and the university of colorado boulder, and our areas of expertise include weather and climate, changes at the earth’s poles, air quality and atmospheric chemistry, water resources, and solid earth sciences. our vision is to be instrumental in ensuring a sustainable future environment by advancing scientific and societal understanding of the earth system.  https://cires.colorado.edu/  physical sciences laboratory  our mission is to conduct scientific research to observe, understand, model, predict and forecast weather, water and climate extremes and their impacts. an informed society that uses science-based environmental intelligence to effectively anticipate and respond to threats and opportunities related to weather, water and climate extremes. our research goals are as follows: rigorously characterize and predict weather, water, and climate extremes and their uncertainties to support noaa's mission. develop new process understanding, observing, and modeling capabilities to predict conditions associated with too much or too little water for early warning, preparedness, resource management, and adaptation. improve monitoring and prediction of weather, climate, and water conditions impacting marine resources. https://www.esrl.noaa.gov/psd/about/ what your key responsibilities will be obtain, process, and document existing and new datasets, including in situ and satellite data, global and regional model simulations, and ocean reanalyses (which combines observations with model fields). evaluate data quality and the accuracy of ocean model simulations. develop software to analyze and visualize different types of data using modern programming languages. contribute to publications in scientific journals and conference presentations. what you should know if you are a selected finalist you will be required to pass a federal laboratory background clearance for site access. this position will be rostered in cires at the university of colorado boulder but will be physically situated in the david skaggs research center, 325 broadway, boulder, co 80305. what we can offer cires can offer a generous compensation package. salary is commensurate with education and experience and determined based on our cires internal career track classification. the annual hiring salary range for this position is $50,000- $85,000. relocation funds are available for this position following cires and the university of colorado’s relocation processes and procedures. the university of colorado offers excellent benefits, including medical, dental, retirement, paid time off, tuition benefit and eco pass. the university of colorado boulder is one of the largest employers in boulder county and offers an inspiring higher education environment. benefits the university of colorado offers excellent benefits, including medical, dental, retirement, paid time off, tuition benefit and eco pass. the university of colorado boulder is one of the largest employers in boulder county and offers an inspiring higher education environment. learn more about the university of colorado boulder. be statements be brilliant. be impactful. be boulder. what we require bs degree in oceanography, atmospheric science or a related field, and at least two years of relevant experience or a ms or phd in oceanography, atmospheric science or a related field. what you will need ability to work as a team member. ability to contribute to a diverse and inclusive workforce. what we would like you to have understanding of general aspects of oceanography. demonstrated experience working with large observational, reanalysis, or model datasets, such as analysis, visualization, and/or statistical evaluation. experience developing structured code in commonly used languages. special instructions to apply, please submit the following materials: resume or cv. cover letter addressed to the search committee briefly describing your qualifications, professional goals, and specific interest in this position. list of contact information for 3 references. you don’t need to include letters of recommendation with your initial application. the search committee will request letters of recommendation at a later time if you are identified as a finalist for this role. if you are selected as the finalist, we will contact you through email and request that you submit 1 name and email of a reference who will be asked to submit a letter of recommendation (can be one of the 3 noted above). this information will be kept confidential and viewable only by the search committee. if you are selected as the finalist, your degree will be verified by the cu boulder campus human resources department using an approved online vendor. if your degree was obtained outside of the united states, please submit a translated version (if applicable) as an optional attachment.  applications will be reviewed as they are received. position will remain posted until filled.  note: application materials will not be accepted via email. for consideration, applications must be submitted through cu boulder jobs.  posting contact information posting contact name: cathy smith posting contact email: cathy.smith@noaa.gov",data scientist
"at snapdocs, we are on a mission to enhance the real estate closing process with efficiency and transparency so that lenders can close their loans sooner and home buyers can move into their dream homes quicker. to help us accomplish this goal, we are looking to bring on a senior data scientist to join our small but mighty team of two data scientists! the ideal candidate is someone who relishes pouring over messy data to find patterns and train machines to do so with high accuracy and recall. if this sounds exciting, read on...  snapdocs is an early-stage, rapidly growing company backed by investors like sequoia, sv angel, and ycombinator. we're a small team taking on the extensive mortgage market. we're bringing a scalable and sophisticated software to a pillar of the us economy that still relies on fax machines and manila envelopes.  the type of problems we focus on involve workflow, product design, and data. monolith vs microservices is an ongoing debate. we are working to find a good authentication pattern that allows for people to work across companies in multiple roles (which is trickier than you might think). domain driven design is our guiding light.  as a senior data scientist, you will focus on aggregating and analyzing large datasets to identify behavior trends using statistics, advanced data mining techniques, and build data models to tackle real-world problems. this means helping to develop our training data, building quick prototypes to evaluate signal to noise ratio in the data, and piping them through multiple machine learning models to find the model that can help automate work. the ideal candidate is someone comfortable leading a team through greenfield projects while pouring over heaps of data to find patterns and train machines to do so with high accuracy and recall. you will build models from the ground up while updating existing models (ml and ai) to automate repetitive repeatable tasks. you will analyze data generated as a by-product of manual tasks and build models that can operate on similar or better accuracy than humans. up for the challenge?  over the past 5+ years, you have mastered advanced machine learning techniques to experiment with large data sets while building models deployed in production. you have an expertise in one or more programming languages including python, sql or r and have used cloud platforms, bonus points for aws. this is a niche role so advanced degrees in quantitative fields like statistics, computer science, and mathematics are required (phds are ideal). technical leadership and individual contributor hats both fit you well. you can lead from within while guiding the direction for a technical roadmap. we have a small data science team of 2 today so empathy and collaboration are keys to success. lastly, you are eager to learn! you don’t know every toolset but have proven that with the right problem, a good tutorial, and a healthy appetite for stackoverflow, you’ll figure it out but don’t mind asking simple questions that result in measurable insights if need be.  colorado applicants: this role pays $140,000 - $175,000 annually plus equity in the company (pay for other locations may vary).  snapdocs strongly values diversity and drive. we want to work with people of different backgrounds and different paths in life, and we trust our team to make smart decisions. this means we value independent work as well as collaboration. we provide excellent benefits (listed below) and are located in both san francisco and denver!  our benefits include (but are not limited to): 21 days of vacation company subsidized health, dental, vision insurance flexible spending account for healthcare and dependent care 401(k) with up to 4% company match life and disability insurance commuter benefits",data scientist
"your challenge:: change is coming.es. at himss, we’re committed to building a world where everyone, everywhere has access to care that works. a world where a better future for healthcare means leveraging the power of information and technology—and celebrating those who make change possible.  to get there, we’re creating an environment where you have the support, tools and resources that inspire the kind of groundbreaking thinking that will bring this vision to life.  we’re building a digital platform that brings healthcare professionals and medical providers together to master and drive digital transformations in organizations - and everyday work life. one that pairs an engaging and delightful user experience with the best news, training and certification, and research and insights available in the market.  join us to create what’s next for health– it’s an opportunity you simply can’t miss.  your challenge: the data scientist applies strong expertise in machine learning, data mining, and information retrieval to design, prototype, and build next generation advanced analytics engine and services. the data scientist collaborates with translators to define technical problem statement and hypothesis to test; develops efficient and accurate analytical models that mimic business decisions.  the things that you will tackle: ability to understand business context and identify use-cases where data science and technology can drive the business solution design, create, test and implement complex models and algorithms that drive analytical solutions throughout the organization conduct advanced statistical and other analysis to provide actionable insights, identify trends, and measure performance. collaborate with the product, engineer, and business teams and understands business problems to implement scalable and sustainable solutions coordinate with mis, digital specialists, and data engineers to deliver holistic analytical solutions support translators in communicating the design, functioning and output of the analytical models/solutions developed ensure timely analysis and testing for regular maintenance of solutions over time what you will need to be successful:: advanced degree in computer science, computer applications, statistics, mathematics or other relevant field is strongly preferred strong experience in a statistical and/or data science / business intelligence role prior experience in machine learning, statistics, optimization or related fields; deeper experience in working with large data sets, simulation/ optimization or distributed computing tools is a plus leverage solid principles and a clear framework when approaching data science and data engineer tasks; demonstrates second-order thinking deep understanding of data science techniques and their mathematical underpinnings experience with programming is required; specific experience in r or python is a plus experience of working with large data sets, simulation/ optimization and distributed computing tools (map/reduce, hadoop, hive, spark, etc.) is a plus previous experience with healthcare or social network use cases are a plus user research and user testing. experience with quantitative methods and analytics is a plus. why we love himss, and why you will, too:: fun, collaborative and winning team environment. flexible working arrangements. competitive pay and comprehensive healthcare coverage. generous paid time off, including time off to volunteer! wellbeing programs to support all of your emotional, physical and financial needs. emphasis on continuous learning and development.  are you a changemaker? together, we’ll do amazing things for healthcare.  himss is an equal opportunity employer: vets/disabled",data scientist
"who we are: at wunderman thompson we exist to inspire growth for ambitious brands. part creative agency, part consultancy and part technology company, our experts provide end-to-end capabilities at a global scale to deliver inspiration across the entire brand and customer experience. we are 20,000 strong in 90 markets around the world; our people bring together creative storytelling, diverse perspectives, inclusive thinking, and highly specialized vertical capabilities to drive growth for our clients. we offer deep expertise across the entire customer journey, including communications, commerce, consultancy, crm, cx, data, production, and technology. who we are looking for: wunderman thompson is seeking a smart, inquisitive, self-driven data scientist to join our growing data science capability within wunderman thompson data products. you'll be part of the data science innovation & engineering group responsible for building scalable data science solutions that can be used across all of our data business. as a data scientist you will be responsible for contributing to the development of machine learning solutions across all our data assets within wunderman thompson data products. the approach we take within this department is learn fast, innovate well, requiring you to write efficient code, explore approaches and evaluate techniques against performance. you will have the freedom to contribute to methodology decisions and the responsibility of turning your code into production level solutions that can be rolled out across the business. we're looking for someone who is genuinely excited about the field of data science right now, driven by continuous learning, development and contributions to the wider community. what you'll do: create | understanding the business problem at hand and where value can come from in terms of machine learning and data science. data wrangling, feature engineering, proper treatment of variable types etc. methodology selection and testing. coding solutions to a production level collaborate | contribute to the wider dsml (data science and machine learning) community across wunderman thompson who you are: curious | with an inquisitive mindset you embrace the unknown and see as an opportunity to explore and innovate. ambitious | willing to take calculated risks, stretch yourself and your team to do new things vs. plugging into existing solutions. passionate | you take great pride in your work. you approach our own and our clients' business challenges with enthusiasm and a commitment to getting it right. you love working in health. you see data science as a way of expressing creativity. humble | wear any hat that needs to be worn, and you know you do not know everything. you want to learn from others. what you'll need: a minimum of 3 years' experience: strong applied machine learning experience including but not limited to: regression (logistic/linear/glms/ridge/lasso). tree based (xgboost, lightgbm, rf). clustering (kmeans/rfm/hierarchical/hdbscan). some deep learning experience neural networks (mlps, aes, cnns, rnns lstms, gans). experience in at least one deep learning framework: tensorflow, pytorch, keras, mxnet, gluon. strong python, sql. version control – git. strong examples of independently developed machine learning pipelines end-to-end, from problem formulation, data pre-processing, feature engineering, model optimization, and deploying models into production. strong nlp experience: word2vec, glove, ltsms, lda, ner, probabilistic language models. apache spark. ibm watson cloud pack or other cloud machine learning platform. using gpus/tpus for accelerating algorithms. apache spark (pyspark, sparklyr or scala) for scaling algorithms. cloud services experience to implement and scale algorithms. ability to explain model output and ml approaches to non-technical audiences. ability to interpret and communicate insights, build story & visualization from ml model outputs. an eagerness to develop exciting data science solutions that will have a tangible impact on the business. hard working and focused. strong collaboration and communication skills. self-sufficient. our compensation and benefits (for colorado residents only) base compensation range: $130,000 - $150,000 wunderman thompson is an equal opportunity employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability, or other protected group status. we believe in creating a dynamic work environment that values diversity and inclusion and strives to recruit a diverse slate of candidates to help us achieve that goal. at wunderman thompson, we are committed to actively building a diverse, equitable and inclusive workplace where everyone feels welcomed, valued and heard, and is treated with dignity and respect. as leaders and creative partners across industries, it is our responsibility to cultivate an environment reflective of our greatest asset; our people. we believe that this commitment inspires growth and delivers equitable outcomes for everyone as well as the clients and communities we serve. wunderman thompson is a wpp agency. for more information, please visit our website and follow wunderman thompson on our social channels via twitter, facebook, linkedin, and instagram. we rely on legitimate interest as a legal basis for processing personal information under the gdpr for purposes of recruitment and applications for employment.",data scientist
"the data scientist will be responsible for helping the hospital use data more effectively to better understand and improve our bedside care. this position will work closely with clinical and non-clinical teams to answer questions using data and use predictive analytics to help the hospital plan for the future. this person will have the responsibility to build the hospital’s analytics program from the ground up.  position requirements: licensure/certification/registrations: none education: master’s degree in data science or related field required. experience: 5+ years of experience using the tools of data science. proficient in r, python, or other machine learning/statistical software platform. advanced familiarity with tableau and sql. knowledge of epic emr preferred but not required. skills & abilities: ability to foster and maintain collaboration with other departments, institutions and programs. demonstrated excellence in written communication skills. the ability to effectively communicate with people to convey or exchange information. ability to participate in data analysis utilizing basic research designs. focused on conducting research related to the broad concerns and objectives of craig hospital and the patients and families we serve. demonstrate ability to successfully develop, obtain funding, implement, lead and complete clinical research. ability to work with teams of clinicians and researchers and provide expertise and consultation in the development and conduct of research at craig hospital. reviews and understands specifics regarding proposal writing. ability to work competently and effectively under stress. ability to meet frequent deadlines within short time frames. excellent organization and customer service skills. ability to successfully handle multiple priorities and prioritize and schedule accordingly. must be able to successfully and effectively communicate with a variety of personnel. work collaboratively with other departments and physicians. advanced computer skills including microsoft office. ability to input, access and analyze data and sufficient overall understanding and knowledge of computer hardware and software necessary to successfully complete research and training projects. essential functions: use statistics to answer program improvement and business questions throughout the institution. use quantitative analysis, signal processing, data mining and machine learning to analyze clinical data and develop predictive models. present data using tableau in the most effective way for a given project. present data to a variety of staff from front line clinical staff to the executive team and governing board. integrate publicly available data sets in a variety of formats with internal data. create automated anomaly detection system and constant tracking of its performance. build tools to automate data collection. analyze and interpret data quantitatively in the context of relevant models and project goals. exercise technical proficiency in the design, execution, and data informed interpretation. take ownership in preparing in-depth technical reports, summaries, and protocols; effective technical writer. be an organization-wide advocate for evidence-based decision-making and the use of data. build dashboards and reports that provide visibility into how we use and report our hospital data. build statistical models that help us understand the data to make informed decisions. act independently to determine methods and procedures on new assignments. exercise independent judgment in developing methods, techniques and evaluation criteria for obtaining results. contribute to the improvement and automation of data processing pipelines across different clinical studies. build and improve dashboards and reports for internal and external communications. contribute to operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring, data cleaning, e-data processing, data access and visualization, and database release. ** this job description is not intended to be an exhaustive list of all duties. employee may perform other related duties as assigned.  craig hospital benefits: benefit eligible positions: craig hospital offers an amazing benefit package for those employees who are benefit eligible. our medical insurance is a self-funded plan administered by allegiance benefit plans with two different comprehensive plans. we have dental insurance through delta dental of colorado. craig hospital’s vision plan is provided by eyemed. other benefits offered to our employees include life insurance, health care and dependent care spending accounts. craig also provides and pays for both short term and long term disability insurance plans for every benefit-eligible employee. our paid time off (pto) and extended illness (eib) banks are very competitive for paid days off for vacations, sick days, holidays and personal time. additionally, we have a 403b retirement plan with matching contributions through empower retirement that you are eligible for upon hire. craig hospital also offers tuition assistance and employee assistance programs.",data scientist
