JobDesc,JobTitle
"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. The Aviation Safety & Analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. We have a treasure trove of data including time series, text and sensor data and challenging problems to solve. We are seeking skills in machine learning, deep learning, text mining, big data and software/application development. If Sklearn, pyTorch, Keras,TensorFlow, LSTM, LDA, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. You are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. The candidate will work with the FAA and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. The candidate will be responsible for supporting a team of more senior AI/ML staff and Data Scientists in the following tasks: Leveraging AI/ML techniques and solutions to identify complex patterns for predicting safety hazards Increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, AI/ML techniques and human SME/analyst expertise Develop and prototype AI algorithms and software tools. Enhance and maintain current analysis tools, including automation of current processes using AI/ML algorithms. Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets Develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities Basic Qualifications: Bachelor’s Degree in Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields Hands-on Software Development Skills (Python-Preferred) Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms. Ability to work closely with Domain experts to develop tools/algorithms needed to answer research questions in their studies Excellent Communication Skills (with the abilty to explain developed tools and ML algorithms to a non-technical audience) Ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems Strong analytic, inferencing, critical thinking, and creative problem-solving skills Self-starter with ability to work both independently and with a team Preferred Qualifications: 1 to 2 years of relevant experience Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc. Ability to apply these frameworks to real problems in the ‘time -series’ domain Experience with interpretability of deep learning models Big Data Skills (Hadoop, Spark, recent deep learning platforms) Visualizations/Web Development Skills (e.g. Tableau, MEAN stack - MongoDB, ExpressJS, AngularJS, NodeJS). Practical experience with statistical analysis Experience with text mining tools and techniques including in areas of summarization , search (e.g. ELK Stack) , entity extraction, training set generation (e.g. Snorkel) and anomaly detection Expert software development skills lifecycle including developing and maintain good production quality code This requisition requires the following clearance(s): Suitability - FAA MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org. Copyright © 1997-2021, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",data scientist
"Innovar Group is looking for a Data Scientist in Westminster, Colorado  CLICK APPLY NOW TO LEARN MORE ABOUT THIS JOB  Innovar Group is currently seeking a smart, energetic, and intelligent Data Scientist to join a well-established company in Westminster, CO. This is a great opportunity to gain “start-up” experience while still having stability. Job Type: Database Analysis/Development Category: Financial Experience: Direct Hire Salary: $120,000+ depending on experience  About Us: We Open Doors to Great Opportunities  Innovar Group is comprised of senior talent agents who deliver top recruitment services to clients throughout the United States. We bring a new era of recruiting to the industry by aligning state-of-the-art technology with outstanding talent.  Innovar - derived from the Latin “to innovate” - this is what we set out to do each and every day. We strive to go beyond the norm to utilize innovative next-gen recruiting tools connecting us to the world at large in order to uncover high-impact TECHNOLOGY talent for our valued clients. Our goal is straightforward: the unmitigated satisfaction of each client. The difference is significant; we provide consummate service and foster long-term, thriving relationships with our clients. In essence, we work as a vital member of your talent acquisition team.  Keywords: Benefits / Engineering / Publishing / Experience / Process Management /",data scientist
"When you join Verizon Verizon is a leading provider of technology, communications, information and entertainment products, transforming the way we connect across the globe. We’re a diverse network of people driven by our ambition and united in our shared purpose to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here. What you’ll be doing... Verizon is serious about innovation. About being the first and being the best. Verizon Location Services (VLS) sits at the core of the Strategy and New Business Development organization and is a critical part of driving innovation across our global customer base, both inside and outside of Verizon. Backed by more than 50 years of location-based expertise, we are building solutions that leverage the power of location intelligence to help drive technologies of the future. Technologies like 5G, Multi-Access Edge Computing and Artificial Intelligence that are allowing us to create products that were previously impossible. We’re building tomorrow with the best of today. Your role Use your experience and skill set (along with your imagination) to manipulate and analyze complex, high-volume, high-dimensionality data from varying sources to help develop various types of data-driven products. Conduct market/competitive research and analysis to understand current market trends; identify “white space” opportunities; and understand technology distributions that could impact the Data Science road map. Spearhead statistical analysis,third party data integration and hypothesis testing. Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation. Collaborate with other engineers or engineering teams to push the algorithms into production. Use your passion for identifying questions and for answering hard questions with data to improve business performance. What we’re looking for... You'll need to have: Bachelor’s degree in engineering, statistics, or mathematics or or four or more years of work experience. Six or more years of relevant work experience. Experience in exceptional data mining, statistical analysis and coding skills. Experiencein big data technologies and strong skills in a statistical programming language such as Python, R or Scala. Skills with analyzing and deconstructing very large data sets. Even better if you have Master’s degree or PhD in applied mathematics, statistics, physics, computer science, operations research or related field. Ability to solve problems, attitude, an entrepreneurial spirit, and a desire to unlocking multi-millions worth of unique data. Experience in exceptional data mining, statistical analysis and coding skills. Experience on the Amazon cloud platform and working in Spark, Redshift, Parquet. Ability to balance the “art and science” by solving analytical problems using quantitative and qualitative approaches. Passion forknowledge and helping othersknow how the MapQuest data and information can be leveraged everyday across B2C and B2B products. Ability to turn significant amounts of data into informative/ insightful actions through various statistical techniques that turns into business results. Ability to work independently as well as lead small cross-functional teams Leadership experience in Location-Based Analytics. Experience with mobile technologies, geospatial and location services. Knowledge of big data processing technologies such as Kafka, Hadoop, and NoSQL database. Experience with deep Learning technologies such as Convolutional Neural Networks and their application to computer vision. Knowledge with agile development methodology. Compensation Our benefits are designed to help you move forward in your career, and in areas of your life outside of Verizon. From health and wellness benefits, short term incentives, 401 (k) Savings Plan, Stock Together, paid time off, parental leave, adoption assistance and tuition assistance, plus other incentives,we’ve got you covered with our award-winning total rewards package. For part-timers, your coverage will vary as you may be eligible for some of these benefits depending on your individual circumstances. If you are hired into a Colorado work location, the compensation range for this position is between $100,800 and $187,200 based on a full-time schedule. The salary will vary depending on your location and confirmed job-related skills and experience. This is an incentive based position with the potential to earn more. For part-time roles, your compensation will be adjusted to reflect your hours. Equal Employment Opportunity We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",data scientist
"Sr. Data Scientist : Become the Newest Member of the VF Family The new “Data Scientist” will provide leadership in the development and expansion of Retail and Customer analytics to support decision-making across VF functions and brands. This individual will operate across a highly-matrixed, multinational organization and help drive the organization's strategic advantage through more in-depth analysis of structured and unstructured data available across VF Corporation’s brands. The ideal candidate must have an inherent passion for data and data driven thinking and be adept at extracting patterns from volumes of data to drive strategy and operational efficiencies. Additionally, he/she will be tasked with working with the Head of Retail and Customer Analytics and other key stakeholders to build out the analytic capabilities within VF Corporate and Brand teams. How You Will Make a Difference: Support Development of Advanced Analytics practice: In cooperation with Data Science Team, develop best in class advanced analytics practices for VF and drive analytic culture both corporately and within the brands. Brand Consulting: Perform ongoing analytic projects in support of brand strategies and tactics. Topics will include, but not limited to direct marketing optimization, incorporation of unstructured information, sales attribution, ROI analysis etc. Support Process Improvement: Bring industry best practices to analytic processes to create time efficiencies, so team can broaden efforts to other focus areas. Data Infrastructure: In collaboration with infrastructure in IT teams, make recommendations for data architecture strategy. Tool Assessment: Develop and deploy analytical tools and data science techniques to analyze complex data sets. Monitor trends in data science and alternative sources to ensure that VF Corporation is in tune with best in class tools and techniques. Monitor Trends in Data Science: Explore alternative sources to ensure that VF Corporation is in tune with best in class tools and techniques. Develop/Expand Data Science Team: Recruit talented data science resources and mentor junior team members through effective knowledge sharing to foster long term growth of intellectual asset within VF. Skills for Success: 8+ years of experience in demand forecast/supply chain analytics/ market research/insights/analytics, competitive intelligence or other similar function with demonstrated ability to manage function in a complex environment with multiple constituencies 8+ years of experience with statistical and predictive modeling in open-source software, such as, R or Python and at least basic familiarity with SAS®, Matlab®, or Stata® BA/BS in a quantitative field (statistics, operations research, mathematics, computer science, economics, analytics) is required; master’s degree in a similar quantitative field from an accredited university is highly desirable Passion for working with numbers and large datasets Highly analytical, self-motivated and desire for continuous learning in job-related subject matter Expertise in statistical modeling and analytical methodology including, regression, classification, clustering, time-series analysis etc. Strong understanding of retail and apparel best practices and trends Ability to influence and work through others to effectively navigate matrixed organization while ensuring that necessary stakeholders are informed Strong communication skills that can influence team and senior leaders to act in a desired manner through written and verbal communication Ability to simplify highly complex analyses and output into terms that are easily accessible and impactful in both written and verbal formats High character and integrity, is consistent and acts in line with a clear and visible set of values and beliefs Ability to mentor and foster growth of junior team members Global outlook with sensitivity and awareness of social and cultural differences Special Physical and/or Mental Requirements: Travel by air and overnight, as required. Salary Range: $144,000.00 USD - $216,000.00 USD annually Annual Incentive Eligibility : This position is eligible to participate in VF's Annual Incentive Plan. Incentive Plan awards are contingent upon (1) achievement of your individual objectives and (2) VF achieving its' Corporate and business level financial objectives. Long Term Incentive Eligibility : This position is not eligible for long term incentive. Benefits at VF : You can review a general overview of each benefit program offered, including this year's medical plan rates on www.MyVFbenefits.com and clicking, Looking to Join VF? Detailed information on your benefits will be provided during your onboarding process.",data scientist
"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?  At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.  AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  Major responsibilities include: Assist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization Use AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models Research and implement novel ML approaches, including hardware optimizations on platforms such as AWS Inferentia Work with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototyped Master’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. Publications or presentations in recognized ML journals or conferences Deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.  Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.  For employees based in Colorado, this position starts at $114,700 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",data scientist
"BS/MS in Mathematics/Statistics/CS/Data Science or related field  Programming experience in a combination of SQL, Python, Spark, Scala  Exposure to big data platforms such as AWS, OCI, Qubole, etc  Experience accessing and querying databases for analysis  Understanding of machine learning model evaluation techniques; ability to assess, diagnose, and reason about a model’s performance  Ability to perform data analysis on aggregated or summarized data outputs  Ability to effectively explain insights or conclusions derived from data analysis to business leaders  Experience creating data visualizations to highlight insights  Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement.  Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.  Job duties are varied and complex utilizing independent judgment. May have project lead role. 5 years relevant work experience. BS/BA preferred.  Colorado Pay Range: From $99,333 to $178,795 per annum  Eligible for bonus and equity  Oracle offers a comprehensive benefits package which includes the following:  1. Medical, dental, and vision insurance, including expert medical opinion  2. Short term disability and long term disability  3. Life insurance and AD&D  4. Supplemental life insurance (Employee/Spouse/Child)  5. Health care and dependent care Flexible Spending Accounts  6. Pre-tax commuter and parking benefits  7. 401(k) Savings and Investment Plan with company match  8. Flexible paid time off (unlimited or accrued vacation and sick leave)  9. Paid parental leave  10. Employee Stock Purchase Plan  11. Adoption assistance  12. Financial planning and group legal  13. Voluntary benefits including auto, homeowner and pet insurance Innovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. It’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. That’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.  Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.",data scientist
"Are you inspired by challenging the status quo? Do you thrive in collaborative environments that drive results? If so, Gates could be for you.  Gates is a leading manufacturer of application-specific fluid power and power transmission solutions. We push the boundaries of material science to engineer solutions that continually exceed customer expectations.  Let's simplify it… think belts and hoses. Found in motorcycles, conveyor belts, cars, tractors, blenders, vacuum cleaners, bicycles, & 3D printers just to name a few. Because why not do it all?  WHAT TO EXPECT At Gates, we welcome challenges, celebrate hard work, and continually seek new talent to join our global company. Our downtown Denver office is seeking to hire a passionate Associate Data Scientist within the existing Data Science function. This role will use data science and analytic techniques to provide Gates' leadership team with a data-driven approach to solving problems.  You'll be working directly with the Manager of Data Science to define, track, and deliver projects to business functions throughout the organization. This is an exciting opportunity for you because you will be solving real-world problems with data science! Your objective/goals will be working with diverse sets of structured and unstructured datasets to deliver business value. You'll be able to generate novel insights from the data and deliver them to key stakeholders. Key responsibilities (to name a few): Exploring and working with a wide range of datasets Driving analytic solutions for multiple business functions Scoping and executing all steps of the data science process    ABOUT YOU The ideal candidate is a data practitioner who has experience working with diverse sets of structured and unstructured datasets to deliver business value. This individual needs to own and drive analytics solutions for multiple business functions by scoping and executing all steps of the data science process. They will be responsible for independently exploring and working with a wide range of datasets and are expected to generate novel insights from the data and deliver them to key stakeholders. This individual needs to be passionate about the data science research process and intellectually curious about solving real-world problems with data.  Undergraduate Degree in data science, statistics, computer science, or related field required Master's Degree or PhD in data science, statistics, computer science, business administration, or a related field preferred 1-3 years of relevant experience in data science or business analytics setting Proficiency in multiple programming languages including Python, R, and SQL required Experience with BI/Analytics tools including Alteryx, Tableau, and Power BI preferred Experience with data engineering and database development (AWS, Microsoft Azure) a plus Exposure to analysis around market intelligence and economic data a plus Strong intuition for analytical methodologies and a desire to solve novel technical challenges Excellence in balancing multiple projects in a fast-paced environment Strong written and verbal communication skills Ability to work independently and on a team, as well as report findings to executive level individuals Have a tenacious desire to impact the success of the business Must be legally authorized to work in the United States without company sponsorship.  PAY & BENEFITS Full-Time Medical, Dental, Vision insurance and other voluntary benefit options: benefits begin on the first day of the month immediately following your date of hire Eligible for 3 weeks of paid vacation + 11 holidays (9 scheduled & 2 floating) + 8 sick days. All vacation days are accrued 401(k): 3% company contribution and additional 3% company match Tuition Reimbursement Learn more about the benefits we provide at www.gateshealth.com  WHY GATES? Founded in 1911 in Denver, Colorado, Gates is publicly traded on the NYSE. While we might operate in a vast amount of time zones we operate as 'One Gates' and have a common goal of pushing the boundaries of materials science. We invest in our people, bringing real-world experience that enables us to solve our customers' diverse challenges of today and anticipate those of tomorrow.  While we expect the best, we also want to give you the best. That's why at Gates we provide an environment where people can succeed from our policy of 'Dress for your Day' (yes - that means you can wear jeans), health club reimbursement, to our ownership of your work/life balance and more. Visit www.gates.com/careers to learn more.  WORK ENVIRONMENT While performing the duties of this job, the employee is frequently required to sit; use hands to finger, handle, or feel objects, tools, or controls; and talk or hear. The employee is occasionally required to stand, walk, and reach with hands and arms. The employee must frequently lift and/or move up to 10 pounds. Specific vision abilities required by this job include close vision.  Gates is an Equal Opportunity and Affirmative Action Employer and is committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of race, sex, color, religion, age, disability, pregnancy, citizenship, sexual orientation, gender identity, national origin, protected veteran status, genetic information, marital status, or any other consideration defined by law.  ARE YOU DRIVEN BY POSSIBILITY?  # LI-CH1",data scientist
"Job Summary The Cooperative Institute for Research in Environmental Sciences (CIRES) at CU Boulder encourages applications for an Associate Scientist position within the Physical Sciences Laboratory (PSL) of NOAA’s Earth System Research Laboratories (ESRL) in Boulder, Colorado. PSL and CIRES are participating in the NOAA “Climate-Fisheries initiative” to enhance access, analysis, and visualization of ocean data and model output. The chosen candidate will assist in the development of a centralized hub for climate and oceanographic information and the creation of new data portals for use in marine resource applications. The position will entail working with federal and university employees to build PSL’s data archive by downloading and processing large Earth System Model data sets and developing software that will enable users worldwide to access, analyze, and display the data. In addition, the individual may also participate in research projects contributing to publications and presentations.  The University of Colorado Boulder is committed to building a culturally diverse community of faculty, staff, and students dedicated to contributing to an inclusive campus environment. We are an Equal Opportunity employer, including veterans and individuals with disabilities. Who We Are Cooperative Institute for Research in Environmental Sciences  At CIRES, the Cooperative Institute for Research in Environmental Sciences, more than 800 environmental scientists work to understand the dynamic Earth system, including people’s relationship with the planet. CIRES is a partnership of NOAA and the University of Colorado Boulder, and our areas of expertise include weather and climate, changes at the Earth’s poles, air quality and atmospheric chemistry, water resources, and solid Earth sciences. Our vision is to be instrumental in ensuring a sustainable future environment by advancing scientific and societal understanding of the Earth system.  https://cires.colorado.edu/  Physical Sciences Laboratory  Our mission is to conduct scientific research to observe, understand, model, predict and forecast weather, water and climate extremes and their impacts. An informed society that uses science-based environmental intelligence to effectively anticipate and respond to threats and opportunities related to weather, water and climate extremes. Our research goals are as follows: Rigorously characterize and predict weather, water, and climate extremes and their uncertainties to support NOAA's mission. Develop new process understanding, observing, and modeling capabilities to predict conditions associated with too much or too little water for early warning, preparedness, resource management, and adaptation. Improve monitoring and prediction of weather, climate, and water conditions impacting marine resources. https://www.esrl.noaa.gov/psd/about/ What Your Key Responsibilities Will Be Obtain, process, and document existing and new datasets, including in situ and satellite data, global and regional model simulations, and ocean reanalyses (which combines observations with model fields). Evaluate data quality and the accuracy of ocean model simulations. Develop software to analyze and visualize different types of data using modern programming languages. Contribute to publications in scientific journals and conference presentations. What You Should Know If you are a selected finalist you will be required to pass a federal laboratory background clearance for site access. This position will be rostered in CIRES at the University of Colorado Boulder but will be physically situated in the David Skaggs Research Center, 325 Broadway, Boulder, CO 80305. What We Can Offer CIRES can offer a generous compensation package. Salary is commensurate with education and experience and determined based on our CIRES internal career track classification. The annual hiring salary range for this position is $50,000- $85,000. Relocation funds are available for this position following CIRES and the University of Colorado’s relocation processes and procedures. The University of Colorado offers excellent benefits, including medical, dental, retirement, paid time off, tuition benefit and ECO Pass. The University of Colorado Boulder is one of the largest employers in Boulder County and offers an inspiring higher education environment. Benefits The University of Colorado offers excellent benefits, including medical, dental, retirement, paid time off, tuition benefit and ECO Pass. The University of Colorado Boulder is one of the largest employers in Boulder County and offers an inspiring higher education environment. Learn more about the University of Colorado Boulder. Be Statements Be Brilliant. Be Impactful. Be Boulder. What We Require BS degree in Oceanography, Atmospheric Science or a related field, AND at least two years of relevant experience or a MS or PhD in Oceanography, Atmospheric Science or a related field. What You Will Need Ability to work as a team member. Ability to contribute to a diverse and inclusive workforce. What We Would Like You To Have Understanding of general aspects of oceanography. Demonstrated experience working with large observational, reanalysis, or model datasets, such as analysis, visualization, and/or statistical evaluation. Experience developing structured code in commonly used languages. Special Instructions To apply, please submit the following materials: Resume or CV. Cover letter addressed to the Search Committee briefly describing your qualifications, professional goals, and specific interest in this position. List of contact information for 3 references. You don’t need to include letters of recommendation with your initial application. The search committee will request letters of recommendation at a later time if you are identified as a finalist for this role. If you are selected as the finalist, we will contact you through email and request that you submit 1 name and email of a reference who will be asked to submit a letter of recommendation (can be one of the 3 noted above). This information will be kept confidential and viewable only by the search committee. If you are selected as the finalist, your degree will be verified by the CU Boulder Campus Human Resources department using an approved online vendor. If your degree was obtained outside of the United States, please submit a translated version (if applicable) as an optional attachment.  Applications will be reviewed as they are received. Position will remain posted until filled.  Note: Application materials will not be accepted via email. For consideration, applications must be submitted through CU Boulder Jobs.  Posting Contact Information Posting Contact Name: Cathy Smith Posting Contact Email: cathy.smith@noaa.gov",data scientist
"Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth constraints; merge data sources; ensure consistency of data sets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings. 2-4 years of experience required",data scientist
"At Snapdocs, we are on a mission to enhance the real estate closing process with efficiency and transparency so that lenders can close their loans sooner and home buyers can move into their dream homes quicker. To help us accomplish this goal, we are looking to bring on a Senior Data Scientist to join our small but mighty team of two Data Scientists! The ideal candidate is someone who relishes pouring over messy data to find patterns and train machines to do so with high accuracy and recall. If this sounds exciting, read on...  Snapdocs is an early-stage, rapidly growing company backed by investors like Sequoia, SV Angel, and YCombinator. We're a small team taking on the extensive mortgage market. We're bringing a scalable and sophisticated software to a pillar of the US economy that still relies on fax machines and manila envelopes.  The type of problems we focus on involve workflow, product design, and data. Monolith vs microservices is an ongoing debate. We are working to find a good authentication pattern that allows for people to work across companies in multiple roles (which is trickier than you might think). Domain Driven Design is our guiding light.  As a Senior Data Scientist, you will focus on aggregating and analyzing large datasets to identify behavior trends using statistics, advanced data mining techniques, and build data models to tackle real-world problems. This means helping to develop our training data, building quick prototypes to evaluate signal to noise ratio in the data, and piping them through multiple machine learning models to find the model that can help automate work. The ideal candidate is someone comfortable leading a team through greenfield projects while pouring over heaps of data to find patterns and train machines to do so with high accuracy and recall. You will build models from the ground up while updating existing models (ML and AI) to automate repetitive repeatable tasks. You will analyze data generated as a by-product of manual tasks and build models that can operate on similar or better accuracy than humans. Up for the challenge?  Over the past 5+ years, you have mastered advanced machine learning techniques to experiment with large data sets while building models deployed in production. You have an expertise in one or more programming languages including Python, SQL or R and have used Cloud Platforms, bonus points for AWS. This is a niche role so advanced degrees in quantitative fields like Statistics, Computer Science, and Mathematics are required (PhDs are ideal). Technical leadership and individual contributor hats both fit you well. You can lead from within while guiding the direction for a technical roadmap. We have a small data science team of 2 today so empathy and collaboration are keys to success. Lastly, you are eager to learn! You don’t know every toolset but have proven that with the right problem, a good tutorial, and a healthy appetite for StackOverflow, you’ll figure it out but don’t mind asking simple questions that result in measurable insights if need be.  Colorado applicants: This role pays $140,000 - $175,000 annually plus equity in the company (pay for other locations may vary).  Snapdocs strongly values diversity and drive. We want to work with people of different backgrounds and different paths in life, and we trust our team to make smart decisions. This means we value independent work as well as collaboration. We provide excellent benefits (listed below) and are located in both San Francisco and Denver!  Our benefits include (but are not limited to): 21 days of vacation Company subsidized health, dental, vision insurance Flexible spending account for healthcare and dependent care 401(k) with up to 4% company match Life and disability insurance Commuter benefits",data scientist
