JobDesc,JobTitle
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"data scientist- biotech remote usa major biotechnology company work with biotech data management & biostatistics experts by bringing your programming skills to the team we are seeking programmer/engineers with 3 to 5 years of experience with python, as well as various aspects of object-oriented programming, and aws general expectations program within the python programming language familiarity with pandas and numpy libraries work with large datasets and databases (mysql) work with amazon web services (aws) and big data technologies such as glue and lambda work with a system architecture which has already been built, and provide integration to other systems within the organization familiarity with statistical analysis software such as r, rstudio, and tableau familiarity with r studio, shiny r, tableau and quicksight familiarity with spark (ada) familiarity with hadoop clusters familiarity with data pipeline and workflow management tools awareness or familiarity with medidata rave, electronic data capture system for clinical research a plus above-average communication skills this role requires excellent communication and self-motivation skills as an independent contributor, incumbent will be part of a team with colleagues working from home across the u.s. as a key player in this team, you must have the ability to provide thoughtful input on how to move projects forward above all, be a world-class communicator. you may spend much time communicating with non-programmers within the organization experience & education requirements you are accustomed to working from home, and contributing to a team you are adept at explaining technical and programming information to non-programmers. you may have worked for a large or small company, and appreciate soliciting ideas and suggestions from others you are organized and goal oriented. you strive to complete projects and deliverables on time with exceptional quality you would rather pick up the phone and talk to someone instead of email them and wait for an answer you enjoy technology and talking to others about it education a bachelor’s degree (or equivalent) is preferred, but not required with sufficient programming experience persons with software and system certifications and 3 to 5 years of hands-on programming experience with python are encouraged to apply job type: full-time pay: $115,000.00 - $130,000.00 per year benefits: 401(k) 401(k) matching dental insurance employee assistance program flexible schedule flexible spending account health insurance life insurance paid time off referral program retirement plan vision insurance schedule: 8 hour shift experience: python: 3 years (required) aws: 1 year (required) r studio and shiny r: 1 year (preferred) tableau and quicksight: 1 year (preferred) work location: fully remote work remotely: yes",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  pursuant to the los angeles fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  for employees based in colorado, this position starts at $114,700 per year. a sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",data scientist
"basic function aramco americas’ houston research center has a data scientist opening in the artificial intelligence technology team. the data scientist will conduct independent research and development in formulating and applying ai/ml models and algorithms to various geosciences, petroleum engineering and geophysics applications, collaborate with subject matter teams and provide periodic updates through presentations, reports and prototype demonstrations, and finally contribute to technology delivery and deployment with algorithms, codes and software prototypes. in addition to that, this position is expected to publish their work in conferences and journals as well as patents. duties & responsibilities research and develop machine learning algorithms/models/prototypes for upstream applications in exploration, development and production, such as classification, regression, anomaly detection, failure prediction, and optimization work with subject matter research and business teams to develop, implement, and deliver robust, scalable and accurate machine learning solutions from end-to-end collaboratively develop innovative ideas, initiate new research directions, and effectively lead and execute on several technical projects maintain and grow state-of-the-art technical knowledge, via actively publishing and patenting, and establish as an expert in related areas of responsibility communicate ideas, technical approaches, project plans and results effectively via oral and written reports; work effectively with peers, management, operations groups, and outside organizations education and experience master’s degree preferred (ph.d. highly preferred) in computer science, mathematics, physics, applied science, engineering or similar disciplines with demonstrated research capability with 3+ years of relevant experience demonstrated experience in developing core machine learning algorithms in professional research and development settings, in building and applying machine learning / predictive modelling in real-world use cases, extensive working knowledge of developing deep learning models using tools such as tensorflow, keras, pytorch, etc strong background in some of these listed areas: machine learning, time series analysis / sensor processing, deep learning, optimization/operations research, text analytics/nlp, computer vision extensive hands-on coding ability, proficient with machine learning models, frameworks and stacks, python, react and flask development and gpu based platforms past experience or knowledge of oil and gas domain is a plus track records of past publications in relevant topics excellent communication, verbal and written skills, capable of communicating complex quantitative analysis in a clear, precise, and actionable manner to both technical and non-technical audiences  no third party candidates accepted",data scientist
"position: data scientist duration: 12+ months location: houston, tx (remote until covid) job description: essential duties/responsibilities: accountable for developing and coding predictive & statistical models on high impact projects to elevate enterprise value and help the business understand with critical problems provide insightful and quantitative analysis/models to help with optimal commercial decision making and risk management leading to business growth, improvements and efficiencies develop customer segmentation models and frameworks, customer lifetime value models and optimization models provide decision support and analytical modelling to help with commercial decisions across the nrg portfolio including the generation, trading & retail businesses minimum requirements: bachelor’s degree in statistics, mathematics, computer science, economics, engineering, operations research, or industrial engineering required 3+ years in statistical modeling and quantitative analysis in industry or full time academic research proficiency with python required statistical modeling and analysis skills required experienced in programming, statistical software packages and creation of analytics pipelines experience visualizing data, creating frameworks to automatically analyses data, and managing the data pipeline preferred qualifications: experience using aws or other cloud-based solutions 3+ years of experience in analytical, machine learning or statistical modelling roles experience with machine learning and data science platforms in a distributed computing environment (hadoop, spark, etc) broad knowledge of the mathematical and statistical foundations of machine learning algorithms, stochastic optimization algorithms and decision processes such as xgboost, gbm, etc. experience deploying models to production processes knowledge of real time or near real-time data pipelines experience in energy including retail / wholesale / generation job types: part-time, contract pay: $60.00 - $65.00 per hour schedule: 8 hour shift speak with the employer +91 919-439-9960",data scientist
"the immunology department at md anderson cancer center seeks to determine the fundamental cellular and molecular mechanisms of a wide range of processes by which the body recognizes and eliminates pathogens and use these findings to unleash the patient's own immune system against previously treatment-resistant cancers. treating the immune system rather than the cancer itself, the therapeutics developed are applicable to many cancers.  key functions plans, organizes, coordinates, directs and participates in scientific research projects. compiles, writes and submits reports to superior. assigns and reviews work of subordinates, determines specific goals or objectives to be attained, evaluates resulting research data, and revises techniques or approaches to work problems. optimizes and establishes new technologies (analysis software) to be used in the immunotherapy platform. analyzes and interprets high dimensional datasets, for example, flow cytometry data (17-18 colors) using flowjo and mass cytometry data (35-40 colors) using visne, phenograph and flowsom. develops bioinformatic tools for biomarker identification. analyzes genomic data such as single-cell rna-sequencing (scrna-seq) on tumor biopsies to identify characteristics of the tumor cells (phenotypic and transcriptomic) as well as the immune microenvironment which are associated with clinical responses. beneficial skill sets would also involve experience in analyzing dna-seq, rna-seq, atac-seq, methyl-seq, tcr-seq data.   other duties as assigned.  education  required: phd in one of the natural sciences or related field or medical degree.  experience  required: with phd, no experience required. with medical degree, two years of experience in experimental or scientific work.  preferred: data analysis experience.  it is the policy of the university of texas md anderson cancer center to provide equal employment opportunity without regard to race, color, religion, age, national origin, sex, gender, sexual orientation, gender identity/expression, disability, protected veteran status, genetic information, or any other basis protected by institutional policy or by federal, state or local laws unless such distinction is required by law. http://www.mdanderson.org/about-us/legal-and-policy/legal-statements/eeo-affirmative-action.html  additional information requisition id: 139071 employment status: full-time employee status: regular flsa: exempt and not eligible for overtime pay work week: days fund type: soft pivotal position: yes minimum salary: us dollar (usd) 53,200 midpoint salary: us dollar (usd) 66,500 maximum salary : us dollar (usd) 79,800 science jobs: yes",data scientist
"houston methodist (hm) is looking for a skilled and motivated data scientist to join the center for outcomes research (cor) to lead and develop healthcare informatics with the potential of transforming healthcare and population health management solutions via data science and big data analytics. the data scientist will have relevant healthcare experience and / or training, and data skills enabling implementation of big data validation / management strategies and performing complex analyses beyond conventional statistical approaches. the individual will be responsible for the implementation and maintenance of extract transform load (etl) solutions for real-world healthcare data, which may include advanced data management approaches such as stream processing, feature engineering, and anomaly detection. the data scientist would leverage the information in hm enterprise data warehouses and the epic® electronic medical record, aggregate national representative datasets under the guidance of the associate director / pi / chief division of population health at cor. responsibilities may include development and management of large heterogenous data warehouses, application development and implementation of advanced data processing applications; either on-prem or in the cloud. the position may also build new tools to automate workflows and create insightful and actionable data visualizations including data dashboards. the data scientist will work with researchers to implement advanced analytic algorithms for medical imaging analysis (particularly brain cts and mris), continuous waveform signal processing and natural language processing. this position specifically serves two large programmatic areas i.e., neurosciences (including cerebrovascular disease) and infectious diseases (including new and emerging pandemics). the data scientist will also lead or collaborate in dissemination of research findings via peer-reviewed manuscripts and submission of funding proposals by the pi. specific neuroscience and / or infectious disease experience is not essential but highly desirable. ideal candidate will have experience in a diverse set of computational environments supported by tools such as sql, python, r, and stata. this position requires excellent interpersonal skills to collaborate with colleagues and communicate their findings to the scientific community, leadership and stakeholders. the position promotes and supports system and department specific icare values. requirements: primary job responsibilities job responsibilities labeled ef capture those duties that are essential functions of the job. people - 15% maintains client relationships as assigned and leads the delivery of innovative strategies and solutions. (ef) presents project progress and results to key stakeholders. (ef) partners in collaboration with leadership of the service lines/specialty areas to promote staff accountability and effective decision-making. (ef) service - 35% analyzes health care data using basic and advanced statistical methodologies; interprets results for investigators and prepares reports. (ef) drives data analytical insight across the organization. (ef) identifies data elements within the clinical/health/research databases for analytics and decision support. (ef) maintains database results by setting and enforcing standards and controls. makes revisions to data entry screens and data checks; reviewes and resolves data discrepencies. (ef) translates finding into implementable informatic solutions with the clinicians, hospital and research administration or other key stakeholders. (ef) quality/safety - 20% responsible for accuracy and timeliness of data input into reports and decisions. (ef) identifies and correct flaws in interpretation of results, inconsistency in presentation or inference. (ef) finance - 10% uses department resources/equipment/supplies properly and efficiently. (ef) manages the continuous improvement of clinical, research, and operational data and analytics. (ef) growth/innovation - 20% seeks opportunities to expand learning beyond baseline competencies with a focus on continual process improvements. (ef) assumes responsibility for self-growth and development by participating in in-service programs and continuing education. (ef) consults with hospital and research staff regarding process improvement, delivery of best outcomes, decision supports, data insights, and recommendations. (ef) this job description is not intended to be all inclusive; the employee will also perform other reasonably related business/job duties as assigned. houston methodist reserves the right to revise job duties and responsibilities as the need arises. qualifications: education requirements o master’s degree in computer science, clinical informatics, public health administration, business administration, or engineering or md with experience in computing, informatics, and statistics experience requirements o four years of experience in data analytics and/or database management in a healthcare organization  certifications, licenses and registrations required o none  knowledge, skills and abilities required o demonstrates the skills and competencies necessary to safely perform the assigned job, determined through on-going skills, competency assessments, and performance evaluations o sufficient proficiency in speaking, reading, and writing the english language necessary to perform the essential functions of this job, especially with regard to activities impacting patient or employee safety or security o ability to effectively communicate with patients, physicians, family members and co-workers in a manner consistent with a customer service focus and application of positive language principles o experience in clinical, research, and or healthcare administration o skilled in statistical, database, and algorithm modeling preferred o skilled with implementing and managing health it software, prototyping and applications o knowledge of process mapping and analytics o knowledge of clinical/health data integration in a health care it environment o ability to perform exploratory data analysis o ability to communicate complicated, technical concepts to non-technical stakeholders  supplemental requirements  work attire yes/no uniform no scrubs no business professional yes other (dept approved) no  on-call* no  note that employees may be required to be on-call during emergencies (ie. disaster, severe weather event, etc) regardless of selection above.  travel** may require travel within no houston metropolitan area  may require travel outside no of houston metropolitan area  **travel specifications may vary by department.  please note any other special considerations to this job: __________________________ apply",data scientist
"description invista is among the world's largest integrated producers of polymers and fibers, primarily for nylon. with a business presence in more than 20 countries, invista delivers exceptional value for its customers through market insights, technology innovations and a powerful portfolio of global trademarks including cordura® fabric, stainmaster® carpet, and antron® carpet fiber. invista's businesses include intermediates and performance solutions. we transform daily life through innovations that create long-term value for our customers and society. you can be a part of the difference by joining the invista team. as a data scientist in procurement, you have the opportunity to be part of an organization that is investing in data and data science as a competitive advantage. this role will connect to potential business opportunities, embrace the challenge process, connect ideas to business value, develop new analytics solutions using contemporary tools, and tell the story of value to key constituents. this opportunity engages diverse types of business applications and data sets at a rapid pace, and our ideal candidate is a self-starter and gets excited creating new competitive advantages for the company. what you will do in your role identifying opportunities or solution application where others might not translate business problems into discrete projects and outcomes own and implement an end-to-end data science projects data wrangling and cleaning external and internal data sources in order to apply them to business models create dashboards, visualizations, and data products that answer business questions efficiently solution and model development, tuning, and deployment present findings, ideas, and data stories to business leaders partner and work with it and other data scientists on projects and ideas leading discussions on the art of the possible and strategic thinking demonstrate problem solving with innovative solutions the experience you will bring requirements: bachelor's degree or higher in a quantitative field. this could include data science, analytics, finance, engineering, economics, or mathematics, etc. 1+ year of experience python and sql 1+ year of experience with database, data structures, and statistical concepts (such as distributions, covariance, correlation) 1+ year of experience working with visualization software 1+ year of experience with algorithm design and implementation 1+ year of experience using machine learning frameworks and modules such as scikit-learn, tensorflow, and technical analysis libraries what will put you ahead experience implementing machine learning models experience database/erp software business or new product development experience leadership experience  salary and benefits commensurate with experience. equal opportunity employer. except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test.  this employer uses e-verify. please visit the following website for additional information:www.kochcareers.com/doc/everify.pdf",data scientist
"hewlett packard enterprise (hpe) advances the way people live and work. we bring together curious minds to create breakthrough technology solutions, helping our customers make their mark on the world. at hpe global it we provide consulting, financial, educational, and operational services to support our customers’ digital transformation. create history in an ever-evolving industry and help our customers create their future too. join us, and make your mark. are you looking for a unique, truly innovative role? what if it could be with one of the most impactful it companies in the world? then we have the right opportunity—we are looking for a data scientist with a passion for machine learning join us! in this amazing role, you will be a key member of a growing and passionate team focused on collaborating across business and technology resources to drive forward key programs and projects leading key transformations across hewlett packard enterprise. if you have a track record and a passion for machine learning, want to be part of a business that is growing—with great opportunities, and are ready for your next role, then please apply today.  responsibilities lead development of ml business use cases that identify target actionable insights and inferences, manage risks and impacts on stakeholders employ statistical knowledge in selecting the appropriate model(s) for the business use case and data build, train, tune, and select models in accordance with mlops and statistical best practices that deliver actionable, business use case-appropriate insights lead cross-functional, cross-organizational teams in the end-to-end mlops process from data acquisition, through data exploration, model development and testing, production model deployment, model updating and replacement required education and experience  candidates must have a degree in computer science, statistics, mathematics, physics, or related quantitative field; master’s degree or higher preferred. 5 – 7 years of experience developing and deploying machine learning / statistical models.  knowledge and skills critical thinking and curiosity data exploration, visualization, and transformation skills statistical training / testing / evaluation of machine learning models hypothesis and inference testing ability to research and creatively apply new machine learning / ai methods that fulfill business use case objectives strong relationship management skills including partnering, interacting with team members who have diverse skillsets and backgrounds, collaborating with stakeholders proven leadership skills including team building, collaborative problem solving, business- and data-driven decision making excellent verbal and written communication skills coding experience in python, r, java or similar functional programming language, applied to data exploration, transformation, and modeling what we can offer you:  extensive benefits, a competitive salary and participation in the shared values and purpose that make hewlett packard enterprise one of the world´s most attractive employers! at hpe, our goal is to provide equal opportunities, flexible work-life balance, and constantly evolving career growth.  if you are looking for challenges in an exciting, supportive and international work environment, then we definitely want to hear from you. continue the conversation by clicking apply now below, or directly via our careers portal at www.hpe.com/careers.  join us and make your mark! find out more about us and follow us on: https://www.facebook.com/hpecareers https://twitter.com/hpe_careers  hpe is an equal employment opportunity/ veterans/disabled/lgbt and affirmative action employer. we are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. we do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together. #globalit 1081525",data scientist
"job description data scientist technology | digital mission the data scientist is responsible for conducting both directed and undirected research that involve tackling open-ended data science problems and questions in various segments primarily of the oil and gas industry. drawing on an advanced degree in a quantitative field such as data science, engineering, computer science, statistics or applied mathematics, the data scientist demonstrates the knowledge to invent new models and algorithms to solve data problems. a preferred candidate would have research and industry experience in petroleum engineering and statistical modeling to automate workflows. qualifications master’s or phd in a quantitative field such as data science, engineering, computer science, statistics, or applied mathematics. strong knowledge of statistical and computational platforms (python, r, c++, c#, html, sql, angular, matlab, etc). experience with bi tools a plus. background in a variety of data-driven models including linear and logistic regression, decision trees, and neural networks. a preferred candidate would have research and industry experience in petroleum engineering and statistical modeling to automate oil and gas workflows. a preferred candidate would have experience with operationalizing machine learning solutions at scale in the cloud or within automation and control systems responsibilities research and assess next-generation technologies for machinery diagnostics and prognostics, and digitalization of the equipment and processes. apply engineering knowledge in developing data-driven algorithms for anomaly detection, failure prediction, and model predictive optimization and control by exercising an optimal balance between domain understanding of oil and gas industry and machine learning. process large multivariate and temporal data sets collected from equipment operations, manufacturing tests and diagnostic routines. collaborate with field and product engineers to identify key health monitoring parameters of a system. maintain mastery of state-of-the-art relevant tools such as in data acquisition, machine learning and software engineering, that are necessary to operationalize and scale solutions. conduct internal and external technical reviews and contribute as a subject matter expert (sme) for engineers and projects that involve data science and machine learning. communicate ideas, plans, and results effectively via oral and written reports. publish work in relevant journals and conferences to increase visibility for the company. generate new ip such as patents or trade secrets for r&d activities that will provide the company a competitive advantage. we are an equal opportunity employer including disability and veterans. if you are an individual with a disability and you need assistance or a reasonable accommodation during the application process, please contact our services team at +1 (844) 404-7427.",data scientist
