JobDesc,JobTitle
"valiance is an ai/ml company working with early stage/growth startups to create ip lead decision products using data science, machine learning and cloud. we work with: product teams to improve product features using machine learning business leaders on problem analysis data science & technology teams for data engineering, model development &deployment we expect our team members to be problem solvers in their respective fields and bring ideas to the table. why join us excellent learning curve working on variety of projects spanning entire life cycle of data and different industry segments. get to learn experiment and work with new technologies & skills in your field. we encourage learning new skills and applying same across current and new projects. we sponsor certifications that matter for business and your professional growth. flexible work environment with focus on work outcomes. we will support you in all possible manners that help you be productive and efficient. position summary we are looking for an accomplished analyst, who is at ease with slicing & dicing and amounts of data using sql, r and excel. experience in dash boarding tools like tableau, and automation needed. technical skills minimum 1-2 years of reporting experience education: b. tech/b.e expert in use of sas, r, sql and excel. experience with tableau expert in report automation/scheduling is must expert in manipulating and different sources ecommerce experience would be a plus understands the business requirement, can work independently expertise in statistical knowledge decision tree etc comfortable working in a fast and dynamic environment with tight deadlines scientist valiance is an ai/ml company working with early stage/growth startups to create ip lead decision products using data science, machine learning and cloud technologies. product teams to improve product features using machine learning business leaders on problem analysis -what, why, what-if questions data science & technology teams for data engineering, model development &deployment we expect our team members to be problem solvers in their respective fields and bring ideas to the table. excellent learning curve working on variety of projects spanning entire life cycle of data and different learn experiment and work with new technologies & skills in your field. we encourage learning new skills and applying same across current and new projects. we sponsor certifications that matter for business and your professional growth. onment with focus on work outcomes. we will support you in all possible manners that help you be productive and efficient. we are looking for an accomplished analyst, who is at ease with slicing & dicing and amounts of data using sql, r and excel. experience in dash boarding tools like tableau, and 2 years of reporting experience expert in use of sas, r, sql and excel. experience with tableau expert in report automation/scheduling is must expert in manipulating and analyzing complex, high-volume, high-dimension experience would be a plus, good problem solver understands the business requirement, can work independently statistical knowledge – regression (linear and logistic regression), comfortable working in a fast and dynamic environment with tight deadlines valiance is an ai/ml company working with early stage/growth startups to create ip lead decision products data science & technology teams for data engineering, model development & deployment we expect our team members to be problem solvers in their respective fields and bring ideas to the table. excellent learning curve working on variety of projects spanning entire life cycle of data and different learn experiment and work with new technologies & skills in your field. we encourage learning we sponsor certifications that matter for business and your professional growth. onment with focus on work outcomes. we will support you in all possible manners we are looking for an accomplished analyst, who is at ease with slicing & dicing and analyzing large amounts of data using sql, r and excel. experience in dash boarding tools like tableau, and reporting dimensional data from regression (linear and logistic regression), clustering, comfortable working in a fast and dynamic environment with tight deadlines valiance analytics pvt. ltd.  demonstrated ability to work across cross  desire to learn new technologies and grow analytical skill set  excellent analytical skills – www.valiancesolutions.com demonstrated ability to work across cross-functional teams; independently and proactively desire to learn new technologies and grow analytical skill set – ability to understand and interpret data within the context of the to apply, send your cv at hr@valiancesolutions.com",data scientist
"data scientist, customer analytics and data science  who we are we make timeless clothes that last a lifetime…then pair them with of-the-moment styles season after season, decade after decade. we think that distinct heritage pairs perfectly with modern design and fabric technology. we believe in feel-good color…even if black or navy makes you feel best, we’re here for that. we’re the experts in signature categories: cashmere, coats, blazers, pants—and we also collaborate with the coolest brands out there because we know that creativity is contagious. we consider leopard a neutral, speak stripes fluently and live for a great gingham. we believe in looking like a million bucks, not spending it—which is why we go the extra mile to source the absolute best fabrics at the most accessible prices. we also know that we have a responsibility to the planet and to humanity to choose eco-friendly fabrics and to support our factory workers, without compromise. we’ve had your back for over 35 years, and we’re convinced there’s no better expert on our clothes than you, our customer.  about the team j.crew llc is seeking a data scientist to join a growing customer analytics and data science team that is obsessed with data, customer insights and driving digital innovation. come join our team and help us reinvent retail.  as data scientist you’ll report to the head of customer analytics and data science. you will be a pioneering member of a performance-driven team. you will be the empirical, numbers-driven voice of reason that helps elevate all three brands’ customer strategies. you will be focused on building predictive data models to drive strategic business decisions and deliver insights across three unique brands (madewell, j.crew, and factory). this is a high-visibility, high-impact, individual contributor role.  think you would enjoy doing this? design and build models, ie. clustering/segmentation, forecasting, predictive clv and churn, multi-touch attribution, market basket, product recommendation productionalize, maintain and recommend models to business stakeholders – identify opportunities to drive business with new analytic techniques or predictive models manipulating large datasets for analyses and/or developing automated processes for insights democratization  yes? great! now…  does this sound like you? 2-5 years of experience with strong analytical skills experience with customer behavioral analytics and/or retail industry experience strongly preferred bs in economics, statistics, information management, computer science, mathematics, or similar quantitative field proficiency with either python or r; experience with snowflake, aws, cdps is a plus proficiency with sql and data visualization and insight presentation tools (power bi – or tableau, excel)  bonus points if you are… objective and scientifically hypothesis-driven: obsessed with finding the right answer; lets numbers define the story rather than finding numbers to support a hypothesis technical and business-savvy: not only able to write code and employ data/statistical methods, but also understands the business (the why) a forward-thinking visionary, keeping up with data science/analytics trends and always on the lookout to improve on the status quo comfortable working in an agile environment; creative, curious, and eager to learn familiar with the complexities and nuances of retail databases, cdps (customer data platforms), and customer behavioral analysis preferred able to communicate well with analysts and engineers as well as business stakeholders organized and able to work on multiple projects at a time  yes again? then you’d be a great addition to the team! please click the apply button to submit your application.  we are committed to affirmatively providing equal opportunity to all associates and qualified applicants without regard to race, color, ancestry, national origin, religion, sex, marital status, age, sexual orientation, gender identity or expression, legally protected physical or mental disability or any other basis protected under applicable law.",data scientist
"digitas is a highly-caffeinated playground where brilliant minds come together to bring bold, award-winning ideas to life. the data & analysis team uses data-driven insights to fuel strategic growth for clients. we believe that data should never exist in a vacuum; instead, it should be put to work to bring the best ideas and stories to our clients. digitas’ data science practice sits within our dna (data & analysis) capability, and develops industry-leading analytical solutions for clients across industries, channels and business functions. we apply a bespoke and cutting-edge arsenal of statistical, analytical and computing techniques to complex data problems at scale, with an emphasis on game-changing—and measureable—business impact. we work in close collaboration with colleagues across all agency disciplines to develop truly innovative, highly effective, data-powered solutions for our clients.  to help with this, we’re looking for an outstanding data scientist – an intellectually curious and creative problem solver who is willing to tackle the familiar and unfamiliar of all things data, including methods, technologies and applications. sound like you? read on.  what you’ll do: our data scientists deliver analytic solutions across a wide variety of client applications. we build inferential and predictive models, including machine learning algorithms and ai; we process, integrate and manipulate big data with distributed systems and customer data pipelines; we synthesize results and translate findings into compelling stories that resonate with clients. as a data scientist , you’ll address complex marketing and business challenges—from cross-channel media and customer experience optimization to segmentation, targeting and business strategy—by accessing, integrating, manipulating, mining and modeling a wide array of data sources.  day-to-day, your role includes: translating marketing and business questions into data queries. using distributed computing systems to access and manipulate big data sources. conducting exploratory analysis to identify relevant insights and useful transformations. applying quantitative techniques to uncover latent patterns in the data. interpreting data, analytical results and visuals to generate conclusions and recommendations. testing scalable data pipelines or models for real-time applications. ensuring that analytic tasks and results meet established objectives and timelines. sharing knowledge and conducting research to advance the collective knowledge and skills of our data science practice. we’re looking for relevant academic, research or work experience, which typically includes:  a bachelor’s or master’s degree in a quantitative field such as statistics, mathematics, econometrics, operations research, data science, computer science, engineering, marketing or social science methods. hands-on experience analyzing data for patterns and insights. hands-on experience running basic statistical or machine learning procedures, such as descriptive statistics, hypothesis testing, supervised or unsupervised learning. hands-on experience with python or r. familiarity with sql, linux, and/or distributed computing systems such as hadoop or aws preferred. demonstrated interest in marketing analytic applications. demonstrated self-starter who thrives in a fast-paced environment with flat structure. got what it takes? we’d love to hear from you. digitas is an equal opportunity employer.",data scientist
"job title: us securitized trading - data scientist corporate title: associate location: new york, ny overview the us securitized trading desk sits within the global financing & credit trading (gf & ct) business unit. the trading desk acts as a market maker in securitized bonds to provide liquidity to our clients. you will be at an associate level and will be responsible for critically analyzing large data sets to generate profitable trading ideas for specific sectors/credits for the deutsche bank trading desk & our clients. you will partner closely with trading, the institutional client group (icg), and capital markets to provide assess opportunities within the market & enable effective risk positioning. what we offer you: we offer competitive health and wellness benefits, empowering you to value life in and out of the office retirement savings plans, parental leave, and other family-friendly programs an environment that encourages networking and collaboration across functions and businesses active engagement with the local community through deutsche bank’s specialized employee groups hear from our people and look inside our office: db@the muse your key responsibilities: use statistical analysis to identify profitable trading opportunities for the desk & our clients build and analyze clean data sets from various database sources work closely with the bank’s traders to ensure sensible risk positioning in trading books leverage the icg credit sales team to create an active feedback loop with our clients support capital markets by providing market color around the bank’s led new issues your skills and experience: previous experience as a data scientist either on the buy/sell side existing relationships with market participants in this space previous experience with credit analysis and statistical modelling, ideally resulting in trading ideas history of strong risk management and identifying profitable trading opportunities our values define the working environment we strive to create - diverse, supportive and welcoming of different views. we embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. we build talented and diverse teams to drive business results and encourage our people to develop to their full potential. talk to us about flexible work arrangements and other initiatives we offer. we promote good working relationships and encourage high standards of conduct and work performance. we welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.  click here to find out more about diversity and inclusion.    we are an equal opportunity employer - veterans/disabled and other protected categories. click these links to view the following notices: ""eeo is the law poster"" and supplement ; employee rights and responsibilities under the family and medical leave act ; employee polygraph protection act and pay transparency nondiscrimination provision .",data scientist
"software engineer (data scientist), engineering data science job id 781124br location new york, new york, united states; seattle, washington, united states business disney streaming services date posted apr. 03, 2021 job summary: location: new york ny - seattle wa we are seeking an experienced software engineer to join our team focused on harnessing engineering data points via innovative analysis, data science approaches, and engineering processes. this role will build and deploy production engineering processes, data science models, and data analysis powering data quality and insights while uncovering data-driven trends to improve our engineering practices and products disney media & entertainment distribution (dmed) brings together the company’s best-in-class product, technology, and commercialization teams together into one global organization. dmed is responsible for the p&l management and all distribution, network, and engineering operations, sales, advertising, data, and certain key technology functions worldwide for the company’s content engines. dmed also manages operations of the company’s streaming services including disney+, hulu, espn+, and disney+ hotstar; and domestic broadcast and cable television networks. responsibilities: contribute to rapid prototyping, building, and deployment of production level analysis and models to monitor critical datasets and engineering infrastructure in streaming and batch work to adopt methods from diverse disciplines such as machine learning, deep learning, artificial intelligence, statistical modeling, information theory, information retrieval and other areas to gain data insights, draw conclusions, and work with engineering partners to put those insights into action perform development work on model scoring, datapoint quality processes, and model deployment ensuring high-quality engineering processes and scalability across all practices create and deploy scalable api endpoints to provide model scores and data feedback to other applications, engineering processes, and teams contribute to development work on model scoring, datapoint quality processes, and model deployment ensuring high-quality engineering processes and scalability across all practices understand engineering infrastructure and business processes that power critical systems create and manage key engineering health and insight data points, providing intelligence into the operations of our engineering infrastructure and ultimately products via visualizations perform ad-hoc data analysis as needed to uncover engineering issues or inconsistencies and make recommendations on remediation basic qualifications: 3+ years of python, spark, pyspark, or scala is required high familiarity with data platforms and applications such as databricks, jupyter, snowflake, redshift, airflow experience operating in an sdlc environment and deploying production engineering models and code exceptional interpersonal and written communication skills, able to concisely synthesize complex technical information strong analytical and technical skills to troubleshoot issues, perform rapid iteration, and quickly come up with the possible solutions, effectively communicating these to technical and executive audiences across the organization preferred qualifications: 3+ years of experience in the technology industry, knowledge of data and product a plus required education ba or bs in a quantitative field (business, math/statistics, economics, cs, engineering, or similar) is desired about disney streaming services: disney streaming services is responsible for developing and operating the walt disney company’s direct-to-consumer video businesses globally, including the espn+ premium sports streaming service; disney+, the dedicated streaming home for entertainment from disney, pixar, marvel, star wars, national geographic and bamtech media, a global leader in direct-to-consumer video streaming products and solutions. our core mission is to deliver global audiences the freedom to access content on their terms across any connected device, time or location. we serve consumers by bringing the world’s most beloved characters, timeless stories, legendary athletes, and epic sporting events to global audiences through best-in-class direct-to-consumer video services. we strive daily to imaginatively challenge convention with innovative technology that gives consumers the freedom to access content on their terms across any connected device, time or location. about the walt disney company: the walt disney company, together with its subsidiaries and affiliates, is a leading diversified international family entertainment and media enterprise with the following business segments: media networks, parks and resorts, studio entertainment, consumer products and interactive media. from humble beginnings as a cartoon studio in the 1920s to its preeminent name in the entertainment industry today, disney proudly continues its legacy of creating world-class stories and experiences for every member of the family. disney’s stories, characters and experiences reach consumers and guests from every corner of the globe. with operations in more than 40 countries, our employees and cast members work together to create entertainment experiences that are both universally and locally cherished. this position is with disney streaming technology llc, which is part of a business segment we call disney streaming services. disney streaming technology llc is an equal opportunity employer. applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status or any other basis prohibited by federal, state or local law. disney fosters a business culture where ideas and decisions from all people help us grow, innovate, create the best stories and be relevant in a rapidly changing world. job type: full-time pay: $91,412.00 - $213,877.00 per year benefits: 401(k) 401(k) matching dental insurance disability insurance employee assistance program employee discount flexible schedule flexible spending account health insurance health savings account life insurance paid time off parental leave professional development assistance referral program relocation assistance retirement plan tuition reimbursement vision insurance schedule: 8 hour shift supplemental pay: bonus pay signing bonus work location: one location company's website: https://www.disneystreaming.com benefit conditions: only full-time employees eligible work remotely: yes covid-19 precaution(s): remote interview process virtual meetings",data scientist
"combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. leading edge technology in an industry that's improving the lives of millions. here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. there's no room for error. join us and start doing your life's best work.(sm)  the advanced analytics team within optumrx’s digital analytics and intelligence uses sophisticated algorithms and techniques to resolve some of the hardest problems to improve our customers digital experiences. the team uses a blend of scientific, problem solving, and quantitative skills to develop and deliver groundbreaking methods addressing critical problems in our digital environment. the advanced analytics team collaborates across product, design, engineer and it team through data science, machine learning and ai.  do you want to be part of a growing data science and data engineering team that is helping to shape the digital experiences for millions of customers? as a principal data scientist, you will work cross-functionally with data scientists, engineers, analysts, and product managers to design, develop and deploy state-of-the-art machine learning models that deliver world-class personalized and unique experiences for millions of our customers, including web portals and apps. you will build machine learning and ai based experimentation, optimization, recommendation, and personalization capabilities that make our products engaging to our customers. you will glean actionable insights from optum’s vast trove of data, translate business problems into predictive models and evolve the core personalization recommendation system. you drive best practices and set standards for experiments and optimization. you are a key influencer in experiment strategy.  this is a unique, high visibility opportunity for someone who wants to have business impact, dive deep into large scale machine learning, reinforcement learning, enable measurable actions and work closely with product and engineering teams. this position will report directly to the director of data science.  you’ll enjoy the flexibility to telecommute* from anywhere within the u.s. as you take on some tough challenges.  purpose of position:  design and implement state-of-the art machine learning algorithms and systems to personalize and optimize the entire experience for our members to support optumrx digital mbo's  partner with product, design, engineer and it teams to design, develop and deploy machine learning solutions in production  derive actionable insights from best-in-class tools and technologies (python, spark, sql, databricks, azure, machine learning, deep learning, reinforcement learning, tensorflow etc.)  key member of cross-functional capability teams delivering predictive models, recommender systems, online and offline experiments and product experience optimization  primary responsibilities:  design, develop, deploy and improve production-grade scalable recommender systems, machine learning and statistical predictive models in a big data environment that drive optum’s digital personalized experiences across web portals and apps. this encompasses predictions, recommendations as well as ux optimization  build end-to-end advanced machine learning and reinforcement learning models. e.g. xgboost / light gbm, neural networks (auto-encoders, feedforward networks, rnns/cnns, etc.), bandit / bayesian algorithms, thompson sampling, ucb, td learning, q-learning, monte carlo simulation, collaborative filtering, recommendation algorithms and more  carry out a/b test experiments, rigorous offline and online experimentation, and understand basics of causal inference  lead by example: promote deep scientific expertise, constant learning, attention to detail, and best practices while always being friendly, humble, and open to challenging any assumptions  collaborate with data engineers, product managers and capability teams to coordinate timely deployments from conception to release  champion and define best practices to maximize learnings while mentoring junior data scientists and data engineers to grow their skills, create a collaborative environment, and employ tools and methodologies to test, revise and improve models  research new machine learning solutions to complex business problems  manage internal engagements, meeting project and deliverable timelines, ensuring the accurate and timely completion of deliverables and communication findings to non-technical audience and senior leadership    you’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.  required qualifications:  bachelor’s degree in statistics, applied mathematics, machine learning, data science, engineering, computer science or related discipline  3+ years of relevant experience developing and delivering effective machine learning and/or statistical models, experiments, and recommender systems to drive product development  1+ years of experience with at least one of the following algorithms: bandits, thompson sampling, deep learning, reinforcement learning, recommendation systems, and/or causal inference  experience collaborating effectively with cross-functional teams such as leadership, product management, and engineering with willingness to inspire other data scientists  if you need to enter a work site for any reason, you will be required to screen for symptoms using the protectwell mobile app, interactive voice response (i.e., entering your symptoms via phone system) or a similar unitedhealth group-approved symptom screener. employees must comply with any state and local masking orders. in addition, when in a unitedhealth group building, employees are expected to wear a mask in areas where physical distancing cannot be attained  preferred qualifications:  experience with experimental design, testing, and analyzing, e.g. a/b testing, multivariate testing, online and offline experiments, exploration and bandits  deep knowledge of probability, statistics and machine learning algorithms and be able to determine when to apply them  solid technical and programming skills in python and sql. familiarity with big data platforms (like spark, databricks), machine learning frameworks (like tensorflow, keras, mxnet or pytorch) and libraries (like scikit-learn, numpy, pandas, and scikit-learn) with ability to learn new technologies quickly  experience with real-time optimization models with delayed reward (multi-armed bandits, reinforcement learning)  experience developing recommender systems for personalized experience or similar  experience developing models for production quality machine learning solutions at scale  experience with natural language processing  knowledge of azure, or similar cloud platforms  experience presenting to both technical and non-technical audiences and a history of publications or presentations at conferences  solid communication skills - ability to succinctly communicate results and tell compelling stories with data to any audience (e.g. presenting findings and deep dives to senior leadership)  careers with optumrx. we're one of the largest and most innovative pharmacy benefits managers in the us, serving more than 12 million people nationwide. here you'll fill far more than prescriptions. as a member of one of our pharmacy teams, you're empowered to be your best and do whatever it takes to help each customer. you'll find unrivaled support and training as well as a wealth of growth and development opportunities driven by your performance and limited only by your imagination. join us. there's no better place to help people live healthier lives while doing your life's best work.(sm)  all telecommuters will be required to adhere to unitedhealth group’s telecommuter policy.  colorado residents only: the salary range for colorado residents is $94,500 to $171,700. pay is based on several factors including but not limited to education, work experience, certifications, etc. in addition to your salary, unitedhealth group offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). no matter where or when you begin a career with unitedhealth group, you’ll find a far-reaching choice of benefits and incentives  diversity creates a healthier atmosphere: unitedhealth group is an equal employment opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.  unitedhealth group is a drug - free workplace. candidates are required to pass a drug test before beginning employment.  job keywords: principal data scientist, lead data scientist, data scientist, machine learning, recommender systems, bandit, bandit, bayesian algorithms, thompson sampling, algorithms, deep learning, reinforcement learning, recommendation systems, tensorflow, spark, telecommute, remote, work from home",data scientist
"position we are looking for a talented data scientist to join our data science team . this team serves as the center of excellence for data science initiatives and is responsible for building and leveraging big data capabilities and advanced modeling techniques across the firm. projects encompass all aspects of our organization, spanning research, portfolio management, trading, risk management, operations, sales and marketing. the data scientist will engage with stake-holders across ab to surface challenges and opportunities, and to lead the organization to pilot and develop solutions around algorithms, tools and infrastructure that can significantly impact our business. initiatives include harnessing big data and machine learning methods to improve investment outcomes and to improve sales productivity and client interactions. responsibilities the data scientist is responsible for executing on ab’s projects involving large datasets and advanced statistical techniques to solve business problems. in this role, (s)he will conduct research and create proto-types to address business challenges in research, investment management, sales and marketing, and operations. the individual will help develop ab’s capabilities in data science and leverage those learnings across the organization. (s)he will also help design and create an infrastructure that’s scalable and robust across the different business units. ultimately, the data scientist will help the firm harness big data and advanced analytics to make better and faster decisions. specific responsibilities may include: conduct research to extract insights from “alternative” datasets utilize advanced analytical techniques including machine learning to create models to improve investment outcomes and to enhance client interactions partner with data engineers and technologists to harness modern technology and techniques to create a leading-edge infrastructure for the organization create tools, dashboards and open-source code to facilitate adoption of research insights, models and recommendations from data science team collaborate with investment and client-facing teams to develop solutions to address research and business challenges leverage insights across the firm by sharing best practices and training colleagues present research findings at leading finance and data science conferences qualifications the ideal candidate should have some experience in finance, data science, quantitative research or business intelligence . other qualifications include: advanced degree in mathematics, finance, computer science, engineering or related fields experience in working with large structured and unstructured datasets and applying advanced statistical methods to drive decision-making well-versed in big data technologies and analytical methods proficiency in analysis (r, matlab packages), programming languages (r, python), and statistical modeling. experience in the financial services industry preferred strong project management skills our employees have track records of outstanding professional performance and academic achievement, excellent analytical skills, and strong verbal communication skills. candidates should have a strong ability to work in a collaborative environment and to present results to both expert and non-expert audiences. alliancebernstein (ab) is a global investment-management firm providing industry-leading research and investment solutions through a combination of innovation, intellectual curiosity and relentless ingenuity. we offer high-quality research and diversified investment services to institutional and individual investors worldwide. our clients include some of the world's top institutions as well as private-wealth clients and retail investors. through close partnerships with our clients, we collaborate on investment strategies across regions and sectors to inspire innovative thinking and deliver superior outcomes. we invest in our people and in the communities in which we operate, and we celebrate our diversity to showcase what makes us unique. we offer our talent the opportunity to grow professionally while working on cutting-edge ideas and outcomes in a global culture that operates as a tight-knit community. if you're ready to innovate and grow your career, join us. people of color, women, and those who identify as lgbtq people are encouraged to apply. ab does not discriminate against any employee or applicant for employment on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital status, citizenship status, sexual orientation, gender identity, military or veteran status or any other basis that is prohibited by applicable law. ab’s policies, as well as practices, seek to ensure that employment opportunities are available to all employees and applicants, based solely on job-related criteria. new york city, new yorknashville, tennessee",data scientist
"data, research & insights data science about the podcaster mission location new york, ny job type permanent  spotify is a global community of over 250 million music fans and artists, and now podcasters. it’s always been our mission to make audio more accessible, and create a new and wonderful way for creators and fans to connect with each other.  the podcaster mission is the team within spotify responsible for building tools for podcast creators. we have two platforms that help us do that: anchor (the biggest podcasting platform in the world, which allows you to create, distribute, monetize, and grow a podcast, all for free) and spotify for podcasters (the platform that makes it easy to understand and engage with your listeners on spotify).  we’ve done a lot already, and we have no plans of slowing down. come help us build the future of podcasting!  about the role  we are looking for a data scientist to conduct analysis of podcast creator behaviors in support of our growing podcaster products. you will analyze how podcast creators are engaging with our products, define measures of success, run & measure experiments, and make data-driven recommendations that enable the podcaster mission to make decisions that delight our users.  a successful candidate should love product insights and be deeply curious. you should have strong experimentation, metric & data creation, and data visualization skills as well as possess excellent communication skills to interface between technical and product teams!  this is an exciting opportunity to work on innovative projects and help develop the future of audio on spotify! what you'll do conduct analysis of large datasets, extracting insights from product and segmentation data that will drive product decision-making. define measures of success for product launches and other initiatives. work with product on all things product experimentation. find ideal testing opportunities, as well as set up and measure ab test results. build dashboards and self-service tools to enable ongoing monitoring of features. partner with user research to combine qualitative and quantitative insights. develop and communicate recommendations to non-technical audiences determined by data. develop a deep appreciation of the podcast creator landscape and how podcasters engage with our products. who you are deeply curious; interested in how podcast creators create podcasts and the future of audio creation. 3+ years of demonstratable experience in an analytics role, and a degree in a quantitative field (e.g. statistics, economics, computer science) comfortable navigating large datasets (advanced sql), and using programming languages for analytics (python/r). experience visualizing data and/or building dashboards (tableau). natural communicator, who focuses just as much on the delivery and the “so what” of your insights, as you do on the technical craft of extracting them. excellent written and verbal communication skills. deep understanding of statistics and experience working with real-world data, as well as a strong business sense. excellent problem solving skills with a good attention to detail. perks of being in the band extensive learning opportunities, through our dedicated team, greenhouse. flexible share incentives letting you choose how you share in our success. global parental leave, six months off - fully paid - for all new parents. all the feels, our employee assistance program and self-care hub. flexible public holidays, swap days off according to your values and beliefs. spotify on tour, join your colleagues on trips to industry festivals and events. learn about life at spotify spotify is an equal opportunity employer. you are welcome at spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. our platform is for everyone, and so is our workplace. the more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! so bring us your personal experience, your perspectives, and your background. it’s in our differences that we will find the power to keep revolutionizing the way the world listens.  spotify transformed music listening forever when we launched in 2008. our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. everything we do is driven by our love for music and podcasting. today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users.",data scientist
"about madison logic:  our team is reshaping b2b marketing and having fun in the process! madison logic is rapidly growing and is constantly looking for new talent to raise the bar. work with & learn from an incredible group of people that care about your success as much as they care about their own. as a truly global company, we take pride in the diverse backgrounds of our team. we put thought into every hire and we hand pick only the best talent. when you join our team, you are committing to giving 100% and always striving for more.     about the role we are a fast-paced and fast-growing company that is looking for enthusiastic interns to join our fall 2021internship program! our data scientist internship will expose you to a 360-degree view of our business and our industry.  here at madison logic, we like to pride ourselves on our unique company culture where we want to make you feel as comfortable as possible (here’s where that generic saying, “work hard, play harder” comes into effect). we’re here to teach you the basics and we encourage you to ask any questions you may have about your specific position, our company, or the industry! we want to help you as much as you’re helping us. what you'll do: act as a hands-on data scientist intern by tackling a rich set of tangible problems that have measurable business impacts participate in brainstorming sessions and being able to describe patterns in data using math/stats and visualisation softwares. apply your optimization, machine learning and ai skills to solve business challenges partner with internal stakeholders to assess and provide data analysis & strategy recommendations for business questions keep up to date on trends, tools and research what you have: rising senior or recent graduate from an accredited institution, pursuing a degree focused in technology, data, statistics, or mathematics experience with python or r. familiarity with data visualization packages in r/python or bi tools. working knowledge of regression analysis, model testing, logistic regression, glm sound knowledge of statistics knowledge of one or more of: gbm, k-means, neural networks, svms, bayesian networks, nlp etc knowledge of sql internship details: fall program dates: august 23rd - december 3rd $18 per hour hours: 9 am – 5 pm more about us: since our inception in 2005, madison logic has been helping b2b companies accelerate growth and convert their best accounts faster by finding and engaging with the most influential individuals throughout the buyer journey. through activateabmtm, our global account-based marketing platform, we bring sales and marketing together with integrated buyer insights and journey optimization to make every interaction a meaningful one.  from our offices in four countries across three continents we provide a true partnership with our global client base. when 70% of your purchase process occurs before individuals on the buying committee self-identify, successful account-based marketing strategies must include both inbound and outbound strategies that raise product awareness and increase account penetration at all stages in the buyer journey.  activateabmtm from madison logic is the only global account-based marketing platform that uses technology, actionable data, and content to speed the buyer journey at all stages.  who we are:  our vision: we empower b2b organizations globally to convert their best accounts faster  our values: #team #ownit #respect #excel #empower  our commitment to diversity & inclusion: madison logic is proud to be an equal opportunity employer. we are committed to equal employment opportunity regardless of sex, race, color, religion, national origin, sexual orientation, age, marital status, disability, gender identity or veteran status.  privacy disclosure: all of the information collected in this form and/or by your application by submission of your online profile is necessary and relevant to the performance of the job applied for. we will process the information provided by you in this form, your cv (including physical and online resume profiles), by the referees you have noted, and by the educational institutions with whom we may undertake to verify your qualifications with, in accordance with our privacy policy and for recruitment purposes only.  for more information on how we process the information you have provided including relevant lawful bases (where relevant) please see our privacy policy which is available on our website (https://www.madisonlogic.com/privacy/).",data scientist
