JobDesc,JobTitle
"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. The Aviation Safety & Analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. We have a treasure trove of data including time series, text and sensor data and challenging problems to solve. We are seeking skills in machine learning, deep learning, text mining, big data and software/application development. If Sklearn, pyTorch, Keras,TensorFlow, LSTM, LDA, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. You are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. The candidate will work with the FAA and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. The candidate will be responsible for supporting a team of more senior AI/ML staff and Data Scientists in the following tasks: Leveraging AI/ML techniques and solutions to identify complex patterns for predicting safety hazards Increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, AI/ML techniques and human SME/analyst expertise Develop and prototype AI algorithms and software tools. Enhance and maintain current analysis tools, including automation of current processes using AI/ML algorithms. Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets Develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities Basic Qualifications: Bachelor’s Degree in Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields Hands-on Software Development Skills (Python-Preferred) Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms. Ability to work closely with Domain experts to develop tools/algorithms needed to answer research questions in their studies Excellent Communication Skills (with the abilty to explain developed tools and ML algorithms to a non-technical audience) Ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems Strong analytic, inferencing, critical thinking, and creative problem-solving skills Self-starter with ability to work both independently and with a team Preferred Qualifications: 1 to 2 years of relevant experience Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc. Ability to apply these frameworks to real problems in the ‘time -series’ domain Experience with interpretability of deep learning models Big Data Skills (Hadoop, Spark, recent deep learning platforms) Visualizations/Web Development Skills (e.g. Tableau, MEAN stack - MongoDB, ExpressJS, AngularJS, NodeJS). Practical experience with statistical analysis Experience with text mining tools and techniques including in areas of summarization , search (e.g. ELK Stack) , entity extraction, training set generation (e.g. Snorkel) and anomaly detection Expert software development skills lifecycle including developing and maintain good production quality code This requisition requires the following clearance(s): Suitability - FAA MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org. Copyright © 1997-2021, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",data scientist
"Battelle delivers when others can’t. We conduct research and development, manage laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.  We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.   We are currently seeking a Data Scientist I. This position is located in Columbus, OH. JOB SUMMARY Battelle's Advanced Analytics supports government, academic and private industry clients in the areas of healthcare, national defense, environmental, transportation, and energy.  An individual in this role supports all efforts regarding the gathering, managing, and analysis of data, as well as subsequent reporting of results. They will work under general supervision with some autonomy and an emphasis on (i) compiling, organizing, and documenting data, (ii) coding, testing, and implementing algorithms to solve problems of moderate complexity, and (iii) searching literature and summarizing findings. For this role, we also expect this individual to support our geospatial project work. MAJOR RESPONSIBILITIES Review literature to identify appropriate methods to solve a problem, then implement those methods Extract and organize data from existing databases, literature, and data files, often at significantly varying scales Critically evaluate data for quality measures such as completeness, accuracy, and applicability, applying understanding of relevant research area nomenclature Proactively manage expectations and meet deadlines in a fast-moving, agile environment Communicate technical results in a clear, concise, and effective manner with emphasis on data visualization techniques Maintain excellent communication and interact with both co-located and geographically diverse team members daily Occasionally travel domestically to client sites, conferences, etc. Plan and carry out appropriate professional self-development activities Perform other duties as assigned Organize data for analysis and summarize data for internal and external reports Participate in multiple, assigned research projects with time and budget constraints Implement methodologies for solving problems with guidance Contribute to technical reports and presentations, describing results with tables, graphs, and software tools Build relationships with contacts across Battelle in different disciplines Support business development efforts led by others, including formatting tables/plots/text and contributing other technical material, with guidance THE FOLLOWING IS REQUIRED Experience in algorithmic programming and data visualization using R, Python, and/or MATLAB Excellent oral and written communication skills Attention to detail and adaptability Must be a permanent resident or US citizen Master's degree OR Bachelor's degree and 0-3 years' experience, and meet one of the following requirements: A degree in Statistics, Machine Learning, Mathematics, Data Science, Computer Science, or similar field and an interest in geospatial work A degree in Geography, Geoscience, Geostatistics, or similar field THE FOLLOWING IS DESIRED Ability to obtain and maintain a government security clearance Master's degree and 0-1 year OR Bachelor's degree and 2-3 years' experience Experience working with databases (e.g., SQL, PostgreSQL) Experience with geospatial statistics and/or geoprocessing (e.g., ArcGIS or comparable packages in R and Python) Experience either as an intern, a research assistant, or an applied project consultant, demonstrating capabilities in data analysis and programming LEGAL DISCLAIMER The above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle’s Legal Department. BENEFITS Battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.  Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity or expression, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within Battelle.",data scientist
"Position Type : Full time Type Of Hire : Experienced (relevant combo of work and education) Education Desired : Master's Degree Travel Percentage : 0% Job Description Are you curious, motivated, and forward-thinking? At FIS you’ll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun. About the team: Our team of Data Scientists works on Customer Lifecycle Analytics. We have end-to-end engagement, from designing solutions with stakeholder, coding the solutions, releasing the processes, and maintaining the process through the lifetime duration. We build predictive models predicting churn, pricing algorithms, forecasts, and customer engagement touch point optimization. What you will be doing: You will be working with the team in an Agile environment. You will be a part of designing solutions, coding solutions, and production support of the finalized process. You will use R-studio, SQL (Impala/Hive), and Hadoop Distributed File System as well as Cloud Data Platforms. Employ machine learning and statistical modeling to create and enhance data driven products Analyze and extract insights from internal and external data Work with Big Data and transform complex datasets into more usable formats Work with a variety of data science tools and programming languages such as SAS, Python, R, Scala, SQL Work independently and collaborate with other groups to solve complex problems Create and present analyses Document models and write code to track and monitor models and product performance Understand the realities of model development and make pragmatic and business-aware choices when trading-off sophistication and accuracy versus implementation and performance costs Other related duties assigned as needed What you bring: The ideal candidate will have in-depth experience with predictive modelling using data science tools and languages. Knowledge of end-to-end systems development life cycles, e.g., iterative and other modern approaches to software development. Ability to clearly present complicated findings to business professionals in a language they can understand. Ability to develop and enforce best practices relating to code structure, style, and documentation. Added bonus if you have: Ability to bridge the gap between a problem and potential solutions Ability develop in an iterative manner, solving the most important and basic problems first. Taking feedback. And developing into more complex solutions. What we offer you: A multifaceted job with a high degree of responsibility and a broad spectrum of opportunities The chance to work on some of the most challenging, relevant issues in financial services & technology A work environment built on collaboration, flexibility and respect . Privacy Statement FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice. EEOC Statement FIS is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, genetic information, national origin, disability, veteran status, and other protected characteristics. The EEO is the Law poster is available here supplement document available here  For positions located in the US, the following conditions apply. If you are made a conditional offer of employment, you will be required to undergo a drug test. ADA Disclaimer: In developing this job description care was taken to include all competencies needed to successfully perform in this position. However, for Americans with Disabilities Act (ADA) purposes, the essential functions of the job may or may not have been described for purposes of ADA reasonable accommodation. All reasonable accommodation requests will be reviewed and evaluated on a case-by-case basis. Sourcing Model Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company. #pridepass  This job is available in 2 locations See all Job Id JR0142453 Category Product Development Posted Date: 04/16/2021",data scientist
"Description: Job Summary This role will develop the next generation of Supply Chain & Logistics Analytics for Penske. This role will be key in establishing Penske’s advanced and predictive analytics capabilities, primarily at an enterprise level. The Data Scientist will work on 1– 3 projects concurrently. The projects at this level are large and complex, often with organization-wide impact. Provides analysis and develops approach and scope on each project. Such efforts require cross-functional involvement with customers, vendors and suppliers. Responsibilities Data evaluation and analysis: Identify appropriate data sources to answer business question Extract, blend, cleanse, and organize data Automate ETL processes Visualize data Identify (and ameliorate) outliers and missing or incomplete records in the data Model building and implementation Identify appropriate techniques and algorithms for building model Create and test model Build application and embed model Identify opportunities for savings and process improvement: Collaborate with various stakeholders to identify business problems Conduct ROI analysis to determine project feasibility Help build business case for significant enterprise-wide analytics initiatives Communication Engage in best practices discussions with other team members regarding modeling activities Discuss project activities and results with team Participate in discussions about company’s big data vision Exploring new technologies Understand business trends in the logistics industry Evaluate new technologies and determine if and how they can be applied Qualifications: Qualifications Master’s degree in Engineering, Operations Research, Statistics, Applied Math, Computer Science, or related quantitative field required 2 years of experience in a related field required 2 years of experience in Experience designing and building machine learning applications using either structured or unstructured datasets is required. Practical experience programming using Python, R or other high level scripting languages is required. Demonstrated experience with one or more machine learning techniques including logistic regression, decision trees, random forests and clustering is required. Knowledge and experience with SQL is preferred. Ability to collect and analyze complex data and translate data insights into action Ability to organize and prioritize work to meet multiple deadlines Effective communication skills in both oral and written form Regular, predictable, full attendance is an essential function of the job Willingness to travel as necessary, work the required schedule, work at the specific location required, complete Penske employment application, submit to a background investigation (to include past employment, education, and criminal history) and drug screening are required. Physical Requirements: The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The associate will be required to: read; communicate verbally and/or in written form; remember and analyze certain information; and remember and understand certain instructions or guidelines. While performing the duties of this job, the associate may be required to stand, walk, and sit. The associate is frequently required to use hands to touch, handle, and feel, and to reach with hands and arms. The associate must be able to occasionally lift and/or move up to 25lbs/12kg. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus. Penske is an Equal Opportunity Employer. About Penske Logistics Penske Logistics is a wholly owned subsidiary of Penske Truck Leasing. With operations in North America, South America, Europe and Asia, Penske Logistics provides supply chain management and logistics services to leading companies around the world. Penske Logistics delivers value through its design, planning and execution in transportation, warehousing and freight management. Visit www.PenskeLogistics.com to learn more. Work Locations: 3000 Auburn Dr Beachwood, OH 44122 Primary Location: United States-Ohio-Beachwood Zip: 44122 Job: Information Technology Penske (Oracle) Job Name: Information Technology Req ID: 2103468",data scientist
"Description Our Enterprise Data and Analytics department is growing, and we're looking for an outstanding Data Scientist to join our team. At Huntington, you will leverage machine learning, segmentation, and statistical inference on huge data sets to improve how we understand our customers and the communities we serve. Our goal is to be the Best performing Regional Bank in America, and we need data and analytics to meet that goal. From a technology perspective, you will leverage on- and off-premises computing technology while you work on giant data sets to mine insights and build machine learning solutions. You will implement cutting-edge targeting techniques and deploy them at scale. Your solutions will be used in production daily. Key Responsibilities Own the entire model development process, from identifying the business needs, data sourcing, model fitting, presenting results, and production scoring Work closely with line of business executives and product managers to develop strategy and apply model predictions. Drive innovation and improvement of statistical methods and procedures. Stay current with emerging statistical trends to maintain a strong understanding of statistical model development, theory and practice. Basic Qualifications: Master's Degree in Statistics, Economics, Data Science, or related field. 5+ of work experience in financial services, retail, healthcare, telecommunications, entertainment, or consulting. 2 years of experience in statistical programming with R, SAS, Python, or other languages. Preferred Qualifications: Ph.D. preferred Excellent written and verbal communication skills, with a proven ability to interact effectively across all organizational levels. Practical and theoretical knowledge of data mining and machine learning techniques and statistical concepts Progressive thinking and problem solving, with a strong ability to manage ambiguity/complexity. Ability to work effectively in teams as well as independently across multiple tasks while meeting aggressive timelines. Experience working in a consumer-centric company with teams of technical professionals in a cross-functional environment. Willingness to embrace change, constructively negotiate constraints, and effectively leverage resources to create exceptional outcomes. Talent for inspiring high levels of professional demeanor and integrity. EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity",data scientist
"TITLE Data Scientist LOCATION Orrville, OH (Close proximity to Cleveland/Akron) Flexible work arrangements available REPORTS TO Manager, Data Science POSITION SUMMARY Are you curious by nature? Do you like to dive into data to solve problems with innovative solutions? Are you passionate about uncovering meaningful patterns in data that leads to executable insights and recommendations? Are you looking for collaborative Data Science team with growth opportunity? If so, The JM Smucker Co. is looking for you and it’s time to join our team! As a Data Scientist, you will be responsible for collaborating with business stakeholders, Data Scientists, and Data Engineers and solving business problems by leveraging data mining, Statistics, Machine Learning and Smucker’s business knowledge. Additional responsibilities will include advancing relevant, informative, and user-friendly insights to help inform and influence strategic decisions across all our businesses. Moreover, be ready to challenge yourself and continuously improve Data Science skills by leveraging internal and external development opportunities for your growth. SELECTION CRITERIA Education Bachelor’s Degree is required (Statistics, Applied Math, Computer Science, Applied Economics, Econometrics, Psychology, or another relevant field) Master’s Degree preferred (Statistics, Applied Math, Computer Science, Applied Economics, Econometrics, Psychology, or another relevant field) Experience At least 1 year (inclusive of internships) of practical experience in Data Science, Statistics, or another analytical role R, Python, or other relevant Statistical/Computer programming languages; Relational database language (SQL) Good understanding of the underlying principles of Statistics and/or Machine Learning methods Familiarity with syndicated and POS data sources and visual tools such as Spotfire/Tableau a plus Experience in distributed computing and storage technologies such as Hadoop, Spark, GCP, AWS, and Azure a plus Other Excellent problem-solving skills, critical thinking, and conceptual thinking abilities Continuous improvement mindset Self-motivated and ability to handle multiple/diverse tasks Strong interpersonal, oral, and written communication skills Ability to work in dynamic environment; create and manage change Ability to travel as needed #LI-123",data scientist
"Primary Responsibilities: Automate and productionalize data assets at scale  Perform analysis on large amounts of data from multiple and disparate sources Analyze data and results to ensure data quality, statistical relevance, etc. with a critical mindset and aware of the limitations of the tools used  Develop and own new data assets for Bionics program and beyond Design analytical engines to derive insights for Decision-Makers Research, develop, and implements new methods of measuring and analyzing data sets and processes  Coach and develop your skills, build expertise within Chase Small Business Banking Act as a SME in data science and analytics within Small Business Banking and beyond, create frameworks for common topics Communicate in a simple, conclusive manner, focusing on the key messages Ensure buy-in from key stakeholders and clients  Qualifications Background:  PhD or MSc. in a scientific field (Mathematics, Physics, Computer Science, Engineering, etc.) Minimum 2 years (5 if MSc.) of advanced analytics experience Exposure to AI/ML and statistical modeling  Skills: Proficient in data transformation using SQL Expertise in Python, PySpark, or Scala Working knowledge of Cloud technologies GCP, AWS, Azure, or Databricks Proficient in data mining and advanced analytical methods Chase is a leading financial services firm, helping nearly half of America's households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans",data scientist
"Company Description  OUR COMPANY Abercrombie & Fitch Co. is a portfolio of lifestyle brands including Abercrombie & Fitch, abercrombie kids, Hollister, and Gilly Hicks. Reaching customers across 120+ countries, we strive to create customer-centric, omni-channel experiences for our global customer base. OUR VALUES How do we do it? Every day, our associates show up and empower one another to stay curious and think big. As a team of relentless innovators, we aren’t afraid to dream boldly. We are accountable and aim to the highest caliber to understand, push boundaries and embrace change. We coach, mentor, care, and bring our best selves every day because we are in this together. Whether you lead yourself, a team, or the company, everyone is a leader at A&F.  Job Description  Our Global Data & Analytics team is the hub of harvesting and analyzing data to drive strategic, customer-centric business decisions for our brands. By collaborating with partners across a broad variety of business functions, associates on our D&A team provide recommendations that allow our teams to push boundaries and stay at the forefront of retail trends. The Assistant Data Scientist on our A&F Corporate Analytics team will focus on statistical modeling, customer segmentation, geo analytics and modeling, advanced customer and product lifecycle analyses, E-commerce, and measurement process support. Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel sales potential by market, develop modeling/segmentation approach for various work streams, incorporate new data types & sources into existing data structures, and develop actionable data products that drive the company’s bottom line. This role closely partners with our Marketing/Real Estate/Product Management/Operations teams to help support their advanced analytics/reporting and segmentation needs. The Assistant Data Scientist brings passion for learning and data-informed decision making that shapes holistic view of our business with consideration for all aspects of the customer experience - from front-end web & store experience through order fulfillment and customer service. What will you be doing? Modeling & Segmentation Build innovative machine learning models and segmentations for personalization initiatives to drive margin, revenue, and conversion. Develop Geo optimization models that drive market opportunity assessment and real estate location selection; decompose omni-channel impact in the marketplace as result of store open/closures. Build out robust advanced segmentation schemes for our customer and email files. Develop various predictive models (response, propensity, life-time value, affinity, churn etc.). Understand and be able to apply advanced modeling techniques such as logistic regression, generalized linear models, decision trees, random forest, cluster analysis, survival analysis, etc. Identify ""low hanging"" opportunities to increase conversion, save costs, drive revenue. Incorporate new data sources (social, clickstream, unstructured) & new types of data into segmentation/modeling/analysis. Analytics Ecosystem Serve as quantitative SME for broader A&F team. Help identify cross-channel / cross-platform optimization opportunities for customer, product, market, promotions and price. Be an evangelist of data-informed decision-making and consistently look out for new ways to leverage data and analytics. Ensure data accuracy and single source of truth; work with Data Engineers to identify or build new solutions. What will you need to bring? Bachelor's Degree in Data Analytics, Statistics, Mathematics, Computer Science, Information Systems, or related field 0-1 year of Data/Customer Analytics experience (retail environment is a plus), including: Customer-level Predictive Models/Segmentation Geo/Location Analytics Advanced Analyses (LTV, basket analysis, contact stream optimization, elasticity etc.) Advanced Reporting; OR Proficiency with SQL, SAS, Python or R. Familiarity with Geo analytics tools and big data platforms is a plus. Highly motivated/self-starter with a sense of ownership, willingness to learn, and desire to succeed. Must perform well in high-pressure situations, balance competing priorities, and demonstrate the ability to work without direct supervision.  Additional Information  ABERCROMBIE & FITCH CO. IS AN EQUAL OPPORTUNITY EMPLOYER",data scientist
"Description SHIFT: Day Job  SCHEDULE: Full-time  Your Talent. Our Vision. At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care. This is an exceptional opportunity to do innovative work that means more to you and those we serve at one of America's leading health care companies and a Fortune Top 50 Company. Responsible for the development and implementation of predictive modeling algorithms and techniques to solve business problems and optimize member experiences. Must be able to commute to an Anthem office - Virginia Beach, VA, Atlanta, GA, Indinapolis, IN, or Mason, OH preferred Primary duties may include but are not limited to: Design predictive modeling projects to address specific business problems determined by consultation with business partners. Work with data-sets of varying degrees of size and complexity including both structured and unstructured data. Piping and processing massive data-streams in distributed computing environments such as Hadoop to facilitate analysis. Implements batch and real-time model scoring to drive actions. Develops proprietary algorithms to build customized solutions that go beyond standard industry tools and lead to innovative solutions. Develop sophisticated visualization of analysis output for business users. Provides high-level controllership/evaluation of all output produced to ensure established targets are met. Determines the continuous improvement opportunities of current predictive modeling algorithms. Proactively collaborates with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns related to quality, use, cost and other variables. Qualifications Requires a Bachelor’s degree in Statistics, Computer Science, Mathematics, Machine Learning, Econometrics, Physics, Biostatistics or related Quantitative disciplines and 3 or more years experience in predictive analytics or equivalent. Must have advanced expertise with software such as Python, R, SAS, SAS Enterprise Miner, SQL, Tableau or equivalent, or any combination of education and experience which would provide an equivalent background. PhD and experience in the healthcare sector preferred. We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few. Anthem, Inc. is ranked as one of America’s Most Admired Companies among health insurers by Fortune magazine and has been named a 2019 Best Employers for Diversity by Forbes. To learn more about our company and apply, please visit us at careers.antheminc.com. An Equal Opportunity Employer/Disability/Veteran. Anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all Anthem positions.",data scientist
"Responsibilities: Collect, cleanse, integrate, data mine and visualize a variety of internal and external data sources to identify opportunities and influence strategy. Understand business challenges, transform problems into mathematical frameworks, and communicate complex findings in a structured and clear manner to a non-technical audience. Design experiments, develop statistical models and build causal inference tools to measure and improve operational effectiveness. Build Data Science and Machine Learning frameworks and help launch them into production. Write code to support research programs and contribute to our AI codebase Implement and test AI algorithms Collaborate inter and intra-departmentally on data from several different disparate data sources Answer business questions through data analysis, data mining, and statistical modeling. Partner with program managers, engineers, and sales leaders to translate business insights into decisions.  Qualifications 6+ years of experience in solving complex business problems using advanced analytics, statistical analysis, machine learning, and algorithms that result in customer adoption, improved sentiment, and value realization 3+ years of experience in extracting, cleansing and working with structured and unstructured data sets 5+ years of experience working in agile environments with versioned or iterate development Advanced Python/R knowledge and hands on statistical programming Comfortable working in a dynamically and changing environment Comfortable working with loosely defined requirements where you exercise your creativity and analytical skills to deliver best in class solutions Well versed in solving complex problems and communicating complex results to leadership and stakeholders Deep experience budling NLP models Excellent written and verbal communication, especially with articulating vision, planning, analysis process, and results in business terms.",data scientist
