JobDesc,JobTitle
"overview: who is virgin pulse? virgin pulse, founded as part of sir richard branson’s famed virgin group, helps organizations build employee health and wellbeing into the dna of their corporate cultures. as the only company to deliver a powerful, mobile-first digital platform infused with live services, including coaching and biometric screenings, virgin pulse’s takes a high-tech-meets-high-touch-approach to engage employees in improving across all aspects of their health and wellbeing, every day – from prevention and building a healthy lifestyle to condition and disease management to condition reversal, all while engaging users daily in building and sustaining healthy habits and behaviors. a global leader in health and wellbeing, virgin pulse is committed to helping change lives and businesses around the world for good so that people and organizations can thrive, together. today, more than 3100 organizations across the globe are using virgin pulse’s solutions to improve health, employee wellbeing and engagement, reduce costs and create strong workplace cultures.  who are our employees? at virgin pulse we’re passionate about changing lives for good. we want to make a difference in the world by helping people be healthy so they can perform at their best, every day, at work and home. our award-winning solutions support leading employers in improving and simplifying the employee health and wellbeing journey and engaging people in all aspects of their health. but our world-class products and programs are nothing without our people – the employees who design, build, promote, sell, test and perfect the latest innovations in workplace health and wellbeing. our people are our top priority and we invest in their health and happiness. at virgin pulse, we have so much more than a strong, supportive company culture – have a shared vision for a healthier, happier world.  virgin pulse values and celebrates diversity and is committed to creating an inclusive environment for all employees. we believe in creating teams made up of individuals with various backgrounds, experiences, and perspectives, inspires innovation, collaboration, and challenges us to produce better solutions. as a global employer, we seek to recruit, develop, and retain the most talented people from a diverse candidate pool. as we are committed to diversifying our company, we strongly encourage candidates that are historically underrepresented in the tech industry to apply. responsibilities: who you are you are an experienced data scientist who will be able to hit the ground running to support the organization’s efforts to maintain leadership in the employee health engagement saas industry. this role will be responsible for accessing and building datasets, designing and conducting complex analysis, and creating and delivering data visualizations and reports. the incumbent will be able to interpret findings, clearly communicate results, and make recommendations to stakeholders. in addition, this role will provide support and innovation for our advanced client-facing reporting and visualization needs. we are looking for someone who is self-directed and thrives working in a fast-paced, collaborative environment, in which expectations are high for both the quality and speed of work. a successful candidate will have a hunger for continuous learning, development of new skills on the job as well as the willingness to jump in on any project to support the team.  in this role you will wear many hats but your skills will be especially essential in the following: develop and maintain complex r reporting processes critical to the business. this includes data calculation, visualization, and automation. write sql programs to access, clean, and transform required data prior to analysis and reporting gather requirements and serve as data expert with client success team. take front-end needs and translate them into achievable technical tasks efficiently manage long-term research projects, starting with hypothesis development and data gathering, then to analysis and modeling, and through to communications and recommendations. develop data visualizations to provide insights with more impact, specifically with relation to book of business outcomes reporting and client specific projects conduct ad-hoc analysis as required to support internal stakeholders in client success, sales, and marketing collaborate with other internal analytics and client reporting team members to ensure appropriate data is analyzed and that results are provided in a format consistent with standard and customized client reporting services troubleshoot and perform data audits to ensure and improve data integrity; investigate and resolve data discrepancies qualifications: what you bring to the team a bachelor’s degree in statistics, computer science, economics, or related field; master’s degree is a plus 3+ years of work experience in a similar position; employee health management/health engagement industry preferred advanced knowledge and recent hands-on experiences in sql databases, redshift preferred expertise coding in at least one scripting language, r strongly preferred knowledge of data visualization tools and techniques preferred (i.e. ggplot2, tableau microstrategy) experience with producing and delivering results using varied media (i.e. multiple ms office formats, dashboards/visualization tools) comfortable working collaboratively in a global environment with remote teams in addition, you possess the following additional competencies and characteristics: strong analytical ability, with an emphasis on quantitative analysis, descriptive and inferential statistics experience working with large-scale datasets and multiple projects simultaneously aptitude to learn new technologies and troubleshoot complex problems independently creative energy, self-starter, works equally well independently and collaboratively flexibility and ability to adapt to changes in priority quickly and seamlessly excellent communication and organization skills with the ability to manage competing priorities, meet deadlines, and process ad-hoc requests #li-remote  security competencies: work to maintain system and data security at a high standard, ensuring the confidentiality, integrity and availability of the virgin pulse application is not compromised. adhere to industry best practice coding standards and verify all code developed at virgin pulse is free from bugs and security vulnerabilities such as those defined and published by owasp.  why work here? we believe a career should provide competitive pay and benefits, a collaborative and supportive work environment, strong employee culture and cutting-edge technology and services — so many reasons to love it here.  we are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to any protected class status.  please note that virgin pulse representatives will only communicate with you via our own corporate communication tools with virginpulse.com email addresses and through partnership with our applicant tracking system, icims, which will clearly reference virgin pulse. we do not use third party apps like wire or whatsapp to communicate.  at no time during the interview process will we ask you for secure pii data unless you are offered a job with virgin pulse. should you be offered a job, and accept, you will be provided with secure links through our partnership with adp.",data scientist
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  pursuant to the los angeles fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.",data scientist
"the data scientist role within cvs health is on the front line of driving innovation and directly impacting business decisions. this role falls within the finance analytics team and will focus on building & deploying analytic models that help the pbm business meet its client and pharmacy financial guarantees. this team works on drug pricing optimization models using linear and mixed integer programming techniques to optimize drug-level pricing tied to 95 million americans. the models are designed to meet financial guarantees contracted by caremark with its clients and pharmacy partners by optimizing drug prices while adhering to several regulatory and business constraints. the outcomes of these models (recommended drug prices) have delivered over $100m in value to caremark. required qualifications: bachelor’s degree in data science, computer science, applied math, operation research, statistics, health policy, or other related field with minimum of 3 years of professional experience; master’s degree with a minimum of 2 years of experience; or phd with fellowship experience in: leading project management activities, including communications within project teams, stakeholder management, and leadership updates extracting actionable insights from the analysis and interpreting outcomes of complex models to present to business audiences including technical, non-technical, and senior leaders preparing data for analysis, working with data engineering team to create modeling dataset, assess completeness and quality of data, and perform feature engineering working with data and have a strong understanding of analytics and how it is leveraged within the healthcare/retail industry  required qualifications 2+ years of experience applying modern machine learning techniques to build predictive models for both classification and regression problems 2+ years’ experience with general linear models, including regression techniques, marketing mix models, etc. 2+ years of experience coding in python, r, or other modeling environments  preferred qualifications experience with statistical measurements including experimental design, test and control selection, propensity matching, etc.  education bachelor’s degree in data science, computer science, applied math, operation research, statistics, health policy, or other related field; or advanced degree preferred: master’s degree or phd in data science, computer science, applied math, operation research, statistics, health policy, or related field  business overview at cvs health, we are joined in a common purpose: helping people on their path to better health. we are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.  we strive to promote and sustain a culture of diversity, inclusion and belonging every day. cvs health is an equal opportunity and affirmative action employer. we do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. we proudly support and encourage people with military experience (active, veterans, reservists and national guard) as well as military spouses to apply for cvs health job opportunities.",data scientist
"as the senior advisor, data science, solution strategy for enterprise modernization, you will work on high priority projects and initiatives across cvs operational and functional units. your core responsibilities will include:  define objectives and own deliverables for high visibility analytics projects. in particular, your initial area of responsibilities will be supporting enterprise modernization and may include projects such as: o real estate analytics. leverage data engineering and data science skills to support our national portfolio of real estate assets and match those to our talent development and acquisition strategies to optimize our real estate portfolio o hr analytics. work with hr and legal business partners to use advanced machine learning and test and learn methodology to improve employee engagement, improve talent acquisition, retention and productivity o service operations. work across operational functions to leverage data science to drive intelligent automation of operational processes to improve customer service and reduce operational costs oversee all project management activities including communications within project teams, stakeholder management, leadership updates, etc. conduct analyses to support project deliverables including developing statistical and machine learning models as necessary develop and maintain relationships with wide range of stakeholders including business partners, it, legal, etc.  required qualifications 4+ years of experience within analytics or strategy function in a corporation, startup or consulting firm strategic and consultative mindset and strong leadership skills with proven ability to effectively drive projects and deliver objectives in highly cross functional team environment, which will include colleagues and partners with diverse skills and backgrounds, such as data engineers, data scientists, application developers, business analysts, etc.  preferred qualifications excellent written and oral communication and data presentation skills, with ability to tailor the communication style to the right audience, from analytic professionals to senior business leaders excellent project management skills with ability to lead and engage in multiple projects and initiatives and appropriately prioritize her/his own time as well as that of the direct reports strong analytics and data science skills including ability to manage data within relational databases, conduct statistical analyses and build machine learning models practical experience with common data management, reporting, programming and modeling tools including sql, python, r, excel, tableau knowledge of the healthcare landscape including patient and payer concerns, as well as the operational considerations in support of the business objectives and analytics experience within the retail and/or healthcare industries is highly preferred  education advanced degree in economics, statistics, mathematics, computer science, engineering or related field.  business overview at cvs health, we are joined in a common purpose: helping people on their path to better health. we are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.  we strive to promote and sustain a culture of diversity, inclusion and belonging every day. cvs health is an equal opportunity and affirmative action employer. we do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. we proudly support and encourage people with military experience (active, veterans, reservists and national guard) as well as military spouses to apply for cvs health job opportunities.",data scientist
"woonsocket, rhode island - united states | posted - 05/13/20  overview required skills : experience with sas, spss, r, python or scripting language is required experience with tableau or other data visualization tools is preferred expertise in sql and related experience working in an enterprise data environment 4+ years of experience generating business insights through data and analysis basic qualifications : the ideal candidate will have a strong analytics background with experience leveraging sql to solve business problems, using etl, creating and organizing related tables, mining large data sets and using statistics to build synthetic control groups additional skills job description : analyzing consumer behavior data manipulation and aggregation developing and implementing predictive models to analyze program effectiveness initiating test designs, measuring the business impact of marketing programs evaluating business trends and leveraging data to make business recommendations ing critical and creative thinking to analytic challenges",data scientist
"job description: as a strategic problem solver and analytic product manager, you will develop a strategic perspective and plan for how artificial intelligence-driven personalization can transform the participant experience in workplace investing! the expertise we’re looking for validated experience in leading the application of artificial intelligence (ai) to deliver quantifiable business results; five to ten successfully launched artificial intelligence/ml projects. excellent planning, project management, consulting, leadership, and talent management skills. strong verbal/written communication and presentation skills, including an ability to effectively connect with both business and technical teams. significant experience with agile methodologies, to include leadership of agile teams. experience in projects involving large scale-multi dimensional databases, sophisticated business infrastructure, and multi-functional teams. knowledge of most of the following quantitative fields: machine learning, advanced statistical analysis & modeling, deep learning, causal inference & program evaluation, reinforcement learning, behavioral economics, design of experiments, multi-objective optimization, decision theory, bayesian statistics, and network science. strong data proficiency, exploratory data analysis, data visualization, and story telling skills knowledge of well-designed experiments and statistical analysis concepts knowledge of big data technologies such as cloud computing, gpu computing, hadoop, spark, mapreduce or related massively parallel processing (mpp) technologies experience building and delivering sophisticated systems that leverage various machine learning algorithms or technologies that integrate well with other organization-wide systems and are able to scale optimally. experience in customer journey mapping and application of ai in the journey a plus 10+ years of relevant employment experience. master’s in computer science, mathematics, engineering, information technology, computational statistics, operations research, machine learning, or business or related technical fields a plus. the skills you bring collaborate with business partners, engineers, and software developers, bring together requirements and deliver complete ai/ml solutions. set and deliver a multi-year strategy for redefining cross channel experiences through the use of ai. lead the design, development, and launch of ai algorithms/solutions that improve revenue and participant satisfaction. lead and run local and remote teams (scientists and technologists with diverse skillsets). closely follow research and open source developments/publications and apply them within fidelity’s context. understand, at a deep level, business and product strategies, goals and objectives; set the ai roadmap to drive business goals. the value you deliver we work closely with business partners, size opportunities, work across squads on requirements, integration needs, measurement, and automation to deliver high value ai/ml solutions that drive customer and business value. we are passionate about developing talent in a collaborative and upbeat environment. those of us who love to work with data to provide business solutions see this as the pinnacle of opportunities that you cannot find anywhere else in the industry. how your work impacts the organization the ai/machine learning subject area delivers an industry leading analytics platform that provides data-driven insights which enables businesses to achieve their objectives. the ai/customer experience squad is responsible for developing, deploying and leading a coordinated system of sophisticated mathematical models, data, and infrastructure to support analytic solutions that improve the customer experience, and enable intelligent product solutions. we are an equal opportunity employer and value diversity at our company. we do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. please contact us to request accommodation. certifications:  company overview at fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. we are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. we are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. find your fidelity at fidelitycareers.com.  fidelity investments is an equal opportunity employer. we believe that the most effective way to attract, develop and retain a diverse workforce is to build an enduring culture of inclusion and belonging. fidelity will reasonably accommodate applicants with disabilities who need adjustments to participate in the application or interview process. to initiate a request for an accommodation, contact the hr leave of absence/accommodation team by sending an email to accommodations @fmr.com, or by calling 800-835-5099, prompt 2, option 2.",data scientist
"duration:6+months  responsibilities:  are skilled at wrangling structured, semi-structured, unstructured for streaming and batch data sources. are able to lead proofs-of-concepts and then scale those concepts into production can serve as an expert in leveraging and implementing emerging data technologies design and implement end-to-end solutions assist in deploying data science models experienced working with enterprise scale solutions - high performance, scalability, & reliability experienced in azure cloud platform. (adls, blob). good grasp of different data formats like json, avro, parquet and other prevalent big data file formats experience designing, developing, optimizing and troubleshooting complex data-intensive applications using spark, hdfs and other big data related technologies. python development focused mainly at data transformation and wrangling. spark development pyspark development experience working tools like git, pycharm, jupyter, triafacta azure databricks experience in developing data pipelines to transform, aggregate and or process data using azure databricks platform. palantir foundry experience in developing data pipelines to transform, aggregate and or process data using palantir foundry platform.  the capgemini freelancer gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. the software platform leverages machine learning and artificial intelligence to make sure the right people end up in the right job.  a global leader in consulting, technology services and digital transformation, capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. building on its strong 50 year heritage and deep industry-specific expertise, capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. capgemini is driven by the conviction that the business value of technology comes from and through people. it is a multicultural company of over 200,000 team members in more than 40 countries. the group reported 2018 global revenues of eur 13.2 billion.",data scientist
"cvs clinical trial recruitment partners with leading global biopharma clients to deliver qualified patients into ongoing pharmaceutical clinical trials in order to improve and accelerate clinical research for drug and vaccine development. the lead data scientist develops various data science models and build feature banks for an industry-leading patient recruitment and engagement platform product. the lead data scientist will: translated business problem into modeling approach taking into account business requirements, data availability, development time / complexity and ability to scale prepare data for the analysis, in particular work with data engineering team to create modeling dataset, assess completeness and quality of data and perform feature engineering develop machine learning, statistical or optimization models taking into account latest development in research and tech community work with data engineering team to scale and productionalize machine learning model in clinical recruitment platform (crp) work with business partners to design implementation and measurement approach  required qualifications 5+ years of data science experience in business setting including collaborating with business partners to understand problems, gather business requirements, design data science models and communicate results and insights back to business partners  ability to: translate complex business problems into analytical and modeling problems, design and implement machine learning and optimization model and quality check results and link them to business insights write scalable, production level code communicate well with business partners and data engineering team and create buy-in for new ideas and models understand the impact and value of machine learning and optimization model in the clinical recruitment platform and product offering and come up with innovative ways to expand current functionality operate in a complex, cross-functional organization or company where your teams need to collaborate and integrate with other business and it teams  knowledge of: data management and model productionalization best practices modern machine learning and artificial intelligence techniques  skill in: common modeling tools and frameworks, e.g. python, r, scala, tensorflow, etc  preferred qualifications knowledge of healthcare space and clinical trial space experience in large scale snowflake or spark product/solution implementation  education bs degree required. advanced degree in economics, statistics, mathematics, computer science, engineering or related field preferred.  business overview at cvs health, we are joined in a common purpose: helping people on their path to better health. we are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.  we strive to promote and sustain a culture of diversity, inclusion and belonging every day. cvs health is an equal opportunity and affirmative action employer. we do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. we proudly support and encourage people with military experience (active, veterans, reservists and national guard) as well as military spouses to apply for cvs health job opportunities.",data scientist
"the security analytics engineering group is looking to hire a staff/senior data scientist to help lead the development of cutting-edge machine learning models to better protect our users from malicious actors and improve our customer product experience. we are looking for a hands-on engineering leader with deep data science and software engineering expertise who can help architect and own the platform for deploying and tuning the machine learning models used to protect user authentication and security. the teams focuses on using analytics, machine learning, and threat research on petabyte-scale data to deliver security value to millions of business users across thousands of businesses. the product portfolio is a part of the rapidly growing carbon black cloud platform that delivers next-generation endpoint protection capabilities from the cloud. now with the full resources of vmware, you have the opportunity to make an impact and build upon carbon black’s success. responsibilities include: lead the efforts to define the vision of how data science and machine learning will be used at carbon black threat analytics and alerts management . use analytical and statistical methods, programming, data modeling, simulation, and advanced mathematics to analyze large amounts of data, recognizing patterns, identifying opportunities, posing security questions, and making valuable discoveries develop algorithms to detect anomalies, assess risks/threat, classify and prioritize alerts, and group related entities for investigation enhancements document projects including business objectives, data gathering and processes, leading approaches, final algorithm, and detailed set of results and analytical metrics work with data engineers to design and maintain data processing pipelines to support new decision and scoring models. provide architecture guidance and work closely to up-level the data science and ml engineering organization. evangelize the value of machine learning and data science to upper management and other engineering teams within the organization. what you bring: degree ms/phd in machine learning, computer science, electrical engineering, statistics, applied math, or other quantitative fields 7-10 plus years experience developing data models as a data scientist and experience building products backed up ml /ai. working experience in analytics, data mining, and/or predictive modeling, and data interpretation. proven track record in modifying and applying advanced algorithms to address security problems in core engineering work. experience implementing machine learning models, data pipelines and testing frameworks for production use hands on skills on industry-standard machine-learning stack (jupyter, pandas, numpy, sklearn, keras, spark). working knowledge of aws sagemaker, lambda, and api gateway including production deployment bonus: experience in big data technologies. (spark, flink, mapreduce, hdfs, hive, presto, avro, parquet, airflow, etc) experience in the security domain is a plus.  category : engineering and technology subcategory: software engineering experience: business leadership full time/ part time: full time posted date: 2021-03-16  vmware company overview: at vmware, we believe that software has the power to unlock new opportunities for people and our planet. we look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. at the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. shape what’s possible today at http://careers.vmware.com.  equal employment opportunity statement: vmware is an equal opportunity employer and prohibits discrimination and harassment of any kind: vmware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. all employment decisions at vmware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, hiv status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. vmware will not tolerate discrimination or harassment based on any of these characteristics. vmware encourages applicants of all ages. vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",data scientist
