JobDesc,JobTitle
"our mission we’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. we're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.  backed by impressive funding, we're poised to re-engineer a trillion-dollar category. we’re using rich customer insights, advanced technology and data science to build our cloud-native insurtech solution. we're out to change behavior and promote mindful living.  job requirements you must have all the skills and experiences associated with one of the options below. these options change over time and reflect the current needs of the team. option one - telematics ml machine learning: kaggle grandmaster-level skills with history of deploying models to production telematics experience: you have led telematics modeling at a major company known for telematics software development in python: strong scientific python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns option two - telematics dl deep learning: experience contributing new deep learning research to solve previously unsolved problems telematics experience: you have led telematics modeling at a major company known for telematics software development in python: strong scientific python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns option three - contact center optimization contact center knowledge: you are an expert at using data science methods to optimize contact centers machine learning: strong understanding of ml theory with significant applied experience software development in python: strong scientific python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns additional details: salary: we pay top-of-market salaries for most positions, factoring in experience, talent, and location. we do not offer equity. benefits: medical, dental, vision, 401(k), wellness reimbursement, four weeks of pto, six weeks of parental leave (12 weeks for parents who give birth), and great work-life balance. location: may work from anywhere in the us, but will need to be actively available during the core business hours of 9:00am - 5:00pm, pst, since a majority of time will be spent collaborating with team members in this time zone. some travel required once the san francisco office re-opens. frequency 1/quarter. candidates based in the sf bay area will be able to commute to the sf office, post-covid, for in-person collaboration purposes and other gatherings. frequency tbd. all are welcome at blue owl. we are an equal opportunity and affirmative action employer who values diversity and inclusion and looks for applicants who understand, embrace and thrive in a multicultural world. we do not discriminate on the basis of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or veteran status. pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  if you are a san francisco resident, please read the city and county of san francisco's fair chance ordinance notice. https://sfgov.org/olse/sites/default/files/fco%20poster2020.pdf",data scientist
"data scientist- biotech remote usa major biotechnology company work with biotech data management & biostatistics experts by bringing your programming skills to the team we are seeking programmer/engineers with 3 to 5 years of experience with python, as well as various aspects of object-oriented programming, and aws general expectations program within the python programming language familiarity with pandas and numpy libraries work with large datasets and databases (mysql) work with amazon web services (aws) and big data technologies such as glue and lambda work with a system architecture which has already been built, and provide integration to other systems within the organization familiarity with statistical analysis software such as r, rstudio, and tableau familiarity with r studio, shiny r, tableau and quicksight familiarity with spark (ada) familiarity with hadoop clusters familiarity with data pipeline and workflow management tools awareness or familiarity with medidata rave, electronic data capture system for clinical research a plus above-average communication skills this role requires excellent communication and self-motivation skills as an independent contributor, incumbent will be part of a team with colleagues working from home across the u.s. as a key player in this team, you must have the ability to provide thoughtful input on how to move projects forward above all, be a world-class communicator. you may spend much time communicating with non-programmers within the organization experience & education requirements you are accustomed to working from home, and contributing to a team you are adept at explaining technical and programming information to non-programmers. you may have worked for a large or small company, and appreciate soliciting ideas and suggestions from others you are organized and goal oriented. you strive to complete projects and deliverables on time with exceptional quality you would rather pick up the phone and talk to someone instead of email them and wait for an answer you enjoy technology and talking to others about it education a bachelor’s degree (or equivalent) is preferred, but not required with sufficient programming experience persons with software and system certifications and 3 to 5 years of hands-on programming experience with python are encouraged to apply job type: full-time pay: $115,000.00 - $130,000.00 per year benefits: 401(k) 401(k) matching dental insurance employee assistance program flexible schedule flexible spending account health insurance life insurance paid time off referral program retirement plan vision insurance schedule: 8 hour shift experience: python: 3 years (required) aws: 1 year (required) r studio and shiny r: 1 year (preferred) tableau and quicksight: 1 year (preferred) work location: fully remote work remotely: yes",data scientist
"data scientist video game start-up destined for success - $15 million of funding in 6 months! 130,000 + equity remote are you a data scientist with prior start-up experience looking for a new and exciting challenge? then this opportunity at an exciting video game start-up could be the role for you! although their data science department is in its initial stages, this is a great opportunity for anyone looking to build up a department at a company with a bright future ahead of them. this is a great opportunity for anyone looking for growth potential in their work. the company: this start-up has great leadership with one of the founders having already had a large amount of success in the start-up space prior to this. they have already secured over $15 million in funding in 6 months! they have a great future ahead of them and are looking to make a large expansion this year. responsibilities: the role is heavily based on modeling. will be required to make models for anomaly detection, price or time optimization, and matchmaking among other things. aide in building up the data science department. required skills and experience: experience at and passion for working at a start-up. must understand the depth of the work that will be required. able to take initiative and be autonomous. us citizen or green card holder. master's degree in a stem field or related. benefits: compensation and equity at a company with tons of growth potential. lots of room to make the work your own. the position is fully remote. how to apply: please register your interest by sending your cv via the apply link on this page. key terms: video game, start-up, machine learning, data scientist, python, r, computer games, price optimization, anomaly detection, matching, matchmaking, random forest, xg boost, neural networks, online platform",data scientist
"requisition id # 85285 job category : business operations / strategy job level : individual contributor business unit: electric operations  department overview the men and women of electric operations ensure the delivery of clean, safe, reliable and affordable energy to nearly 16 million people in northern and central california. electric operations is responsible for every aspect of pg&e's electric distribution and transmission operations, including planning, engineering, maintenance and construction, asset management, business planning, restoration and emergency response.  position summary the senior data analyst will be part of electric operations new data management and analytics department, specifically the data systems improvement and integrity team. the position will focus on developing technical solutions inside and outside of palantir foundry enterprise data management system to improve electric operations myriad of data systems - resulting in reliable, easily accessible, and curated data sources for use in operations, decision making, and reporting.  job responsibilities develop deep understanding of eo’s existing data systems  develop, and advance functional skills in palantir foundry create complex data routines supporting work on creating custom curated views and data access pipelines that support analytics and decision-making processes: this includes responding to requests as well as proactively creating and supporting data ecosystems that enable analytics work closely with the team’s expert data analysts on implementing technical solutions per requirements from business clients/partners sessions participate in technical sessions with it partners to improve data and systems solutions work closely with the team’s expert and principal data analyst on reviewing and making recommendations on eo’s portfolio of data related tools, platforms, etc. this includes both having an eye for opportunities to eliminate technical debt as well as preparing for the needs of the future in collaboration with it partners and following the guidance of the team’s principal data analyst, engage in the team’s development work on data transfers as well as system migrations and retirements while continuing to support business processes and tasks that depend on these systems in collaboration with the team’s expert data analyst, manage the work on developing high-quality metrics, and complex reports that support a deep understanding of eo’s data quality and data systems manage and co-lead the work on developing visual data solutions as self-serve tools supporting electric operations’ business clients and partners’ community in collaboration with the data quality improvement and integrity team, contribute to creating and evangelizing best practices for data quality management help in mentoring employees within and outside the department who are interested in developing their skills in database development and data management demonstrate and use advanced knowledge of data processing and data analysis techniques work closely with the team’s expert and principal data analysts on identifying, proposing, influencing, and implementing solutions to complex problems anticipate client concerns and questions, and provide proactive, timely and professional client-focused communications  the organization and pg&e’s needs in this space are evolving. to this end, this individual may also be asked to: in partnership with other members of the department, collaborate in implementing data governance best practices such as role-based data access procedures manage the scoping, development, and continuous improvement of data access portals used for communicating with government agencies and other partners support initiatives and completing other relevant tasks that advance electric operation’s data management maturity  qualifications  minimum: ba/bs degree in marketing, business, computer science, engineering or other related field or equivalent work experience job-related experience, 4 years  desired: good knowledge of and work experience with relevant databases/ programming languages: sql (oracle, sql server). flexibility in adopting new technologies: aws platform, redshift, postgresql, python, pyspark (palantir foundry) good knowledge of and work experience with visual data solutions implementation tools: tableau, powerbi competency in applying knowledge of business and the marketplace to advance the organization goal strong organizational skills, ability to effectively prioritize work, meet deadlines and work on multiple tasks independently ability to work independently with limited oversight competency in holding self and others accountable to meet commitments excellent communication skills project management skills",data scientist
"we are witnessing a massive shift of consumer presence from offline to online. with it, there is a need for technologies that enable online businesses to thrive. bolt is at the center of this universe leading the next generation of ecommerce, having created a best-in-class buying experience from checkout to fraud detection, payments and more. with our help, retailers can successfully compete with the online retail giants that have the means to invest in technology.  the data platform team works closely with all teams and cross-functional partners (including product, engineering, and data analysts) to build a foundational data stack powering business analytics.  we are looking for someone to play a mission-critical role in designing and building the data mining algorithms, and data analytics pipelines at bolt. we’re looking for someone with the experience, creativity, and passion for producing world-class technology who can support our product, leadership and marketing teams with insights gained from analyzing our data. other teams at bolt, other companies, and consumers alike will rely heavily on what you build, and you’ll have a ton of trust and responsibility. if challenges excite you, and you’re ready for a large one, let us know. you will: build production ready data mining and big data analytics algorithms and pipelines; your models will be the engine that powers all online commerce through bolt conduct data analysis to determine which policies we adopt and help inform strategic growth build statistical models, data pipelines, data mining, data analytics, and production ready services to serve offline and live traffic work with other teams at bolt to engineer data models and extract data insights that help improve bolt business  about you: passion to improve e-commerce businesses strong communication skills in a cross-functional team unrelenting focus on impact master's degree in relevant technical discipline knowledge of data mining, and big data analytics techniques knowledge of statistical concepts and techniques mastery in one or more of python, java, scala, sql our stack: aws lambda for data ingestion and kinesis firehose to transport them into s3 step functions and lambdas to coordinate workflows aws redshift as the data warehouse + spark on emr for doing etl terraform for maintaining infra jenkins & circleci for build pipelines postgres rds is our application database our code base is primarily in golang & typescript. however, our data bits are mostly in python. benefits: competitive pay flexible pto retirement plans cell phone reimbursement wifi reimbursement comprehensive health coverage: medical, dental and vision monthly wellness stipend paid parental leave monthly (virtual) team events  bolt is proud to be an equal opportunity workplace. we are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or veteran status. pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records. if you have a disability or special need that requires accommodation, please let us know  check out our engineering blog!",data scientist
"oura is an award-winning and fast-growing startup that helps people track all stages of sleep and activity using the oura ring and connected app. by providing daily feedback and practical steps to inspire healthy lifestyles, we've helped hundreds of thousands of people improve their sleep, understand their bodies, and transform their health. we’re on a mission to empower every person to own their inner potential, and we’re seeking candidates who want to make an impact on our journey.  we are looking for a machine learning data scientist to work in our research algorithm platform squad in north america. working closely with health and physiology scientists, you will develop machine learned models to capture indicators of health and wellness. you will bring experience in evaluation, productization and deployment of ml models, using cloud services such as aws sagemaker. you will partner with engineers across the company to develop robust and scalable deployment solutions. your work will bring the cutting edge of health and physiology research to oura ring wearers worldwide.  your team’s typical projects will include the following: continue to improve our state-of-the-art algorithm for detecting sleep stages using overnight times series data from ring sensors develop models for women’s health, helping our users understand physiological changes during menstrual cycles, pregnancy, and menopause refine our work on detecting flu-like illness, including covid-19, using wearable data work on models for various health conditions such as sleep apnea, atrial fibrillation, and other disorders  you will work closely with other team members on these projects helping to bring the research to production, as well as conducting your own modeling work.  the right candidate will be passionate about delivering state-of-the-art technology to end users. aiming higher is one of our core values, and we will support you in researching the state of the art and developing novel solutions that push the envelope.  requirements  we would love to have you on our team, if you: are excited about bringing better sleep and wellness to hundreds of thousands of people worldwide have experience taking machine learning algorithms from r&d to product, especially using aws cloud services and containerization are familiar with sql and data wrangling have good engineering and mlops skills, such as use of version control systems, unit testing, cicd, post-deployment model monitoring have good coding skills in python have mastered a range of machine learning approaches and know just which to apply to solve a given problem thrive in a fast-paced, sometimes unpredictable, and highly collaborative work environment preferably, have experience working on health and wellness outcomes or with time series data from wearable devices benefits competitive salary lunch benefit wellness benefit flexible working hours + work-life balance collaborative, brilliant teammates an oura ring of your own latest equipment of choice  if this sounds like the opportunity for you, please send us your application as soon as possible. we will start reviewing the applications immediately, as we receive them.",data scientist
"ripple’s mission is to enable the world to move value like it already moves information on the web today. with 300+ customers around the world, we’re providing a frictionless experience for banks, payment providers, and exchanges to send money globally, using blockchain technology and the digital asset xrp. we’re solving unique challenges but we can’t do it alone. we look for teammates who push us to work smarter, harder, and faster. the data team internship is a great way to drive impact and contribute to the continued success of ripple’s solutions for cross-border payments. what you'll do: you will work with a team of data engineers and scientists who use data to drive ripple’s strategy and success. the entire data team works collaboratively and is a strong partner for teams across the company. you will get to meet and learn from diverse and talented colleagues. data science and applied science candidates will dive in on high priority initiatives, including developing liquidity strategies for ripplenet products, defining new performance metrics for the ripplenet network, and analyzing emerging defi and blockchain applications. this remote internship is open globally, but you'll be expected to be working and consistently available from 9am - 5pm pst (monday through friday.) the internship typically lasts 12 weeks with a flexible start date in june. what we're looking for: currently enrolled in an undergraduate or in a graduate program, preferably in a science or quantitative field hands-on experience with tailoring and applying quantitative approaches to business questions, and analyzing and interpreting data experience with sql, python or r, and data visualization tools solid understanding of statistical concepts and machine learning models comfortable collaborating with cross-functional teams using strong written and verbal communication skills team player with strong work ethic interests in open-source, entrepreneurship, economics and financial markets, creative thinking, systems thinking, or cryptography are a plus what we offer: the chance to work in a fast-paced start-up environment with experienced industry leaders a learning environment where you can dive deep into the latest technologies and make an impact design laptop, software and headphones on loan regionally competitive hourly rate weekly company meeting - ask me anything style discussion with our leadership team team outings to sports games, happy hours, game nights and more! who we are: ripple provides one frictionless experience to send money globally using the power of blockchain. by joining ripple’s growing, global network (ripplenet), financial institutions can process their customers’ payments anywhere in the world instantly, reliably and cost-effectively. banks and payment providers can use the digital asset xrp to further reduce their costs and access new markets. with offices in san francisco, new york, london, mumbai, singapore, são paulo, reykjavík, washington d.c. and dubai, ripple has more than 300 customers around the world.  ripple is an equal opportunity employer. we’re committed to building a diverse and inclusive team. we do not discriminate against qualified employees or applicants because of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by local law or ordinance.  #li-dni",data scientist
"responsibilities company description citi ventures’ mission is to drive customer-focused innovation and cultural transformation that delivers new growth and value for citi. at citi ventures, we invest in startups, pilot new technologies, and test new solutions and business models with the potential to transform the future of financial services. the studio team in citi ventures develops digital products and services that foster economic vitality for people and communities. based in san francisco and new york, the team includes designers, ux researchers, product managers, software engineers, data scientists, and strategists working in a fast-paced, collaborative, startup environment with the backing of a major financial institution. job description we are building a new team in citi ventures studio to promote the use of technology in reducing bias and delivering more equitable outcomes to communities of color. this team will have a dual focus on inclusive user experience and the role of data in reducing bias and creating equity, and will be a key part of citi’s action for racial equity initiative. we are looking for a data scientist to join this group and help build solutions that empower people and communities of color and establish a center of excellence on technology, data, and racial equity. this role will report to a senior data scientist in citi ventures studio. learn more about our work ventures studio mission and team: https://citi.com/ventures/studio.html our products: worthi http://www.helloworthi.com/ our products: city builder http://citi.com/citybuilder racial equity action at citi: https://www.citigroup.com/citi/racial-equity/ how you’ll contribute sit at the intersection between product, engineering, and leadership to inform, influence, support, and execute our product decisions understand and stay up to date on current research in the field of racial equity work on all studio products including but not limited to city builder and worthi to help extract, clean, analyze new data sources and potential new features conduct original research on studio initiatives including but not limited to racial equity and covid-19 response work within the bank to help find and reduce bias in our products and help define best practices and standards build key data sets to enable deep-dive analyses and machine learning models to drive customer success help design and analyze experiments to understand ecosystems, user behaviors, and long-term trends define, evaluate and report key product metrics create visualizations to represent data for consumption by our product and marketing teams participate on a cross-functional team using agile methodologies become a source of knowledge and make recommendations to the greater team and company as a data expert relating to above research what we’re looking for master’s degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc. or equivalent experience you have 2+ years of experience working as a data scientist on a software team excellent proficiency python & sql experienced with packages such as numpy, scipy, pandas, scikit-learn, matplotlib hands on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation) experience creating visualizations to explain complex analysis experience with version control systems such as git experience with taking observational data and using models to try to show causal impact (i.e. causal inference) some experience with data engineering processes (i.e. creating and maintaining data pipelines) you have a wide range of experience with statistical tools, machine learning, and big data analysis you have excellent written and verbal skills you have an entrepreneurial mindset you have experience, drive and knowledge around diversity, equity, and inclusion work and thinking. you are highly motivated and a standout teammate you can work out of our office in downtown san francisco or new york - job family group: technology - job family: data science - time type: - citi is an equal opportunity and affirmative action employer. qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. citigroup inc. and its subsidiaries (""citi”) invite all qualified interested applicants to apply for career opportunities. if you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review accessibility at citi. view the ""eeo is the law"" poster. view the eeo is the law supplement. view the eeo policy statement. view the pay transparency posting",data scientist
"data scientist (0499u) 17919 about berkeley  at the university of california, berkeley, we are committed to creating a community that fosters equity of experience and opportunity, and ensures that students, faculty, and staff of all backgrounds feel safe, welcome and included. our culture of openness, freedom and belonging make it a special place for students, faculty and staff.  the university of california, berkeley, is one of the world's leading institutions of higher education, distinguished by its combination of internationally recognized academic and research excellence; the transformative opportunity it provides to a large and diverse student body; its public mission and commitment to equity and social justice; and its roots in the california experience, animated by such values as innovation, questioning the status quo, and respect for the environment and nature. since its founding in 1868, berkeley has fueled a perpetual renaissance, generating unparalleled intellectual, economic and social value in california, the united states and the world.  we are looking for equity-minded applicants who represent the full diversity of california and who demonstrate a sensitivity to and understanding of the diverse academic, socioeconomic, cultural, disability, gender identity, sexual orientation, and ethnic backgrounds present in our community. when you join the team at berkeley, you can expect to be part of an inclusive, innovative and equity-focused community that approaches higher education as a matter of social justice that requires broad collaboration among faculty, staff, students and community partners. in deciding whether to apply for a position at berkeley, you are strongly encouraged to consider whether your values align with our guiding values and principles , our principles of community , and our strategic plan .  departmental overview  research, teaching, and learning (rtl) at uc berkeley supports the teaching and research needs of faculty, students, and academic staff by offering expert consulting, providing vetted tools and essential services, and advocating for its broad constituency and mission-focused portfolio with campus policy makers and vendors. the combination of enterprise teaching and research technology groups within rtl improves coordination across functions; provides a richer, more seamless experience for end users; and creates opportunities for innovation. rtl has dual reporting lines to the vice chancellor for undergraduate education and the office of the cio.  approach to diversity, inclusion, and belonging: research, teaching, and learning believe in and foster a workplace environment where people can bring their diverse skills, perspectives and experiences toward achieving our goals through a process of critical inquiry, discovery, innovation, while simultaneously committing to making positive contributions towards the betterment of our world. diversity, inclusion, and belonging are more than just suggestions for us. they are the guiding principles underlying how we come together, develop leaders at all levels of the organization, and create an environment that unites us. we affirm the dignity of all individuals, call upon our leaders to address critical issues with integrity and intention, respect our differences as well as our commonalities, and strive to uphold a just community free from discrimination and hate.  responsibilities  research, teaching, and learning (rtl) at uc berkeley is looking for an experienced data engineer with a data science background to be part of a new initiative supporting learning analytics. we're looking for someone with strong analytical skills to work with a data science team providing insights to campus leadership, faculty, students, and staff in support of student development and understanding the effectiveness of teaching practices.  key responsibilities: use best practices for code development, optimization and unit testing build project-specific data pipelines (etl processes) and validation tools using python, sql and aws cloud technologies partner with members of the campus data science community to define requirements for the learning analytics projects implement data models, database schemas, data structures and processing logic to support automated insights manage concurrent requests from cross-campus and cross-functional teams --must be able to strategically prioritize when necessary. required qualifications  strong skills developing production-grade applications and services in python and possibly other programming languages. code must be well-written, secure, and well documented. experience with restful web services design, microservice architectures, distributed computing, standard data formats, and systems integration. demonstrated experience with data mining, machine learning, data science and data interpretation techniques. demonstrated experience using data science libraries in python, sql, r etc. to transform, clean, analyze, and model data; report statistics; generate insights. experience with data warehousing and high speed data analytics processing frameworks like apache spark, kafka, redshift etc. experience with cloud technologies -for example, aws services like redshift, s3, emr, glue, sagemaker, ec2. education and training  bachelor's degree in related area and / or equivalent experience / training. preferred qualifications  applied experience in independently building machine learning models using popular ml/dl frameworks like scikit-learn, sparkml, nltk, caffe 2, keras, tensorflow etc. experience with management of terabyte size datasets of semi-structured and unstructured formats to discover hidden patterns. experience with productivity software like jupyterhub, tableau, etc to create user friendly dashboards, data visualizations, reports, presentations, etc. ability to present complex findings and recommendations to cross functional partners in a clear and concise manner both in writing and verbally. should be very knowledgeable about data quality, security and governance standards and requirements for handling sensitive data. (for example, family educational rights and privacy act, or ferpa). familiarity with open learning data standards xapi, caliper is desired. familiarity with logical data design and data mapping and data conversion. degree in data science preferred. salary & benefits  hiring range: $120,000 - $130,000 annually. salary commensurate with experience. for information on the comprehensive benefits package offered by the university visit:  https://ucnet.universityofcalifornia.edu/compensation-and-benefits/index.html",data scientist
"data analyst engineering & tech operations | san francisco, ca if position is eligible for remote employment, it will exclude the following locations: alaska, colorado, hawaii, iowa, maine, mississippi, north dakota, south dakota, vermont, west virginia and wyoming. our agreement with employees: docusign is committed to building trust and making the world more agree-able for our employees, customers and the communities in which we live and work. you can count on us to listen, be honest, and try our best to do what's right, every day. at docusign, everything is equal. we each have a responsibility to ensure every team member has an equal opportunity to succeed, to be heard, to exchange ideas openly, to build lasting relationships, and to do the work of their life. best of all, you will be able to feel deep pride in the work you do, because your contribution helps us make the world better than we found it. and for that, you'll be loved by us, our customers, and the world in which we live. the team: the technical evangelism and information team within engineering and tech operations, is tasked with creating a best-in-class developer, partner, and admin experience and a thriving, engaged community for the docusign agreement cloud - helping technical audiences worldwide create, connect, and automate how organizations prepare, sign, act on, and manage agreements. we also create world-class content and data-driven solutions that communicate the value of docusign's agreement cloud platform and apis to developers and technical decision makers and help them understand the potential impact docusign can have on their business. this group's focus extends from data stewardship, qa, visualization, dashboard tracking and analysis. this position: in this role you'll take a hands-on approach and deep dive into the customer journey to analyze and deliver clear, impactful insights that will inform key business decisions. you'll tackle multiple disparate data sets to uncover usage patterns and opportunities to surface key insights at each step of the customer journey. this position is an individual contributor and reports to the sr. manager of analytics. responsibilities: design measurement frameworks for customer journey and product/feature usage define kpis, build dashboards, create reports to deliver business insights and ensure consistency, reliability and quality of all standard reports develop informative analysis and data visualizations using spreadsheet, ppt, and bi tools and deliver data insights to main business stakeholders build ad hoc reports and analyses based on requests from the business teams manage data requests in jira and summarizes data findings and processes in jira and confluence for internal documentation collaborate with cross functional data teams across the organization become knowledgeable on all customer data sets and deliver quick insights on ad hoc projects and analyses as necessary basic qualifications: bachelor's degree in mathematics, statistics, information systems, computer science, or equivalent 5+ years of work experience in data and business analytics extensive knowledge of sql server, snowflake, jira, and ms office suite & advanced excel - pivot tables, macros, powerpivots, advanced functions 4+ years experience developing complex sql, able to create multi-table joins and use analytical sql functions proficient in data visualization tools such as tableau, qlikview, powerbi excellent quantitative, analytical, and reasoning skills well-developed written, oral communication, and presentation skills preferred qualifications: master's degree in a quantitative field such as mathematics, statistics, information systems or computer engineering experience with data lakes and data warehousing excellent references required about us: docusign® helps organizations connect and automate how they prepare, sign, act on, and manage agreements. as part of the docusign agreement cloud, docusign offers esignature: the world's #1 way to sign electronically on practically any device, from almost anywhere, at any time. today, hundreds of thousands of customers and hundreds of millions of users in over 180 countries use docusign to accelerate the process of doing business and simplify people's lives. plus, we save more trees together! and that's a good thing. docusign is an equal opportunity employer. docusign is committed to building a diverse team of talented individuals who bring different perspectives to the business and who feel a sense of inclusion and belonging when they join our team. individuals seeking employment at docusign are considered without regards to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category.  #li-ds1",data scientist
