JobDesc,JobTitle
"Job Summary: Cloud Platform Engineering creates software solutions in the cloud and for Disney teams to operate in the cloud. We enable them to do more in the cloud securely, and in less time. As the first data scientist in the group, this will be a technical leadership role. You will leverage your leadership, communication ability and data science discipline in the Cloud Platform group. You will act as a force multiplier, providing insights and education as you execute projects on your own or as the lead. You will help identify the high impact data science opportunities related to the Disney cloud space, sometimes starting with an area like cost optimization, and in other cases starting with a deep understanding of the cloud data. Some of the work you'll be doing: cloud account provisioning and automation centralized cloud logging, operational and best practices insights cloud cost related analytics and avoidance recommendations  Responsibilities: Provide data driven solutions for business needs related to enterprise and individual cloud accounts including but not limited to cost analytics and avoidance recommendations. Answer business questions using cloud data and cloud data analysis tooling. Design, educate and implement data solutions as scalable cloud solutions. Understand the current and ongoing landscape of analytical techniques including classic statistical analysis, data modeling, regression, anomalous detection, clustering, contextualization, etc. Mitigate cognitive biases in generation and presentation of reports and information Education of stakeholders, teams and leadership Communicate insights, design and implementation to both technical and non-technical audiences Partner with internal data experts, developers, and tech teams to develop and maintain existing solutions and create new solutions.  Basic Qualifications: + years of hands-on experience designing, building, and evaluating practical data science solutions to solve business problems 3+ years Python or R 2+ years in AWS or Azure 1+ years in machine learning Experience in data capture, analysis and reporting in a cloud environment Proven track record of extracting accurate conclusions and identifying trends from quantitative information. Experience providing and communicating complex quantitative analysis reports and data visualization in a clear, precise, and actionable manner Experience driving and completing projects through technical leadership in a complex, matrixed organization Skills: Knowledge and understanding of cloud KPIs regarding cost, usage and operational dimensions Knowledge and experience with SQL and NoSQL design, DDL and DML. Knowledge and experience with Big Data management, processing and analysis tools and strategies in Azure and/or AWS Knowledge and experience with cloud available Machine Learning frameworks and tools such as Tensor Flow , PyTorch, ONNX, etc Data processing & ML languages (Python, R)  Preferred Qualifications: Knowledge and familiarity with data visualization and presentation tools and strategies. Understanding of data sovereignty and data localization and how they impact implementation for data processing, aggregation, analysis and presentation. AWS Certification - Machine Learning MS Certification - Azure Data Scientist Associate MS Certification - Azure AI Engineer Associate  Required Education Masters or equivalent work experience",data scientist
"Convoy is transforming the $800 billion trucking industry. Our mission is to transport the world with endless capacity and zero waste. The industry is huge and so is the opportunity to change the way freight moves.  The next time you’re out driving and see an 18-wheeler on the road, that truck is empty 35% of the time. When big trucks drive empty, they throw unnecessary CO2 into the atmosphere. In fact, empty trucks generate more than 76 million metric tons of wasted carbon emissions every year. At Convoy, our digital freight network helps reduce those empty miles and cut carbon waste by nearly half.  This is your opportunity to collaborate with an incredible group of people and help transform the freight industry. Join Convoy and help move the world forward. You will: Measure the impact of product launches using experimental and quasi-experimental methods (A/B testing, causal inference, statistical modeling) Provide product decisions support through offline model development and exploratory data analysis Maintain, monitor, and debug production models/decisions systems Develop metrics to measure system performance and business impact Document and share technical documentation and learnings  We’re looking for someone who has: Minimum of 2-7+ years of industry experience Data Science or Analytics roles Expert SQL fluency Proficient with scientific/statistical languages such as Python and/or R Experience with statistical data analysis and modeling Ability to break down high level business problems into concrete analytical solutions Strong written and verbal communication and keen attention to detail  Nice to Haves: Advanced degree in economics, statistics, computer science, operations research, engineering, a natural science or equivalent quantitative subject ETL pipeline experience Strong examples of your outputs influencing product or engineering road-maps  Benefits: Employees' wellbeing is top of mind for the Convoy team. Outside of offering excellent medical, dental, and vision benefits, we also offer the following:  On demand mental and emotional health benefits through Lyra On demand primary care through 98.6 Generous paid time off Paid parental leave program Fertility benefit solutions via Progyny Child-care and adult/elder-care options through Bright Horizons Opportunity to join and contribute to one of our Employee Resource Groups Ability to make a real world impact!  Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!",data scientist
"Position Summary: The company is growing fast, and so is the data science team. The data science team’s primary focus is automating the adjudication of claims. Leveraging natural language processing and machine learning, we are able to auto-adjudicate claims in a matter of seconds compared to the industry standard of one week. Expediting the laborious claims process not only allows our customers and partnering veterinary clinics to focus on providing the best care for their pets but also allows Trupanion to operate at scale as our business grows. This transformative shift in user experience, as well as operational efficiency, is critical in achieving the company’s goal of market-wide adoption. As a data scientist, you will be responsible for making improvements to models currently in production, as well as dreaming up new and interesting projects. Trupanion has a strong culture around making data-driven decisions. All teams collect and maintain clean, structured data. As such, there will be no shortage of opportunity to make a significant and lasting impact across all verticals of the organization. Key Responsibilities Include: Create and take ownership of data science projects from start to finish: conceptualization, data gathering, modeling, analysis, presentation, productionalization, monitoring, and iterating on improvements Display an infectious intellectual curiosity while maintaining the rigor of the scientific method Foster effective working relationships with key internal business partners across the organization to create an environment of collaboration and knowledge sharing Thrive in uncontrolled environments where problem definitions and success criteria can be ambiguous Solve problems that no one has ever solved before Qualifications (Please include a cover letter with your application!) Education, Registration & Certification: Possess strong writing, data visualization and communication skills with the ability to describe complex concepts succinctly to non-technical audiences Be intimately familiar with statistics and probability Flexibility to work independently and closely with the team Expertise in Python and SQL Experience with deploying machine learning models in the wild Degree in a quantitative field preferred Benefits and Perks: Bonus opportunities Employer-paid extended health coverage for you and your family Four weeks paid time off Five weeks, paid, sabbatical after five years of employment Restricted Stock Units Open, casual, pet-friendly and fun office environment Employer-paid medical insurance for one pet (cat or dog) Paid time off to volunteer at nonprofit organizations About Trupanion: We’re all about helping pets. We promote a cohesive and nimble team environment, and we hire, develop and promote team members. We trust each other. We are transparent and honest. We care about one another and want to see our team members succeed, personally and professionally. We strive to promote from within and reduce bureaucracy to allow creative thinking. We’re focused on providing continuous training and support to all team members to encourage long-term happiness and success. Take a look inside our office and see for yourself: https://www.facebook.com/Trupanion/videos/10155423763702974/ Trupanion Team DNA: At Trupanion, we achieve great things together when we are: Caring: We are kind to each other and assume positive intent. Collaborative: We work together to achieve company goals (we not me). Courageous: We are determined, take risks, and make bold moves. Curious: We seek new information to continually better ourselves and our work. Honest: We believe candid communication leads to successful teamwork. Inclusive: We welcome and value all people and perspectives. Nimble: We readily adapt and evolve in pursuit of progress and innovation. For more information about Trupanion, visit http://trupanion.com/about Trupanion is an equal opportunity employer and embraces diversity. We are committed to building a team that represents a variety of backgrounds, abilities, perspectives, and skills. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",data scientist
"Microsoft Cloud Capacity Planning (CCP) is an exciting and fast evolving engineering group within Microsoft. CCP’s mission is to delight customers by delivering cloud capacity optimally and enabling predictable delivery. The organization is responsible for strategy and delivery of the foundational platform for all Microsoft Cloud Services including demand and capacity planning, supply chain management, data center planning and construction, operations, and incident management. CCP supports over 200 online businesses including Azure, Bing, M365, OneDrive, Xbox and Azure branded services. The Cloud Services Demand Forecasting team leads the global demand forecasting for all of Microsoft’s current and future cloud services. We are looking for outstanding Forecasters to join our team.  We are looking for someone who is passionate about forecast modeling and business analytics, is comfortable dealing with ambiguity and unknowns, with a track record of making data-driven decisions and recommendations to drive business value. Responsibilities  In this role, you will get your hands dirty working with our team of Data Scientists and engineers to implement complex forecasting models using a variety of techniques (e.g., time series, regression, machine learning) to generate quality demand forecasts. You will understand drivers of demand and the complexities of the cloud business, work with primary and secondary research, and present findings to senior executives across MSFT to support high-value and high-profile capacity investment decisions. You will solve ambiguous business problems and identify key macro and micro trends affecting the cloud industry demand.  As a Demand Forecaster, you will also: Build collaborative v-teams across Engineering, Operations, Sales & Marketing, Capacity Planning, and Finance to drive end-to-end improvements in the capacity supply chain. Collect and generate requirements for Data Engineering to access new data sources, and for Data Science to generate new forecasting models to satisfy the needs of our business stakeholders. Apply “continuous improvement” techniques to implement long term solutions. Perform ad-hoc analysis on critical business issues related to cloud services demand and capacity. Qualifications Basic/Required Qualifications: BS and/or MS in mathematics, statistics, economics, engineering, computer science, operations research, analysis or IT-related technical field. Understanding and experience in forecasting science and predictive modeling. Minimum 2+ years of experience in any of the areas: demand planning, data science, advanced analytics, forecasting. Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check every two years.  Preferred Qualifications: Solid analytics problem-solving skills; able to distill a problem down to its solvable parts and work a way through to a solution. Excellent creative thinking skills with emphasis on developing innovative solutions to solve complex problems that may not have one clear answer. Able to balance mathematical rigor with an action orientation to solve real business problems in a rapid timeframe. Adept at communicating findings: pliable to differing audiences, skilled at various data visualizations. Adept and passionate about building relationships across disparate teams and working in a matrix environment. Driven to not only solve problems but to collaborate with, contribute to, and learn from others, both inside our team and with our stakeholders in the Cloud supply chain (humble and teachable). Quick learner and able to adapt to changing environment and learn new, complex topics; a consummate learner. Self-starter who can move forward in the face of ambiguity and can help drive to clarity and impact in projects. Experience in data analytics and modeling using R, or if no R background willingness to learn. Experience accessing and working with data in SQL, or if no SQL background willingness to learn (applies to many other technologies as well). Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.  #CSCPJOBS",data scientist
"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments. Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc. Design and implement reporting dashboards that track key business metrics and provide actionable insights Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groups Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions Prioritize leads so that the teams work on the most valuable cases Suggest improvements in the tools and techniques to help scale the team Currently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science, Mathematics, Economics, Statistics or related technical field Experience utilizing both qualitative analysis (e.g., content analysis, phenomenology, hypothesis testing) and quantitative analysis techniques (e.g., clustering, regression, pattern recognition, descriptive and inferential statistics) Experience in presenting qualitative and quantitative data Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment Experience as a Programmer - Python, Perl, Java, and/or C++ Experience in collaborating with individuals and organizations Internship experience in solving analytical problems using quantitative approaches Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started. Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",data scientist
"Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft. #NeurIPS2020  Do you want to work on a meaningful and impactful project and make a difference? Are you willing to learn from others and open to new ideas? Do you want to support others to succeed and operate in a highly-collaborative and global environment? If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job. Read on to learn more about opportunities and apply online! #MSRConf Responsibilities As a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.  You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results. #Research Qualifications Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc. Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#. Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS. Some experience and or project course work with product and service telemetry systems. Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal. Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged. Passion to learn from your peers, manager, and other stakeholders in the Data Science domain. Ability to interact with peers and stakeholders to drive product and business impact. Strong interpersonal and communications skills.   Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",data scientist
"Do you have a passion for data, coding, and are interested in cybersecurity? Do you want to apply it to protecting people against cybercriminals at scale? Would you like to work with a diverse, talented, and highly collaborative team of data scientists, security researchers and other specialists? Would it make you proud to tell your friends and family that the work you do protects half a billion people in over a hundred countries around the world?  Our team is looking for a Data Scientist to join us who is passionate about using data to drive customer protection. As a data scientist on our team, you will partner with our security researchers, engineers, and other data scientists to explore, design, build, and deploy solutions to protect customers. In your day-to-day work, you will analyze telemetry from our products, conduct data experiments, design and explore improvements, build protection dashboards, build automation pipelines, build machine learning models, incorporate quality monitors, optimize protection, and maintain and ship models to production.  Here's a bit about us: Microsoft Defender for Endpoint (MDE) is a unified platform for preventative protection, post-breach detection, automated investigation, and response. Our team, the Microsoft Defender Antivirus team, focuses on blocking and preventing threats before they can cause harm to people or to businesses. On our security research team, data analysis and implementing corresponding solutions is a fundamental part of how we protect customers. That's where you come in.  At Microsoft, you’ll have access to vast amounts of threat-related data from billions of endpoints and other sources. You will have the opportunity to collaborate with partners across Microsoft who have decades of security and ML expertise. We also offer many company-sponsored classes and conferences that focus on data science, ML, and engineering excellence. Microsoft provides phenomenal community, tools, and technologists to grow your expertise in this field. Best of all, on the MDE team, you'll be able to apply that expertise to protecting people.  #SCMRED #SCMRJOBS #SCMJOBS Responsibilities Monitor and analyze protection data to uncover gaps Understand business performance as well as answer questions to drive product actions Code end-to-end rule-based, automation, statistical, or machine learning pipelines for turning raw data into protection value for customers Research, experiment with, and measure the impact of new protection models using data Defining and implementing measures and dashboards that accurately quantify the value of improvements Provide technical leadership to our team by reviewing problem sets, proposing prediction models, and reviewing experiments and models Qualifications Required qualifications: 4+ years of relevant professional experience in advanced analytics, software engineering, or data science roles  Preferred qualifications Demonstrated coding skills with specific experience in data wrangling & exploration Experienced in database technology such as SQL, Spark, Hadoop, or similar Knowledgeable in machine learning and statistical concepts Strong drive for results. You have a proven record of shepherding experiments to create successful shipping products/services Excellent problem solving and data analysis skills Effective communication skills, both verbal and written. Ability and motivation to self-teach while entering new domains and managing through ambiguity Passion to the cybersecurity is mandatory, though no previous experience or knowledge is required Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",data scientist
"This is an environment unlike anything in the high-tech world and the secret of Costco’s success is its culture. The value Costco puts on its employees is well documented in articles from a variety of publishers including Bloomberg and Forbes. Our employees and our members come FIRST. Costco is well known for its generosity and community service and has won many awards for its philanthropy. The company joins with its employees to take an active role in volunteering by sponsoring many opportunities to help others. In 2018, Costco contributed over $39 million to organizations such as United Way and Children's Miracle Network Hospitals. Costco IT is responsible for the technical future of Costco Wholesale, the second largest retailer in the world with wholesale operations in twelve countries. Despite our size and explosive international expansion, we continue to provide a family, employee centric atmosphere in which our employees thrive and succeed. As proof, Costco consistently ranks in the top five of Forbes “America’s Best Employers”. The Data Scientist - Data Analytics is responsible for generating insights and to augment decision making by the business. At Costco, we are on a mission to significantly leverage big data to provide better products and services for our members. This role is focused on advanced analytics, machine learning and data science delivery to support multiple business areas. This role will partner with Product Owner and business owners to build, test advanced analytics solutions and turn data into actionable insights. This is a senior role to enhance the maturity of advanced analytics methods and coach the team across multiple PODs. The Data Scientist is a knowledgeable leader with an ability to lead and is passionate about data and using machine learning to solve business problems. The right candidate will have deep knowledge of applying data science for forecasting, customer analysis, item and inventory management and other areas of retail. We are looking for a highly motivated, customer focused professional who wants to work in a fun and highly collaborative environment and willing to be the player as well as coach for the data science community at Costco. If you want to be a part of one of the BEST “to work for” companies in the world, simply apply and let your career be reimagined. ROLE Leads the analysis by applying statistics, machine learning and analytic approaches to predict and optimize business outcomes. Designs and builds ML/DL models to solve business problems. Correctly frames a problem and comes up with a hypothesis. Assesses the effectiveness and accuracy of models on an ongoing basis. Identifies new data that could enhance the quality and accuracy of models to improve predictions. Communicates results effectively with storytelling and visualization. Coaches the team in feature engineering using machine learning techniques. Performs peer review for another Data Scientist’s work. Provides feedback to enhance the testing framework and MLOps. Extends beyond core data science work to perform data wrangling and data preparation as needed. REQUIRED 5+ years’ experience in delivering business insights using advanced statistical and machine learning models and visualization. Proficiency in working with diverse databases and other data sources. Strong proficiency in Machine Learning, Statistical and Reporting tools (Python, R, SQL, PowerBI). Knowledge of Deep Learning and Neural Networks, and its applications. Strong experience working in Cloud (AWS, Azure) based analytics platform. Graduate degree in Computer Science, Data Science, and Statistics/Mathematics or related field. Recommended Knowledge of Agile software development. Experience in software development. Exposure to the retail industry. Experience leading team of data scientists. Excellent verbal and written communication skills. Required Documents Cover Letter Resume California applicants, please click here to review the Costco Applicant Privacy Notice. Apart from any religious or disability considerations, open availability is needed to meet the needs of the business. If hired, you will be required to provide proof of authorization to work in the United States. Applicants and employees for this position will not be sponsored for work authorization, including, but not limited to H1-B visas.",data scientist
"Bachelor's Degree 3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab) 2 years working as a Data Scientist Amazon Advertising is one of Amazon's fastest growing and most profitable businesses, responsible for defining and delivering a collection of advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products  The Worldwide Ad Success team is at the head of this growth machine enabling our teams to deliver at scale. Our goal is to scale account management multifold by investing in strategic self-service applications that improve productivity of external advertising customers and internal account management executives. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.  As part of our team evolution we are investing to improve our understanding of the Advertisers on Amazon through advanced machine learning modeling and building an ML service that deliver optimum recommendations (to our Ad customers) and measure impact with explain-ability.  As a Senior Data Scientist on this team you will: Translate business questions and concerns into specific quantitative questions that can be answered with available data using sound methodologies. In cases where questions cannot be answered with available data, work with engineers to produce the required data. Deliver with independence on challenging large scale problems with ambiguity. Manage and drive the technical and analytical aspects of Advertiser segmentation; continually advance approach and methods. Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance. Analyze historical data to identify trends and support decision making. Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters. Provide requirements to develop analytic capabilities, platforms, and pipelines. Apply statistical or machine learning knowledge to specific business problems and data. Formalize assumptions about how our systems are expected to work, create statistical definition of the outlier, and develop methods to systematically identify these outliers. Work out why such examples are outliers and define if any actions needed. Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes. Build decision-making models and propose solution for the business problem you defined Conduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication. Utilize code (python or another object oriented language) for data analyzing and modeling algorithms. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us  Leading Data Science solutions from beginning to end. Experience in measurement problems, A/B testing and functional areas such as causal learning, multi-variate testing, etc. Experience in data applications using large scale distributed systems (e.g. EMR, Spark, Elasticsearch, Hadoop, Pig, and Hive) Depth and breadth in quantitative knowledge. Excellent quantitative modeling, strong knowledge of ML methods, statistical analysis, and problem-solving skills. Sophisticated user of statistical tools. Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of data Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization. Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences. Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations. Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Experience in advertising is a plus.",data scientist
"Are you looking for an opportunity to solve business-critical problems for Fortune-500 customers globally using cutting-edge AI and ML technology? Do you enjoy tackling technical challenges and producing innovative solutions to real-world problems? Then come join the AI Platform team in Microsoft. You will be working along the best AI/ML science, engineering, and product talent in the industry and engaging with the largest, most complex customers and ISV’s in the world.  Artificial Intelligence (AI) and Machine Learning (ML) is the next explosive growth area in technology relevant to every business in every industry on the planet. The data economy is already booming, and by 2021 there will be a projected 35 zettabytes of data generated by 50 billion connected devices. From these mountains of data, AI and ML will harvest valuable predictive signals and patterns that will fundamentally transform the face of business. With our own already existing volumes of data and research assets, Microsoft is investing to be a key player and a market leader in this industry.  The AI Platform organization at Microsoft has the charter to bring the best of our AI & Research assets, tools and cloud infrastructure, rich data, and trusted position together, to deliver AI and ML services and solutions to customers. The AI Commercial Engineering team within the AI Platform Product Management organization is to co-innovate, incubate, and improve our core AI platform from scenarios utilizing Azure Cognitive Services and Azure ML. We do so by building and infusing AI technologies in real world solutions and extending the signals from real world patterns to building robust, scalable AI platform services and products. To achieve this, we are co-innovating AI and ML powered solutions (rich APIs, ML models and end to end services) with our strategic ISVs and Enterprise customers, leveraging many other Azure technologies, including Azure Data Analytics (Synapse, ADF, SQL and ADB) and Python/C# microservices, Azure Functions and AKS. Responsibilities  Responsibilities We are looking for a passionate, highly motivated, and innovative Data and Applied Scientists to help us build world class AI and ML solutions for our customers and partners. These roles are for experienced data scientists and engineers who are passionate about building complete, highly performant intelligent software services, with a scalable and sustainable architecture and implementation while incorporating data privacy capabilities. The role involves a fair amount of customer engagement and solving complex problems with the customer/partner. The ideal candidate is someone is self-motivated to drive the creation of great enterprise products and who can collaborate and partner with other product teams, and engineers, and deal with ambiguity and complexity. Knowledge transfer to partners and community may be required, as well presenting to customers or a public event. Qualifications  Basic Qualifications Bachelor’s degree in Computer Science, Statistics or Applied Mathematics, Data Science, or Machine Learning 1 year of experience with software design and development using general purpose programming language (Python/Java/C# etc.) and knowledge of databases 1 year of practical experience in Machine Learning techniques & tools, as evidenced by prior projects is required Preferred Qualifications Experience with Azure Cognitive Services, Machine Learning techniques, and IoT preferred Experience in dealing with ambiguity, and to handle rapid changes in customer requirements  #AIPLATFORM# #AIPLATREF#  Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.  Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",data scientist
