JobDesc,JobTitle
"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us. The Aviation Safety & Analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. We have a treasure trove of data including time series, text and sensor data and challenging problems to solve. We are seeking skills in machine learning, deep learning, text mining, big data and software/application development. If Sklearn, pyTorch, Keras,TensorFlow, LSTM, LDA, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. You are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. The candidate will work with the FAA and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. The candidate will be responsible for supporting a team of more senior AI/ML staff and Data Scientists in the following tasks: Leveraging AI/ML techniques and solutions to identify complex patterns for predicting safety hazards Increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, AI/ML techniques and human SME/analyst expertise Develop and prototype AI algorithms and software tools. Enhance and maintain current analysis tools, including automation of current processes using AI/ML algorithms. Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets Develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities Basic Qualifications: Bachelor’s Degree in Computer Science, Mathematics, Statistics, Physics, Electrical Engineering, Computer Engineering or related fields Hands-on Software Development Skills (Python-Preferred) Experience or educational courses/projects in Machine Learning, and/or Text Mining Algorithms. Ability to work closely with Domain experts to develop tools/algorithms needed to answer research questions in their studies Excellent Communication Skills (with the abilty to explain developed tools and ML algorithms to a non-technical audience) Ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. Proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems Strong analytic, inferencing, critical thinking, and creative problem-solving skills Self-starter with ability to work both independently and with a team Preferred Qualifications: 1 to 2 years of relevant experience Experience with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc. Ability to apply these frameworks to real problems in the ‘time -series’ domain Experience with interpretability of deep learning models Big Data Skills (Hadoop, Spark, recent deep learning platforms) Visualizations/Web Development Skills (e.g. Tableau, MEAN stack - MongoDB, ExpressJS, AngularJS, NodeJS). Practical experience with statistical analysis Experience with text mining tools and techniques including in areas of summarization , search (e.g. ELK Stack) , entity extraction, training set generation (e.g. Snorkel) and anomaly detection Expert software development skills lifecycle including developing and maintain good production quality code This requisition requires the following clearance(s): Suitability - FAA MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org. Copyright © 1997-2021, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",data scientist
"JOB SUMMARY  The Credit Services Risk Management team is a large and complex critical function for company success. We are staffed with highly-skilled and motivated individuals with a large emphasis on analytical abilities & problem solving skills. The Sr. Data Analyst will provide critical analysis to enhance credit risk functions such as underwriting and/or collections. This person will be the central point of contact to drive business decisions by leveraging deep analytics.  MAJOR DUTIES AND RESPONSIBILITIES Provide recommendations for new or enhanced strategies to reduce losses and to retain customers Partner with others to build predictive models and/or to implement solutions in production processes Ensures that programming tasks are completed before the deadline and are fully tested with minimal defects Gather business requirements. This individual will need to work with leadership and business partners to identify data and reporting needs for analysis Develop/select methodologies to derive answers to business problems Analyze data to provide meaningful insights. This individual must have strong data manipulation and interpretation skills, and be able to quantitatively assess business problems Identify data sources and data attributes across and outside the company that will support the business needs Conduct analyses that drive meaningful change on key objectives established by senior Charter leadership Synthesize actionable insights by joining together large data sets from across the company, and applying appropriate analytical techniques Communicate findings clearly and concisely through narrative-driven presentations and effective data visualizations to Charter executives and decision makers Develop analytic plans and testable hypotheses for key business questions raised by partners to ensure that all important questions are addressed fully, appropriately, and accurately Perform other duties as may be requested by manager  REQUIRED QUALIFICATIONS Strong expertise in SQL Business and quantitative analysis experience using packages such as SAS/Python/R Ability to communicate orally and in writing in a clear and straightforward manner Ability to plan, prioritize and organize effectively Ability to adapt to change Detail oriented, self-motivated, proactive and results driven Highly energetic; ability to partner across business lines; a go-getter who seeks out information and does not wait for others to reach out  PREFERRED QUALIFICATIONS Experience in scripting languages such as Java/Ruby/Perl. Experience in using large databases; conducting complex analysis languages as noted above Solving business problems through deep analytics Ability to see patterns in the data where others are unable to; Desire to use large databases and complex analysis to solve problems Ability to explain complex analysis results in an easy-to-understand language Advance skills in Excel, PowerPoint and Access Excellent quantitative analysis skills Ability to create conceptual frameworks enabling the analysis of varied business problems  Education B.S. in quantitative sciences, including statistics, computer science, engineering, Business with focus on analytics. M.S. in a similar discipline preferred.  Related Work Experience 5+ years experience solving business problems through analytics (with a Bachelor’s Degree) OR, 2+ years experience solving business problems through analytics (with a Masters Degree) Industry experience in Financial services, insurance or actuarial services or medical research perferred but not required  WORKING CONDITIONS Office Environment",data scientist
"Job search is broken. Help us fix it! JobTarget is a leading company in the online job search and recruiting industry. Our team is comprised of experts in recruitment, ecommerce, and online job search. Our products are used by thousands of corporate recruiters and reach millions of job seekers. As a Data Scientist, you will assist in generating insights by working alongside our data team in conducting analysis of JobTarget's data. In the process, you will develop a deep understanding of our products, site functionality which will further strengthen your analytic skills.  Responsibilities  Own production performance for CPC Bid management system Own product performance of clustering, and recommendation models Own product performance for retargeting Develop data warehouse frameworks that collect and integrate data from disparate systems Design and develop integration patterns to cleanse data Design, develop and maintain relational, dimensional and predictive data models Perform exploratory large-scale data analysis and correlate similar data to identify trends and make predictions Analyze enterprise level data and extract useful insights to support the business in their decision making Design and develop reports and business presentations Evaluate various technologies and make recommendations  Required Skills  Strong mathematics and statistics knowledge Experience with databases like SQL Server, Redshift, Mongo DB, DynamoDB Experience with machine learning and AI preferred Programming experience with languages like R, SQL, Python ETL experience with tools like SSIS, AWS Glue, AWS Data Pipeline Reporting experience with tools like SSRS, Power BI, Tableau, Amazon QuickSight Strong Knowledge of Excel  JobTarget provides a high-energy growth environment, along with a competitive base salary and excellent benefits including PTO, medical, dental and 401(k) with match. Compensation commensurate with experience. JobTarget is an equal opportunity employer.  PI136098440",data scientist
"HENKEL IS FOR THOSE WHO STEP UP. DO YOU? At Henkel, you can make a difference and craft your career. That’s why you own your projects and take full responsibility from an early stage. Our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths. If you have an entrepreneurial mindset that allows you to always think out of the box - take the chance and shape the digital future together with us. YOUR ROLE Align with business stakeholders to understand and define project goals Experience in performing analysis with large datasets to extract actionable insights that will help drive outcomes and decisions Understanding of database and analytical technologies in the industry Demonstrated ability to think strategically about business, products and technical challenges in an enterprise environment Communicate data-driven insights and recommendations to key stakeholders YOUR SKILLS Students currently enrolled in Master’s program in a Computer Science, Information Technology, Big Data Analytics or a related discipline, with a GPA of 3.2 Experience in Microsoft Excel and PowerPoint Proficient in Python and or R, SQL Experience with Data Visualization tools - Tableau or PowerBi Experience in Azure cloud solutions preferred Strong oral and written communication skills Ability to work as part of a DevOps Team Henkel is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, age, sexual orientation, gender identity and expression, and other legally protected characteristics. Henkel does not accept unsolicited resumes from search firms or employment agencies. Unsolicited referrals and resumes are considered Henkel property and therefore, Henkel will not pay a fee for any placement resulting from the receipt of an unsolicited referral. At Henkel’s request only, preferred vendors may be invited to refer talent for specific open positions. In these cases, a fully-executed agreement with Henkel must be in place and current. All employees applying for an internal position must have a discussion with his/her manager about their interest in a job posting opportunity. The discussion will not preclude the employee from interviewing if their skills meet the job requirements.",data scientist
"The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans. What you'll do: Research and develop statistical learning models for data analysis Develop insights and deliver recommendations based on data analyses Work with business leaders to articulate business requirements for data analyses Implement new statistical or other mathematical methodologies for specific models or analyses Optimize joint development efforts through database use and project design Create automated reports and dashboard products, in order to display results to internal teams Develop end-customer segmentation schemes by analyzing customer behavior Perform ad hoc analyses and deliver recommendations Develop and implement predictive models like decision tree, regression using R or similar Communicate results and ideas to key decision makers Required Skills/Abilities: Master's Degree in Computer Science, Statistics, Applied Math or related field Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics Experience in data mining and statistical analysis Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Experience with programming languages such as Java / Python (or ""R"") Experience conducting regression analyses Understanding of relational databases and data management as well as experience with data aggregation and normalization Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.) Ability to approach tasks strategically, while owning and mastering the details Exceptional problem solving, as well as analytical and strategic thinking skills Initiative to own projects from start to finish Strong oral and written communication skills, with ability to work well with people across the company at all levels  Preferred Skills/Abilities: Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics Experience conducting analyses and building predictive models using SAS (or similar) Experience with business intelligence and data visualization tools preferred (like Domo or Tableau) Physical Requirements: Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)  Due to the unprecedented situation of COVID-19, HPOne has decided to protect our current and future employees by managing our business remotely. This is inclusive of interviewing, training, and day-to-day operations. We will be returning to an office setting once we are safe to do so following the guidance of local health authorities' and the CDC. Currently all employees are working remotely. Our centers are consistent with CDC guidelines and align with local government orders pertaining to all Company physical locations in relation to COVID-19. Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices. If you need assistance or an accommodation due to a disability, please contact us to request accommodation at accommodations@hpone.com  #ZR",data scientist
"Job Description  Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as “Personal Cell” or “Cellular” in the contact information of your application. At Wells Fargo, we are looking for talented people who will put our customers at the center of everything we do. We are seeking candidates who embrace diversity, equity and inclusion in a workplace where everyone feels valued and inspired. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. Technology sets IT strategy; enhances the design, development, and operations of our systems; optimizes the Wells Fargo infrastructure; provides information security; and enables Wells Fargo global customers to have 24 hours a day, 7 days a week banking access through in-branch, online, ATMs, and other channels. Our mission is to deliver stable, secure, scalable, and innovative services at speeds that delight and satisfy our customers and unleash the skills potential of our employees. The Info Sec Principal Engineer - Sr Data Scientist will be responsible for managing Identity and Access management data, repositories and controls along with infrastructure, data hygiene, and analytical tool development and implementation. This role is responsible for working with other engineering team members within Identity and Access Management Build Engineering, to develop and implement innovative solutions and analytical tools for the IAM Portfolio. Provide the highest technical expertise for the planning, analysis, design, implementation, maintenance, and control of the organization's server-class databases, engaging with DBA teams, architecture, Scrum Master, QA, BSA, Product and supporting teams to create efficient and consistent solutions. Assure successful sprint and release planning following agile development methodology. Lead the most complex or critical data/ database management initiatives that typically involve multiple disciplines and multiple business groups, including database architecture, other Core Engineering teams, design, integration, and/or data modeling. Provide highest level of expertise in complex databases troubleshooting and problem resolution and drive continuous process improvement as preventive actions. Recommend improvements to web application processing issues and design. As the recognized technical expert, consult extensively with multiple client groups to provide strategic solutions, influencing long-range internal and enterprise-level data/ database architecture and management strategies. Design and certify next generation database technologies and provide technical leadership and recommendation into the future direction of database technology. Able to handle multiple/conflicting projects and deadlines; able to work on call and provide 24/7 production support. Demonstrate proficient communication skills with management, application teams, vendors, and systems administrators. Interact with customers (internal / external) to meet process deliverables. Has competency in business language skills. Document and present to the technical and non-technical audience database related information. Consult or develop EDM best practices & SOP and promote these standards across the team. Mentor/Train DBA operations team in the installation, configuration, and maintenance of databases and/or database related products, lead educational sessions on continuing basis within our EDM community. Areas of responsibility will include, but not limited to, data source identification, data modeling and assessment, analytical model (machine learning) development and management, code development and testing for tools. 7+ years of database (DB) technologies experience 3+ years of Logical + Physical Data Modeling experience 7+ years of experience in supporting software development life cycle for large-scale distributed technology projects and migrations Telecommute is an option for this position.  Required Qualifications  10+ years of engineering experience; or 10+ years of experience in a technical management role 3+ years of design, implementation and governance experience with Artificial Intelligence, Natural Language Processing or Machine Learning architecture 4+ years of experience with databases such as Oracle, DB2, SQL server, or Teradata 5+ years of experience delivering ETL, data warehouse and data analytics capabilities on big-data architecture such as Hadoop  Desired Qualifications  A Masters degree or higher in computer science or finance Strong verbal, written, and interpersonal communication skills 3+ years of experience with end-to-end design and delivery of data warehouse applications Knowledge and understanding of IAM (Identity and Access Management) Data modeling experience Information security experience  Other Desired Qualifications 3+ years experience with Data science, Machine learning, optimization models, exploratory data analysis (EDA) 3+ years experience with Agile development or DevOps methodologies. Ability to assess issues, make quick decisions, implement solutions, and influence change Strong customer relationship management skills 3+ years in data science related field  Salary Information  To be determined  Street Address  NC-Charlotte: 300 S Brevard St - Charlotte, NC MN-Saint Louis Park: 300 Highway 169 S - Saint Louis Park, MN TX-Irving: 2975 Regent Blvd - Irving, TX AZ-Chandler: 2600 S Price Rd - Chandler, AZ IA-Des Moines: 800 Walnut St - Des Moines, IA IA-West Des Moines: 7001 Westown Pkwy - West Des Moines, IA MN-Minneapolis: 550 South 4th St - Minneapolis, MN NY-New York: 150 E 42nd St - New York, NY PA-Philadelphia: 101 N Independence Mall E - Philadelphia, PA NC-Raleigh: 1100 Corporate Center Dr - Raleigh, NC MO-Saint Louis: 1 N Jefferson Ave - Saint Louis, MO MA-Boston: 125 High Street - Boston, MA IL-Chicago: 10 S Wacker Drive - Chicago, IL CA-SF-Financial District: 333 Market St - San Francisco, CA",data scientist
"Data Scientist Stamford, CT 6-Month Contract $55-60/hr. Dependent on Experience As the Data Scientist for our Fortune 100 Telecommunications client, you will play an integral role in leading the buildout of an automated anomaly detection system. Sitting at the intersection of Data Science and Data Quality, you will explore data sets, develop new databases, and use predictive modeling to automate the detection of anomalies. You will support a brand-new, unique business initiative that will give you the opportunity to impact the broader organization on a high level. We are seeking an individual who is inherently passionate about data (modeling, forecasting, optimization) and driving efficiencies on a large scale. The most successful individual in this role will integrate their technical knowledge of Data Science and Data Anomaly detection with their ability to communicate effectively to various business leaders. Minimum Qualifications: 3+ years’ experience within data science Experience supporting the build-out and implementation of anomaly detection models Ability to support and monitor models post-implementation Experience with time-series analysis and predictive modeling Overall experience with machine learning models through all phases of development, from design through training, evaluation, validation and implementation Experience in R and Python; ability to leverage technologies and languages to reveal the insights hidden within huge volumes of data Ability to communicate results and recommendations to a wide variety of audiences including executive leadership Database skills including SQL and utilizing data stored in complex schemas Data profiling, distributions, confidence intervals, hypothesis testing, data pre-processing, exploratory data analysis using a variety of techniques Regression and classification using techniques such as linear models, GLMs, and tree-based methods Interpretation of model results, consideration of causality, treatment of multicollinearity Responsibilities: Support a Sr. Data Scientist and Sr. Solutions Architect in building an anomaly detection model from end-to-end, leveraging significant experience in leading this type of work in previous roles Enhance scalability and the addition of new features during the refining process Integrate and deploy as a continuous running model Provide post-implementation support and guidance Leverage multiple data sources to produce intelligent data products that solve the needs of business and engineering for business intelligence, operational analytics, descriptive models, predictive models, diagnostic models, and prescriptive models Provide technical input on activities including experimental design, machine learning, ad-hoc analytics, and statistics Implement automated solutions across the data and analytics lifecycle Research and develop machine learning models and algorithms for data analysis and discovery. Perform problem formulation, requirements analysis, and planning Deliver results using metrics-driven analysis, and communicating the costs and tradeoffs of ideas to stakeholders and top management What’s In It For You? Ability to make impactful decisions for the company and implement solutions with a high level of autonomy Exposure to high-level executives within a Fortune 100 company at the headquarters location Easy commute in from train station; 5-minute walk About Eight Eleven: At Eight Eleven, our business is people. Relationships are at the center of what we do. A successful partnership is only as strong as the relationship built. We’re your trusted partner for IT hiring, recruiting and staffing needs. For over 16 years, Eight Eleven has established and maintained relationships that are designed to meet your IT staffing needs. Whether, it’s contract, contract-to-hire, or permanent work, we customize our search based upon your company’s unique initiatives, culture and technologies. With our national team of recruiters placed at 21 major hubs around the nation, Eight Eleven finds the people best suited for your business. When you work with us, we work with you. That’s the Eight Eleven promise. Eight Eleven Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state and local laws. Job Types: Full-time, Contract Pay: $55.00 - $60.00 per hour Benefits: 401(k) 401(k) matching Dental insurance Employee discount Flexible schedule Health insurance Paid time off Parental leave Referral program Retirement plan Vision insurance Schedule: 8 hour shift Day shift Monday to Friday Supplemental Pay: Bonus pay Full Time Opportunity: Yes Benefit Conditions: Waiting period may apply Only full-time employees eligible Work Remotely: No",data scientist
"Acara solutions is looking for a Senior Data Scientist for our Client based in Tarrytown, NY. This position will be fully remote. The Senior Data Scientist will be responsible for providing support to pre-market biostatistics, data management, and commercial product quality teams. The role will data mining, visualization, and analysis to solve business problems. In addition, the data scientist will be responsible for development, maintenance, and validation dashboards and software tools needed to gain insights from clinical trial and post-market surveillance data sources. The role will interact cross-functionally with stakeholders in the Pre-market Biostatistics, Data Management, and Quality teams to define business needs and gather user requirements. The role will leverage expertise in data science and statistical methodology, data management, and software engineering practices to meet Quality goals within the Laboratory Diagnostics Division of the client. A willingness to share this enthusiasm with colleagues and to have fun is a must for our team. The position will report to the Director of Pre-Market Biostatistics. Apply machine learning and statistical methodologies and application tools to identify adverse product trends from internal and external data sources. Discuss adverse trends that should be escalated for additional investigation. Provide support to these investigations through the retrieval and statistical analysis of internal and external data. Support development of complaint trending dashboards in QlikView applications and rationale databases using SQL. Pay and Benefits: The salary for this position is $ 75.00 per hour (Pay rate).    Required Skills / Qualifications: MS in computer science, data science, statistics/biostatistics or other quantitative field. Minimum of 8 years"" experience in data science Minimum of 5 years"" experience with Qlik View or Qlik Sense Minimum of 5 years"" experience applying machine learning techniques to build models in Python using Pandas, Numpy, SciKit-Learn, NLTK, or other applicable packages. Preferred Skills / Qualifications: Experience solving data science problems within healthcare, medical device, medical diagnostic, or pharmaceutical industries. Experience with natural language processing (NLP) building models to assess trends. Strong knowledge and experience working with relational database systems and cloud database architectures (e.g. Snowflake, AWS). Proficiency in statistical programming (SAS, R), certifications in SAS programming, and/or experience with Clinical Data Management systems (e.g. Medidata RAVE, Medrio, Oracle Clinical) is a plus. Ability to translate business and scientific questions into data requirements and to formulate statistical and data-analytic methods to provide solution to novel problems. Familiar with FDA guidelines and other regulatory requirements associated with software validation, electronic signatures and records (21 CFR Part 11 Compliance), and General Data Protection Regulations (GDPR). Ability to work independently and in project teams, act as a team player. Excellent communication skills (written and spoken). Strong ability to interact with others and to distill complex concepts in simpler terms to generalized audiences This is an ideal role for candidates who are detail-oriented, have strong problem solving and scientific thinking skills, a collaborative mindset with strong communication skills, and enthusiasm for topics related to data analysis, programming, presentation of data, and science. Additional Information: Upon offer of employment, the individual will be subject to a background check and a drug screen.  Aleron companies (Acara Solutions, Aleron Shared Resources, Broadleaf Results, Lume Strategies, TalentRise, Viaduct, and Aleron's strategic partner, SDI) are Equal Employment Opportunity and Affirmative Action Employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity, sexual orientation, national origin, genetic information, sex, age, disability, veteran status, or any other legally protected basis. The Aleron companies welcome and encourage applications from diverse candidates, including people with disabilities. Accommodations are available upon request for applicants taking part in all aspects of the selection process.  Applicants for this position must be legally authorized to work in the United States. This position does not meet the employment requirements for individuals with F-1 OPT STEM work authorization status.",data scientist
"What makes Gartner HR a GREAT fit for you? When you join Gartner, you’ll join a fast-paced, dynamic team. We’re a people business. From talent acquisition and management to compensation, benefits, analytics and operations, finding and keeping the right people is the core of our strategy for success. You’ll work alongside smart, creative, motivated colleagues and have unlimited opportunities to develop in your career. If you love working with people and making the connection between great talent and company success, we want to connect with you. Interested in learning more, view and register for any of our upcoming recruiting events here! Gartner’s core asset is its people. Our people develop insights, share advice, and create experiences that help our clients be more successful. The People Analytics team derives actionable insight from data to recommend and implement better ways of attracting, developing, and retaining our talent so that we can drive higher sales, more productivity, and better client experiences. We drive impact on Gartner’s Mission Critical Priorities by leveraging state of the art technology, analytics, and processes. In the People Analytics Data Science group (PADS) our goal is to help deliver on the promises of People Analytics by building and deploying predictive and descriptive models based on observable data. We are creating a scalable Machine Learning Operations (MLOps) environment to allow us to quickly, efficiently, and ethically build models which can augment our employee, recruiter, and candidate experiences. The goal of the Pod Member in PADS is to help deliver model-building projects to the business using their technical skills as well as their inquisitive nature. This is a complex role Machine Learning, Data Extraction, Data Exploration, Statistics skills. A combination of these skillsets will allow the applicant to help the team deliver accurate and ethical results on time. The Pod Member will be asked to justify their design decisions and participate in challenging model purposes as well as efficacy. Major Responsibilities: Work with an HR Data Science Pod to help deliver key predictive and inferential models to the business. Create and execute against a project plan that includes: building models or other data-driven products that help address those business needs, and maintain and deploy developed models; and interrogate data sources and modeling approaches with ethics and bias in mind; and quickly understanding new data sources and finding quick ways to extract information from them for modeling and inference purposes; and working with technical teams to bring developed models from exploration to deployment. Application of Machine Learning and Statistical methods which will be the most useful for HR processes. Testing models for fairness and bias and being conscious of the many ways in which bias can affect processes. Using an MLOps infrastructure to help build, deploy, and monitor created models. Understand business problems and translate them into models that drive result Requirements: Undergraduate or master’s degree in any of: Computer Science/Engineering, Electrical Engineering, Physics, Engineering, Mathematics, Statistics, Data Science Adjacent topics (STEM or Mathematical degrees), OR Equivalent business experience Minimum of 2+ years work experience, of which include: 1-2 Years of relevant technical work experience Required: Integrity Experience working with confidential/sensitive information Open-mindedness to stakeholder perspectives Machine Learning (scikit-learn, PyTorch, Keras, etc.. ) Data Analysis (pandas) Data Extraction Programming proficiency in Python, R a plus Comfort working in command lines Preferred: AzureML experience Power BI Statistics SpaCy Job Requisition ID:54513 By submitting your information and application, you confirm that you have read and agree to the country or regional recruitment notice linked below applicable to your place of residence. Gartner Applicant Privacy Link: https://jobs.gartner.com/applicant-privacy-policy For efficient navigation through the application, please only use the back button within the application, not the back arrow within your browser.",data scientist
"Now’s our time to inspire the future of healthcare together. Siemens Healthineers is a leading global medical technology company with over 170 years of experience and 18,000 patents. More than 48,000 dedicated colleagues in over 70 countries are driven to shape the future of healthcare. We stand with our customers around the world to support them in delivering high quality care to their patients. An estimated 5 million patients across the globe benefit every day from our innovative technologies and services in the areas of diagnostic and therapeutic imaging, laboratory diagnostics and molecular medicine, as well as digital health and enterprise services. This is what truly matters to us. Join our team now at Siemens Healthineers as SCM Digitalization Data Scientist Reporting lines and location: The SCM Digitalization Data Scientist will report to the Head of SCM Data Governance & Analytics for the Laboratory Diagnostics Business Area of Siemens Healthineers. The position will preferably be based at our headquarter offices in Tarrytown, New York but consideration will also be given to well qualified internal applicants local to the US East Coast and / or remote. This is a role well suited to an ambitious professional, looking for the next step in their career. As a SCM Digitalization Data Scientist, you will be responsible for: Driving and/ or supporting SHS SCM initiatives with a focus on applying data science techniques to address challenges and drive improved operations in manufacturing, demand planning, order-fulfillment and logistics. Developing analytic models, configures and deploys algorithms, defines visualization method and selects best solution to visualize results. Utilizing advanced analytical methods (Process mining, data modeling, predictive analytics) to identify business process opportunities. Collaborating with IT, SCM functions and product business units subject matter experts across the enterprise to develop, streamline / improve existing and emerging systems and processes Assisting business function subject matter experts with data science focused analytical thinking for improved planning, monitoring, evaluation and reporting. This position may suit you best if you are familiar with what is below, and would like to do develop your career with Healthineers Demonstrates and applies advanced knowledge of project management for data analytics and machine learning applications. Extensive experience with analyzing processes and developing solutions for solving complex business problems. Working experience with analytical databases, such as Snowflake as well as data base and query optimization. Strong communication, and presentation skills. Required skills to have for the success of this role BS / BA with a concentration in Data Science/ Analytics or related degree required. MS/MA degree, preferably in computer science or (applied) mathematics. Supply Chain experience would be a plus. Minimum 3-5 years’ experience using data science techniques, with deep professional know-how and experience in data analytics. Highly proficient with SQL and experience with relational SQL and nonSQL databases. Advanced knowledge of IT systems, ERPs (SAP) data architecture and Business Intelligence (BI) tools for data analytics and visualization such as Power BI, Qlik, Tableau, etc. Willing to travel up to 10-20% At Siemens Healthineers, we value those who dedicate their energy and passion to a greater cause. Our people make us unique as an employer in the med-tech industry. What unites and motivates our global team is the inspiration of our common purpose: To innovate for healthcare, building on our remarkable legacy of pioneering ideas that translate into even better healthcare products and services. We recognize that taking ownership of our work allows both us and the company to grow. We offer you a flexible and dynamic environment and the space to move beyond your comfort zone to grow both personally and professionally. If you want to join us in transforming the way healthcare is delivered, visit our career site at https://usa.healthcare.siemens.com/careers. If you wish to find out more about the specific before applying, please visit: https://usa.healthcare.siemens.com/about. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.   Organization: Siemens Healthineers Company: Siemens Healthcare Diagnostics Inc. Experience Level: Experienced Professional Job Type: Full-time  Equal Employment Opportunity Statement Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability unrelated to ability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, order of protection status, protected veteran or military status, or an unfavorable discharge from military service, and other categories protected by federal, state or local law.  EEO is the Law Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.  Pay Transparency Non-Discrimination Provision Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.  California Privacy Notice California residents have the right to receive additional notices about their personal information. To learn more, click here.",data scientist
