JobDesc,JobTitle
"category: research and sciences location: roy, utah us citizenship required for this position: yes clearance type: secret telecommute: no –teleworking not available for this position shift: 1st shift travel required: yes, 25 % of the time positions available: 1  embark on a career putting innovative, reliable, and agile products and ideas into orbit, and beyond. northrop grumman has opportunities waiting for you that play a vital role in human space exploration, national defense, and scientific discovery, supporting multiple programs across the universe. with us, you’ll discover a culture of curiosity and collaboration that will have you defining possible from the day you start. our space systems connect and protect millions of people on earth every day, now and for the future. explore your future and launch your career today. northrop grumman space systems is seeking a data scientist. this position will be located in roy, ut and will support the ground based strategic deterrent (gbsd) program. learn more about the gbsd program here. • creates data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets. analysis may have many applications such as to address a business issue or provide a competitive advantage for the organization. • requires strong statistical and data visualization skills. as a full-time employee of northrop grumman space systems, you are eligible for our robust benefits package including: • medical, dental & vision coverage 401k educational assistance life insurance employee assistance programs & work/life solutions paid time off health & wellness resources employee discounts this position’s standard work schedule is a 9/80. the 9/80 schedule allows employees who work a nine-hour day monday through thursday to take every other friday off.  basic qualifications: 2 years with bachelors in science; 0 years with masters active secret clearance or the ability to obtain one  preferred qualifications: active secret clearance familiarity with any of the following: tensorflow, theano, keras, pytorch, nltk, pystan, pymc3, rstan, elasticsearch, pycuda familiarity with graph, nosql, hadoop, smack, or neo4j/owl ""  northrop grumman is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity/affirmative action employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. for our complete eeo/aa and pay transparency statement, please visit www.northropgrumman.com/eeo. u.s. citizenship is required for most positions.",data scientist
"why choose between doing meaningful work and having a fulfilling life? at mitre, you can have both. that's because mitre people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. mitre is different from most technology companies. we are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. the r&d centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. we're making a difference every day—working for a safer, healthier, and more secure nation and world. our workplace reflects our values. we offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. if this sounds like the choice you want to make, then choose mitre—and make a difference with us. the aviation safety & analysis department is individuals with interest in applying their data science skills to deep and challenging problems in the aviation domain. we have a treasure trove of data including time series, text and sensor data and challenging problems to solve. we are seeking skills in machine learning, deep learning, text mining, big data and software/application development. if sklearn, pytorch, keras,tensorflow, lstm, lda, anomaly detection, entity extraction, summarization mean something to you, we want to talk to you. you are not required to have skills in all of these but should have hands-on skill in at least one area and the ability to dive deep in the data, and learn the necessary skills to get the job done. the candidate will work with the faa and international customers, leveraging one of the largest repositories of aviation data to improve the capabilities, safety, and efficiency of the aviation system. the candidate will be responsible for supporting a team of more senior ai/ml staff and data scientists in the following tasks: leveraging ai/ml techniques and solutions to identify complex patterns for predicting safety hazards increasing the efficiency and quality of the vulnerability discovery process by tightly integrating automated processes, ai/ml techniques and human sme/analyst expertise develop and prototype ai algorithms and software tools. enhance and maintain current analysis tools, including automation of current processes using ai/ml algorithms. conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets develop techniques that make use of both digital flight data, text-based safety reporting, and a variety of other aviation data sets both in a silo and in a fused environment to identify potential safety vulnerabilities basic qualifications: bachelor’s degree in computer science, mathematics, statistics, physics, electrical engineering, computer engineering or related fields hands-on software development skills (python-preferred) experience or educational courses/projects in machine learning, and/or text mining algorithms. ability to work closely with domain experts to develop tools/algorithms needed to answer research questions in their studies excellent communication skills (with the abilty to explain developed tools and ml algorithms to a non-technical audience) ability to formulate operational problems in aviation domain as technical problems that allows for reuse of leading research in the area. proven ability to work independently to learn new technologies, techniques, processes, languages, platforms, systems strong analytic, inferencing, critical thinking, and creative problem-solving skills self-starter with ability to work both independently and with a team preferred qualifications: 1 to 2 years of relevant experience experience with deep learning frameworks such as keras, tensorflow, pytorch,mxnet etc. ability to apply these frameworks to real problems in the ‘time -series’ domain experience with interpretability of deep learning models big data skills (hadoop, spark, recent deep learning platforms) visualizations/web development skills (e.g. tableau, mean stack - mongodb, expressjs, angularjs, nodejs). practical experience with statistical analysis experience with text mining tools and techniques including in areas of summarization , search (e.g. elk stack) , entity extraction, training set generation (e.g. snorkel) and anomaly detection expert software development skills lifecycle including developing and maintain good production quality code this requisition requires the following clearance(s): suitability - faa mitre is proud to be an equal opportunity employer. mitre recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.  mitre intends to maintain a website that is fully accessible to all individuals. if you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of mitre’s employment process, please contact mitre’s recruiting help line at 703-983-8226 or email at recruitinghelp@mitre.org. copyright © 1997-2021, the mitre corporation. all rights reserved. mitre is a registered trademark of the mitre corporation. material on this site may be copied and distributed with permission only.",data scientist
"zions bancorporation is currently looking for an experienced sr. data scientist to join our enterprise data science team. this role focuses on delivering insight from data that is actionable and will drive revenue growth, cost reduction, and meet new regulatory requirements. the team works on strategic projects with tactical components that aim to drive all business decisions to be data driven.  zions bancorporation’s enterprise technology and operations (eto) team is transforming what it means to work for a financial institution. we operate in a fast-paced, information-driven environment, which means we need people who bring diverse experiences, perspectives, and expertise to meet the ever-changing demands of a technology-driven world. we are grounded in the belief that “improving the work is the work” as we drive to create simple, easy, and fast solutions for our customers. your ability to adapt, learn, and innovate helps increase revenue, reduce operational costs, and mitigates risk.  eto provides opportunities for you to own your career growth through diversity, equity, and inclusion, women in technology, and workforce of the future initiatives that allow you to network across the organization, volunteer in our community, and build your technical and soft skills. together we are building a culture that values diversity and creates a space of belonging for all our team members. we believe that investing in your success is an investment in our customers and our business. our people are what sets us apart and make us great.  the sr. data scientist will be responsible for end-to-end analytic projects including:  the understanding of business and data needs  discovering, cleaning, and transforming data as needed  designing and building analytical models  prototyping  performing statistical analyses  providing diagnostic, descriptive, prescriptive, and predictive analytics  determine opportunities and needs around the use of machine and deep learning for help in prescriptive and predictive analytics, automation, and model training  job qualifications  bachelor's degree in computer science, engineering, statistics or other related area of study  masters or phd in computer science, engineering, statistics or other related area of study is preferred  8+ years' experience preferred  strong quantitative background with applied statistics skills, such as distributions, statistical testing, regression, etc.  familiarity with predictive modeling, machine learning, and data mining techniques and algorithms  software skills  experience with common data science toolkits, such as r, weka, numpy, matlab, etc. excellence in at least one of these is highly desirable  data visualization tools, such as ggplot, tableau, d3.js  scripting language experience, such as java, perl, php, or python. excellence in at least one of these is highly desirable.  proficiency with sql  hadoop/hive/pig/spark is a plus  etl workflows and scheduling is a plus  strong analytical, organizational, and problem-solving skills  strong interpersonal, presentation, and communication skills, both verbal and written along with an understanding of how to present results such that they are meaningful across multiple levels of management  ability to function in a consultative role and lead a team or project  ability to effectively teach and train fellow team members on models, processes or tools  ability to collaborate and coordinate with multiple teams and team members  must be able to meet deadlines and work with little or no supervision  experience in banking or financial services preferred  experience working with formal project management methodologies or a project management certification preferred  a combination of education and experience may meet requirements.  ideally this position will be in salt lake city, but there is a possibility for remote work.  pay range: $80,000 - $140,000  bonus: this position may be eligible for a discretionary bonus  at zions bancorporation, we need team members who can get the job done and do it with enthusiasm. as a company, we are always striving to make the business better so we can make our customer's lives easier. are you passionate about making a difference for people in your community? as a corporation comprised of community banks, we need people like you, who can make positive change.  zions is full of people just like you who share the same values and work ethic. our diverse workforce offers endless opportunities to expand your skills and gain valuable experience that will help you advance your career. let’s talk about how we can help one another succeed.",data scientist
"data scientist - data visualization if you are a data scientist with experience, please read on!  headquartered in beautiful salt lake city, we are a booming tech start-up focusing on analytics for destination marketing organizations! we have a proprietary never-before-seen piece of software set to revolutionize the industry! due to growth and demand for our services, we are urgently looking to add a data scientist to our diverse and growing team! top reasons to work with us huge opportunity for growth! competitive base salary + benefits + equity! cutting-edge tech! - remote or in-office opportunity - it's up to you! what you need for this position bscs or equivalent technical degree 3+ year of professional experience in data science strong technical experience with sql and an analytical scripting language such as python, r, or java experience with data visualization and data management experience with statistical models what's in it for you again, huge opportunity in a tech start-up at critical stage of growth! competitive base salary + equity (doe) - comprehensive benefits package (medical - premium 100% company paid, dental, vision, & life) 401k generous pto cutting-edge tech with unique piece of software mission-driven company fun, innovative, and passionate culture so, if you are a data scientist with experience, please apply today! applicants must be authorized to work in the u.s.  cybercoders, inc is proud to be an equal opportunity employer  all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  your right to work – in compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the united states and to complete the required employment eligibility verification document form upon hire.",data scientist
"biofire diagnostics, llc. is seeking a bright and motivated individual to join our data science team. the candidate's primary responsibility will be to provide analytics for data collected during reagent manufacturing operations and post market surveillance at biofire diagnostics to help improve products and product operations. the candidate is expected to partner with multiple product operations teams, so they should have strong interdisciplinary communication skills (both written and oral). the candidate will be embedded in the biomathematics department, but will also have close collaboration with the data analytics, manufacturing, quality assurance, and post market surveillance groups among others.  the ideal candidate will have:  level i: requires a bachelor of science in math, statistics, engineering, or related field. 0+ years of work experience data analysis, software development, or a related field. level ii: requires a bachelor of science in math, statistics, engineering, or related field. 2+ years of work experience data analysis, software development, or a related field. applicable graduate work can substitute as work experience. level iii: requires a bachelor of science in math, statistics, engineering, or related field (applicable graduate degree is preferred). 4+ years of work experience data analysis, software development, or a related field. applicable graduate work can substitute as work experience. excellent programming skills experience with one or more of the following programming languages: r, python, or c# knowledge of basic statistics, data visualization techniques, databases (sql), and machine learning strong technical writing and presentation skills interest in learning and understanding biofire's core technologies and operational processes interest in biochemistry, engineering, or manufacturing technologies",data scientist
"bachelor’s degree in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) or equivalent professional or military experience experience with ml fields, e.g., natural language processing, computer vision, statistical learning theory 4+ years of industry experience in predictive modeling, data science, and analysis experience in an ml engineer or data scientist role building and deploying ml models or hands on experience developing deep learning models experience writing code in python, r, scala, java, c++ with documentation for reproducibility experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing sql, and working with gpus to develop models experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations want to help the largest global enterprises derive business value through the adoption of artificial intelligence (ai) and machine learning (ml)? excited by using massive amounts of disparate data to develop ml models? eager to learn to apply ml to a diverse array of enterprise use cases? thrilled to be a part of amazon who has been pioneering and shaping the world’s ai/ml technology for decades?  at amazon web services (aws), we are helping large enterprises build ml models on the aws cloud. we are applying predictive technology to large volumes of data and against a wide spectrum of problems. aws professional services works together with aws customers to address their business needs using ai solutions.  aws professional services is a unique consulting team. we pride ourselves on being customer obsessed and highly focused on the ai enablement of our customers. if you have experience with ai, including building ml models, we’d like to have you join our team. you will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. a successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.  this is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.  major responsibilities include: assist customers by being able to deliver a ml project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organization use aws ai services (e.g., personalize), ml platforms (sagemaker), and frameworks (e.g., mxnet, tensorflow, pytorch, sparkml, scikit-learn) to help our customers build ml models research and implement novel ml approaches, including hardware optimizations on platforms such as aws inferentia work with our other professional services consultants (big data, iot, hpc) to analyze, extract, normalize, and label relevant data, and with our professional services engineers to operationalize customers’ models after they are prototyped master’s degree of phd in a highly quantitative field (computer science, machine learning, operational research, statistics, mathematics, etc.) ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships. publications or presentations in recognized ml journals or conferences deep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment amazon is committed to a diverse and inclusive workplace. amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. for individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  pursuant to the los angeles fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  for employees based in colorado, this position starts at $114,700 per year. a sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",data scientist
"as much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms.",data scientist
"our company  changing the world through digital experiences is what adobe’s all about. we give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! we’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.  we’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. we realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!  about workfront workfront, an adobe company, is the leader in enterprise work management. together, adobe and workfront provide companies a single system to support planning, collaboration, and governance to unlock organizational productivity and create exceptional experiences. workfront helps people do their best work so companies can thrive in a digital world. workfront is built for people, effortlessly connecting teams and easily integrating into existing applications and systems. the ability to see, measure, and analyze critical factors such as resources, outcomes, and priorities keeps everyone on the same page, with a clear understanding of why their work matters. role purpose as a data scientist you will be a key player in the evolution of workfront’s data platform and architecture. you will participate in designing, prototyping and building our machine learning and artificial intelligence platform. you'll be adopting new technologies to create a cutting-edge data platform to be utilized by workfront customers looking to improve their knowledge, capabilities and efficiency in getting work done. you will be expected to push the envelope consistently, working closely with a small to medium-sized team to iteratively design and shape the workfront data platform while helping other engineers become more proficient in utilizing what you have created. what you will do drive the evolution of data infrastructure, processes, products and services to provide a highly scalable and well-performing data platform. vet new messaging, caching and data technologies to provide potential ways to improve our platform. debate the optimal design and ideal user experience for a variety of unrealized features identified by our product friends. or propose some ideas of your own! help qa and other software engineers find the best way to test your work to ensure that, not only does it work as advertised, but will continue to work and perform at mass scale when thousands upon thousands of people are using it at the same time. participate and/or lead discussions with your team about what emerging tools, technologies and processes are coming that may impact how we improve our products and our saas platform in the future. provide your well-considered opinions to the creation and modification of our technology roadmaps. desired competencies and experience bachelor’s degree in computer science, mathematics (or related discipline), or equivalent work experience. 3+ years of programming experience with 2+ years of recent experience in modern languages and/or technology in use at workfront. demonstrate strength in sql, nosql, etl modeling, data modeling, data caching, schema design and data warehouse architecture. ability to describe concepts and whiteboard designs dealing with high-availability, redundancy, and multi-threaded mechanisms. a strong devops mindset with a story to tell about how you have developed a distributed system and the pipeline to deploy it continuously without downtime. extensive experience with real-time or distributed systems that perform at mass-scale and can also be upgraded automatically or during peak volume periods. a passion for working with large data sets, complex problem solving and a drive to work with and motivate a team of highly-talented peers. experience with aws technologies such as s3, glacier, ec2, lambda, api gateway, elastic map reduce, kinesis, redshift, glue or other mpp data technology. experience in big data technologies such as apache hadoop, spark, spark streaming, flink or beam. experience with machine learning or other leading-edge technologies such as blazingdb or mapd. convince us that you have successfully led measurable and, preferably, dramatic improvements in the engineering practices of a software team and that you have the passion and drive to do it again. show that you are a person who, upon seeing a problem, moves quickly to solve it instead of waiting for permission and specific instructions from others. values fit to us, company values are more than just words on a wall; they best describe who we are and how we get our work done. genuine: we are sincere, trustworthy, and reliable. exceptional: we’re committed to creating exceptional experiences that delight our employees and customers. innovative: we’re highly creative and always striving to connect new ideas with business realities. involved: we’re inclusive, open, and actively engaged with our customers, partners, employees, and the communities we serve.  at workfront, an adobe company, you will be immersed in an exceptional work environment that is recognized around the world . you will also be surrounded by colleagues who are committed to helping each other grow through our unique check-in approach where ongoing feedback flows freely. if you’re looking to make an impact, we’re the place for you. discover what our employees are saying about their career experiences on the adobe life blog . 21.2.26",data scientist
"job highlights supports customer facing analyst team with advanced sql query and data management expertise. consistently display the ability to lead a variety of advanced analytic projects in tandem with a focus on helping to tell a compelling story with data and/or help to solve big problems for the institution, provider practice(s) and/or clinical enterprise. expertise in industry leading statistical and data science practices; these enable operational improvement, strategy deployment, value improvement, and program advancement, and improved partner satisfaction and outcomes. data visualizations communicates findings effectively, both visually and in plain language as to make them useful to non-analytic stakeholders create data visualizations that convey a full data story to the end user determine the best tool to use and best type of visual for a given set of data. adopts new tools and techniques as needed. apply design best practices in a way that is visually appealing and draws the viewer in, while avoiding data representation practices that can mislead the viewer.   primary technologies required proficient with standard office productivity tools, such as ms office comprehensive understanding of statistical models proficient with sql proficient with analytical scripting language (python, r, java etc.) extra credit for experience with data visualizations. experience and mindset needed 5+ years of experience as a data scientists ba/bs in a quantitative or computer science field fluency in sql and a programming language a successful history of manipulating, processing and extracting value from large disconnected datasets. quick learner - we face new challenges every day expert in coding -we develop real products compensation competitive salary and benefits (unlimited pto) stock incentive program career plan and lifelong learning - we want you to grow in your role based on their curiosity, passion, and ability to learn and evolve zartico is a work from anywhere company. this role is available to candidates in all states in the u.s. and there is no commute necessary! you will be working from your home or home office from any location in the us you choose. our hq is in salt lake city, utah, and working at hq is always an option as well.",data scientist
"job summary: data analysis, modeling, and forecasting is at the heart of our business and service. this position requires a strong applied statistics and mathematics background. knowledge and experience in math, statistics, neural networks, and machine learning are needed to analyze company metrics and develop high-quality models. this position works as a member of our data science team to turn data into critical information & knowledge that can be used to make sound business service decisions.  essential duties and responsibilities member of a small team focused on creating strategies, discovery, innovation, and development of long-term company data science plans. use programming languages such as python, r, sql, to produce algorithms used for analytics, forecasting, and reporting. employ visualization tools such as power bi or tableau to build mission-critical reports for multiple departments utilizing advanced analytics while ensuring the end product can be understood and digested by non-technical audiences. assist with designs, development and maintaining business intelligence applications and solutions. utilize data mining and modeling techniques to prototype novel reports. build critical report logic for daily, weekly, monthly, and quarterly reports. collaborate with it and software development teams to design business intelligence solutions to facilitate data gathering, storage and retrieval. interpret data to identify trends, conduct root cause analysis, and suggest areas for process improvement. perform statistical analysis on business data based on requests from senior leadership or project teams. assist with design and development of machine learning applications that provide actionable data with the aim of implementation in the production environment. diligently test your own work to ensure accuracy, functionality, integrity, and relevance. work with and assist software and data engineers to integrate, or develop, forecasting services into production applications. independently investigate and implement best practices for deploying machine learning models in production. stay current and informed on the latest data science trends and techniques. other assignments as required.  supervisory responsibility this position has no supervisory responsibilities.  travel requirements travel requirements: less than 25%  education education/certification minimum/preferred education description minimum 4 year / bachelors degree math, statistics, or related fields with advanced degree a plus.  experience years of experience minimum years of experience description 3 including advanced analytics.  knowledge, skills, and abilities intermediate knowledge in data science, math, and statistics. ability to read, interpret, apply, and implement advanced topics in data science (such as machine learning, forecasting, signal processing, queueing theory, bayesian data analysis, artificial neural networks, time series analysis, etc.). intermediate in the use data visualization tools such as power bi or tableau. intermediate understanding of etl processes. expertise in r, python, or similar data science language. history of use of the processes required to analyze very large data sets. knowledge of cloud based computing for data science. knowledge of parallel (cpu & gpu), cluster, and cloud computing processing a strong plus. detail-oriented and able to manage own schedule and time. performs work under direct supervision. ability to meet strict deadlines and handle complex algorithms and business problems.  working conditions and physical requirements ability to sit at workstation for long periods of time completing analysis, testing, documentation, or other assignments. lifting and transporting of moderately heavy objects, such as computers and peripherals ability to travel up to 5% of time. dexterity of hands and fingers to operate a computer keyboard, mouse, tools, and to handle other computer components. regular and predictable attendance required.  disclaimer this position has access to highly confidential, sensitive information relating to the employees, customers, and technologies of sorenson communications and captioncall. it is essential that applicant possess the requisite integrity to maintain the information in strictest confidence.  apply at www.captioncall.com/careers apply today! www.sorensonvrs.com/svrs_careers  equal employment opportunity: captioncall and sorenson communications are an eoe, disability/age employer.  #zr",data scientist
