JobDesc,JobTitle
"data scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping cia technology investments.  full time starting salary: $70,150 - $172,500* higher starting salary possible depending on experience level bachelor's degree foreign language bonus eligible  about the job  as a data scientist for cia, you will organize and interpret data to inform u.s. decision-makers, drive successful operations, and shape cia technology and resource investments. through cia’s global mission, the agency has access to unique and highly specialized data sets. you will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. you will also create scalable, high performance, and repeatable computational solutions which realize their algorithmic approaches. data scientists clearly communicate their conclusions to a diverse audience and become experts through agency-sponsored continuing education, attendance at academic, and technical conferences as well as collaboration with the intelligence community.  who you’ll work with  at the central intelligence agency (cia), we recognize our nation’s strength comes from the diversity of its people. people from a broad range of backgrounds and viewpoints work at cia, and our diverse teams are the reason we can keep our country safe.  read more about diversity and inclusion  what you’ll get  our benefits support every aspect of a working professional’s life, including health and wellness, time off, family, finances, and continuing education. our programs include highly sought-after government health benefits, flexible schedules, sick leave, and childcare. in some cases, we also offer sign-on incentives and cover moving expenses if you relocate.  as a cia employee, you’ll also get the satisfaction of knowing your work is part of something bigger than yourself. our work is driven by one mission: to keep our nation safe. every day is an opportunity to enhance u.s. national security.  learn more about working at cia  minimum qualifications bachelor’s degree preferably in a quantitative science, engineering, or social sciences field. at least a 3.0 gpa on a 4-point scale experience in a science, technology, engineering or mathematics (stem) related field, such as: computational social science computer science data analytics economics engineering geospatial analysis mathematics operations research quantitative finance statistics experience with real world data through thesis research, internships, or work experience creativity initiative integrity leadership abilities problem solving skills ability to work in a diverse team environment ability to meet the minimum requirements for joining cia, including u.s. citizenship and a background investigation desired qualifications advanced degree in a data science equivalent field or sub-field experience working with data rich problems through research or programs experience with computer programming or user experience/user interface ability to successfully complete projects with large or incomplete data and provide solutions what you’ll need to apply resume unofficial transcripts for all degrees cover letter in which you specify your qualifications for this position. please address why you want to work in this role and what differentiates you from other applicants. a writing sample, five (5) pages maximum, single spaced, technical or analytic paper that focuses on your current area of expertise or interest and is related to your interest in positions at cia. you can excerpt longer papers.",data scientist
"the challenge: support consulting staff by collecting data and assisting with the preparation of deliverables and reports. develop scalable, service-oriented software, including web services, for deployment in worldwide networks. perform object-oriented software development in java, c++, or embedded software development in c and assembly, including for wireless communications. leverage data science, machine learning, and related techniques to write software supporting data modeling and analysis. execute r&d related to security vulnerabilities in applications and operating systems and integrate commercial products and custom software solutions. this position is open to remote delivery from any location in the u.s., to include the district of columbia. you have: 1+ months of experience in a professional work environment obtained through internships or work experience with using key analytic and computer tools, including microsoft word and spreadsheets and databases, such as excel experience with programming languages, including c/c++, python, matlab, and java ability to work in a linux environment ability to work independently and in teams ability to write software and analyze concepts independently to be conducive in working in a remote environment ability to obtain a security clearance hs diploma or ged and 1+ years of experience with mathematics and computer science nice if you have: experience with conducting research ability to produce technical documentation and create design artifacts clearance: applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. we’re an eoe that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",data scientist
"are you an early career data scientist / analyst / statistical geneticist looking for work? are you interested in working on the largest parkinson’s disease genomics and clinical datasets available? are you passionate about #openscience, democratizing research tools and increasing scientific inclusivity? the covid19 situation is difficult but we are hiring remote junior staff, targeting an immediate start date. once the global situation calms in 2021, it is likely the researcher will be needed in the washington dc area on site approximately two days per week. come work with us at nih on data science projects as part of a diverse team of multidisciplinary scientists that will be helping support the next wave of brain disease initiatives. we are looking for candidates early in their careers with basic programming skills that are willing to learn and apply new methods and techniques. this position includes general analysis workflows with standard packages (python3, dash, plink, hail, etc) with responsibilities ranging from data science and machine learning, to data visualization and dashboard builds, as well as some minor data and project management. this position will include opportunities for on-the-job training, authorship on publications, some independent research, possible scientific conference travel and situational support for continuing education. scope of research: supporting cloud based analysis and data sharing solutions for large genomics and clinical efforts in neurodegenerative disease research. this will focus on running and refining standard analysis, data management and data visualization workflows. big picture goal is improving open science ecosystems. ideal candidate(s): candidate(s) (under graduate to post-doctoral level) should have some training in bioinformatics and programming (python/r and bash, at least). a basic familiarity with computer clusters and cloud-based computing is ideal. excellent written and oral communication skills and the ability to work well in teams are required. the incumbent will have a major role in assisting in manuscript preparation and bioinformatic training of other team members, providing technical assistance, and maintaining research continuity within the laboratory. additional info: full time employment on annual contract (30+ hours per week, renewable). flexible hours + telecommuting. salary and benefits negotiable / competitive. interested candidates should provide the following documents: cover letter, cv and if possible contact info for up to three relevant references. if interested email: info@datatecnica.com",data scientist
"job description be a part of an innovative and collaborative technology team to advance the depart of defense (dod)'s enterprise data analytics platform using modern technologies, cloud architectures, and development best practices. the caci team is looking for a junior data scientist to support a fast-paced, agile development team. as a junior data scientist, you will work with product managers and business stakeholders to develop analytic solutions processing large sets of business data to gain enterprise insights and drive decision making. more about the role supports processing of structured, unstructured, and semi-structured data to derive patterns, trends, and correlations and enable entity extraction, disambiguation and other data-related support using appropriate data science tools and techniques in order to draw scientifically credible analytical conclusions based on quantitative analysis. uses software languages such as python to develop scripts to automate data gathering and analysis, and process large amounts of unique data sets in small time periods to provide actionable information. you’ll bring these qualifications 1+ years of experience with data science using statistical languages (r, python, slq, etc.) to manipulate data and draw insights from large data sets. knowledge of statistical techniques and concepts experience manipulating data sets and building statistical models active top secret / sci clearance these qualifications would be nice to have experience with data operations pipeline experience with machine learning techniques experience working with and creating data architectures. security+ certification  what we can offer you: we’ve been named a best place to work by the washington post. our employees value the flexibility at caci that allows them to balance quality work and their personal lives. we offer competitive benefits and learning and development opportunities. we are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities. for over 55 years, the principles of caci’s unique, character-based culture have been the driving force behind our success. job location us-washington-dc-washington dc  caci employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. at caci, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for intelligence, defense, and federal civilian customers. caci is proud to provide dynamic careers for employees worldwide. caci is an equal opportunity employer - females/minorities/protected veterans/individuals with disabilities.",data scientist
"duties summary who may be considered: status candidates veterans land management eligibles under the land management workforce flexibility act. view common definitions of terms found in this announcement.  this position is located in the cybersecurity and infrastructure security agency (cisa), infrastructure security division. responsibilities the infrastructure security division (isd) focuses on protecting critical infrastructure from all hazards by managing risk and enhancing resilience through collaboration with the critical infrastructure community, which includes private sector owners, operators, and employees; state, local, tribal, and territorial officials; and other federal agencies.  the primary purpose of the position is to serve as the data scientist. typical work assignments include: perform analyses of critical infrastructure, including their interdependencies, vulnerabilities, consequences, and other complexities. provide technical guidance to other analysts on the development of analytic capability applying operations research methods. determine applicability of various analytical methods and methodologies appropriate to the particular problem under study. provide structured guidance for and technical reviews of analytical work of other analysts. evaluate study projects, proposals, reports and analytical techniques. recommend new products and techniques based on detailed knowledge of customer requirements. lead division data governance efforts. mature data integration and interoperability of critical infrastructure data. apply data analytic techniques in support of isd's performance management program. travel required occasional travel - you may be expected to travel for this position. supervisory status no promotion potential 15 job family (series) 1501 general mathematics and statistics requirements requirements conditions of employment you must be a u.s. citizen to apply for this position. you must successfully pass a background investigation. this may include a credit check, a review of financial issues, as well as certain criminal offenses and illegal use or possession of drugs. selective service - males born after 12/31/59 must be registered or exempt from selective service see http://www.sss.gov/ you must be able to obtain and maintain a top secret/ sci security clearance. current federal employees must meet time-in-grade requirements. one-year probationary period may be required. you must submit to a drug test and receive a negative test result prior to appointment to this position. if you receive a conditional offer of employment for this position, you will be required to complete an optional form 306, declaration for federal employment, and to sign and certify the accuracy of all information in your application. dhs uses e-verify, an internet-based system, to confirm the eligibility of all newly hired employees to work in the united states. learn more about e-verify, including your rights and responsibilities. relocation expenses may be authorized. other recruitment incentives may be authorized. this position has been designated excluded from bargaining unit representation under the national security provision of 5 usc section 7112(b)(6). all employees are required to participate in direct deposit/electronic funds transfer for salary payments. this position may be designated as essential personnel. essential personnel must be able to serve during continuity of operation events without regard to declarations of liberal leave or government closures due to weather, protests, and acts of terrorism or lack of funding. failure to report for or remain in this position may result in disciplinary or adverse action in accordance with applicable laws, rules, and regulations (5 u.s.c. § 7501-7533 and 5 cfr part 752, as applicable). qualifications basic requirements: degree: mathematics, statistics, or actuarial science. the degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position. or combination of education and experience: courses equivalent to a major field of study as shown in paragraph 1 above, plus additional education or appropriate experience. in addition to the basic requirements:  you may qualify for the gs-14 grade level, if you possess at least one year of specialized experience equivalent to the gs-13 grade level specialized experience includes: developing advanced scientific, investigative, and experimental techniques in support of an agency's analytical mission, and developing new or modified work methods or management processes to respond and adapt to an agency's rapidly changing programs and priorities.  you may qualify for the gs-15 grade level, if you possess at least one year of specialized experience equivalent to the gs-14 grade level. specialized experience includes: leading comprehensive cyber and critical infrastructure risk studies to identify and propose solutions to problems and issues, and providing expert consultation, technical guidance, analytical capability in support of an agency's mathematics, statistics, or operations research. note: your resume must support your responses to the online questionnaire, the qualification and time-in-grade requirements. failure to do so will result in an ineligible rating.  time-in-grade requirements: under competitive merit promotion procedures, any individual who is currently holding, or who has held within the previous 52 weeks, a general schedule position under a non-temporary appointment in the competitive or excepted service, must meet ""time-in-grade"" requirements (have served 52 weeks at the next lower grade of the grade for which you are applying).  note: current and former employees must submit a copy of their sf-50 form which shows competitive service appointment (""position occupied"" block 34 on the sf-50 should show a ""1""), tenure group (block 24 should show a 1 or 2), grade, and salary. if you are applying for a higher grade, please provide the sf-50 form which shows the length of time you have been in your current/highest grade (examples of appropriate sf50s include appointment, reassignment, with-in grade/range increases and promotion actions). please note: pay adjustments and awards do not include the length of time in your current position, therefore, they are not acceptable. if you have promotion potential in your current position, please provide proof. employees applying with an interchange agreement must provide proof of their permanent appointment.  you must meet all qualification requirements, including time-in-grade, by the closing date of this announcement. qualification and time-in-grade claims will be subject to verification.  note: experience refers to paid and unpaid experience, including volunteer work done through national service programs (e.g., peace corps, americorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. you will receive credit for all qualifying experience, including volunteer experience. education this job does have an education qualification requirement. additional information promotion potential: the full performance level of this position is gs-15.  this is a non-supervisory position.  pursuant to executive order 12654 and dhs policy, dhs is committed to maintaining a drug-free workplace and, therefore, conducts random and other drug testing of its employees in order to ensure a safe and healthy work environment. headquarters personnel in safety- or security-sensitive positions are subject to random drug testing and all applicants tentatively selected for employment at dhs headquarters are subject to drug testing resulting in a negative test result.  current or former political appointees: the office of personnel management (opm) must authorize employment offers made to current or former political appointees. if you are currently, or have been within the last 5 years, a political schedule a, schedule c, non-career ses or presidential appointee employee in the executive branch, you must disclose this information to the human resources office.  how you will be evaluated you will be evaluated for this job based on how well you meet the qualifications above. applicants will be evaluated on their resume and supporting documentation to ensure you meet the basic qualification requirements. if you meet the minimum qualifications, your experience, education and training will be rated using an assessment questionnaire that is based on the following competencies or knowledge, skills, and abilities needed to perform this job: attention to detail customer service oral communication problem solving teamwork technical competence  candidates who apply under competitive merit promotion procedures will undergo a quality review to determine if they are best qualified based. qualifications will be based on the content of their resume and their responses to the questionnaire. best qualified candidates will be referred if all required supporting documentation has been provided.  candidates who apply under non-competitive and special hiring authorities procedures will undergo a quality review to determine if they are minimally qualified based on the content of their resume, supporting documentation submitted and their responses to the assessment questionnaire.  if you are determined qualified, you may be referred to the hiring manager for consideration and may be called for an interview. preview the assessment questionnaire, click https://apply.usastaffing.gov/viewquestionnaire/11099651  career transition assistance program: this program applies to federal service employees whose positions have been deemed surplus or no longer needed, or employees who have been involuntarily separated from a federal service position within the competitive service. to receive selection priority for this position, you must: 1) meet eligibility criteria for ctap or ictap; 2) be rated well-qualified for the position with a score of 85 or above; and 3) submit the appropriate documentation to support your ctap or ictap eligibility. well-qualified includes those applicants whose knowledge, skills, and abilities clearly exceed the minimum qualification requirements for the position. for information on eligibility criteria and required documentation, go to: https://www.opm.gov/policy-data-oversight/workforce-restructuring/employee-guide-to-career-transition/  for competitive merit promotion and veterans employment opportunities act (veoa) applicants: the highest rated candidates will be referred to the hiring agency.  for non-competitive appointment eligibles: all qualified candidates will be referred to the hiring agency.  veterans employment opportunities act (veoa): to be eligible for a veoa appointment, the veteran must 1) be a preference eligible; or 2) be a veteran separated after 3 or more years of continuous active service performed under honorable conditions (you must submit a dd214-member copy 4).  interchange agreement possess a wealth of unique talents, experiences, and competencies that can be invaluable to the dhs mission. if you are a member of one of these groups, you may not have to compete with the public for federal jobs. to determine your eligibility for non-competitive appointment and to understand the required documentation, click on the links below. veterans peace corps/vista volunteers, persons with disabilities interchange agreement background checks and security clearance security clearance sensitive compartmented information drug test required yes position sensitivity and risk special-sensitive (ss)/high risk trust determination process credentialing, suitability/fitness, national security required documents required documents to apply for this position, you must submit a complete application package which includes:  1. your resume showing a detailed description of your job-related qualifications that includes beginning and ending dates with the month and year and hours worked per week (if less than 40) for each paid and non-paid work experience job title listed. 2. other supporting documents (only submit if applicable): are you a current or former federal employee? submit a copy of your sf-50, notification of personnel action that demonstrates your eligibility for consideration, e.g., length of time you have been in your current/highest grade (examples of appropriate sf-50s include promotions, with-in grade/range increases); your current promotion potential; proof of permanent appointment if applying based on an interchange agreement; etc. are you a veteran? submit member copy 4 of your dd-214 or other (certificate of release or discharge from active duty) or notice form. those applying for 10-point preference must fill out the sf-15 and provide an official document dated 1991 or later, from the department of veterans affairs or from a branch of the armed forces, and/or any other associated documentation based on your preference. if applying based on eligibility under the veterans opportunity to work (vow) act, you must submit certification from the armed forces that you will be discharged or released from active duty within 120 days from the date on the certification. this must indicate your dates of service, your rank, and confirm that you will be separated under honorable conditions. are you claiming special priority selection rights under the career transition assistance program (ictap/ctap)? if so, submit: a copy of your rif separation notice, notice of proposed removal for failure to relocate, notice of disability annuity termination, or certification from the national guard bureau or military department that you are eligible for disability retirement; a copy of your sf-50 ""notification of personnel action'', documenting your rif separation, noting your position, grade level, and duty location, and/or agency certification of inability to place you through rpl, etc.; a copy of your latest performance appraisal including your rating; and any documentation from your agency that shows your current promotion potential. are you eligible for a special noncompetitive hiring authority (e.g., schedule a disability, peace corps, former overseas employees, etc.)? submit documentation of proof that supports your eligibility under a special hiring authority. are you a current or former political schedule a, schedule c, non-career ses or presidential appointee employee? submit a copy of your applicable sf-50, along with a statement that provides the following information regarding your most recent political appointment: position title; type of appointment (schedule a, schedule c, non-career ses, or presidential appointee); agency; and beginning and ending dates of appointment. you may be asked to provide a copy of your recent performance appraisal and/or incentive awards. if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. benefits benefits a career with the u.s. government provides employees with a comprehensive benefits package. as a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. opens in a new windowlearn more about federal benefits. review our benefits eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. contact the hiring agency for more information on the specific benefits offered.  help this job is open to career transition (ctap, ictap, rpl) federal employees who meet the definition of a ""surplus"" or ""displaced"" employee. family of overseas employees family members of a federal employee or uniformed service member who is, or was, working overseas. federal employees - competitive service current or former competitive service federal employees. individuals with disabilities land & base management certain current or former term or temporary federal employees of a land or base management agency. military spouses peace corps & americorps vista special authorities individuals eligible under a special authority not listed above, but defined in the federal hiring regulations. veterans clarification from the agency status candidates (this includes current or former federal employees with career or career-conditional tenure in the competitive service, former overseas employees, ctap, ictap, vra, veoa, 30% or more disabled veterans, schedule a, military spouses, americorps, peace corps, vista, land management, and interchange agreement eligibles)",data scientist
"the challenge: are you excited at the prospect of unlocking the secrets held by a data set? are you fascinated by the possibilities presented by the iot, machine learning, and artificial intelligence advances? in an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. as a data scientist, you can turn these complex data sets into useful information to solve global challenges. across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data. we have an opportunity for you to use your analytical skills to improve strategic innovation for the federal government. you’ll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. you’ll mentor teammates, develop algorithms, write scripts, build predictive analytics, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help federal health organizations make informed decisions. you’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. join us as we use data science for good in the federal government. empower change with us. you have: 2+ years of experience with data science, data analytics, or statistics experience with identifying and analyzing data sets to meet customer requirements knowledge of open source programming languages, including python or r to build predictive models ability to help interpret model results and communicate them clearly through compelling data visualizations ability to obtain a security clearance ba or bs degree nice if you have: experience with building data processing pipelines to clean and analyze data security clearance clearance: applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. build your career: at booz allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. when you join booz allen, you’ll have the chance to: access online and onsite training in data analysis and presentation methodologies, and tools like hortonworks, docker, tableau, and splunk change the world with the data science bowl—the world’s premier data science for social good competition participate in partnerships with data science leaders, like our partnership with nvidia to deliver deep learning institute (dli) training to the federal government  you’ll have access to a wealth of training resources through our analytics university, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. pursuing certifications that directly impact your role? you may be able to take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. we’ll help you develop the career you want as you chart your own course for success. we’re an eoe that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",data scientist
"peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. as the world’s leading mission capability integrator, we are a trusted provider of highly differentiated national security solutions and technologies that keep people safe and secure. peraton serves as a valued partner to essential government agencies, including the intelligence community, department of defense, department of health and human services, and nasa. every day, our 10,000 employees do the can’t be done, solving the most daunting challenges facing our customers. the peraton space and intelligence sector is seeking an experienced data scientist to join our team of qualified, diverse individuals located in washington d.c. supporting open source collection activities for the defense intelligence agency (dia). the team will perform collection and exploitation of open source information and update and deploy a virtualized architecture to enable dia to rapidly exploit “best of breed” data collected from open source information. the architecture will include social networking, multi-media, open source information, first line business intelligence applications, and software systems. responsibilities include ( but not limited to) the following tasks : apply machine learning in large data environments. conduct data mining, predictive modeling, clustering, and classification. utilize statistical techniques to analyze and extract relevant information from large amounts of data generate, validate, and implement data models to solve problems/answer questions. create data packages, in the form of databases, reports, and visualization’ automate and optimize data extraction, cleaning, processing and analysis functions. application of descriptive and inferential statistics to describe data and make predictions about the data, including statistical tests to determine confidence for a hypothesis, common summary statistics (e.g. mean, variance, and counts), fit distributions to datasets and use those distributions to predict event likelihoods. communicate ongoing data science activities, technical findings, and data products for both technical and non-technical customers execute data science method using common programming/scripting languages: python, java, scala, r (statistics). this position can be filled as a level 3 or level 4.  basic qualifications:level 3: bachelor’s degree and 5+ years of relevant professional experience, or a master’s degree and 3 years of relevant professional experience, or a high school diploma and 9 years of relevant professional experience in lieu of degree. experience extracting relevant features from large data stores containing open source, pia, and cai, containing bad records, partial records, errors, or other forms of “noiseing.”experience extracting features from open source information stored in a wide range of possible formats, including json, xml, raw text logs, industry-specific encodings, and graph link data; experience applying natural language processing, computer vision, signal processing, and speaker and speech recognition algorithms to identify objects in text, image, video, and audio files; ability to execute data science method using parallel computing frameworks (e.g. deeplearning4j, torch, tensor flow, caffe, neon, nvidia cuda deep neural network library (cudnn), and opencv)) and distributed data processing frameworks (e.g. hadoop (including hdfs, hbase, hive, impala, giraph, sqoop), spark (inlcuding mlib, graphx, sql and dataframes) experience with communicating ongoing data science activities, technical findings, and data products for both technical and non-technical customers must hold a current/active top secret sci clearance with polygraph.  level 4: bachelor’s degree and a minimum of 9 years of relevant professional experience, or a master’s degree and a minimum of 7 years of relevant professional experience, or a high school diploma and a minimum of 13 years of relevant professional experience (in lieu of a degree). experience extracting relevant features from large data stores containing open source, pia, and cai, containing bad records, partial records, errors, or other forms of “noiseing.”experience extracting features from open source information stored in a wide range of possible formats, including json, xml, raw text logs, industry-specific encodings, and graph link data; experience applying natural language processing, computer vision, signal processing, and speaker and speech recognition algorithms to identify objects in text, image, video, and audio files; ability to execute data science method using parallel computing frameworks (e.g. deeplearning4j, torch, tensor flow, caffe, neon, nvidia cuda deep neural network library (cudnn), and opencv)) and distributed data processing frameworks (e.g. hadoop (including hdfs, hbase, hive, impala, giraph, sqoop), spark (inlcuding mlib, graphx, sql and dataframes) experience with communicating ongoing data science activities, technical findings, and data products for both technical and non-technical customers must hold a current/active top secret sci clearance with polygraph.  preferred qualifications: master's degree in software engineering, computer science, or related discipline. detail-oriented and have excellent verbal and written communications skills, leadership skills, and organization skills. experience utilizing statistical techniques to analyze and extract relevant information from large amounts of data ability to create, validate, and implement data models to solve problems/answer questions we are an equal opportunity/affirmative action employer. we consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",data scientist
"role: data science analyst location: remote (washington, dc preferred) type: full-time clearance: ability to obtain public trust clearance minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the characteristics of a data set and identify potential issues. demonstrated experience of efficient manipulation and wrangling of large datasets hands on experience and expertise with sql, python or pyspark (preferred), or r comfortable dealing with ambiguity, making assumptions, drawing conclusions and distilling complex analysis for non-technical audiences. strong data visualization skills (tableau preferred) experience with data warehousing, and knowledge of etl/elt best practices. familiarity with the aws data ecosystem (s3, aws glue, emr, etc.) comfortable working cross-functionally with different parts of the data analytical areas, and with distributed teams across multiple time zones. ability to thrive in a fast-paced, entrepreneurial, high-energy environment with shifting priorities. outstanding communication skills and a good team player  - improvix technologies, inc. is an information technology and services company focused on developing, implementing, and managing secure mobile technology solutions. we invite you to join our dynamic organization serving federal and corporate clients. improvix technologies offers competitive salaries and a comprehensive benefits package to provide our employees with financial and health protection and advantages they deserve. our benefits include 401k matching, life insurance, up to four weeks of paid annual leave, transit and training compensation, health, dental and vision benefits. - improvix technologies, inc. is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, sexual orientation, religion, age, national origin, disability status or any other class protected by law. u.s. citizenship is required for most positions.",data scientist
"category: research and sciences location: bolling afb, district of columbia us citizenship required for this position: yes clearance type: polygraph telecommute: no –teleworking not available for this position shift: 1st shift travel required: yes, 10 % of the time positions available: 1  peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. as the world’s leading mission capability integrator, we are a trusted provider of highly differentiated national security solutions and technologies that keep people safe and secure. peraton serves as a valued partner to essential government agencies, including the intelligence community, department of defense, department of health and human services, and nasa. every day, our 10,000 employees do the can’t be done, solving the most daunting challenges facing our customers. the peraton space and intelligence sector is seeking an experienced data scientist to join our team of qualified, diverse individuals located in washington d.c. supporting open source collection activities for the defense intelligence agency (dia). the team will perform collection and exploitation of open source information and update and deploy a virtualized architecture to enable dia to rapidly exploit “best of breed” data collected from open source information. the architecture will include social networking, multi-media, open source information, first line business intelligence applications, and software systems. responsibilities include (but not limited to) the following tasks: apply machine learning in large data environments. conduct data mining, predictive modeling, clustering, and classification. utilize statistical techniques to analyze and extract relevant information from large amounts of data generate, validate, and implement data models to solve problems/answer questions. create data packages, in the form of databases, reports, and visualization’ automate and optimize data extraction, cleaning, processing and analysis functions. application of descriptive and inferential statistics to describe data and make predictions about the data, including statistical tests to determine confidence for a hypothesis, common summary statistics (e.g. mean, variance, and counts), fit distributions to datasets and use those distributions to predict event likelihoods. communicate ongoing data science activities, technical findings, and data products for both technical and non-technical customers execute data science method using common programming/scripting languages: python, java, scala, r (statistics). this position can be filled as a level 3 or level 4.  basic qualifications: level 3: bachelor’s degree and 5+ years of relevant professional experience, or a master’s degree and 3 years of relevant professional experience, or a high school diploma and 9 years of relevant professional experience in lieu of degree. experience extracting relevant features from large data stores containing open source, pia, and cai, containing bad records, partial records, errors, or other forms of “noiseing.”experience extracting features from open source information stored in a wide range of possible formats, including json, xml, raw text logs, industry-specific encodings, and graph link data; experience applying natural language processing, computer vision, signal processing, and speaker and speech recognition algorithms to identify objects in text, image, video, and audio files; ability to execute data science method using parallel computing frameworks (e.g. deeplearning4j, torch, tensor flow, caffe, neon, nvidia cuda deep neural network library (cudnn), and opencv)) and distributed data processing frameworks (e.g. hadoop (including hdfs, hbase, hive, impala, giraph, sqoop), spark (inlcuding mlib, graphx, sql and dataframes) experience with communicating ongoing data science activities, technical findings, and data products for both technical and non-technical customers must hold a current/active top secret sci clearance with polygraph. level 4: bachelor’s degree and a minimum of 9 years of relevant professional experience, or a master’s degree and a minimum of 7 years of relevant professional experience, or a high school diploma and a minimum of 13 years of relevant professional experience (in lieu of a degree). experience extracting relevant features from large data stores containing open source, pia, and cai, containing bad records, partial records, errors, or other forms of “noiseing.”experience extracting features from open source information stored in a wide range of possible formats, including json, xml, raw text logs, industry-specific encodings, and graph link data; experience applying natural language processing, computer vision, signal processing, and speaker and speech recognition algorithms to identify objects in text, image, video, and audio files; ability to execute data science method using parallel computing frameworks (e.g. deeplearning4j, torch, tensor flow, caffe, neon, nvidia cuda deep neural network library (cudnn), and opencv)) and distributed data processing frameworks (e.g. hadoop (including hdfs, hbase, hive, impala, giraph, sqoop), spark (inlcuding mlib, graphx, sql and dataframes) experience with communicating ongoing data science activities, technical findings, and data products for both technical and non-technical customers must hold a current/active top secret sci clearance with polygraph. preferred qualifications: master's degree in software engineering, computer science, or related discipline. detail-oriented and have excellent verbal and written communications skills, leadership skills, and organization skills. experience utilizing statistical techniques to analyze and extract relevant information from large amounts of data ability to create, validate, and implement data models to solve problems/answer questions we are an equal opportunity/affirmative action employer. we consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",data scientist
