JobDesc,JobTitle
"cohu is the global technology and market leader in semiconductor and pcb test and inspection. our poway, ca (san diego county) engineering team designs test handling equipment for consumer and automotive customers. this is a challenging senior sw engineering position under minimal direction of an assigned lead or manager, you will design and develop leading-edge machine vision software that utilizes vision hardware such as industrial camera, lenses, led illumination, and runs on semiconductor test equipment. you will have opportunities to work closely with mechanical, electrical, software, thermal, systems and sqa engineers to design solutions that meet customer requirements. we invite you to join a leading-edge machine vision engineering team and work on interesting and challenging semiconductor test equipment. details about the job and qualifications required are outlined below. apply with a short application process and your resume will be reviewed by a real human. with more than 3000 employees worldwide, we offer challenging and rewarding work experiences, generous employee benefits and a strong company culture. if you are looking for a global publicly traded company that provides you with international experience and a challenging work environment, then cohu is your choice. we are a drug-free workplace and an eeo employer. connect with cohu and connect with your future. essential functions/major responsibilities: 1. participate in all phases of the project, including design, testing and integration as required. 2. follow established engineering procedures and specifications for design and development of vision software. 3. investigate, select and test vendor products for use in product. 4. support manufacturing floor as required. 5. interface with customers and sales on projects as required. supervisory responsibility: may provides work leadership and training to lower level professional employees and interns, but not required. qualifications: education/training: bachelor of science in engineering or science. master’s degree preferred. experience: 5+ years in developing machine vision software, 3+ years c#/wpf windows desktop software development, practical experience working with vision hardware including cameras, lenses and imaging illumination. skills/technical requirements: practical experience with image processing, algorithm development, machine vision, pattern recognition, optics, c/c++, c#, .net and visual studio and source control. experience with full software development lifecycle, object oriented design (ood). excellent oral and written communication skills; ability to provide direction or training to other team members. job conditions/physical demands: domestic or international travel may be required (post-covid-19). prolonged periods of sitting at a computer terminal. use of keyboard protective devices required: un required areas. job type: full-time pay: $0.00 per hour benefits: 401(k) 401(k) matching dental insurance disability insurance employee assistance program flexible spending account health insurance life insurance paid time off professional development assistance referral program tuition reimbursement vision insurance schedule: 8 hour shift covid-19 considerations: we have an essential workforce on-site and hybrid workforce working from home. we are taking all precautions to ensure a safe workplace including temperature taking and screening of visitors. work location: one location visa sponsorship potentially available: no: not providing sponsorship for this job this job is ideal for someone who is: adaptable/flexible -- enjoys doing work that requires frequent shifts in direction achievement-oriented -- enjoys taking on challenges, even if they might fail autonomous/independent -- enjoys working with little direction company's website: www.cohu.com work remotely: temporarily due to covid-19",software engineer
"altium, llc has multiple openings for senior software engineer at its facility in la jolla, ca to design, develop, test, and maintain proprietary high performance algorithms used in software solutions customized to the end user engineering needs. please mail resume to: hr team, 4225 executive square, ste. 700, la jolla ca 92037. eoe job type: full-time pay: $98,592.00 per year benefits: 401(k) 401(k) matching dental insurance disability insurance employee assistance program flexible spending account health insurance health savings account life insurance paid time off professional development assistance referral program retirement plan tuition reimbursement vision insurance schedule: 8 hour shift monday to friday education: master's (required) work location: one location work remotely: no",software engineer
"who we are productive robotics is a rapidly growing santa barbara, ca based company pioneering next generation design and manufacturing of collaborative robots and automation solutions for production and manufacturing automation. we're looking for ambitious and focused individuals who are driven, forward thinkers, creative problem solvers, and want to join a team with limitless potential. we are on our way to incredible growth, changing the way american businesses compete in the world. there is no ceiling of opportunity in our company for the highest performing team members. if you’re the type of person who is passionate, thinks outside of the box, goal-oriented, and wants to join in on the excitement, we want to meet you. notice: if you do not have at least 3 years c++ experience, please do not apply the role we are seeking a bright, motivated, and experienced software engineer to help us build the next generation of collaborative robots. this is a unique opportunity to gain hands-on experience and build the robots of tomorrow. this is a full-time position in our carpinteria facility. remote work is estimated 50/50. requires in-house work with our robots. responsibilities and duties: work in development of next generation robotic control systems development, coding and qualification of advanced control logic algorithm design qualifications and skills: strong c++ skills absolutely required. experience in one of the following: lisp, haskell, or groovy is required highly organized and analytical thinker robotics experience desirable software engineering degree highly desirable compiler/interpreter design experience desirable team player job details: confidential: to be discussed in interview our people we have a diverse, committed group of people, some who have been with us for over two decades. we are a highly focused, dedicated and responsible group who work in teams to ""get it done"". each person brings a unique set of qualities and skills. managers employ an ""open door"" policy, which makes it easy to find answers when you need them. we encourage people to present new ideas and work collaboratively to find solutions so that we can continuously improve our processes. the best idea wins, no matter who it comes from! we believe that continuous learning and acquiring new skills is vital to stay current on the latest technologies and systems. if you are personable, smart, adaptable, and want to learn and grow, we want you to bring your ideas toproductive robotics! benefits competitive salary and commission plan, paid vacation, paid sick leave, holidays, 401k, multiple health care plan choices, paid educational support for necessary classes, programs, or specialized training, tremendous potential for professional growth, access to all the coffee you can drink, dog-friendly offices, company events and more. we are an equal opportunity employer and value diversity at our company. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. safety and health we take covid19 precautions very seriously and are taking every necessary precaution to ensure a safe and healthy working environment. we require a mask in all company buildings and common areas, checking your temperature and filling out a confidential form upon entry to the building, maintaining social distancing, and continual sterilization for work surfaces. about productive robotics, inc. productive robotics was found on a simple idea: that companies can automate… simply. based in santa barbara, ca, productive robotics designs and manufactures a full line of ob7 next generation industrial collaborative robots that automate all areas of manufacturing including packing, assembly, machine tending, inspection, and more. through our “no programming” and teaching approach, ob7 cobots are changing the game for small and large manufacturers who are looking to optimize their productivity, improve quality and efficiency, and gain a competitive advantage. job type: full-time pay: $100,000.00 - $120,000.00 per year benefits: 401(k) 401(k) matching flexible schedule health insurance paid time off professional development assistance relocation assistance retirement plan tuition reimbursement schedule: monday to friday covid-19 considerations: we require a mask in all company buildings and common areas, checking your temperature and filling out a confidential form upon entry to the building, maintaining social distancing, and continual sterilization for work surfaces. education: bachelor's (preferred) experience: c++: 3 years (required) work location: one location visa sponsorship potentially available: yes: h-1b work authorization this job is: open to applicants under 18 years old, provided it is legally allowed for the job and location a job for which all ages, including older job seekers, are encouraged to apply company's website: www.productiverobotics.com benefit conditions: only full-time employees eligible work remotely: temporarily due to covid-19 covid-19 precaution(s): remote interview process personal protective equipment provided or required temperature screenings social distancing guidelines in place virtual meetings sanitizing, disinfecting, or cleaning procedures in place",software engineer
"two chairs is continuing to hire with all interviewing and on-boarding done virtually due to covid-19. everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our offices. _________________________________ about us we bring together an exceptional team of people at the intersection of clinical care, technology, and design. though our backgrounds may be different, we’re united by our collective personal experiences with the mental health care system and the desire to make it better. we strive to create a world where everyone has access to exceptional mental healthcare and to create a workplace where everyone has the opportunity to impact that mission. we are passionate about mental health and excited to be a part of a team that is bringing personalized, data-driven therapy to the bay area and eventually nationwide. about the role: you’ll have the opportunity to build modern, intuitive, and beautiful web and mobile applications from the ground up. as a member of a small team, you’ll have a key role in defining the architecture and implementing a seamless technology-enabled mental healthcare system. about you: committed to delivering exceptional quality work passionate about mental health low ego and outcome-oriented deeply empathetic pragmatic where you'll make an impact: be a key player in building high-performance, secure, scalable and delightful consumer and clinician facing applications from scratch. build and integrate new architecture, frameworks, technologies and everything that makes for great software. apply best practices for writing clean, secure, readable, scalable code. enhance and optimize our current systems with new features and increased stability. communicate with our clinicians and clinical leaders, understanding their workflows and translating their needs into seamless applications. understand our clients’ journey through care and build software that enables a best-in-class therapeutic experience. build innovative products to fundamentally transform the mental health space by combining the best of humans and technology. you'll be successful if you: 5+ years of engineering experience with a track record of architecting and building consumer-facing products from start to finish. experience with python/similar, nodejs/similar framework, react, and sql. deep understanding of web development concepts and principles with good intuition for product and design. experience understanding, building and debugging of scalable, high performance web applications built with reusability and componentization in mind. get it done attitude with passion about building something great with a great team. experience working in a fast paced startup environment is a plus. more about our benefits whether you work in our hq office or at a clinic, two chairs is highly collaborative, and yes, fun! to support you at work we offer some fantastic perks and benefits that reflect our mission of self-care and support, including: a competitive salary and equity in a high growth start-up ample paid time off to relax and recharge comprehensive health benefits professional development opportunities to support your learning & growth a yearly contribution to your healthcare fsa a wellness stipend paid parental leave and lots more two chairs is committed to building a culture of inclusivity, belonging, and safety. we believe that in order to achieve our mission we must foster a workforce that represents people from all identities, backgrounds, experiences, abilities, and perspectives. our dei efforts are grounded in employee support, education & advocacy, culturally-informed care, and ingrained in our hiring process. job type: full-time covid-19 considerations: two chairs is closely monitoring guidance from the centers for disease control and the world health organization, as well as bay area departments of public health. our team is working from home and will return to in-person work once it is safe. experience: software engineering: 5 years (preferred)",software engineer
"minimum qualifications: completed bachelor’s degree in computer science, computer engineering, math or other science major excellent verbal and written communication skills ability to research and execute solutions based on online guides and tutorials technical aptitude and the ability to problem solve knowledge of html/css and javascript strong work ethic, positive attitude and motivation to learn ability to work independently as well as in a team environment high level of professionalism and ethics preferred qualifications: technical creativity and a history finding creative solutions to interesting problems ability to manage multiple priorities in a fast paced environment experience with react, ruby on rails and sql experience working with the selenium test suite about property matrix property matrix is the future of property management software. utilizing cloud services, our property management platform was designed to be both powerful and scalable to meet the needs of mid range to enterprise businesses around the globe. we deliver value to our clients by providing streamlined solutions that modernize their business operations. we are revolutionizing how people pay rent online, submit maintenance requests, and apply for apartments online. our software also helps manage shopping centers, malls and office space for commercial management companies. we include powerful features such as document scanning, email and text communication, as well as posts to zillow, trulia and other popular apartment listing sites. tenant portals, payment processing and esignature simplify tenant communication and interaction while reducing the amount of overhead when people move in and out of their building. if you’ve ever lived in an apartment building, you’ve definitely experienced some of the inefficiencies of property management. we’re changing that. your role property matrix is looking for recent graduates who are ready to launch their professional career in the software industry. as an entry level software developer, you’ll take part in the design and development of software for the current and next generation of property matrix. in this role, you’ll be developing exciting new features with a team goal of streamlining business operations and improving overall user experience. the ideal candidate is a self-starter with a strong desire to increase efficiencies, and make an impact while contributing to a cross-functional team. we need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. your ability to creatively collaborate and execute team goals will affect scalability and directly contribute to the company mission of streamlining the operations of property management companies everywhere. key responsibilities implement new features to existing software according to specifications troubleshoot, debug, and test new features suggest viable solutions to resolve issues with existing software specify implementation details for proposed new functionality and features maintain up-to-date records of issues with existing code, and propose potential improvements maintain documentation for newly-written code implement fixes and modifications to front end code support other developers by assisting in the implementation of new functionality write tests and fix existing tests in the automated testing suite our team built for the future, we are a rapidly growing software company with an innovative advantage. we are a market leader with proven success in surpassing the competition in the multi-billion dollar residential and commercial real estate software industry. we employ highly motivated and success driven individuals that are focused on delivering superior solutions to our clients. we offer highly competitive salaries, commission, bonus programs, fully paid benefits, 401k, paid vacation and unparalleled growth and development opportunities. starting salary: $50,000 job type: full-time pay: $50,000.00 per year covid-19 considerations: work from home until our office reopens education: bachelor's (preferred) work location: one location company's website: www.propertymatrix.com schedule:: monday to friday covid-19 precaution(s): remote interview process",software engineer
"company description epsilon is the leader in outcome-based marketing. we enable marketing that’s built on proof, not promises. through epsilon peoplecloud, the marketing platform for personalizing consumer journeys with performance transparency, epsilon helps marketers anticipate, activate and prove measurable business outcomes. powered by core id®, the most accurate and stable identity management platform representing 200+ million people, epsilon’s award-winning data and technology is rooted in privacy by design and underpinned by powerful ai. with more than 50 years of experience in personalization and performance working with the world’s top brands, agencies and publishers, epsilon is a trusted partner leading crm, digital media, loyalty and email programs. positioned at the core of publicis groupe, epsilon is a global company with over 8,000 employees in over 40 offices around the world. for more information, visit epsilon.com. follow us on twitter at @epsilonmktg. job description epsilon is seeking a software engineer associate to participate in our new grad program. as a software engineer associate, you’ll be part of a high-performing development team writing production code running in a high frequency/low latency environment. you’ll develop and maintain software products that leverage the latest technologies to deliver large scale one to one advertising messages. you’ll gain valuable hands-on experience working with current technologies alongside some great people in a fun, innovative atmosphere. as a participant in the new grad program, you will have the opportunity to fast-track your career with epsilon. the program includes an 8-week training curriculum (both professional & job specific training), a formal mentoring partnership, various networking opportunities (speed networking events, leader meet & greets, group lunches and social events), and long-term career guidance. responsibilities may include (all or some) tasks below: read and write efficient and performant java code work effectively and collaboratively with a team of other engineers and external team members. actively participate in peer code reviews and design sessions. conduct performance testing and monitoring of production systems assist with investigation and resolution of production issues. qualifications: bachelor’s degree in computer science, information technology, software engineering or related technical disciple desire to learn technology; interest and/or experience with kafka, hbase, open source technologies a plus familiarity with object-oriented design and methodology (java, xml, sql, linux) and web technologies (c++, python, ruby, php) excellent listening and communication skills, both verbal and written detail-oriented, able to multi-task and prioritize in a fast-paced environment able to work in a team and build effective relationships demonstrated leadership skills with an entrepreneurial attitude self-starter, with strong initiative qualifications additional information great people, deserve great benefits we know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. if you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career. epsilon is an equal opportunity employer. epsilon’s policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. epsilon also prohibits harassment of applicants and employees based on any of these protected categories. epsilon will provide accommodations to applicants needing accommodations to complete the application process. #epsiloncampus ref20607m",software engineer
"you have: 1+ years with software engineering experience (intern or part-time) minimum of bachelor's degree in computer science or prior relevant engineering experiences experience with data structures, algorithms, data modeling and schema design proficient experience in one of the following languages: go, ruby, java, and c++ about us: launched in 2011, twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. we bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. twitch also hosts twitchcon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. we're always live at twitch. stay up to date on all things twitch on linkedin, twitter and on our blog.  about the role: creators are the backbone of twitch, and their sustainability relies on their ability to earn a living doing what they love. as an engineer in the consumer organization, your main focus is to build products that allow creators to earn a living.  you will: work with leads and other engineers to design platform and services be customer-focused to contribute to project deliverables work with other teams to clarify product requirements participate in design and code reviews perks: medical, dental, vision & disability insurance 401(k) maternity & parental leave flexible pto commuter benefits amazon employee discount monthly contribution & discounts for wellness related activities & programs (e.g., gym memberships, off-site massages, etc.) breakfast, lunch & dinner served daily free snacks & beverages we are an equal opportunity employer and value diversity at twitch. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.  pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.",software engineer
"businesses raytheon intelligence & space clearance type secret relocation eligible no ability to telecommute temporary telecommuting - during covid-19 job id 180327br most recent date posted 05/10/2021 city fullerton state ca country united states the raytheon strategic transportation systems software department within the intelligence, information and services business is seeking a qualified, entry level software engineer to join a team of engineers supporting the wide area augmentation system (waas). waas is a safety-of-life satellite augmentation system developed by the faa for civil aviation and is the cornerstone of the faa’s satellite navigation roadmap to transition from ground-based navigation to satellite-based navigation.  the focus of the software engineer position is to support, design, development, integration, and verification of operational and non-operational/test software to deliver functionality defined on the waas program.  job responsibilities include but are not limited to: support formal and informal sw integration and test activities. support software qualification testing to meet do-178b standards for requirements based verification and robustness testing. update documentation related to test, verification, and design activities. work within software team and interface with other disciplines as needed to meet program milestones support process audits and peer reviews  required skills: knowledge of c programming, structured programming, and software development lifecycle knowledge of unix/linux based development environment experience in in sw testing and debugging source code experience in windows, linux, and microsoft products ability to work collaboratively within a dynamic team environment attention to detail and ability to adhere to best-practices and coding standards the ability to obtain and maintain a us security clearance. u.s. citizenship is required as only u.s. citizens are eligible for a security clearance desired skills: knowledge of agile, continuous integration, and automated testing concepts experience with commercial or open source test automation tools, environments and frameworks such as gherkin/cucumber, selenium, eggplant, cunit/junit, parasoft c++test, jenkins, grafana dashboards familiar with web application development using html, css, jquery, c#, php, json, vbscript, javascript knowledge of safety critical software requirements/do-178b standards knowledge of unix, red hat linux, java, python, sql, matlab, bash/ksh scripting familiar with clearcase/clearquest problem solving and critical situation resolution skills ability to communicate and collaborate with other software engineers and systems engineers ability to work independently with minimal direction excellent communication skills  required education:  bachelors of science degree in computer science or engineering obtained by may 2021. other stem degrees and experience with a heavy object oriented software emphasis would be considered. cumulative gpa of 3.0 or higher is desired. (please include your gpa on your resume.) **please upload your transcript**  this position requires either a u.s. person or a non-u.s. person who is eligible to obtain any required export authorization.180327  raytheon technologies is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.",software engineer
"formswift is hiring a junior software engineer to join our team. this role can be full-time remote or based in our san francisco office when it reopens. modern technologies and practices: our applications are built using python and graphql on the back end. for the front end, we use react with next.js. our infrastructure is built with terraform on aws. we practice continuous deployment to iterate on product features rapidly. remote first: all formswift employees have the option to work remotely from anywhere in the united states. post-covid, we plan to reopen our san francisco office but will continue to support all employees who wish to work remotely. data-driven: we make decisions about what to build using the i-c-e framework. we test and validate changes at each step with a data-driven process. sustainable: formswift has been consistently profitable and has never raised outside funding (venture capital). this gives us the freedom to focus on building great products without worrying about “burn rate.” we also strongly encourage employees to maintain a healthy work/life balance, and work at a sustainable pace and offer unlimited pto. growth: we place a lot of emphasis on employee development. this role offers the opportunity to pick up end-to-end skills across all layers of application development. we offer mentorship and professional development opportunities. we’re also growing quickly and prefer promoting current employees to making outside hires (when feasible) as more senior leadership roles open up. what you'll do build new product features across the front end and back end by using python and react assist our product team by implementing user experience improvements using html, css/sass, and javascript (with react & graphql) optimize code for maintainability and scalability by practicing test-driven development and writing unit tests alongside new features improve our infrastructure by leveraging terraform to refine the aws cloud infrastructure used to run new features what we're looking for strong computer science fundamentals and an understanding of modern development best practices - you’ve most likely got a degree in computer science or a related field internships or other experience working with agile teams to deliver high-quality web applications in production at scale experience with python and react or other modern web development technologies benefits and perks 80% paid premiums for medical, dental, and vision insurance 4% 401k matching $150 per month to spend on perks of your choice through fringe team building via regular company “virtual happy hours” and an annual company trip (post-covid) unlimited pto...take time off when you need it! formswift develops tools that make it easy to create, edit, and sign any document. since our founding in 2012, millions of customers have used formswift to do everything from making business plans and rental agreements to filling out tax and student loan deferment forms.  document creation and management are often tricky, but it doesn’t have to be. our goal is to modernize document creation with software that’s easy to use, fast, and reliable.",software engineer
"you have: ba/bs in computer science or equivalent experience data structures and algorithm fundamentals working knowledge in one or more general purpose programming languages: java, python, ruby, c/c++, golang, javascript 0+ years of experience about us: launched in 2011, twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. we bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. twitch also hosts twitchcon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. we're always live at twitch. stay up to date on all things twitch on linkedin, twitter and on our blog.  about the role: channel moderators are the first line of defense against bad actors, as well as one of the best enablers for community building. as a group they are one of the most vocal, passionate and active members at twitch. our team's mission is to create tools that help moderators to make their communities safe, welcoming and fun. we are looking for a software engineer that is comfortable working/learning to work at full stack capacity, collaborating with other engineers and getting excited about solving problems in the moderation space. our team owns products like automod, mod view, unban requests and mod logs, with your help we can improve these existing offers and create new tooling for our users.  you will: adopt and spread engineering best practices within the team and twitch produce clean, high-quality, and well tested code work with engineers, product managers, designers, and other collaborators to build moderation products develop features and care for the final user experience bonus points: direct experience with full stack development. familiarity with the aws ecosystem of services. perks: medical, dental, vision & disability insurance 401(k), maternity & parental leave flexible pto commuter benefits amazon employee discount monthly contribution & discounts for wellness related activities & programs (e.g., gym memberships, off-site massages, etc.), breakfast, lunch & dinner served daily free snacks & beverages pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records.  we are an equal opportunity employer and value diversity at twitch. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",software engineer
