JobDesc,JobTitle
"Our goal is always to help people live better lives. Carter Healthcare is an industry leader for technology tailored to our operational outlook. We are looking for a creative software engineer to add to our team of outstanding developers. As a software developer for our company, you will have creative freedom to develop and refine ways to make our company more efficient. You will work with our executive team daily to: Refine data and format final product and in many cases be involved with the clinical and marketing staff that will use this application or report daily Maintain and modify programs, make approved changes by amending flow charts, develop detailed programming logic and coding changes, and test and develop programming modifications Evaluate simple interrelationships between programs, such as whether a contemplated change in one part of a program would cause unwanted results in a related part Code, test and troubleshoot programs utilizing the appropriate hardware, database and programming technology. Resolve questions of program intent, data input, output requirements, and inclusion of internal checks and controls. Analyze client/server and micro-computer based software solutions compatible with company requirements Document programming problems and resolutions for future reference We have always been proud of our development team and their ability to understand our industry and our business model. Come be part of a team that is a pioneer in innovation! Job Type: Full-time Pay: From $85,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Flexible spending account Health insurance Health savings account Paid time off Professional development assistance Referral program Retirement plan Tuition reimbursement Schedule: 8 hour shift Monday to Friday COVID-19 considerations: COVID vaccine provided Education: Bachelor's (Required) Experience: software development: 5 years (Preferred) Work Location: One location Work Remotely: No",software engineer
"At PLEXSYS, our teams design, build and deliver Live, Virtual, and Constructive (LVC) innovation and training solutions to customers around the world. With over 200 employees in nine states and four foreign countries, we contribute our success to enabling better training…everyday…across the globe.  As an employee of PLEXSYS, you’ll find a culture that empowers you to achieve your professional objectives, give your personal best, and work with other highly passionate individuals. Our core values of integrity, excellence, teamwork and agility drive our daily decisions, identify our focus areas, and inspire our organizational culture.  GENERAL DESCRIPTION A C2ISR Software Engineer (SE) is responsible for designing, developing, and modifying corporate software applications. The SE is expected to generate concise feature requirement specifications and design documents. Additionally, the SE is expected to track development timelines, lead the design phase, and negotiate feature sets with the product development leads as well as product managers. The SE is required to rely on experience and judgment to plan and accomplish assigned development goals. This position reports directly to a Program Manager.  DUTIES & RESPONSIBILITIES Performs detailed software designs as well as implement and/or maintain code according to duties and responsibilities Rely on experience and judgment to plan and accomplish assigned projects Comply with all applicable product development processes Perform a variety of complicated engineering tasks Generate detailed software design as well as implement and/or maintain code according to duties and responsibilities Manage and adhere to schedules, deadlines and development goals Other duties as assigned  REQUIREMENTS Bachelor's in computer science or related field, Master’s desirable 2+ Years of Professional Object-Oriented Software Design and Implementation Experience or 1 Year of PLEXSYS Junior Software Engineer Experience Demonstrated organizational, leadership, decision-making and communications skills Demonstrated ability to rapidly learn new technologies Demonstrated critical thinking skills Ability to apply creativity and latitude in solutions is required Ability to periodically travel as business needs dictate Knowledge of modeling and simulation concepts and practices desirable Ability to obtain a US Security Clearance – Secret  DESIRABLE Experience writing software using C++ and SCALA Experience working with modelling and simulation software products and concepts Military experience in a Command and Control or Intelligence Reconnaissance and Surveillance career field Ability to setup, configure and troubleshoot a local area network Familiarity using JIRA, Confluence, Visual Studio, IntelliJ and Perforce Familiarity with SISO and DMO Standards Experience in Database Management  PERKS As a PLEXSYS employee, you can expect certain advantages; such as advancement based on performance, competitive wages, valuable benefits and a great working environment. Our team is committed to ensuring an environment that empowers individuals to realize their full potential by providing opportunities and necessary support to achieve personal and professional goals. Medical/Vision/Prescription/Dental Benefits Life, AD&D and Long Term Disability Coverage Paid Holidays, Military Leave, and Paid Time Off 401k Plan with eligibility from first day of employment Education reimbursement for job-related courses for full-time employees PriceClub/COSTCO/Sam's Club annual membership  PLEXSYS Interface Products, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.",software engineer
"QA Software Engineer (remote and agile) We are Psychology Today – the world's #1 psychology site visited by over 40 million people a month. We match thousands of therapists with clients every day. Think Airbnb, but for Therapy. We’re looking for a few engineers who thrive on cutting edge technology to join us, and bring therapy and mental health to the world. (And, yes, we still publish the magazine.) If you're a talented and experienced QA Engineer, who enjoys working remotely, and solving problems elegantly then you may have found your new home. We offer: Work/life balance A product and team that will inspire you - so you can do meaningful work with people who make you laugh A healthy, profitable and stable company where team members stay for many years The freedom to work remotely from wherever home is A supportive platform and a flat structure to do innovative work, be acknowledged, and make a difference Compensation: $125,000 - $150,000 + BONUS Requirements: 3+ years of experience in SDET Commitment to quality and high standards with close attention to detail Strong diagnostic, analysis, troubleshooting, problem-solving skills Experience designing, writing, and executing test plans Experience working with UI automation using Selenium and WebDriverIO Strong experience with mobile automation testing with tools like Appium Development experience with languages like Go and Python Experience with CI/CD using GitLab pipelines Familiarity with infrastructure as code tooling such as Terraform Ability to work in a Linux-based environment Ability to work well under pressure on multiple projects in a fast paced environment Experience working with AWS managed services Familiarity with Agile Scrum methodology Responsibilities: Participate in the software development life cycle from beginning to end Create and execute test plans for existing products and features Work with development team to define testing protocol for new features as they are designed and developed Develop test scenarios from requirements and ensure maximum requirement traceability Develop automated tests to ensure regression coverage across products Lead team in developing automated tests Manage software builds and production deployments Related keywords: automation engineer, qa automation engineer, engineer, qa tester, fullstack Job Type: Full-time Salary: $125,000.00 - $150,000.00 per year Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Experience: SDET: 3 years (Required) Test Automation: 2 years (Required) Work Location: Fully Remote Company's website: https://www.psychologytoday.com Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Virtual meetings",software engineer
".Net Software Engineer Opportunity! Locations: Open to remote work or at any CSI Location! Launch your career with a dynamic and innovative company! Computer Services, Inc. (CSI) is a leader in the banking industry, offering end-to-end technology solutions to financial institutions nationwide. And we are growing! With excellent benefits and a superb work environment. CSI is a leading provider of core and item processing solutions for financial institutions across the United States. This position would work with our software development teams to create user-friendly and innovative solutions. You will work on challenging Microsoft development projects using the .Net framework and SQL tools. Preferred applicants will possess the following skills, education, and experience: B.S. in Computer Science Software Engineering, or equivalent Web Service development, utilizing a common framework (e.g. Angular, React, Vue, etc.) .NET experience (C#) Experience building database applications Familiar with SQL Server Application design, development, deployment, and support experience Strong understanding of object-oriented software design, microservice-based architectures, and containerization Ability to multi-task Strong problem-solving skills Self-motivated to learn and stay current on new and emerging relevant technologies Comfortable working in an Agile/Scrum environment Good verbal and written communication skills Employee Benefits: CSI offers a comprehensive benefits package which includes health, dental and vision insurance, life insurance, 401k and profit sharing, tuition reimbursement, paid vacation, and much more! About CSI: Computer Services, Inc. (CSI) was incorporated in 1965 with six employees and three customer banks. Today, CSI is one of the nation’s largest providers of dynamic technology solutions that help financial institutions and corporate entities remain competitive, compliant, and profitable. Our staff of knowledgeable, experienced professionals is among the best in the industry. Today, CSI offers end-to-end technology solutions that range from core banking and Internet banking solutions to compliance monitoring and secure document management. As a company, we strive to deliver the best solutions the industry has to offer and back them with personal customer service that distinguishes us from the competition. Our efforts provide customers with a trusted technology partner, shareholders with a good return on their investment, and CSI employees with a great place to work. We invite you to visit our website (www.csiweb.com) to learn more about CSI. #Li-Remote #LI-MZ1",software engineer
"Job Description: Develop software following DO-178C and ARP-4754A objectives in a fast-paced, collaborative environment. Develop safety-critical and mission-critical software using the SCADE software suite, Polarion, VxWorks, Jira, and Confluence. Decompose and derive software requirements that address safety, security, and performance, in addition to baseline functional requirements. Collaborate with multidisciplinary teams to design efficient, safe code. Support software test and systems engineering in reviewing and updating the design.    Due to facility security requirements, only U.S. citizens or Permanent Residents are eligible for consideration at this time. 1 or more years of experience with MATLAB software suite. Experience developing software using model-based software tools. Applied experience with hard real-time operating systems using C/C++ and/or Python. Strong written, verbal, and interpersonal communication skills with the ability to interact well in diverse team environments.",software engineer
"Title Software Engineer  Overview of Position Design, test, code and deliver high quality secure production software with completely automated tests suitable for cloud deployment at scale. Develop automated tests (TDD including unit, integration, smoke, acceptance tests) to achieve test coverage for continuous deployment and near 100% availability. Execute acceptance tests and maintain test artifacts in a shared repository.  What will be my duties and responsibilities in this job? Collaborate with Tech Lead (TL) Cloud Engineer and Product Owner (PO) to refine user stories and acceptance criteria. Work with PO to confirm that the code and acceptance tests reflect the desired functionality. Participate in planning and in committing to team and individual objectives. Conduct research, spikes, design, prototyping and other innovation, exploration and learning activities. Trunk based development - commit new or modified code reviewed to the shared source code repository and master trunk daily. Pair with another Cloud Engineer when appropriate to develop code and associated automatic tests. Participate in continuous improvement of the software itself, team’s process, CI/CD and development environments, including infrastructure as code.  What are the requirements needed for this position? 4+ years of experience in software development - .NET, C# 2+ years professional experience with indexed data persistence such as Relational Databases (SQL) or NoSQL Data Stores. Ability to execute moderate complexity software engineering assignments when provided high level business requirements and technical design guidelines from an architect or senior engineer with minimal supervision. Bachelor’s Degree in Computer Science or related field, or equivalent work experience. What other skills/experience would be helpful to have? Cloud application development, including serverless and containerized in AWS Experience with C++, Selenium Scripting, TeamCity, Subversion or Git source code management, and / or JIRA tool. React Visual Studio What are the working conditions and physical requirements of this job? General office demands #li-remote Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system! Equal Opportunity/Affirmative Action Statement Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read EEO is the Law at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf. If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted.",software engineer
"Software Analyst Apprenticeship Overview Summary Apprenticeship includes two phases: RTI (required technical instruction) and OJT (on-the-job training). RTI prepares apprentices to work productively during OJT. On the job, a software analyst is tasked with maintaining, testing, and updating software products under the supervision of experienced developers, engineers and architects. This role provides more flexibility through a shorter and more focused RTI phase to allow for markets or positions with a lower required experience level, or where specialized training will be a major component of OJT (e.g., embedded systems, cloud services, machine learning), or as a stepping stone to a project or program management career path. Although the apprenticeship will focus on coding, the majority of a software developer’s time is generally not spent writing new applications, especially at the junior level. Instead the focus is on improving existing products and applications by adding features, finding and eliminating bugs, and improving efficiency. Related occupational roles include software developers (a more in-depth version of this role with additional focus on security, distributed systems, and design patterns) and DevOps specialists/network operations developers (who configure the build, test, and deployment environments for developers). RTI Preparation Apprentices generally receive instruction in web fundamentals (2 weeks), JavaScript/Python programming (4 weeks), and additional training in Python, C#, or Java software development (6-8 weeks). This varies by location, training provider availability, and employer requests. A sample training plan follows at the end of this document. We cannot guarantee availability or timing of this exact plan in all markets. Apprentices in this role will not earn certifications, but instead will be evaluated based on the quality of their code submissions or general productivity, as established by the employer. OJT Activities Software analysts generally work on tasks substantially similar to the following during OJT. The exact weight and distribution of these tasks varies by employer and may change over the course of OJT as the apprentice becomes more proficient with advanced tasks. Project Definition o Identify and capture stakeholder requirements using customer interviews and surveys. o Build multiple use cases to describe each action that a user will take in the new system. o Understand and contribute to requirement specification documents. Software Design o Work with stakeholders to understand requirements. o Specify and scope hardware and system requirements. o Identify and mitigate security threats and vulnerabilities that may arise from interactions with other systems, external and legacy code. Development and Implementation o Develop and write software code. o Perform unit testing and fix errors or bugs. Software Testing o Work with development team to create test plans. o Implement test cases. o Find and fix bugs. Deployment and Maintenance o Perform training for end users. o Evaluate and fix bugs that may become apparent after product deployment. Job Type: Full-time COVID-19 considerations: Related Technical Instruction will be remote prior to on-the-job onboarding",software engineer
"ASRC Federal System Solutions supports the FAA NAS ESS (Federal Aviation Administration national Airspace System Engineering Support Services) contract. Join our growing team as a Software Developer/Computer Scientist in support of the FAA’s SWIM Terminal Data Distribution System (STDDS) team or the Tower Data Link System (TDLS). Responsibilities: Research, design, development, testing, evaluation and maintenance of integrated computer hardware and software systems Responsible for computer systems architecture and integration, software programming, development, review, audit, testing, configuration management, requirements, and changes. Provide support utilizing languages such as JAVA, C, C++, and Python. Provide scripting support using Perl, Shell, etc. Execute software projects with an understanding of full software design lifecyclet from requirement gathering phase through production phase Capability to develop software that interfaces with external devices Use of test equipment such as logic analyzers, oscilloscopes, or other data acquisition equipment Ability to debug complex systems and to conduct reviews, audits and testing ASRC Federal and its Subsidiaries are Equal Opportunity / Affirmative Action employers. All qualified applicants will receive consideration for employment without regard to race, gender, color, age, sexual orientation, gender identification, national origin, religion, marital status, ancestry, citizenship, disability, protected veteran status, or any other factor prohibited by applicable law.  Proficient in programming languages and scripts used in model and tool development (C, C++, Python) Working knowledge of high-level languages (i.e., Python, Perl, Ruby) and shell scripting (sh / bash) Knowledge and understanding of the importance of testing during all phases of the software development process Experience working in a team environment Good written and spoken communication including developing technical documentation Ability to pass an FAA background investigation (US Citizenship or Permanent Residency required) Education/Experience: BS in Computer Science or Computer Engineering or Electrical Engineering Coursework in areas including software development, object oriented analysis and design, JAVA, C/C++ Preferred Linux experience Working knowledge of UNIX-like Operating Systems (i.e., Linux, Solaris, IRIX) and operating system administration (i.e., Red Hat Enterprise / CentOS Linux) Excellent oral and written communication skills Ability to pass an FAA background investigation (US Citizenship or Permanent Residency required)",software engineer
"The YouVersion Software Engineer will help develop and build software and services that lead to increased engagement and growth through the Bible App across the globe.  You’ve got skills. You’re motivated. You’ve got a passion to see people come to know Christ. All you’ve been missing is a place to put all of it together. The YouVersion Team could be that place. God brings people from a wide variety of backgrounds and experiences here, but He does it because we all have one thing in common: we won’t stop until every person on this Earth knows the love of Jesus. Ministry might not have been the first stop on your road map, but if you’ve been praying to put your skills to work alongside a team of Kingdom-minded, sold-out, on-fire believers, we’ve got good news. You’re on the right path. The YouVersion team is looking for a unique individual to serve as a Software Engineer. With more than 450 million installs of the Bible App and 60 million installs of the Bible App for Kids, the YouVersion team continues to grow and evolve in an effort to appropriately steward the opportunities brought our way. If you are excited about using technology to help people become fully devoted followers of Christ, keep reading for details. Who you are: Great at solving large, complicated, and brain-melting technology problems Skilled in managing time, details, and deadlines Willing to do whatever it takes to help your team succeed Consistently seek to learn and grow personally and professionally Work in warp speed and enjoy variety Skilled in Python, Java, C++ or other general-purpose programming languages Proficient in Object-Relational Database Management Systems, such as Postgres  What you'll do: Act as key engineer on our team – planning, building, and delivering highly scalable software and services to meet the demand of our users Engage as an active contributor within our agile development process Collaborate with design, platform, and product teams to ensure the continuous delivery of high quality and reliable software Take ownership of projects and oversee them with minimal direction Manage schedules and duties to efficiently meet the needs of the organization in the pursuit of helping others becoming fully devoted followers of Christ Bonus points if: You can translate English into Binary Brewing your morning coffee requires at least seven different apparatuses, none of which are a coffeemaker Your root@localhost password is the chemical formula for caffeine  Work Perks: When you join the Life.Church team, our prayer is that your family will be closer, your leadership will be sharper, your finances will be stronger, your faith will be deeper, and your heart will be larger. And while the biggest perk to working at Life.Church is doing work that makes an eternal difference, you'll find that's not the only benefit we offer:  Flexible paid time off Industry-leading medical, dental, and vision coverage Generous employer 401K contribution match Childcare benefits Casual dress code Professional development funds And so much more!  Learn More: You may not realize it, but YouVersion was created by the local church in 2007, and remains a ministry of Life.Church to this day. Named one of the largest, fastest-growing and most innovative churches in America, we are one church in multiple locations and are passionate about our missional use of technology.  Learn more about what it’s like to work at Life.Church: www.life.church/careers. To view the expectations and responsibilities of this role, click here. This role is located at Life.Church Central Offices in Edmond, OK.",software engineer
"Software Architect Location: Washington State, Texas, Oklahoma Your Team responsibilities MSCI has an opening for an ED level Developer and Architect reporting into the Head of Analytics Engineering. You will be a hands-on architect/developer supporting our Investment Analytics product line, a $500M+ business. The systems which you will work on will be amongst the most mission critical of MSCI. They require a strong technology expertise and a strong sense of enterprise system design, state of the art scalability, reliability, and innovation in emerging cloud technologies and data science. The system will need to be accessible to both developers (through a REST based “aaS” offering) as well as end-users through our web-based portal; the ideal candidate will be able to help with both, diving deep into anything / everything. MSCI is undergoing a massive engineering transformation, with the recent announcement of our Investment Solutions as a Service offering. This announcement is the cultivation of many different efforts, all of which require engineers who can be tactical and strategic when looking at our architecture and critical engineering initiatives (e.g. migration into the cloud, new React based web experiences, REST APIs). This leader must be a change agent, who is able and deeply dive in and identify what needs to be changed, how it should be changed, and then drive that change across your team, your peers, and the company. The opening is for a super star, a developer who can span back end architecture to front end experiences. The developer will need to have a strong development background and be able to look holistically across the system, and jump in where needed by writing code, debugging, or driving architectural sessions. MSCI has an opening for an ED level Developer and Architect reporting into the Head of Analytics Engineering. You will be a hands-on architect/developer supporting our Investment Analytics product line, a $500M+ business. The systems which you will work on will be amongst the most mission critical of MSCI. They require a strong technology expertise and a strong sense of enterprise system design, state of the art scalability, reliability, and innovation in emerging cloud technologies and data science. The system will need to be accessible to both developers (through a REST based “aaS” offering) as well as end-users through our web-based portal; the ideal candidate will be able to help with both, diving deep into anything / everything. MSCI is undergoing a massive engineering transformation, with the recent announcement of our Investment Solutions as a Service offering. This announcement is the cultivation of many different efforts, all of which require engineers who can be tactical and strategic when looking at our architecture and critical engineering initiatives (e.g. migration into the cloud, new React based web experiences, REST APIs). This leader must be a change agent, who is able and deeply dive in and identify what needs to be changed, how it should be changed, and then drive that change across your team, your peers, and the company. The opening is for a super star, a developer who can span back end architecture to front end experiences. The developer will need to have a strong development background and be able to look holistically across the system, and jump in where needed by writing code, debugging, or driving architectural sessions. What we will offer you: Depending on your location of your role, you can expect … Competitive fixed and variable compensation, holiday/vacation allowance & retirement savings plans/pensions Employee Resource Groups to support you in and out of the office A wide range of benefits including – healthcare, dental plans, risk insurances and (location dependent) - cycletowork schemes, gym benefits, retail discounts, A purposeful approach to Wellbeing including training, support networks, membership to wellness platforms and vendors, and active local office communities A specific and deliberate planning to the physical offices in which we work, and support for everyone spending periods of time working remotely or at home. This approach mirrors our commitment to transparency and sustainability and puts the safety and wellness of our employees at the center of all we do. We aim to provide productive and sustainable work environments and technology that encourages collaboration, creativity and innovation. Your key responsibilities Providing overall strategy and technology direction for the development of applications supporting the firm’s solutions Strategic planning for all product development efforts to include the subsequent testing, release and production environment needs Collaborating with Engineering/IT Infrastructure to implement/adapt the overall architecture of our products and support infrastructure in conjunction with software development managers, and product management teams Supporting and aligning the development of the product roadmaps within a portfolio of multiple products Leading and enhancing our agile methodology for the design, development, test and release of our products and features while coordinating with internal development groups worldwide. Staying abreast of new technologies and challenged to deliver software-as-a-service solutions with a solid expertise in current technologies, platforms, and standards. Participating in the strategic business and product planning process Being actively engaged in setting technology standards that impact the company and its offerings Being an active spokesperson and evangelist both internally and externally by communicating and promoting the company’s technology vision and solutions Ensuring the knowledge sharing of engineering best practices across departments; and developing and monitoring technical standards to ensure adherence to them. Hiring and retaining top technology talent able to understand business requirements and turn them into software solutions. Developing loyalty and commitment among colleagues by articulating an appealing vision for the future, communicating high expectations, developing and mentoring direct reports and setting an example in one’s own behavior. Your skills and experience that will help you excel Prior senior Software leadership roles in product or application development and engineering for high growth companies Experience with multiple languages including Java, Python, and C/C++/C# Ability to dive into details, hands on technologist with strong core computer science fundamentals. Strong preference for financial services experience or interest Proven leadership of large-scale distributed software teams that have delivered great products on deadline Proven ability to recruit the best and brightest developers and provide them with a vision and working environment to develop world-class applications while instituting compelling performance measurements that continually drive transparency and improved performance Excellent communication skills, strong team player, and the ability to work cross functionally Experience in a modern iterative software development methodology Experience with globally distributed teams and business partners Experience in building and maintaining applications that are mission critical for customers M.S. in Computer Science, Management Information Systems or related engineering field 15+ years of software engineering experience Leadership record having created results oriented and energized teams. How we’ll support you Coaching and support from experts in your team A performance and growth-oriented culture and values Opportunities for continuous learning to aid progression Goal based objectives and development plans Transparent performance-based compensation schemes Employee resource groups such as the Women’s Leadership Forum, MSCIPRIDE, Black Leadership Network and Eco-Groups. About MSCI and our teams: MSCI is a market leader in Global Indexes, Smart Beta, ESG and Risk Management, and is at the forefront of the secular trends dominating the financial services landscape today. We are committed to the future sustainability and transparency of the financial markets. We create innovative products and services that allow our clients to make more informed investment decisions, and we provide investors with critical performance measurement and risk management data and analytics. Click here to see what we do (link to MSCI brochure) Our values define the working environment we strive to create. We are inclusive, we champion bold ideas, we always pursue excellence, and always act with integrity. Personal accountability and responsibility are key to success, and we always work as a team to remain client centric. MSCI is committed to developing a culture and workforce that reflects the clients and communities in which we operate. Increasing our diversity expands our talent pool which helps to accelerate innovation in all we do. We especially encourage members of historically underrepresented groups to apply, including women, ethnic minorities and those in the LGBTQ community. To all recruitment agencies: MSCI does not accept unsolicited CVs/Resumes. Please do not forward CVs/Resumes to any MSCI employee, location or website. MSCI is not responsible for any fees related to unsolicited CVs/Resumes. MSCI Inc. is an equal opportunity employer committed to diversifying its workforce. It is the policy of the Firm to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, creed, age, sex, gender, gender identity, sexual orientation, national origin, citizenship, disability, marital and civil partnership/union status, pregnancy (including unlawful discrimination on the basis of a legally protected pregnancy/maternity leave), veteran status, or any other characteristic protected by law.",software engineer
