JobDesc,JobTitle
"Entry-Level Software Engineer Data Ductus is a global software consulting firm specializing in advanced network automation, service orchestration and cloud solutions. We strive to provide our clients with industry-leading solutions through our passion for excellence and our commitment to continuous improvement as software engineers. This position is for a Junior Software developer with a Bachelor’s or Master’s degree in Computer Science (or related field) who has 0-3 years of experience and is interested in engaging directly with customers to develop solutions designed to solve unique and challenging problems. Benefits: Best-in-class healthcare plans and 401k matching Travel Opportunities Open Office Space Fun Culture, Company Outings and Activities Wide variety of projects Serve in various roles and capacities Remote work opportunities Responsibilities: - Designing, testing, documenting, and delivering customer solutions in agile development teams. Potentially engage in technical communication with customers. Write maintainable, well-documented software Validate performance of software through robust test suites. Design new solutions that address customer needs in addition to maintaining and enhancing existing solutions. Communicate and collaborate with teammates in small, agile development teams Contribute to a collaborative, continued learning environment. Operate in a customer-first mindset to deliver software that meets the needs of clients. Required Skills Competence in either Java or Python Ability to operate efficiently in a Unix/Linux terminal. Experience with version control (git preferred) Strong programming fundamentals and understanding of algorithms and data-structures. Strong verbal and written technical communication skills. Experience in all stages of the Software Development Life Cycle Preferred Skills and Qualifications —————————— - Familiarity with networking fundamentals (routing/switching) - Continuous Deployment experience including Jenkins or Gitlab CI/CD. - Container orchestration technologies - Experience using testing frameworks and writing unit and integration tests. - Comfortable using containerization and virtualization technologies. - Experience creating and interacting with APIs. Job Type: Full-time Pay: $75,000.00 - $90,000.00 per year Schedule: Monday to Friday Education: Bachelor's (Required) Work Location: Multiple locations",software engineer
"QA Software Engineer (remote and agile) We are Psychology Today – the world's #1 psychology site visited by over 40 million people a month. We match thousands of therapists with clients every day. Think Airbnb, but for Therapy. We’re looking for a few engineers who thrive on cutting edge technology to join us, and bring therapy and mental health to the world. (And, yes, we still publish the magazine.) If you're a talented and experienced QA Engineer, who enjoys working remotely, and solving problems elegantly then you may have found your new home. We offer: Work/life balance A product and team that will inspire you - so you can do meaningful work with people who make you laugh A healthy, profitable and stable company where team members stay for many years The freedom to work remotely from wherever home is A supportive platform and a flat structure to do innovative work, be acknowledged, and make a difference Compensation: $125,000 - $150,000 + BONUS Requirements: 3+ years of experience in SDET Commitment to quality and high standards with close attention to detail Strong diagnostic, analysis, troubleshooting, problem-solving skills Experience designing, writing, and executing test plans Experience working with UI automation using Selenium and WebDriverIO Strong experience with mobile automation testing with tools like Appium Development experience with languages like Go and Python Experience with CI/CD using GitLab pipelines Familiarity with infrastructure as code tooling such as Terraform Ability to work in a Linux-based environment Ability to work well under pressure on multiple projects in a fast paced environment Experience working with AWS managed services Familiarity with Agile Scrum methodology Responsibilities: Participate in the software development life cycle from beginning to end Create and execute test plans for existing products and features Work with development team to define testing protocol for new features as they are designed and developed Develop test scenarios from requirements and ensure maximum requirement traceability Develop automated tests to ensure regression coverage across products Lead team in developing automated tests Manage software builds and production deployments Related keywords: automation engineer, qa automation engineer, engineer, qa tester, fullstack Job Type: Full-time Salary: $125,000.00 - $150,000.00 per year Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Experience: SDET: 3 years (Required) Test Automation: 2 years (Required) Work Location: Fully Remote Company's website: https://www.psychologytoday.com Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Virtual meetings",software engineer
"Our Story Xandr is a technology platform powering one of the largest global Advanced TV and Video advertising marketplaces in the industry. We scale our business as WarnerMedia people who independently build the Xandr platform and brand. For more than a decade, our data insights, premium content, powerful technology, and scaled direct-to-consumer distribution have given us a competitive edge — leading us to improving advertising for all brands, publishers, and consumers. How do we do this? With talented, passionate people like you! We bring together people from diverse backgrounds and give them an opportunity to bring their ideas to life. Join our community to Make Advertising Better! The Job We are looking for a talented software engineer to immediately contribute to our TV Marketplace platform. You will use modern tools and techniques to build rock-solid code for optimizing TV ad buys toward audience targets and revolutionizing how TV inventory is bought and sold. Our stack includes Go, Java, React, AWS, SQL, Elasticsearch, Docker, and Linux.T The Team The TV Marketplace team believes in collaboration and effective teamwork. We practice agile methodologies so we can quickly deliver working software to our customers. We believe in continuous iteration/improvement on our software and processes and regularly take steps to improve code quality and developer happiness. You Will: Collaborate with team members to design and build new features and maintain existing ones by fixing defects and refactoring old code Effectively prioritize tasks, deliver high-quality code, and participate in your team’s agile development process Participate in internal discussions on technologies, products, and processes. Receive mentorship and opportunities to build your software engineering and career skills  You Have: An education background that includes strong CS fundamentals and software development practices 1-3 years of full-time experience or meaningful internship/co-op experience working within a software development team involving code review and source code management Working knowledge of a few areas of our technology stack or related and a desire to learn Desire to work in a collaborative team environment Strong communication skills, from written documents (such as design documents) to verbal discussions (like design reviews) Our Perks Comprehensive healthcare coverage Flexible time off including volunteer days, vacation, and holidays Professional development resources and education reimbursement Paid parental leave Fitness reimbursement AT&T internet/phone and HBOMax discounts 401k with company match Our Culture Xandr strives to foster a diverse, inclusive and engaging work environment. Our inclusivity in action includes: Staying connected and embracing this new normal as we work from home - we may be social distancing but we're #InsideTogether Creating meaningful change for our communities and pathways for future generations of diverse talent through our employee volunteerism efforts Sharing insight and stories on what it’s really like to work here Partnering with organizations to support our commitment to women’s advancement in tech Providing accommodations for persons with disabilities, both for interviewees and for employees. Should you require an accommodation, please let us know and we’ll make arrangements  Awards Xandr, its products and its executives have received several prestigious awards. In 2020 alone, Cablefax's annual The Faxies awards named Xandr’s EVP and GM Innovator of the Year and the Xandr technology organization Tech Team of the Year. In the same year, seven female executives were included in the Cynopsis list of Top Women in Media, and several of its",software engineer
"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design Currently enrolled in an accredited University/College pursuing a Bachelor’s Degree or higher in Computer Science, Engineering or related Technical Degree Experience with coding in at least one of these languages: Python, C, C++, Java or Ruby Are you passionate about building, owning and operating satellite and space processing systems? Are you ready to help build a new AWS service that will have a historic impact? If so, Amazon Web Services (AWS) has an exciting opportunity for you.  Come join a growing team of builders and innovators that think outside the box. A team that thinks big and gets process out of the way of development. That leverages AWS technologies to their fullest to grow a new ecosystem in the cloud. That’s committed to low operational burden by designing for it. That puts work-life balance, personal and professional growth as a principle, not a goal.  AWS, the world leader in providing a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world, needs software development experts who want to be part of a big, audacious space project! We are seeking a Software Development Engineer to build and maintain highly available, massively scalable, real time satellite data processing systems! This team will have the opportunity to work on highly visible projects that directly impact both Amazon teams and Amazon customers around the world as we build space processing services and features used by thousands of commercial and government customers each week.  We're looking for a Software Development Engineer Intern. This role will be located in Denver, CO.  Software Development Engineers Interns obtain and utilize a depth and breadth of knowledge in design and development, experience with agile methodologies, proficiency in a high-level language, and experience building highly scalable systems involving distributed services and persistent storage. You will own the design of major deliverable and have opportunities to build them from scratch. This is a high visibility and fast-paced environment where you will make a direct impact on the customer experience and the bottom line of the company.  U.S. Citizenship required.  Previous Technical Internship experience Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.  The pay range for this position in Colorado is $8,224 per month. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.",software engineer
"Job Title: Software Engineer Location: Field - US Function: Engineering Position Type: Full-time Position Level: Entry-Level Xactly Corporation was founded to solve an important challenge: how to help people everywhere connect and unleash their human potential through seamless, perfectly aligned Sales Performance Management. Xactly’s comprehensive Sales Performance Management (SPM) suite leverages data from a sales performance AI platform to provide timely insights across the entire SPM value chain, from sales planning to execution, including compensation to optimization. Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power of their incentive compensation. With access to predictive analytics and benchmark data, enterprises can now optimize territories, design the right compensation and incentive plans and accelerate attainment and optimization of sales performance. THE OPPORTUNITY As the Backend Engineer on our Platform team at Xactly Corporation, you’ll be an essential member of a fast moving agile development team building the latest Xactly products. You will contribute to all aspects from design and development to deployment and support working alongside product management and customer support. You’ll be responsible for taking personal ownership in both your code and others, this includes ensuring proper tests, documentation and communication around development. THE TEAM Xactly’s engineering team is a tight-knit rapidly growing team with diverse backgrounds. We have people that came from startups, Fortune 500’s, and everywhere in between. We pride ourselves in building teams with a diversity of opinions in order to build the best software possible. We understand that not everyone works the same way and strive to create a flexible open environment to allow you to create the work/life balance that works best for you. THE SKILL SET Experience in web application development and architecture. Experience using open source software libraries Experience in at least one MVC architecture or application of the pattern Hands on experience with Java Familiarity with end to end continuous integration and deployment infrastructure for micro services Familiarity in an agile (Scrum) development process Bachelor's degree in Computer Science or other relevant technical degree or equivalent experience preferred WITHIN ONE MONTH, YOU’LL Become familiar with the code base, development processes, and deployments. Become familiar with the product as customers will use it. You may even have your first PR approved and in production. WITHIN THREE MONTHS, YOU’LL Become a contributor to the overall code base. Have PRs approved and deployed to production Contribute to design WITHIN SIX MONTHS, YOU’LL Working more autonomously and closer with product Helping troubleshoot issues Contribute new ideas to the product and development WITHIN TWELVE MONTHS, YOU’LL Become a team leader A goto person for Java on the Platform. Mentor other developers Is this role not an exact fit for you? Keep an eye on our Careers Page for other positions! BENEFITS & PERKS Flexible Time Off (FTO) Comprehensive Insurance Coverage (including pet insurance!) Tuition Reimbursement XactlyFit Gym/Fitness Program Reimbursement Kitchen Stocked Daily with Tasty Snacks, Fruit, and Drinks Access to Corporate Discounts Parking & Commuter Benefits Up to (3) Days Paid Leave to Participate in Community & Volunteer Opportunities End of Month Surprises, Contests, BBQs, Parties & Reward Vacations 401(k) Retirement Savings Plan & Employer Match THE XACTLY STORY Xactly is a leading provider of enterprise-class, cloud-based, incentive compensation solutions for employee and sales performance management. We achieve this by following our vision: Unleashing human potential to maximize company performance. We address a critical business need: to incentivize employees and align their behaviors with company goals. Our solutions allow organizations to make better strategic decisions, optimize behaviors, increase sales and employee performance, improve margins, increase operational efficiencies, mitigate risk, design better incentive compensation plans, and reduce error rates in incentive compensation calculations. Our core values of Customer Focus | Accountability | Respect | Excellence are key to our success, and each day we’re committed to upholding them by delivering the best we can to our customers. We were the first 100% cloud-based, multi-tenant provider focusing solely on the incentive compensation and employee and sales performance management market, and we achieved our leadership position through domain expertise and innovative technology. We deliver our solutions through a Software-as-a-Service (SaaS) business model. Xactly is proud to be an Equal Opportunity Employer. Xactly provides equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, age, national origin, disability, veteran status, pregnancy, sexual orientation, or any other characteristic protected by law. We do not accept resumes from agencies, headhunters, or other suppliers who have not signed a formal agreement with us. Job Type: Full-time",software engineer
"Work is no longer a place. It’s what you do. And how you do it. More fluid, more flexible, powered by your imagination and by some amazing technology! That’s where we come in. We’re Poly. We’re a global outfitter of pro-grade audio and video technology so that employees everywhere can look and sound their best from anywhere. Join us as we pursue our disruptive vision to bring professional audio and video meeting technology and services to everyone. Be a part of our journey!  Summary Poly is seeking an experienced software professional to join our dynamic, highly successful engineering team. As a Software Development Engineer working on industry-leading collaboration products you’ll be making a positive impact on how people live and work. You’ll gain career-expanding experience across a wide cross-section of product development activities, taking advantage of the latest technologies and helping to create the products of tomorrow. Your day to day Define, design, implement, test and support new features in Poly’s Media Relay Server Solve complex problems related to high performance, scalable, video conferencing solutions Support customers and resolve product issues Work in a highly collaborative and agile environment Emphasize clean, re-usable design and code built for test automation Focus on continuous improvement and learning, both at a personal and team level *This role can be fully remote* What you bring to the team Master's Degree or Bachelor's Degree with 2+ years of software development experience Proven effectiveness working with Agile software development ideals and best practices 2+ years on hands on experience with C++ or Java Proven experience developing applications on Linux-based platforms Knowledge in video conferencing protocols (H.323, SIP, RTP, SDP, etc), architectures, trends, and emerging technologies Excellent debugging skills Compensation and Benefits The compensation range for this position is between $72,000 to $120,000 based on a full-time schedule. The salary could vary beyond this range based on your specific skills and experience. This is an incentive-based role. As a full-time team member, you are eligible to receive competitive health benefits, paid time off, flexible and remote work options, 401(k) savings plan, ESPP, and other incentives. #LI-SH2  Our Culture  At Poly, leadership principles aren't just something we talk about, they're something we live and breathe. We believe in creating a work environment where people feel empowered, supported, and included –where trust and transparency are built into the way we work - where creativity, curiosity, and continuous improvement are encouraged and nurtured every day. C3 – Customer. Customer. Customer: Customer obsession is everyone’s job. You enjoy solving customers’ problems - big or small. You work closely with customers, channel partners and their teams to deliver innovative solutions. Raise the Bar: You take pride in your work and know details matter. You know that shavings make a pile. You seek every opportunity to continuously improve teams, products, and processes. Communicate Courageously: You speak with candor but aren't a jerk. You constructively challenge your teammates to get to the best possible outcome or decision. Once a decision is made, you fully align and stay aligned. Onward and Upward: You learn from the past but focus on the future. You rapidly adapt to changes in the marketplace. You help to create solutions that move the company forward with energy, momentum, and results. Own It: You know your business, your customers, and your team – inside and out. You don't sacrifice long-term value for short-term results. You act with integrity, spend money like it’s your own, and put Poly first. Take the Leap: Speed matters in business. You encourage and require those around you to think strategically and act decisively. Poly values calculated risk taking. Ride Together: We are one team. We do what we say we’ll do, we treat each other with respect, we have each other’s back, and we hold each other accountable. Leaders Lead: You know you are part of a larger global community and make decisions as good stewards of the earth, its resources and its people.  Our Commitment as an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to sex, gender identity or expression, race, age, religious creed, national origin, physical or mental disability, ancestry, color, marital status, sexual orientation, military or veteran status, status as a victim of domestic violence, sexual assault or stalking, medical condition, genetic information, accessibility needs, or any other protected class or category recognized by applicable equal employment opportunity or other similar laws.  No matter where you’re based, you’ll experience a company that believes that teamwork and collaboration drive maximum impact, seeks well-rounded talent to focused on providing the best customer experience, and understands that this is a marathon, not a sprint. And, top of mind to us is continuously and purposefully building an inclusive culture that empowers all of our team members, across the globe, to do their best work and be the best version of themselves.",software engineer
"Facility: PROTOCOL Compensation Base: $65,000 - $75,000 annually Compensation Bonus (if applicable):  Equal Opportunity Employer. BI is one of the leading technology companies in Colorado and the largest provider of innovative electronic monitoring solutions in the United States. We excel at proving technological solutions to over 1,000 agencies nationwide and allowing those agencies to fulfill their missions without worrying about the technical complexities.    Summary Develops and modifies software programs, using a basic knowledge of current software development techniques and capabilities. Works to achieve the most efficient use of available hardware through effective use of software programs and routines.    Primary Duties and Responsibilities Designs, develops, analyzes and documents technical aspects of computer software systems and related hardware interface components, based on functional and system requirements. Works closely with senior engineers/ technical leadership to understand and execute functional and system requirements. Maintains and supports existing Company software systems until completely phased out and replaced by updated versions. Tests, evaluates, and tracks software defects to maintain a clear record of development status and known function anomalies. Maintains current knowledge of new computer software technology and acquires knowledge of the electronic monitoring industry and user trends for Company product areas. Provides high-end technical support, trouble shooting and problem resolution for internal user and technical support groups. Develops and documents functional specifications for Company designed products. Provides ad hoc custom reports for customers, operations and management. Suggests improvements to complete projects on time. Works closely with the QA team, including participation in the testing process through unit testing and bug fixes, in order to ensure quality and punctual software development within area of responsibility. Participates in scrum meetings to provide project status and identify roadblocks, as necessary. Participates in Sprint planning to plan the work and development tasks for the next software release. Performs other duties as assigned.    High School diploma or GED required; Bachelor’s Degree in Computer Science or related field preferred. Experience with Microsoft .NET and SQL Server - developing service-based web application solutions. Minimum 0-2 years software development experience with skills in at least two of the following areas and some level of experience and proficiency in the others: Standard Development Skills: Object Oriented Development, Service Oriented Development. Security best practices. Languages: C#, ASP.NET and .NET Core. Web development skills: Angular 4, CSS, ASP.NET Web Forms or MVC, XML, DHTML, jQuery. Mobile Development: Xamarin, HTML5, iOS and Android. Environment/Platforms: Microsoft Visual Studio 2015 or higher, Microsoft Windows 2012 or higher. Toolsets: Entity Framework 6.0, Telerik, Crystal Reports Database: Relational database experience, SQL Server 2012 or higher. Source Control: knowledge of change control technologies Basic familiarity with the product development life cycle and hands-on experience with multiple software development methodologies. Understanding of iterative software development lifecycle methodology such as Agile. Experience applying standard project management practices. Good understanding of relational databases. Solid technical and analytical skills preferred. Ability to evaluate technical alternatives and provide technical recommendations to management. Ability to design, analyze and develop system applications. Ability to analyze, troubleshoot and resolve technical problems. Effective communication skills with cross-functional groups to determine functional requirements for new software. Ability to produce reports and documentation that can be understood by both technical and non-technical audience. Ability to plan and report daily activities and progress on assigned tasks. Good customer service skills. Ability to pass a federal background check and obtain a suitability determination preferred. Ability to maintain confidentiality with regard to information stored in operational databases. Ability to work with computers and the necessary software typically used by the department.  Benefits As a Software Engineer, you will be part of a stable, established, and yet still growing organization with a great deal of diversification that will present you with a range of different challenges. We value your hard work and professional dedication and will reward you with a competitive compensation package that includes full benefits. Your benefits will include: Three (3) weeks paid time off Eleven (11) paid holidays Medical, Dental, and Vision coverage Term and Whole life insurance (includes spouse and dependent) Accidental death and dismemberment insurance Short- and long-term disability Flexible spending account 401(k) retirement program with company match Stock purchase program Tuition reimbursement Supplemental insurance Legal and Identity Theft coverage Auto and Home insurance discounts Pet Insurance Various discount programs",software engineer
"About the team: VIZIO’s Platform Cloud Services team is seeking a Software Engineer to join their growing team. The successful candidate will have the opportunity to build cloud software services that support customers using Vizio SmartCast TV and Sound Bar technology. Your work will have a direct and measurable impact on our high-scale infrastructure and performant services, running on the latest cloud technologies. The Software Engineering role reports to the Platform Cloud Services Software Engineering Manager and Director, supporting the VIZIO Platform Engineering organization.  What you will do: Directly impact the VIZIO SmartCast experience for our customers by incorporating customer feedback in the new features you develop. Deliver features that are flexible, cost-effective, maintainable and long-lasting, at-scale. Manage the end-to-end unit, integration and automated testing and monitoring of the features you implemented. Collaborate with the devops team to establish best practices for operating high-scale distributed systems.  About you: You have a BS degree or higher in Computer Science, Engineering or related field. You have experience with object-oriented design and algorithms. You have experience with at least one modern programming language. (Ex. Node.js, Kotlin, Swift, Python, C++ or Java) You have knowledge of professional software engineering practices & best practices for full software development life cycle, including coding standards, code reviews, source control management, test-driven development, continuous deployments, and agile methodologies. You have outstanding communication, organizational, and problem-solving skills You have exposure to operating large-scale distributed systems, including security, defining and monitoring service metrics, infrastructure management and scaling, and devops best practices. Collaboration is fun and easy for you. You are self-driven, but you enjoy sharing and mentoring your team, and when a decision has been made, you’re happy to support it You’re confident in your abilities to command and understand application build pipelines and share those with your team in a way they can understand.  About VIZIO:  We are Beautifully Simple. Headquartered in Irvine, California, VIZIO is a leading HDTV brand in America and the #1 Sound Bar Brand in America. VIZIO's mission is to deliver high performance, smarter products with the latest innovations at a significant savings that we can pass along to our consumers. Our loyal following and industry-wide praise continues to grow as we redefine what it means to be smart.  VIZIO, Inc. is an Equal Opportunity Employer committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regards to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law, and will not be discriminated against on the basis of disability.  We do not accept unsolicited agency resumes. We will not pay fees to any third-party agency, outside recruiter or firm without a mutually agreed-upon contract and will not be responsible for any agency fees associated with unsolicited resumes. Unsolicited resumes will be considered our property and will be processed accordingly.  For Colorado-based employment: The minimum salary for this position is $98,517/year. The compensation package includes quarterly bonus in addition to a range of medical, dental, vision, financial and other benefits.",software engineer
"Garmin is looking for a full-time Software Engineer - DevOps to develop, administer and support Garmin’s cloud infrastructure utilizing Python, Docker, Puppet and AWS.  The Software Engineering team you will be joining is responsible for building out and scaling a cloud-based platform. We interact and coordinate with many teams across Garmin, so you should have an innate sense for collaboration to help Garmin build its next generation platform.  Other essential functions include: Design and implement highly scalable, cloud-based applications and REST based web services Be a key contributor in our automation strategy Maintain and improve existing software engineering tools with upgrades and installations Work with other Garmin teams to ensure infrastructure and applications that depends on it work together seamlessly Assist in training engineering staff on proper software engineering tool use Participate in on-call rotation supporting our production environment Coordinate and work with 3rd party service provider Apply Garmin's Mission Statement and Quality Policy and enthusiastically exhibit a desire to see Garmin succeed  Qualified candidates for this role will have completed coursework in Computer Science, Electrical Engineering, Computer Engineering, or a field relevant to perform the essential functions of this job description with a minimum cumulative GPA greater than or equal to 3.0. Other requirements include: Demonstrated strong and effective verbal, written, and interpersonal communication skills Must demonstrate relevant experience and/or training in a low, mid, or high-level language such as Python, Bash, or other selected languages Must possess relevant experience and/or training in cloud computing methodology relevant to Garmin’s business need A cumulative GPA greater than or equal to 3.0 and previous experience working in a team environment is highly preferred!  This position is eligible to earn a base compensation rate in the range of $74,000 to $82,000 annually depending on job-related factors as permitted by applicable law, such as level of experience, geographic location where the work is performed, and/or seniority.  Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.",software engineer
"2+ years of non-internship professional software development experience Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems The Amazon Devices team designs and engineers high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced groundbreaking devices like Fire tablets, Fire TV, Amazon Dash, and Amazon Echo.  What will you help us create?  Want to change the way millions of people communicate, shop, and have fun? Want to help Amazon bring products like Fire tablets, Fire TV, and Kindle e-readers to market?  The Offline Retail Tech team enables customers to buy Amazon’s products at Best Buy, Staples, and many other brick and mortar retailers worldwide. Amazon’s products are in the US, UK, Germany, France, Italy, Spain, Japan, Australia, New Zealand, South Africa, India, and others! Our team handles everything from platform services, on-boarding new retail partners, store integration, device software for all in-store display products, and improving the overall in-store experience.  We are looking for a talented, experienced Software Development Engineer to help expand our global offline reach and build best-in-class solutions that help us grow the devices business at Amazon scale and speed!  Come be a part of Amazon’s product development. We want a highly technical individual with strong leadership to help put Amazon’s products in the hands of customers all around the globe.  In this role, you will: Write high quality distributed system software Work extensively AWS technologies such as SQS, SNS, S3, Lambda, DynamoDB, RDS, Redshift, CloudFormation, CloudWatch, Data Pipelines, and Kinesis Launch new, high impact programs that reduce logistics costs or increase unit sales Perform development and maintenance of key system features Drive best practices and engineering excellence Working in an Agile/Scrum environment to deliver high quality software against aggressive schedules. Establish architectural principles, selecting design patterns and mentoring team members on their appropriate application Bachelor’s Degree in Computer Science or related field 2+ years of experience applying computer science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis Programming experience in, at least, one modern programming language such as C++, Java, Java Script 4+ years industry experience as a Software Engineer or a Software Developer Experience building complex, scalable, high-performance software systems that have been successfully delivered to customers Experience developing on Unix/Linux Knowledge of professional software engineering practices Strong focus on clean code and robust design Demonstrated ability to work on an agile team, having contributed to improvement of design, code, and release of software By submitting your application here, you can apply once to be considered for multiple Software Engineer openings across various Amazon teams. If you are successful in passing through the initial application review and assessment, you will be asked to submit your career and personal preferences so that our dedicated recruiters can match you to the right role based on these preferences.  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us .  For Colorado-based jobs: The pay range for this position in Colorado is $120.7k to $160k/yr; however, base pay may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. For more information regarding Amazon benefits, please visit https://www.amazon.jobs/en/benefits. Applicants should apply via Amazon’s internal or external careers site.  Keyword: OfflineRetailTech",software engineer
