JobDesc,JobTitle
LogMatrix is currently seeking an entry-level software engineer to work with us on our industry leading network monitoring solution. The position may also be called upon to help with internal IT operations or customer support. Qualifications: BS or MS in Computer Science or related field 0-3 years experience with strong understanding of C++ and/or JAVA Related internship or job experience Required Skills for Entry Level Software Engineer Job: C++ JAVA Perl Some knowledge of IT operations,software engineer
"Designs, develops and troubleshoots software programs for computer based systems. Performs basic analysis and design for program changes to gain an understanding of application changes. Provides time estimates for development tasks to aid in scheduling. Monitors progress against task estimates to provide status. Completes more complex program changes to translate specifications and / or requirements into code. Applies application specific technical skills to independently produce deliverables (i.e. specifications, program changes, unit test scripts, documentation, etc.). Acquires and utilizes basic business knowledge to support the applications. Recognizes code inefficiencies and makes suggestions for improvements, if applicable. Provides documentation to support program changes. Plans, documents, and executes unit test plans to ensure all code changes meet requirements / specifications. Supports programming changes during quality assurance, user acceptance testing, and post implementation to ensure integrity of application. Complies with and contributes to standards and procedures to ensure development consistency (e.g. programming standards, change management, version control).  Bachelor's Degree in Computer related discipline or equivalent work experience 1 year of experience in Related field and demonstrable proficiency in either C# or SharePoint development (Proficiency in both is a plus)",software engineer
"QA Software Engineer (remote and agile) We are Psychology Today – the world's #1 psychology site visited by over 40 million people a month. We match thousands of therapists with clients every day. Think Airbnb, but for Therapy. We’re looking for a few engineers who thrive on cutting edge technology to join us, and bring therapy and mental health to the world. (And, yes, we still publish the magazine.) If you're a talented and experienced QA Engineer, who enjoys working remotely, and solving problems elegantly then you may have found your new home. We offer: Work/life balance A product and team that will inspire you - so you can do meaningful work with people who make you laugh A healthy, profitable and stable company where team members stay for many years The freedom to work remotely from wherever home is A supportive platform and a flat structure to do innovative work, be acknowledged, and make a difference Compensation: $125,000 - $150,000 + BONUS Requirements: 3+ years of experience in SDET Commitment to quality and high standards with close attention to detail Strong diagnostic, analysis, troubleshooting, problem-solving skills Experience designing, writing, and executing test plans Experience working with UI automation using Selenium and WebDriverIO Strong experience with mobile automation testing with tools like Appium Development experience with languages like Go and Python Experience with CI/CD using GitLab pipelines Familiarity with infrastructure as code tooling such as Terraform Ability to work in a Linux-based environment Ability to work well under pressure on multiple projects in a fast paced environment Experience working with AWS managed services Familiarity with Agile Scrum methodology Responsibilities: Participate in the software development life cycle from beginning to end Create and execute test plans for existing products and features Work with development team to define testing protocol for new features as they are designed and developed Develop test scenarios from requirements and ensure maximum requirement traceability Develop automated tests to ensure regression coverage across products Lead team in developing automated tests Manage software builds and production deployments Related keywords: automation engineer, qa automation engineer, engineer, qa tester, fullstack Job Type: Full-time Salary: $125,000.00 - $150,000.00 per year Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Experience: SDET: 3 years (Required) Test Automation: 2 years (Required) Work Location: Fully Remote Company's website: https://www.psychologytoday.com Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Virtual meetings",software engineer
"Software Engineering Intern - Summer 2021 MotionPoint Corporation About this Job MotionPoint is seeking a software engineer intern to work 16 to 32 hours per week for 10 weeks during the Summer of 2021 (June 1 – Aug 6) at our corporate offices in Coconut Creek, Florida. Due to Covid-19, the internship will likely start as remote work and it may convert to onsite work at our corporate office later in the Summer. The intern will report to a software engineering manager. This is an excellent opportunity for individuals interested in Software Engineering careers. Highlights include: Paid internship with competitive wages of $22/hr. Professional software development work environment. Casual work environment. Open-door management policy. Potential full-time employment. Responsibilities will include hands-on, real-world tasks and projects that will have a direct impact on the ongoing growth of our company: Develop code for application in cloud platform using Java, JavaScript, Python and SQL. Participate in development sprint planning and prioritization. Create and maintain continuous integration and development processes. Become involved in managing DevOps tools in creating system integration infrastructure in a cloud platform. Participate in daily Software Development team standup meetings. Learning Objectives: Learn how to use version control. Learn agile methods (Scrum/Kanban). Use mainstream technologies in a professional setting (Java, JavaScript, Python, SQL, HTML, CSS). Qualifications: Current college students or graduates in Computer Science or Software Engineering with a cumulative GPA of 3.0 or higher. Completed courses in Intermediate Programming (Programming II or similar) and Data Structures with at least a B grade. At least 50 completed college credits before the start of the internship (Junior or Senior level). Ability to code in functional or Object-Oriented Programming language. (Java/JavaScript/Python/Groovy). Knowledge of OOP, Data Structures, Unix, and SQL. About MotionPoint Corporation MotionPoint’s technology and processes solve the operational complexity and cost of website localization. MotionPoint’s mission is to help brands reach, engage and serve new customers around the world. Our technology and processes solve the operational complexity and cost of website localization. We work with leading brands like AT&T, Urban Outfitters and jetBlue Airways. The real challenge of website translation isn't language-it's technology. MotionPoint's industry-leading approach eliminates the numerous technical challenges, making it effortless for brands to launch and operate translated sites in global markets. We optimize those sites for organic search and user experience, too. Location Coconut Creek, Florida, United States of America    PI134565750",software engineer
"Designs, develops and troubleshoots software programs for computer based systems. Performs basic analysis and design for program changes to gain an understanding of application changes. Provides time estimates for development tasks to aid in scheduling. Monitors progress against task estimates to provide status. Completes more complex program changes to translate specifications and / or requirements into code. Applies application specific technical skills to independently produce deliverables (i.e. specifications, program changes, unit test scripts, documentation, etc.). Acquires and utilizes basic business knowledge to support the applications. Recognizes code inefficiencies and makes suggestions for improvements, if applicable. Provides documentation to support program changes. Plans, documents, and executes unit test plans to ensure all code changes meet requirements / specifications. Supports programming changes during quality assurance, user acceptance testing, and post implementation to ensure integrity of application. Complies with and contributes to standards and procedures to ensure development consistency (e.g. programming standards, change management, version control). Bachelor's Degree in Computer related discipline or equivalent work experience 1 year of experience in Related field and demonstrable proficiency in either C# or SharePoint development (Proficiency in both is a plus) Job Type: Full-time",software engineer
"As a member of the Special Projects in Applied Research and Collaboration (SPARC) Team, you will develop ground-breaking game features and engine enhancements in close collaboration with EA's game development teams.  You will be part of a distributed and agile team, with the purpose of solving technical challenges from proof of concept to implementation for titles across EA. An important priority for this group is to partner with EA's specialized research teams to create meaningful applications relevant to game development.  The SPARC Team is looking for a Software Engineer to join our team. The Software Engineer will guide the technical execution of projects across Frostbite and EA Studios.  What the Software Engineer will do at SPARC  As Software Engineer, you will take a primary role in development, help establish and improve Frostbite features and own delivery Work with the Technical Director, Frostbite Team, and outsourcing groups to develop features that increase engagement and fun Provide troubleshooting, debugging and assist with the challenges Maintain positive lines of communication and relationships with teammates across EA Studios and Frostbite Design, author, test, and deploy maintainable solutions You will help us solve the problems that do not fit the typical game development cycle  Who You Are?  3+ years of C++ software engineering experience, including code design, data structures and organization. A generalist skillset; experience with some or all of the following: Graphics, Audio, Networking, Animation, Physics, Gameplay, or Tools A desire to improve your skills and help your teammates grow theirs; we succeed together Can work with internal and externally developed code in a collaborative fashion Expertise with C++ and experience in object-oriented design and implementation. Profiling skill and a knowledge of successful optimization strategies a plus Excellent debugging skills Excellent written and verbal communication skills S. in Computer Science or equivalent experience. Value collaboration and the importance of supporting your team  What is in it for you? Glad you asked!  We love to brag about our great perks like comprehensive health and benefit packages, tuition reimbursement, RRSP/401K company match and, of course, many other perks! And since we realize it takes outstanding people to make excellent games, we offer great benefits packages and a culture that is powered by creativity.",software engineer
"If you are a current Motorola Solutions employee, please click this link to apply through your Workday account. Company Overview At Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently. Whether it’s helping firefighters see through smoke, enabling police officers to see around street corners, or reliably keeping the lights on in homes and businesses around the world, our work supports those who put their lives on the line to keep us safe. Bring your passion, potential and talents to Motorola Solutions, and help us usher in a new era in public safety and security.  Department Overview A software engineering team that specializes in the development of world class digital two-way subscriber radios and supporting tools for the mission critical market.  Job Description Responsibilities include, but are not limited to, the following: Contribute as an individual developer on specific features by writing new feature software for the product Analyze software requirements to determine feasibility of design within quality assurance, time and cost constraints. Perform design documentation and coding activities, employing existing mature software development processes in the organization. Design, implement and test embedded software subsystems using Object Oriented development methodology. Create and execute unit, integration, system, load and acceptance tests. Use software system testing procedures, and document results. Contribute to the improvement of existing mature software development processes. Develop intellectual property for the corporation. Inter-group and intra-group teamwork in a multi-site world-wide development environment  Preferred Skills: 0 to 3 years of software development/testing experience. Experience / Proficient in embedded software development using Object Oriented Analysis and Design Experience / Proficiency in C++ Knowledge of Python and / or Java Experience / Proficiency in Agile/Scrum development methodologies is a plus Experience in wired & wireless communications protocols (USB, TCP/IP, P25, OSI networking stack) in embedded real-time systems is a plus Experience in Test Driven Development is a plus Experience with the use of test equipment such as logic analyzers, serial data analyzers, oscilloscopes etc.) is a plus Experience with development tools (such as compilers, emulators/JTAG, debuggers, etc.) is a plus  Basic Requirements Bachelor's Degree required; major in Computer Science, Computer Engineering or Electrical Engineering  Travel Requirements None  Relocation Provided None  Position Type New Grad  Referral Payment Plan Yes   EEO Statement Motorola Solutions is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.",software engineer
"We welcome applicants who are open to working remote. About The Internship At e-Builder, we are committed to providing an exceptional experience for our interns. We tailor our program to provide participants with real, impactful work, contributing directly to the continued success of e-Builder. The intern program is a 10 to 12 week program that runs approximately from June to August. You will work on real projects/features used on the web, Android, and iOS devices that address real customer needs. Depending on your background and interests, work on web UIs, back-end Java code, development tools, test automation, or iOS & Android development. Interns will participate in the full development life cycle, taking part in all Kanban ceremonies from planning and estimation through demonstration of work completed. You will collaborate with Product Managers, Software Architects, UX experts, and fellow Software Engineers where you will be mentored and challenged. Responsibilities Build software that is a joy to use! - Easy, intuitive, and allows users to accomplish their work more efficiently than without the software. Participate in all aspects of product development as needed, from requirements analysis through product release utilizing Agile methodology. Assist with testing strategies, conditions, and evaluation of expected results. Develop and communicate implementation approaches for assigned projects. Regularly and proactively communicate status, risks, and other issues related to projects that are under development. Collaborate with UI/UX design, product managers, and engineering to solve challenging usability problems. Qualifications To be considered for an internship opportunity, you must be a current student or recent college graduate. Enrolled in a Computer Science (or related) program of study Must have completed your sophomore year Can commit to a full-time, M-F work schedule GPA is 3.0 or higher Genuinely passionate about engineering Excited about working with new technologies Driven by curiosity A problem solver Self-motivated Results-driven Collaborative A strong communicator Able to thrive in a dynamic, fast-paced environment About e-Builder: Founded in 1995 and based in Sunrise, Florida, e-Builder, a Trimble Company, is the pioneer of a fully integrated, cloud-based construction management software. Our client list reads as the “who’s, who” in all our vertical markets: Facebook, CalTech, INOVA Healthcare, and Chicago Transit Authority – to name just a few - . As one of the fastest growing companies in South Florida, we are proud to be named a ‘Florida Company to Watch,’ to be nominated as one of South Florida’s best places to work and have our CEO named South Florida Business Journal’s Ultimate CEO. We’re excited to find innovative ways to combine technology with construction with a fun work environment. To learn more about our award-winning organization and corporate culture visit www.e-builder.net We are an Equal Opportunity Employer and a Drug-Free Workplace Pay Equity Trimble provides the following compensation range and general description of other compensation and benefits that it in good faith believes it might pay and/or offer for this position. This compensation range is based on a full time schedule. Trimble reserves the right to ultimately pay more or less than the posted range and offer additional benefits and other compensation, depending on circumstances not related to an applicant’s sex or other status protected by local, state, or federal law. Hiring Range: 18.8 23.46 Bonus Eligible? No Trimble offers comprehensive core benefits that include Medical, Dental, Vision, Life, Disability, Time off plans and retirement plans. Most of our businesses also offer tax savings plans for health, dependent care and commuter expenses as well as Paid Parental Leave and Employee Stock Purchase Plan. Trimble Inc. is proud to be an Equal Opportunity and Affirmative Action Employer and considers qualified applicants for employment without regard to race, gender, age, color, religion, national origin, marital status, disability, sexual orientation, status as a covered veteran in accordance with applicable federal, state and local laws, or any other protected factor. EOE/M/F/V/D",software engineer
"4+ years of professional software development experience 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems Bachelor's degree in Computer Science or 8+ years of equivalent professional or military experience Amazon Fulfillment Technologies (AFT) powers Amazon’s global fulfillment network by designing and building the software, hardware and processes that enable our customers to get what they want, when they want it. We don’t just talk about innovating, we put innovation into action, working alongside our employees in the FCs to move billions of customer orders through our Fulfillment Centers globally. We push the bounds of robotics, computer vision, machine learning, and operations research to improve quality, engage our workforce, and delight customers. AFT is creating the future of fulfillment, and we’re looking for people with big ideas and the drive to see them at work in the real world. If you’re ready to innovate on a global scale, join us.  This position is open for work from home anywhere in the United States.  Our work-from-anywhere team is looking for Software Development Engineers who can join us in building technological platforms which would help Fulfillment Centers (FCs i.e. Amazon Warehouses) around the world to operate efficiently by providing meaningful and actionable insights into FCs operations. These platforms provide data analytics and insights into operations of FCs, help automate labor allocation and assignment decisions, and help FCs improve efficiency and take decisions which impact delivery of packages to Amazon customers. So, your work will directly influence Amazon business and customer promise. As a member of this team, you will get the opportunity to work on highly visible, innovative projects that directly impact the customer experience. You will be involved in all the aspects of the software development cycle including scoping, design, implementation, testing & delivery of your product. The position has great opportunity for growth.  We value team work, hustle, and good communication skills. You should be somebody who enjoys working on complex system software, have a customer centric mindset, and feel strongly about building automated systems that can be operated at world-wide scale with minimal human intervention. You will collaborate with other team members and stakeholders while working remotely (e.g. working from home). You will have a strong sense of ownership and demonstrable track record of success in delivering new features.  Experience working remotely while collaborating with geographically distant team members is preferable, though not required. Experience building complex software systems that have been successfully delivered to customers Experience with linear math optimization systems Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations Ability to take a project from scoping requirements through actual launch of the project Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs. The pay range for this position in Colorado is $116,400 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.",software engineer
"Duties and Responsibilities include the following. Problem Solving and Logical Thinking Ability to grasp new technical concepts quickly Working knowledge of at least 2 programming languages Research software for possible use in Envera products Test the products Attend analysis/design meetings Write code Investigate field issues Willingness to provide assistance to the software team and other Envera Systems groups as needed to assure business needs are met Write technical documentation Ability to follow Envera Systems Software Engineering process  Experience: Minimum 4 years’ experience with the following skill sets: Education: Bachelor (4-year) degree; Computer Science, Computer Engineering or equivalent",software engineer
