JobDesc,JobTitle
"You didn’t get in to this field to do the same types of tasks over and over; that’s boring. Consider consulting, where everything changes – the business domain, the technology, the team, the users, the client – everything. Constant change means constant challenge and opportunity. Sound exciting? It isn’t for everyone, but if you thrive in this type of environment, you belong at Resource Data. Ideally, you’ll have a couple years’ experience in .Net programming, databases, and web applications; but, we’re more interested in your accomplishments than your current skills. To show you what we mean, look at your first year here. To get started, you’ll get familiar with us by working on our internal business systems. This will give you a chance to get to know the business users, other developers, and team leads. You’ll get familiar with our internal development process and tools. Over the first several months, you’ll have a chance to show your stuff. We’ll assign you larger technical tasks where you’ll work directly with business users to understand and implement enhancements and process improvements. As your project assignments starts taking off, you’ll successfully transition this work to another developer. Over the course of the year, you’ll become embedded on one or more projects. Your time may be split between working onsite with the client and working at RDI. You’ve earned a stellar reputation as a versatile and dependable team member. At the end of the first year, here are some things you’ve accomplished. You’ve built relationships with other developers in the office and engage in give-and-take technical discussions. You’ve been able to highlight some of your personal projects by leading a company-wide roundtable discussion You’re working directly with Resource Data clients and the business users, learning how consulting is a combination of customer service and software development You are starting to understand the metrics of our consulting model and have no problem meeting those while exceeding client expectations You can discern good business requirements from incomplete ones and raise questions early in the development process. Your involvement reduces ambiguity and contributes to better, less complex solutions You have honed your ability to identify risks and build estimates for small tasks; you are taking on responsibility for larger and more complex components of the project Project managers love working with you because they can count on you to communicate status, raise issues when appropriate, and reliably complete your tasks You’re always looking for new opportunities with clients and within Resource Data. You’re starting to get involved with technical decisions at the proposal stage through your work with the marketing department That’s just year one. Our consultants have gone on to lead incident responses, build valuable enterprise systems, develop open source initiatives, and run offices in new markets. Our company is built from the ground up to support long-term careers. If this is just year one, imagine where you’ll be five years from now! If you’d like to be considered for this position, send us your resume and a quick summary of two significant accomplishments, one related to a team project and the other an individual accomplishment. They should each be a paragraph or two and the more descriptive (fewer bullets) the better. Starting in Alaska over 30 years ago, Resource Data has grown to over 180 professionals in 5 offices across the country. We’re ready and eager to demonstrate high value results to local clients through our commitment to people, technology, and results. Resource Data, Inc. is an Equal Opportunity Employer. Unfortunately, we are not able to provide any visa sponsorship or transfers for this position.",software engineer
"QA Software Engineer (remote and agile) We are Psychology Today – the world's #1 psychology site visited by over 40 million people a month. We match thousands of therapists with clients every day. Think Airbnb, but for Therapy. We’re looking for a few engineers who thrive on cutting edge technology to join us, and bring therapy and mental health to the world. (And, yes, we still publish the magazine.) If you're a talented and experienced QA Engineer, who enjoys working remotely, and solving problems elegantly then you may have found your new home. We offer: Work/life balance A product and team that will inspire you - so you can do meaningful work with people who make you laugh A healthy, profitable and stable company where team members stay for many years The freedom to work remotely from wherever home is A supportive platform and a flat structure to do innovative work, be acknowledged, and make a difference Compensation: $125,000 - $150,000 + BONUS Requirements: 3+ years of experience in SDET Commitment to quality and high standards with close attention to detail Strong diagnostic, analysis, troubleshooting, problem-solving skills Experience designing, writing, and executing test plans Experience working with UI automation using Selenium and WebDriverIO Strong experience with mobile automation testing with tools like Appium Development experience with languages like Go and Python Experience with CI/CD using GitLab pipelines Familiarity with infrastructure as code tooling such as Terraform Ability to work in a Linux-based environment Ability to work well under pressure on multiple projects in a fast paced environment Experience working with AWS managed services Familiarity with Agile Scrum methodology Responsibilities: Participate in the software development life cycle from beginning to end Create and execute test plans for existing products and features Work with development team to define testing protocol for new features as they are designed and developed Develop test scenarios from requirements and ensure maximum requirement traceability Develop automated tests to ensure regression coverage across products Lead team in developing automated tests Manage software builds and production deployments Related keywords: automation engineer, qa automation engineer, engineer, qa tester, fullstack Job Type: Full-time Salary: $125,000.00 - $150,000.00 per year Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Experience: SDET: 3 years (Required) Test Automation: 2 years (Required) Work Location: Fully Remote Company's website: https://www.psychologytoday.com Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Virtual meetings",software engineer
"Micron’s vision is to transform how the world uses information to enrich life for all. Join an inclusive team focused on one thing: using our expertise in the relentless pursuit of innovation for customers and partners. The solutions we create help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can spark the very innovation we are pursuing.  Req. ID: 290348  Micron Technology’s vision is to transform how the world uses information to enrich life and our commitment to people, innovation, tenacity, collaboration, and customer focus allows us to fulfill our mission to be a global leader in memory and storage solutions. This means conducting business with integrity, accountability, and professionalism while supporting our global community.  Job Description  As an IT Software Engineer at Micron you will configure, develop, maintain and support Micron and third party applications. You will create and analyze software specifications, and research, design, document, modify, and support software throughout the development life cycle. You must demonstrate the functional and technical skills necessary to switch between development technologies and merge them to provide the best solution. You must have a demonstrated ability to create quality software and participate in quality improvement efforts. You will provide solutions that create business value while at the same time minimizing negative impact through defects, downtime, or performance degradation.  Responsibilities and Tasks  Analyze business needs to understand the problem.  Meet with customers. Collaborate with others (Business Process Analysts, Project Managers) to identify, clarify, and capture customer requirements. Document As Is and To Be process flows.  Analyze the software solution options.  Evaluate the available software options. Collaborate with the IT enterprise architects to understand the IT roadmap. Lead or participate in a cost analysis. Lead or participate in a decision analysis. Collaborate with the project manager to resolve time, resource constraints, etc. Review options with the customer to help resolve best solution.  Follow the software development lifecycle to deliver solutions.  Design a solution based on customer requirements. Implement the software solution. Complete unit testing. Participate with end users in integration and user acceptance testing. Document (technical specifications, test plans, deployment plans, etc.).  Implement 3rd party solutions.  Partner with the IT Procurement representative to resolve contracts, support requirements, training provided, etc. Participate in vendor selection. Work with the vendor to understand the product. Attend vendor training and prototyping sessions. Integrate the solution into the existing business environment. Participate in software audits. Participate in service packs and software upgrades. Work with project teams and partners to ensure a successful implementation that meets customer expectations.  Provide 24x7 escalation support for software issues.  Act as the SME and final point of contact. Respond to customer or developer requests for assistance. Solve issues independently and with other teams. Identify and document defects and enhancements. Assist with the onboarding of support team members through training and mentoring.  Work to maintain skills and improve the IS roadmap.  Attend conferences and seminars. Attend training and implement the information learned. Research best practices, current trends, and techniques. Make recommendations to the enterprise architect for changes to the IT roadmap. Implement technology interactions based on company and industry best practices. Education Bachelors Degree or equivalent experience Computer Science or Information Systems, preferred Related field of study Qualifications Comfortability with programming and scripting languages The ability to work in several areas of software development as part of a team or independently Strong analytical, problem solving, and organizational skills The ability to work in a dynamic, fast-paced, 24x7 work environment Handle numerous projects and tasks concurrently Self-motivated with the ability to work with minimal supervision Excellent customer service skills Active team participation and demonstrated teamwork and consensus building skills Excellent verbal and written communication skills Working knowledge of and alignment to ITIL principles About Us As the leader in innovative memory solutions, Micron is helping the world make sense of data by delivering technology that is transforming how the world uses information. Through our global brands — Micron, Crucial and Ballistix — we offer the industry’s broadest portfolio. We are the only company manufacturing today’s major memory and storage technologies: DRAM, NAND, NOR and 3D XPoint™ memory. Our solutions are purpose built to leverage the value of data to unlock financial insights, accelerate scientific breakthroughs and enhance communication around the world.  Micron Benefits Employee Rewards Program, Healthcare, Paid time off (Combined Sick and Vacation Time), Retirement savings plans, Paid maternity/paternity leave, Employee Assistance Program, Professional development training, Workplace wellness programs, Micron Health Clinic (Boise only), Fitness Center / Activity rooms (Boise only), Tuition Reimbursement, Micron Corporate Discounts, Casual Dress attire.  About Micron Technology, Inc. We are an industry leader in innovative memory and storage solutions. Through our global brands – Micron® and Crucial® – our broad portfolio of high-performance memory and storage technologies, including DRAM, NAND, 3D XPoint™ memory and NOR, is transforming how the world uses information to enrich life. Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine learning and autonomous vehicles, in key market segments like mobile, data center, client, consumer, industrial, graphics, automotive, and networking. Our common stock is traded on the Nasdaq under the MU symbol. To learn more visit micron.com/careers  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.  Micron prohibits the use of child labor and complies with all applicable laws, rules, regulations and other international and industry labor standards.  Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.  For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s Human Resources Department at 1-800-336-8918 or 208-368-4748 and/or by completing our General Contact Form  Keywords: Boise || Idaho (US-ID) || United States (US) || SGA || Experienced || Regular || Information Systems and Technology || #LI-JC4 || Tier 4 ||",software engineer
"Kochava provides a unified platform with solutions for mobile advertising and marketing technology clients. We serve the world’s top digital brands; set industry standards for secure, real-time data solutions; and help people-based marketers establish identity, measure, and optimize their marketing across connected devices.  We enable the visibility into and management of billions of data points, millions of users, and hundreds of millions of dollars in lifetime value (LTV) and promotional ad spend. Our Unified Audience Platform empowers our customers to see and manage their data and unleash the power of their connected audiences; Globally, Kochava is trusted by the largest brands across a wide spectrum of verticals, including mobile gaming, commerce, news and media, to perform high-end mobile analytics; among our clients we have Coca Cola, Nike, ViacomCBS, McDonald's, Yelp, BBC Worldwide, Microsoft, and many more.  We're looking for a Software Engineer to function as a central member of Kochava's front-end development team. The mobile user tracking and attribution market is challenging, dynamic, fun, and provides almost unlimited opportunities for personal and professional growth.  WHAT YOU CAN EXPECT IN A FE DEVELOPER ROLE AT KOCHAVA You'll help improve the overall experience of our product through improving the quality of the Frontend features You’ll help identify areas of improvements in the code base and help contribute to make it better You’ll learn, collaborate and teach other FE Developers. Everyone can contribute something new to the team regardless of how long they’ve been in the industry. You’ll fix prioritized issues typically assigned to you by the Director of FE. These are typically bugs listed in an Asana task with an attached priority label. You'll write high quality code to complete tasks assigned to you. You’ll contribute to and follow our workflow process, alongside the rest of the FE Developer team.  Job Responsbiltities Develop & deliver front end-design assets using clean, easy-to-read, semantic HTML/JS/CSS/SCSS Review specifications & provide time estimates on the development of projects & features  Apply If You Have prior experience building Frontend web applications Have a solid understanding in core web and browser concepts (eg. how does JavaScript handle asynchronous code) Have a solid understanding of CSS/SASS, semantic HTML and core JavaScript concepts. Have working knowledge writing CSS in the SASS/LESS extension languages Have experience working with modern frontend frameworks (eg. Vue, React, Angular, etc.) Have experience optimizing code and look for ways to resolve performance issues Are proactive in taking ownership of tasks and take them to completion Desire to learn and continually give and receive feedback effectively Are proactive in taking ownership of tasks and take them to completion  Nice to Have Have working knowledge of PHP Have a working knowledge of TDD, BDD, and end to end testing procedures  Our Start Kochava began in 2011 when a team of mobile and gaming professionals saw the need to better understand the feedback loop of user acquisition, engagement, and LTV for mobile applications. Through the process of creating apps for customers from a wide range of industries, we were repeatedly asked if we could shed some light on what media advertising efforts were converting and the effectiveness of their mobile ad spend by partner. Realizing a solution to these questions wasn’t readily available, we started designing and building a mobile measurement platform that would become Kochava.  Our HQ Location We live and work in the wonderful ski resort town of Sandpoint, Idaho. Kochava has sales and agency representation in major markets worldwide, but we choose to grow our development and engineering infrastructure around Sandpoint, as it allows us to stay focused on cutting code while taking advantage of the community and quality of life the town offers to our team.  Kochava is an equal opportunity employer committed to building a team culture that celebrates diversity and inclusion.",software engineer
"Responsibilities & Tasks The candidate will be responsible for working with other team members to create and deliver HP Office Printing Solutions Extensibility Software and SDK components intended for 3rd party solution partner use. The candidate will also work with team members to design and deliver the infrastructure and qualification tooling necessary for the development of our Extensibility platforms. Analyze high-level system design and determine the coding, programming, and integration activities required based on general objectives and knowledge of overall architecture of the product or solution. Write and execute complete testing plans, protocols, and documentation for assigned portion of application/component. Analyze and debug components and contribute to their successful integration into the overall system/application architecture. Work with a team of other software systems engineers and internal and outsourced development partners to develop reliable, cost-effective and high-quality solutions and components. Collaborate and communicate with management, internal, and outsourced development partners regarding software systems design status, project progress, and issue resolution. Provides guidance and mentoring to less-experienced staff members. Skills & Requirements: Strong general-purpose coding skills using C# and/or Java is required. Web application development experience (frontend and backend) with a sound understanding of JavaScript is needed. Expertise with common platforms and technologies such as ASP.NET, Node.js, TypeScript, React, etc. is beneficial. Previous experience designing and implementing REST APIs as well as corresponding client libraries. Experience with Git and knowledge of GitHub workflows such as branching, pull-requests, code-reviews, etc. Candidates familiar with the use, design, and maintenance of CI pipelines and other DevOps experience is highly desired. Excellent communication, verbal, and written skills. Experience developing SDKs and related assets (documentation, examples, etc.) meant for 3rd party usage is highly valued. Familiarity with C++, Linux, embedded systems, and general FW development lifecycle is encouraged. Typically 3-5 years of related work experience required Education Required: Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent. #LI-POST  About HP  You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you. So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.  HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.  Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are. From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!",software engineer
"Software Engineer Octarine, now a part of VMware, leads the space of Kubernetes and container security within VMware. Our products deliver end-to-end security solutions for customers running workloads in cloud-native environments, protecting applications against internal and external threats. To achieve this, we’re tackling various technological and product challenges, striving to build the best solution at the best quality and at an increasingly large scale. Now, as part of the security business unit in VMware, we’re taking everything we’ve built so far to the next level - aiming to support hundreds and thousands of new customers, continuously improving our products’ features and quality, and planning to design and build new product lines. Join a super talented team of engineers using a wide variety of the latest technologies to solve big problems, both from a technology standpoint and a product one. Our stack is based on Go, C++, Python, React, AWS, Kafka, MongoDB, Cassandra, and a whole lot around Kubernetes and Istio. What You’ll Do Lead initiatives to design, build and deliver complex product features, in a fast-paced environment, working with the latest frameworks and technologies. Be an integral part of scaling our offering to hundreds and thousands of customers, now as part of VMware. Face various technological challenges, from designing big-data processing solutions to understanding the internals of Kubernetes, to planning the architecture of a new product. Contribute to product direction and design discussions. Belong to a group of world-class engineers, working together to build a better product - solving real issues to our customers, and doing that at the best quality possible. Collaborate with product management, UX, DevOps, backend, and frontend engineers to deliver the right solution. What You’ll Bring 2+ years of experience in designing and delivering commercial software products. Experience writing multi-component systems or micro-services. Advantage to working with container platforms and orchestrators such as Docker and Kubernetes. High-level expertise writing in a high-level language such as Go, Rust, Python, Ruby, etc. Experience with NoSQL databases (e.g. MongoDB, Redis, Cassandra, Couchbase). Excellent problem solving and troubleshooting skills. Quickly master new languages and technologies. Passion for software development and for learning cloud-native application technologies. Excellent communication and interpersonal skills.  Category : Engineering and Technology Subcategory: Software Engineering Experience: Manager and Professional Full Time/ Part Time: Full Time Posted Date: 2021-05-07  VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.  Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",software engineer
"Why Vacasa We started with just one home and an idea: to bring homeowners and renters together with smart technology and caring local teams. Today, we're the largest full-service vacation rental company in the US thanks to the people who give us their best every day. You'll fit right in here if you're curious, collaborative, innovative, and thrive in a rapid-growth environment. Why Software Engineering at Vacasa? We build the industry-leading technology that enables Vacasa to manage over 25,000 homes and service more than 2 million guest stays per year-a scale that is otherwise unprecedented in the vacation rental management industry and continues to grow.We have big ambitions and aim to move fast. We live in the cloud (AWS), empower our teams to design and operate their own applications & services, and release software into production systems many times per day. What you'll do As a Senior Software Engineer, you'll be a key influencer on your team, solving mission-critical problems and being a hands-on contributor to our ever-evolving systems. We believe to shine in this role, you're good at: Designing, architecting, and building software; applying current technology thinking and patterns to our business problems Guiding peer developers via code reviews, providing support and guidance to your colleagues and new developers. Continuously learning new technologies and validating concepts in order to pick the right tool for the job Utilizing DevOps tools and practices for building, deploying, and maintaining software in production environments Participating and building a collaborative, productive culture around product-focused goals Building towards higher quality standards and working with your team to create robust testing approaches Skills you'll need 5+ years of professional experience using two or more languages and working with multiple back-end data storage technologies Ability to write high-quality, well-tested code that places maintainability over cleverness; know when and what to optimize for in a given situation Adept at guiding technical direction within a cross-functional engineering team Experience in cloud platforms with Infrastructure as Code Experience and enthusiasm to mentor junior engineers Ability to work from home and resides in one of the followings states: AK, AL, AZ, CA, DE, FL, GA, HI, ID, IL, LA, MA, MD, ME, MI, MT, NC, NH, NM, NV, NY, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI, or WY Bonus Points Experience working with cloud computing platforms, specifically AWS Experience writing Infrastructure as Code Experience working with Python Experience in hospitality or travel industry What you'll get Health/dental/vision insurance—100% coverage option Employer Sponsored & Voluntary Supplemental Benefits 401K retirement savings plan with immediate 100% company match on the first 6% you contribute Health & Dependent Care Flexible Spending Accounts Paid vacation & sick days Paid holidays Paid parental leave after one year of tenure Employee Assistance Program Career advancement opportunities Employee discounts All the equipment you'll need to be successful Great colleagues and culture Please visit our careers page to review our full benefits offerings  Vacasa is an equal opportunity employer committed to fostering a diverse and inclusive workplace. We do not discriminate against applicants based upon race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), national origin, age, disability, genetic information, or other classes protected by applicable law. Vacasa is committed to maintaining a safe and productive work environment. Possession, use, or being under the influence of alcohol or illegal drugs in the workplace is prohibited. An offer of employment for this role will be contingent upon the successful completion of a background check. #LI-Remote",software engineer
"Kochava provides a unified platform with solutions for mobile advertising and marketing technology clients. We serve the world’s top digital brands; set industry standards for secure, real-time data solutions; and help people-based marketers establish identity, measure, and optimize their marketing across connected devices.  We enable the visibility into and management of billions of data points, millions of users, and hundreds of millions of dollars in lifetime value (LTV) and promotional ad spend. Our Unified Audience Platform empowers our customers to see and manage their data and unleash the power of their connected audiences; Globally, Kochava is trusted by the largest brands across a wide spectrum of verticals, including mobile gaming, commerce, news and media, to perform high-end mobile analytics; among our clients we have Coca Cola, Nike, ViacomCBS, McDonald's, Yelp, BBC Worldwide, Microsoft, and many more.  We're looking for a Software Engineer to function as a central member of Kochava's solutions engineering team. The mobile user tracking and attribution market is challenging, dynamic, fun, and provides almost unlimited opportunities for personal and professional growth.  We are looking for dedicated team players that are comfortable with self-direction, and inspired by the thrill of building creative solutions to challenging problems. Several of our programmers are self-taught, so a degree is not a necessity. However, a love of programming and ability to work in a team are both a requirement. Supportive of a non-typical (8-5) work schedule as needed. Job Responsibilities Be a core member of the team creating leading edge attribution and analytics tools Design & implement highly-available, fault-tolerant, real time, distributed systems for core offerings Balance a fast paced delivery schedule while ensuring quality and resilience Maintenance, care, and optimization of legacy systems Experience/Skills Required Computer Science degree or equivalent experience Experience in one or high proficiency in a few backend languages – preference of Go/PHP/Java Develop in a Linux environment Aptitude to learn new programming languages/technologies Bonus Mobile App development Experience with large-scale storage systems - including MySQL/PostgreSQL/Redis/Memcache/Redshift/BigQuery/Hadoop/Druid Google Cloud Platform or AWS Data pipelining, large datasets Gitlab CI & Jenkins Docker HTML 5, client-side JS Frameworks, CSS Our Start Kochava began in 2011 when a team of mobile and gaming professionals saw the need to better understand the feedback loop of user acquisition, engagement, and LTV for mobile applications. Through the process of creating apps for customers from a wide range of industries, we were repeatedly asked if we could shed some light on what media advertising efforts were converting and the effectiveness of their mobile ad spend by partner. Realizing a solution to these questions wasn’t readily available, we started designing and building a mobile measurement platform that would become Kochava.  Our HQ Location We live and work in the wonderful ski resort town of Sandpoint, Idaho. Kochava has sales and agency representation in major markets worldwide, but we choose to grow our development and engineering infrastructure around Sandpoint, as it allows us to stay focused on cutting code while taking advantage of the community and quality of life the town offers to our team.  Kochava is an equal opportunity employer committed to building a team culture that celebrates diversity and inclusion.",software engineer
"Company: FedEx Services Job Title: Full Stack Developer I Job Requisition Number: RC349339 Category: Information Technology Pay Type: Exempt Locations: Collierville, Tennessee 38017 United States  Boise, Idaho 83705 United States  Job Summary: Under close supervision, designs, codes, tests and deploys software in all layers of the development life cycle. Provides the necessary documentation.  Domicile: This position will be domiciled in Collierville, Tennessee (suburb of Memphis, Tennessee).  Remote Work: The ability to work remotely within the United States may be available based on business need.  Relocation: Relocation assistance may be available based on business need.  Notice: Sponsorship for this position is not available for new hires.  Minimum Requirements: Bachelor's Degree/equivalent in computer science, engineering, or information systems and/or equivalent formal training or work experience.  Application Criteria: To be considered, please upload a copy of your current resume to include beginning and ending dates for each employer/position and answer job screening questionnaire by close of business (5:00 PM CST) on Thursday, May 13, 2021.  FedEx Services is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, genetics disability, or protected Veteran status. FedEx Services will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee, unless undue hardship or a direct threat would result from the accommodation. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact recruitmentsupport@fedex.com.",software engineer
"Emsi is looking for a skilled software engineer to work on the Classifiers & Extractors team. This team builds and maintains high-performance text extraction and classification libraries used to analyze job postings, resumes, and similar documents. In addition to the machine learning solutions, this team also produces the internal tooling and data pipelines to support teams of taxonomists and curators working to continuously improve Emsi’s classifications and libraries.  The ideal candidate has significant experience working in high-performance systems languages, a working knowledge of linear algebra, and at least basic familiarity with machine learning techniques Daily Responsibilities: Develop and maintain extractors, classifiers, and the data pipelines to support them. Research the most effective solutions to text extraction and classification problems. Optimize solutions for maximal document per second per core throughput. Work with Emsi’s taxonomists and data curators to build the internal tooling and data pipelines necessary to continuously improve our libraries. Key Skills: Systems programming on Linux, including working knowledge of virtual memory, optimizing for cacheline performance, and using the perf toolkit. Proficient in the D programming language or similar (C, C++). At least basic knowledge of machine learning techniques. Working knowledge of linear algebra, experience with Intel MKL or similar desirable. Good knowledge of algorithms and data structures. Fluent English, written and spoken. Git version control. Debugging with GDB. AWS S3, EC2, Athena. This position reports to the C&E Team Lead and has significant opportunity for career progression either as an individual contributor or as a team lead or manager.  Emsi is an equal opportunity employer.",software engineer
