JobDesc,JobTitle
"Work Location Albuquerque, NM or Socorro, NM About Us Established in 1981, SURVICE Engineering is a nationally recognized, single-source engineering service provider for Government and Industry organizations involved in all phases of the systems engineering process. We're proud to have supported the development, testing, and analysis of many of the major U.S. combat systems in the field today. Position Summary SURVICE Engineering is seeking multiple Scientific Software Engineers (at all levels) to provide support for our Navy and Air Force customers working on directed energy initiatives. This SW Developer will work with our Laser Software Research Team including subject matter experts and methodology developers in analyzing new functional requirements, developing new models, and maintaining and enhancing existing models. This individual will work with a software development team including subject matter experts and project managers in analyzing new functional requirements while providing feasibility assessments and level of effort. Primary Duties & Responsibilities Collaborates with other software developers to analyze, estimate, design, and implement features, potentially taking a leadership position Participates in planning meetings and technical coordination meetings for reporting issues, planning, and providing status C++11, C++17 standards Works with subject matter experts and project managers in analyzing new functional requirements while providing feasibility assessments and level of effort Follows the team's software development process and procedures. When directed, peer review fellow software developer's code and documentation to ensure it meets team's quality standards and best practices Works with software architectural owners to ensure all development meets architectural vision and system designs Works with lead software engineer and senior developers in deriving technical requirements from functional requirements Contributes to technical design documentation and maintenance of the software Minimum Qualifications Bachelor of Science degree in Computer Science, Physics, Mathematics, or related degree for all levels Jr. (1-3 years), Mid (3-5+ years), senior level (5-10+years) or lead (10-15+ years). ideal candidates will have relevant experience in development of scientific application software. Alternatively, a Master's or other advance degree with experience in software development. Experience with C++ is required. Additional experience with other languages, such as C, FORTRAN, or Python is desirable Experience in working on a software development team Solid coding practices including design, unit testing, and revision control C++11, C++17 standards Security Clearance Requirement Ability to obtain and maintain a Department of Defense Security Clearance. MUST BE A US CITIZEN  *** To see what it's like working for SURVICE, see what our employees have to say *** Employee Testimonials  SURVICE Engineering is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. VEVRAA Federal Contractor.",software engineer
"Overview:  Job Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days  Summary: Under general supervision, carries out procedures to ensure that all information systems products and services meet minimum organization standards and end-user requirements. Thoroughly tests software to ensure proper operation and freedom from defects. Documents and works to resolve all problems. Reports progress on problem resolution to management. Devises improvements to current procedures and develops models of possible future configurations. Performs work flow analysis and recommends quality improvements. Frequently reports to a Technical Test Manager. Responsibilities:  Responsibilities: Analyzes, organizes and coordinates Integrated test efforts. Dissect processes, business documentation, software, hardware, configuration enhancements and other additions to develop Test Cases, Test Scenarios, Test Plans and Test Approach documentation for testing efforts. Leads SMEs in developing/designing Test Cases and Test Scripts within the timelines provided. Identifies and analyzes testing inconsistencies identified during testing efforts. Analyze and Report results to stake holders using approved process and tools. Demonstrates detailed analytical, problem solving, investigative and research ability. Defines, evaluates and validates the appropriate business problems or opportunities and determines appropriate course of action. Manages the IS testing process, including defining benchmarks, testing status, testing progress, and reporting these items to the appropriate individuals/departments.  Qualifications: Preferred Qualifications: Experience in a highly automated testing center Experience with HealthRules Payor  Other information: Bachelors degree in related technical/business area plus 2 years of IT or business experience. 6 years of additional experience can be substituted in lieu of degree  Competencies and skills: Nonessential: SKILL-Ability to effectively interact with customers to understand their needs and explain data SKILL-Microsoft Office SKILL-Demonstrated ability to communicate effectively in person and via telephone with members, employer groups, brokers, physicians, and physician office staff using strong dialogue and customer service competencies. SKILL-Written communication Benefits:  Benefits Benefits are effective day-one (for .45 FTE and above) and include: Competitive salaries Full medical, dental and vision insurance Flexible spending accounts (FSAs) Free wellness programs Paid time off (PTO) Retirement plans, including matching employer contributions Continuing education and career development opportunities Life insurance and short/long term disability programs  About Us Presbyterian Healthcare Services is a locally owned, not-for-profit healthcare system of nine hospitals, a statewide health plan and a growing multi-specialty medical group. Founded in New Mexico in 1908, it is the state's largest private employer with approximately 11,000 employees. Presbyterian's story is really the story of the remarkable people who have chosen to work here. Starting with Reverend Cooper who began our journey in 1908, the hard work of thousands of physicians, employees, board members, and other volunteers brought Presbyterian from a tiny tuberculosis sanatorium to a statewide healthcare system, serving more than 700,000 New Mexicans.  We are part of New Mexico's history - and committed to its future. That is why we will continue to work just as hard and care just as deeply to serve New Mexico for years to come.  About New Mexico New Mexico's unique blend of Spanish, Mexican and Native American influences contribute to a culturally rich lifestyle. Add in Albuquerque's International Balloon Fiesta, Los Alamos' nuclear scientists, Roswell's visitors from outer space, and Santa Fe's artists, and you get an eclectic mix of people, places and experiences that make this state great.  Cities in New Mexico are continually ranked among the nation's best places to work and live by Forbes magazine, Kiplinger's Personal Finance, and other corporate and government relocation managers like Worldwide ERC.  New Mexico offers endless recreational opportunities to explore, and enjoy an active lifestyle. Venture off the beaten path, challenge your body in the elements, or open yourself up to the expansive sky. From hiking, golfing and biking to skiing, snowboarding and boating, it's all available among our beautiful wonders of the west.  AA/EOE/VET/DISABLED. PHS is a drug-free and tobacco-free employer with smoke free campuses.  KM123",software engineer
"QA Software Engineer (remote and agile) We are Psychology Today – the world's #1 psychology site visited by over 40 million people a month. We match thousands of therapists with clients every day. Think Airbnb, but for Therapy. We’re looking for a few engineers who thrive on cutting edge technology to join us, and bring therapy and mental health to the world. (And, yes, we still publish the magazine.) If you're a talented and experienced QA Engineer, who enjoys working remotely, and solving problems elegantly then you may have found your new home. We offer: Work/life balance A product and team that will inspire you - so you can do meaningful work with people who make you laugh A healthy, profitable and stable company where team members stay for many years The freedom to work remotely from wherever home is A supportive platform and a flat structure to do innovative work, be acknowledged, and make a difference Compensation: $125,000 - $150,000 + BONUS Requirements: 3+ years of experience in SDET Commitment to quality and high standards with close attention to detail Strong diagnostic, analysis, troubleshooting, problem-solving skills Experience designing, writing, and executing test plans Experience working with UI automation using Selenium and WebDriverIO Strong experience with mobile automation testing with tools like Appium Development experience with languages like Go and Python Experience with CI/CD using GitLab pipelines Familiarity with infrastructure as code tooling such as Terraform Ability to work in a Linux-based environment Ability to work well under pressure on multiple projects in a fast paced environment Experience working with AWS managed services Familiarity with Agile Scrum methodology Responsibilities: Participate in the software development life cycle from beginning to end Create and execute test plans for existing products and features Work with development team to define testing protocol for new features as they are designed and developed Develop test scenarios from requirements and ensure maximum requirement traceability Develop automated tests to ensure regression coverage across products Lead team in developing automated tests Manage software builds and production deployments Related keywords: automation engineer, qa automation engineer, engineer, qa tester, fullstack Job Type: Full-time Salary: $125,000.00 - $150,000.00 per year Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Experience: SDET: 3 years (Required) Test Automation: 2 years (Required) Work Location: Fully Remote Company's website: https://www.psychologytoday.com Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Virtual meetings",software engineer
"Posting Duration  This posting will be open for application submissions for a minimum of seven (7) calendar days, including the ‘posting date’. Sandia reserves the right to extend the posting date at any time. What Your Job Will Be Like  Ready to join a dynamic team that solves significant issues for our nation's security? Passionate about the protection of critical assets and other high value targets? Join our dynamic team and make a difference! We are seeking R&D Computer Science professionals and the Systems Mission Engineering Center (Org. 6300) is looking for YOU! The selected applicant will bring strong software design/development skills to join highly productive teams that research and develop innovative solutions to a broad spectrum of problems of national importance. The successful candidate will enjoy collaborating in an innovating environment to architect, design, develop, test, and deploy advanced data processing software for complex, real-time decision support systems. On any given day, the selected candidate may be called on to: Work on an Agile team to develop software systems which solve the most challenging remote sensing problems, including the capture, processing, exploitation, visualization and distribution of real-time satellite sensor data Work collaboratively with architects, developers, technical leads, customers, and end users to collect requirements, design solutions, and deliver extensible software applications Contribute to deeply rewarding missions through engagement with diverse computer science specialties and specialists in areas such as data fusion, signal and image processing, analytics, cloud computing, machine learning, modeling and simulation, service oriented architectures, data management and visualization, and pattern recognition You may be interviewed and hired into one of several departments within our center. Qualifications We Require Undergraduate and advanced degree (Masters or PhD) in related STEM field; a bachelor's degree in relevant STEM field plus four years' experience may be considered in lieu of an advanced degree Experience in software design, engineering and development skills, including familiarity with modern software development practices and tools Experience with object-oriented software development (e.g., C++, Java and Python) Can obtain DOE Q clearance Qualifications We Desire Knowledge and experience with implementation of the full software development process using Agile or Iterative methodologies Experience using a subset of the following: system engineering, hardware and software architecture, distributed system design, data exploitation/mining/fusion algorithms, digital signal processing, image processing, optical systems, command and control systems, numerical analysis, modeling and simulation, relational/object/geographic database technologies, user interfaces, scientific data visualization, web services technologies, and multi-core/GPU/parallel computing Proficiency in a subset of the following: requirements capture, software modeling using UML, systems-level software testing, high consequence anomaly resolution, documentation and training, information assurance, and deployment of delivered systems Experience with Docker containers, Jenkins continuous integration, and continuous delivery approaches to software development and deployment in cloud-based environments Proven ability to develop and present ideas and results in oral and written form Critical thinking, synthesis and problem-solving; ability to deal with ambiguity and adapt to a fast-paced, customer-focused operation; teaming; self-starting Can obtain a SCI clearance, which may require polygraph testing About Our Team  Our team is responsible for the design and development of advanced mission data processing systems and analytical applications that enable some of our nation's most compelling nonproliferation and national security missions. Our mission is to design, engineer, build, deploy and enhance essential systems that transform data into decisions. Our systems are targeted for a range of applications and complexity including: remote and in-situ sensing systems; satellite communications and control; distributed computing and analysis; real-time data collection, processing, exploitation and dissemination; and mission engineering and analysis. About Sandia  Sandia National Laboratories is the nation’s premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs: Challenging work with amazing impact that contributes to security, peace, and freedom worldwide Extraordinary co-workers Some of the best tools, equipment, and research facilities in the world Career advancement and enrichment opportunities Flexible schedules, generous vacations, strong medical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance*  World-changing technologies. Life-changing careers. Learn more about Sandia at: http://www.sandia.gov These benefits vary by job classification. Security Clearance  Sandia is required by DOE to conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Applicants for employment need to be able to obtain and maintain a DOE Q-level security clearance and SCI access, both of which require US citizenship. SCI access may also require a polygraph examination. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain these levels of access may be impacted. Applicants offered employment with Sandia are subject to a federal background investigation to meet the requirements for access to classified information or matter if the duties of the position require a DOE security clearance. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause a clearance to be denied or terminated by the DOE, resulting in the inability to perform the duties assigned and subsequent termination of employment. EEO  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status and any other protected class under state or federal law.",software engineer
"Software Engineer (AI Developer) Classification: FLSA Exempt Reports To: Supervisor, Software Engineering  Summary Develops and maintains Indica Labs’ software platforms for HALO, HALO AI, and other custom software developments. Duties and Responsibilities Works with a small, diverse development team to implement new features and extend existing ones. Communicates with application scientists to derive requirements and convert those into beautiful code. Weighs and communicates design tradeoffs, builds prototypes, and solicits feedback in dynamic iterations. Works with our support staff to diagnose and fix internally discovered or customer reported issues. Modifies existing software to correct errors, allows it to adapt to new hardware, or to improve its performances. Designs system and obtains information on project limitations and capabilities Stores, retrieves, and manipulates data for analysis of system capabilities and requirements Designs, develops, and modifies software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design. This job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee. Duties, responsibilities, and activities may change, or new ones may be assigned at any time with or without notice  Minimum Qualifications Bachelor’s Degree in Computer Science (CS), Computer Engineering (CE), Electrical Engineering (EE), Math or related. Completed degree(s) from an accredited institution that are above the minimum education requirement may be substituted for experience on a year for year basis. One (1) year of development experience Authorization to work in the United States, or appropriate authorization to work in the applicant’s current home country (Indica Labs, Inc. does not sponsor work visas)  Preferred Qualifications Three (3) years of development experience Familiar with enterprise environments and operations Fluent in C++, C# or Python with a working knowledge of multiple other programming languages Familiar with Indica Labs, Inc. software development cycles and codebase Familiar with Machine Learning frameworks and technologies (CUDA, MXNet) Strong preference will be given to applicants currently residing in New Mexico  Knowledge, Skills, and Abilities Strong software design skills, including imperative, functional, Object Oriented Programming (OOP) Knowledge of relational databases and network protocols (MySQL, HTTPS) Knowledge of concurrency and the ability to debug multithreaded code Critical thinking skills Strong interpersonal and communication skills and the ability to work effectively with a wide range of constituencies in a diverse, global community Ability to effectively manage time and schedules Project management skills Strategic planning skills Ability to create, compose, and edit written materials Ability to evaluate new and evolving programming technologies Ability to work independently and as a member of a team Knowledge and understanding of current programming technologies  Location This position is based at our headquarters in Albuquerque, New Mexico.  Working Conditions and Physical Effort No, or limited physical effort required No, or limited exposure to physical risk Work is normally performed in a typical interior/office work environment  Indica Labs, Inc. is proud to be an Equal Employment Opportunity and Affirmative Action employer. We take pride in providing equal employment opportunities to all employees and applicants regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Additionally, it is standard company policy to provide reasonable accommodations to qualified individuals who have protected disabilities to the extent required by applicable laws.  Location Albuquerque, New Mexico Department HALO AI Employment Type Full-Time Minimum Experience Entry-level",software engineer
"TransCore (TRN), a subsidiary of Roper Technologies, Inc. (NYSE: ROP) is seeking a full-time System Test Engineer I to join our Quality Assurance (QA) team Integrated System Test Group in Albuquerque, New Mexico.  Job Summary: The Software (SW) Test Engineer I position is an entry-level role and will contribute to multiple aspects of the Integrated System Test Group. The SW Test Engineer I will apply their technical skills to support the Test Group, with a focus on operationally relevant testing at the Infinity test site located in Albuquerque. Each year, we usually reconfigure the test site 3 to 4 times for client-facing demonstrations or specific client-supporting test configurations. Software updates are released every two weeks, on average. The Integrated System Test Group is responsible for executing system updates, system reconfigurations, and system testing based on schedule and priorities managed by the Product Test Manager.  Because of the complex nature of the integrated Infinity system, as well as the ongoing process improvement goals set by the Infinity Product Management core team, there is no specific collection of technical skills that we are looking for. Instead, we seek to match a technically skilled candidate with the overall goals and collaborative team approach already in place in the QA team. The successful candidate will bring technical skills that can be applied to one or more of the QA challenges immediately, while also striving to continuously learn more about the past, current, and future capabilities of the integrated Infinity system.  Expected to support the following: Contribute to 2021 QA goals including Documentation of current end-to-end processes, both within the QA team as well as the broader Infinity team Implementation of task tracking and documentation Increase percentage of software changes that are tested and documented in ABQ Best practices training and outreach to other Infinity teams, including project support, maintenance teams, staging, and others Less than 10% travel Occasional shift work as needed to support testing requirements  Education: Bachelor’s degree in IT or equivalent work experience  Required Skills & Experience: Excellent written and verbal communication skills Outstanding attention to detail Willingness and ability to continually gain knowledge regarding the integrated Infinity system Ability to work independently on requested tasks, and to effectively hand off tasks to other team members when necessary, based on shifting priorities Ability to effectively respond to changing priorities based on guidance from the Product Test Manager and/or Director of Quality Ability to develop and improve process documentation Ability to provide outstanding support to internal and external customers and stakeholders Ability to teach or be taught depending on the specific skill and knowledge set in demand for any given project Complex network environments (mixed Windows and Linux) Linux OS Windows OS (embedded, desktop, and server) Scripting/software development, coding, review Configuration management Code review and evaluation Issue identification and documentation Four or more of the skills referenced in the Desired Skills section of this job description, from both a technical category and the test and evaluation category  Desired Skills: The successful SW Test Engineer I candidate will have training or experience in several of the test and evaluation skills category, as well as the technical skills category We are not looking for someone who has all of these, but these are examples of the kinds of skills that will be valuable to contribute to the Infinity QA integrated test group.  General Test and Evaluation skills Previous experience with JIRA or similar RAIL tools Previous experience implementing a wiki or other documentation outreach Previous experience identifying shortfalls in processes, improving them, and supporting team outreach and training Test and Evaluation background System of systems integration and testing Test requirement/criteria development Test script development Test script execution Test result documentation Automated testing Regression testing  Technical - Software-focused skills (examples) Complex network environments (mixed Windows and Linux) Linux OS Windows OS (embedded, desktop, and server) Scripting Software development, coding, review Configuration management Code review and evaluation Troubleshooting Bug identification and documentation  Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",software engineer
"Revature will hire over 300 new Software Developers in the next 4 weeks. As the largest employer of emerging tech talent, we are looking for candidates all around the U.S. One day someone is going to ask you where you got your start…This is IT! With a wide range of Fortune 500 enterprises, government organizations and top systems integrators as our clients, we not only provide you with the skills needed to succeed through an employer-paid training program but will also give you the opportunity to put those skills to use, on projects that matter.  What We Are Looking For College degree (Associates or Bachelors) Must be authorized to work in the US Strong desire to learn to code – No prior professional experience required. A natural problem solver Strong communication and interpersonal skills Willing to relocate anywhere in the US – Relocation assistance provided What We Offer Competitive salary Relocation & housing assistance Health, vision & dental insurance Paid time off Industry Certifications Life Insurance Policy 401k Mentoring program and ongoing support throughout your entire Revature career Experience with the largest and most reputable companies in the US Apply Today. Interviews are going on now. #SoftwareEngineering  Equal Employment Opportunity The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law. We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company’s employees to perform their job duties. Our policy reflects and affirms the Company’s commitment to the principles of fair employment and the elimination of all discriminatory practices.",software engineer
"What You Will Do The Operational Readiness and Execution (ORI-2) group is seeking highly motivated candidates to fill the position of Software Developer 2 working within the ORI-2 Manufacturing Systems Team. The selected candidate will apply their experience in all aspects of the Software Development Lifecycle (SDLC), including requirements definition, technical designs, coding, testing and implementation in direct support of the Weapons Production mission execution. The successful candidate will work as part of a team to support projects with software development tools and processes that expand the Manufacturing Management Systems (MMS) capability. The team is responsible for evaluating and implementing solutions to efficiently leverage software systems in the deployment of a modern digital manufacturing capability within the Laboratory’s plutonium operations and within the framework of the Weapons Production IT Roadmap. The Software Developers support software applications and systems by investigating, designing, documenting and implementing new hardware and software and working with customers and end users to understand requirements, as well as analyzing user requirements and evaluating work processes. The selected candidate will prepare concepts for information system solutions and evaluate the cost-effectiveness of these concepts. The position requires demonstrated experience in the development of software solutions that will be applied in the MMS systems. The core responsibilities will include (1) Software development, existing software enhancements, and the support of deployed software in a manufacturing environment; (2) Analyzing system features and functionality, investigating software requirements, original programming, system testing, and creating comprehensive software documentation; and (3) Researching and evaluating new or existing software features, emerging technologies, and development tools.   What You Need Minimum Job Requirements: Software Development: Demonstrated knowledge with all phases of the Software Development Lifecycle (SDLC). Demonstrated knowledge with application development and implementation, including one or more of the following: Java, Oracle, Python, PL/SWL, SQL*Plus, or XML. Working knowledge with software testing and formal software modeling concepts. Knowledge of hardware and operating systems (Unix/Linux server platforms) including system architectures, network infrastructures, and system administration utilities Oracle Software : Demonstrated knowledge with the Oracle Application Framework. Knowledge of and/or experience with implementing open-source software Teamwork : Ability to work both independently and collaboratively in a rapidly changing team-based environment. Demonstrated record of success in developing and maintaining strong working relationships with colleagues Education/Experience : Position requires a bachelor’s degree and a minimum five years of related experience, or an equivalent combination of education and experience. Desired Qualifications: Advanced Oracle Background : Background with Oracle database technology using SQL, PL/SQL. Functional / technical knowledge with Oracle ERP / Oracle Applications / Oracle EBS. Nuclear Facility Compliance: F amiliarity with DOE/NNSA Laboratories research and development mission areas. Education/Experience : Bachelor’s Degree in a software or computer science discipline, and five years of related experience, or an equivalent combination of education and experience sufficient to meet requirements above. Clearance: Active DOE Q clearance and HRP Certification. Note to Applicants: For full consideration, please provide a comprehensive resume, which outlines how you meet the minimum and desired skills noted above. Location: This position will be physically located in Los Alamos, NM. Position commitment: Regular appointment employees are required to serve a period of continuous service in their current position in order to be eligible to apply for posted jobs throughout the Laboratory. If an employee has not served the time required, they may only apply for Laboratory jobs with the documented approval of their Division Leader. The position commitment for this position is 1 year.   Where You Will Work Located in beautiful northern New Mexico, Los Alamos National Laboratory (LANL) is a multidisciplinary research institution engaged in strategic science on behalf of national security. Our generous benefits package includes: PPO or High Deductible medical insurance with the same large nationwide network Dental and vision insurance Free basic life and disability insurance Paid maternity and parental leave Award-winning 401(k) (6% matching plus 3.5% annually) Learning opportunities and tuition assistance Flexible schedules and time off (paid sick, vacation, and holidays) Onsite gyms and wellness programs Extensive relocation packages (outside a 50 mile radius)   Additional Details Directive 206.2 - Employment with Triad requires a favorable decision by NNSA indicating employee is suitable under NNSA Supplemental Directive 206.2 . Please note that this requirement applies only to citizens of the United States. Foreign nationals are subject to a similar requirement under DOE Order 142.3A. Clearance: Q (Position will be cleared to this level). Applicants selected will be subject to a Federal background investigation and must meet eligibility requirements* for access to classified matter. *Eligibility requirements: To obtain a clearance, an individual must be at least 18 years of age; U.S. citizenship is required except in very limited circumstances. See DOE Order 472.2 for additional information. HRP: This position is subject to the requirements of the DOE Human Reliability Program as specified in 10 Code of Federal Regulation, Part 712, §712.11. These requirements include on going drug and alcohol testing, as well as periodic medical and psychological evaluations. New-Employment Drug Test: The Laboratory requires successful applicants to complete a new-employment drug test and maintains a substance abuse policy that includes random drug testing. Regular position: Term status Laboratory employees applying for regular-status positions are converted to regular status. Internal Applicants: Regular appointment employees who have served the required period of continuous service in their current position are eligible to apply for posted jobs throughout the Laboratory. If an employee has not served the required period of continuous service, they may only apply for Laboratory jobs with the documented approval of their Division Leader. Please refer to Policy Policy P701 for applicant eligibility requirements. Equal Opportunity: Los Alamos National Laboratory is an equal opportunity employer and supports a diverse and inclusive workforce. All employment practices are based on qualification and merit, without regard to race, color, national origin, ancestry, religion, age, sex, gender identity, sexual orientation or preference, marital status or spousal affiliation, physical or mental disability, medical conditions, pregnancy, status as a protected veteran, genetic information, or citizenship within the limits imposed by federal laws and regulations. The Laboratory is also committed to making our workplace accessible to individuals with disabilities and will provide reasonable accommodations, upon request, for individuals to participate in the application and hiring process. To request such an accommodation, please send an email to applyhelp@lanl.gov or call 1-505-665-4444 option 1.     Appointment Type Regular  Regular",software engineer
"As a leader in recruiting emerging technology talent across the country, Revature is looking forward to hiring over 300 new Entry Level Software Engineers in the next 4 weeks.  One day someone is going to ask you where you got your start…This is IT! With a wide range of Fortune 500 enterprises, government organizations and top systems integrators as our clients, we not only provide you with the skills needed to succeed through an employer-paid training program (10-12 weeks), but will also give you the opportunity to put those skills to use, on projects that matter.  Revature has been featured in the Wall Street Journal, Money, Time, and MSN, and was recently named as one of the “Top 15 Companies that Hire in 15 Days or Less” by Glassdoor. What We Are Looking For College degree (Associates or Bachelors) Strong desire to learn to code – No prior professional experience required. A natural problem solver Strong communication and interpersonal skills Willing to relocate anywhere in the US – Relocation assistance provided Must be authorized to work in the US (US Citizen or Green Card holder) Willingness to commit to a role for a minimum of 2 years. What We Offer Competitive salary Relocation & housing assistance Health, vision & dental insurance Paid time off Industry Certifications Life Insurance Policy 401k Mentoring program and ongoing support throughout your entire Revature career Experience with the largest and most reputable companies in the US  Apply Today. Interviews are going on now. Equal Employment Opportunity The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law. We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company’s employees to perform their job duties. Our policy reflects and affirms the Company’s commitment to the principles of fair employment and the elimination of all discriminatory practices. """,software engineer
"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.  Location / Division  West Hills, CA or Remote U.S. / Transplant Diagnostics  How will you make an impact?  This is a key position in the Bioinformatics group within the Transplant Diagnostics R&D IS team. The successful candidate will have the opportunity to partner with lab scientists, data analysts, software engineers and domain experts to build cutting-edge technologies and develop innovative molecular typing and antibody detection products.  The successful candidate will develop, improve, and maintain tools, pipelines, and software for the analysis of complex HLA typing data from PCR, microarray, NGS, and antibody detection platforms. This role will work in collaboration with the research staff and other departments, and requires knowledge of data analysis methods, software development, bioinformatics, statistics, molecular biology, as well as the ability to quickly grasp new disciplines.  What will you do? Build software tools, including development and implementation of new computational algorithms, machine learning and statistical models to provide solutions for process automation and data analytics for the R&D and manufacturing teams Develop pipelines for NGS analysis and other bioinformatics workflows Build and maintain an internal Bioinformatics web portal for communication and distribution of Bioinformatics tools throughout the Transplant Diagnostics division Search relevant sequence information from external sources for primer and probe design, as well as data mining of genomic libraries and genomes Analyze and interpret complex experimental results and work hand in hand with lab scientists for the research and development of new molecular and antibody products Collect, clean and manage data from various sources, including Excel spreadsheets, text files and SQL databases Actively participate in software code and design reviews Regularly communicate accomplishments and progress to team members and management Develop, modify and execute software test plans and test cases for data analysis software Create and validate technical specifications for customer-facing product documentation Interact with Research, Production, software, and IT staff. May interact with customer support at times  How will you get here?  Education / Experience PhD from an accredited higher learning institution with studies in Computer Science, Bioinformatics, Computation Biology, Life Sciences/Molecular Biology or related field AND 2 years of related postdoctoral or industrial experience; OR master’s degree in Computer Science, Bioinformatics, Computational Biology, Life Sciences/Molecular Biology or related field AND 4 years of related work experience; OR bachelor’s degree in Computer Science, Bioinformatics, Computational Biology, Life Sciences/Molecular Biology or related field AND 6 years of related work experience Experience developing analytical software tools utilizing programming languages, such as C#, Python, R, JavaScript, and SQL Experience with relational databases Experience in developing web tools and services Experience with cloud technologies such as AWS and docker  Knowledge, Skills, Abilities Proficiency in building and maintaining NGS or other bioinformatics analysis pipelines Proficiency working in Windows and Linux environments Pragmatic self-starter who is proactive, self-motivated, team-oriented, and customer-focused with a strong work ethic Ability to meet deadlines within a dynamic environment and able to manage multiple tasks simultaneously while adapting to changing priorities Be curious, detail oriented, and analytical, with a proven ability to learn quickly Sound understanding of statistics, machine learning algorithms, the ability to generate robust predictive models for multidimensional data Understanding wet lab techniques and principles in the field of Molecular Biology, Genomics, and/or Biochemistry Willingness to thoroughly understand products and new projects and to stay current with Bioinformatics, computational or industry trends Good verbal and written communication and well-founded problem-solving skills Demonstrated skills in project management and formal continuous process improvement techniques Ability to work effectively in collaboration with diverse groups of people  This role requires occasional travel to the West Hills, CA site.  Preferred Qualifications Knowledge in immunology Experience in formal verification of software or system in a regulated environment (ex. medical device etc.) Experience administrating a Linux system  Our global team of more than 75,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services and Patheon. For more information, please visit www.thermofisher.com  Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status",software engineer
