JobDesc,JobTitle
".Net Software Development Engineer Apply now Date: Mar 12, 2021 Location: Cheyenne, WY, US Company: TJX Companies, Inc. Discovery is at the heart of everything we do. Wherever you find us around the world, if you can think of a product, you can probably find it in our stores, which include TJ Maxx, Marshalls, HomeGoods, Sierra, Winners, Homesense, and TK Maxx. With variety comes plenty of happy surprises—our environment is ever-changing, and that’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships and even something exciting about yourself. Ready to Discover Different? Posting Notes: Cheyenne || WY  What you’ll discover Inclusive culture and career growth opportunities! Global IT Organization which collaborates across U.S., Canada, Europe and Australia, click here to learn more Challenging, collaborative, and team-based environment What you’ll do The Digital Core Solution Delivery team at TJX develops the software that enables Sierra eCommerce and Stores to process, plan, merchandise, manage, ship, and sell millions of products each day. We are looking for a motivated, experienced .Net Software Development Engineer to help us deliver innovative efficient solutions to extend TJX’s world-class treasure hunt experience to new audiences and fans.  As a .Net Software Development Engineer, you will be a hands-on developer, engineer, and subject matter expert on critical and exciting initiatives within our eCommerce/Store Core team. In this role you will have a huge impact on the design, architecture, and implementation of our core operating and point of sale software used by all Sierra associates and the web store. Your core responsibilities will be developing features from initial ask to final delivery. You will partner with business associates from all aspects of our operation and a team of experienced software engineers to develop and build solutions.  What you’ll need Our team is looking for people with a passion for technology, intellectual curiosity, and a willingness to try new things to drive better solutions and get results. We want people that are familiar with the challenges of developing software with agile methodologies for new and existing business processes as we continue to modernize and grow. We need people with strong customer focus, ownership, urgency and drive with excellent judgment, organizational and problem solving skills who can communicate and work well in a team. Minimum Qualifications 3+ years of software design, development, testing, and implementation experience C# or VB .Net experience and basic SQL knowledge. Solid coding practices like good design documentation, unit testing, peer code reviews; provide guidance and support to team members during software development, release planning and deployment Ability to quickly learn and adapt to new, complex development environments with a passion for improving and expanding software development skillset.  Preferred Qualifications Experience with MVVM, MVP, or MVC patterns, and .Net WCF and WPF Experience with Dependency Injection and client/service oriented architectures Familiarity with security concerns and up-time in enterprise software Experience in warehouse or fulfillment centers, or customer service, eCommerce, or retail stores is a bonus.   Join us and Discover Different at TJX, click here to learn more. Come Discover Different at TJX. From opportunity and teamwork to growth, we think you’ll find that it’s so much more than a job. When you’re a part of our global TJX family, you have the full support of a diverse, close-knit group of people dedicated to finding great deals and fantastic style. Best of all? They have a lot of fun doing it. We care about our culture, but we also prioritize the tangible stuff (Competitive salaries: check. Solid benefits: check. Plenty of room for advancement: of course). It’s our way of empowering you to make your career here.  We consider all applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, gender identity and expression, marital or military status. We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state and local law. Posting Notes: Cheyenne || WY   Nearest Major Market: Wyoming Nearest Secondary Market: Cheyenne",software engineer
"QA Software Engineer (remote and agile) We are Psychology Today – the world's #1 psychology site visited by over 40 million people a month. We match thousands of therapists with clients every day. Think Airbnb, but for Therapy. We’re looking for a few engineers who thrive on cutting edge technology to join us, and bring therapy and mental health to the world. (And, yes, we still publish the magazine.) If you're a talented and experienced QA Engineer, who enjoys working remotely, and solving problems elegantly then you may have found your new home. We offer: Work/life balance A product and team that will inspire you - so you can do meaningful work with people who make you laugh A healthy, profitable and stable company where team members stay for many years The freedom to work remotely from wherever home is A supportive platform and a flat structure to do innovative work, be acknowledged, and make a difference Compensation: $125,000 - $150,000 + BONUS Requirements: 3+ years of experience in SDET Commitment to quality and high standards with close attention to detail Strong diagnostic, analysis, troubleshooting, problem-solving skills Experience designing, writing, and executing test plans Experience working with UI automation using Selenium and WebDriverIO Strong experience with mobile automation testing with tools like Appium Development experience with languages like Go and Python Experience with CI/CD using GitLab pipelines Familiarity with infrastructure as code tooling such as Terraform Ability to work in a Linux-based environment Ability to work well under pressure on multiple projects in a fast paced environment Experience working with AWS managed services Familiarity with Agile Scrum methodology Responsibilities: Participate in the software development life cycle from beginning to end Create and execute test plans for existing products and features Work with development team to define testing protocol for new features as they are designed and developed Develop test scenarios from requirements and ensure maximum requirement traceability Develop automated tests to ensure regression coverage across products Lead team in developing automated tests Manage software builds and production deployments Related keywords: automation engineer, qa automation engineer, engineer, qa tester, fullstack Job Type: Full-time Salary: $125,000.00 - $150,000.00 per year Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Experience: SDET: 3 years (Required) Test Automation: 2 years (Required) Work Location: Fully Remote Company's website: https://www.psychologytoday.com Work Remotely: Yes COVID-19 Precaution(s): Remote interview process Virtual meetings",software engineer
"Software Developer Intern – Laramie, WY As an industry leader, Trihydro provides U.S. engineering and environmental services dedicated to providing clients across many industries with effective, responsive, and safe solutions. Our company offers you a safe, professional, and positive working environment as we tackle some of the most complex environmental challenges. This position will give you the opportunity to learn as well as work in a group with experienced software professionals. We work on exciting projects such as Connected Vehicle applications, Machine Learning, and automated services. This opportunity will allow you to grow and experience working on a fun, fast paced software development team. Responsibilities Gain valuable experience as a paid intern working with Trihydro. This position is responsible for developing, creating, and testing new software features. Applicants must be in pursuit of a bachelor’s degree in an IT related field. Preferred applicants will have relevant software development experience. This role utilizes C#, the Microsoft .NET Core Framework, Java, Linux, Azure, Docker, and REST Services. Duties may also include working with Kafka, Kubernetes, HTML5, Entity Framework, CSS, JavaScript, and the MVC framework. This is a part-time, non-benefited, internship position with flexible hours. Currently enrolled junior, senior, and graduate students are encouraged to apply. Minimum Qualifications: Strong understanding and knowledge in computer software programs and data structures Strong attention to detail, accuracy and completeness, and a commitment to producing high-quality deliverables Commitment to safe operations Interested candidates should apply at https://www.trihydro.com/about-us/careers with their application, resume, and cover letter addressed to Trihydro’s Recruiting Department. Trihydro is an Equal Opportunity, Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected Veteran. Job Types: Part-time, Internship Pay: $15.00 per hour Benefits: 401(k) matching Schedule: Day shift Application Question(s): Are you pursuing a degree in an IT related field? Education: Bachelor's (Preferred) Experience: relevant programming: 1 year (Preferred) Work Location: One location Company's Facebook page: https://www.facebook.com/Trihydro/ Work Remotely: No COVID-19 Precaution(s): Remote interview process Social distancing guidelines in place Virtual meetings Sanitizing, disinfecting, or cleaning procedures in place",software engineer
"Software Developer – Laramie, WY, or Fort Collins, CO Trihydro, one of the top environmental and engineering consulting firms in the country, has an opening for a Software Developer. The Developer will join our Technology Services Solutions team and assist with developing, creating, and testing new software features. If you have a knack for software development, we encourage you to apply! Now more than the ever, the world needs smart, cutting-edge solutions to address the engineering and environmental challenges of tomorrow. That’s where we come in. As a member of our team, you will support our diverse range of clients, from Fortune 100 companies, to the federal government, to local communities nationwide to continuously improve human health and the environment. In your role as a Developer, you will be responsible for developing, creating, and testing new software features. We are searching for developers who are willing to learn and implement cutting edge software for solutions that include mobile app development, Connected Vehicle applications, websites, and REST services development. This position will use Java, Linux, Azure, Docker, the Microsoft .NET Framework, C#, and REST Services and may include working with HTML5, Entity Framework, WPF, CSS, Javascript, and the MVC framework. This is a full-time, benefited position that will allow you to contribute to a dynamic environmental engineering firm that helps improve your community while expanding your career opportunities. Location This position with have the option to be based in either Laramie, WY or Fort Collins, CO. Both offices are situated in great communities that provide ready access to multiple recreational opportunities, opportunities associated with state colleges, and Mountain West Living. Laramie is home to Trihydro’s Corporate Headquarters, while our Fort Collins office is located in a thriving community offering almost limitless activities. We encourage you to apply if you: Have a B.S. in Computer Science or related field Have knowledge of Microsoft SQL Server, Oracle, and NoSQL databases Have experience developing in object-oriented programming languages Have familiarity of cloud-based data management systems Have a strong understanding and knowledge of database management systems including data structures, efficient database design, and queries Have data analyst/mining skills using Python, R or Java Possess strong technical and problem-solving skills, including attention to detail, accuracy and completeness, and a commitment to producing high-quality deliverables Are a strong communicator, both orally and written, with the ability to communicate effectively with clients, agencies, and team members Understand the importance of time management and possess excellent organization skills This job is for you if: You desire career-growth opportunities and are interested in playing an integral role in a growing team and company You want to be part of a dynamic company that treats team members like family You value working with others to achieve goals that make a difference to our clients and our communities You assume ownership of your work and take pride in producing high-quality deliverables Benefits: At Trihydro, our approach to work is honest and hard-working. You’ll find a company culture that is dedicated to excellence, nurtures collaboration and growth, and still finds plenty of time for fun – often outdoors! Some of the benefits of joining our team includes: A robust health insurance program (medical, dental, vision, and prescription) 401(k) retirement plan, including a 6% discretionary match by Trihydro. Comprehensive paid time off including vacation, flex, sick, and holiday pay A wellness program, including reimbursement for gym membership or related expenses Staff mentoring and opportunities for professional/career advancement A best-in-class safety culture built to protect our employees – the mothers, fathers, sons, and daughters who deserve to go home safely each night This is a full-time position averaging 40-45 hours per week. Interested candidates should apply at https://www.trihydro.com/about-us/careers with their application, resume, and cover letter addressed to Trihydro’s Recruiting Team. Trihydro is an Equal Opportunity, Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because he or she is a protected Veteran. Job Type: Full-time Pay: $50,000.00 - $85,000.00 per year Benefits: 401(k) matching Dental insurance Disability insurance Health insurance Health savings account Life insurance Paid time off Parental leave Professional development assistance Referral program Vision insurance Schedule: 8 hour shift Day shift Education: Bachelor's (Preferred) Experience: developing object oriented programming languages: 1 year (Preferred) Python, R, or Java: 1 year (Preferred) Work Location: Multiple locations Company's website: https://www.trihydro.com/about-us/careers Company's Facebook page: https://www.facebook.com/Trihydro/ Benefit Conditions: Only full-time employees eligible Work Remotely: No COVID-19 Precaution(s): Remote interview process Social distancing guidelines in place Virtual meetings Sanitizing, disinfecting, or cleaning procedures in place",software engineer
"Software Engineer Octarine, now a part of VMware, leads the space of Kubernetes and container security within VMware. Our products deliver end-to-end security solutions for customers running workloads in cloud-native environments, protecting applications against internal and external threats. To achieve this, we’re tackling various technological and product challenges, striving to build the best solution at the best quality and at an increasingly large scale. Now, as part of the security business unit in VMware, we’re taking everything we’ve built so far to the next level - aiming to support hundreds and thousands of new customers, continuously improving our products’ features and quality, and planning to design and build new product lines. Join a super talented team of engineers using a wide variety of the latest technologies to solve big problems, both from a technology standpoint and a product one. Our stack is based on Go, C++, Python, React, AWS, Kafka, MongoDB, Cassandra, and a whole lot around Kubernetes and Istio. What You’ll Do Lead initiatives to design, build and deliver complex product features, in a fast-paced environment, working with the latest frameworks and technologies. Be an integral part of scaling our offering to hundreds and thousands of customers, now as part of VMware. Face various technological challenges, from designing big-data processing solutions to understanding the internals of Kubernetes, to planning the architecture of a new product. Contribute to product direction and design discussions. Belong to a group of world-class engineers, working together to build a better product - solving real issues to our customers, and doing that at the best quality possible. Collaborate with product management, UX, DevOps, backend, and frontend engineers to deliver the right solution. What You’ll Bring 2+ years of experience in designing and delivering commercial software products. Experience writing multi-component systems or micro-services. Advantage to working with container platforms and orchestrators such as Docker and Kubernetes. High-level expertise writing in a high-level language such as Go, Rust, Python, Ruby, etc. Experience with NoSQL databases (e.g. MongoDB, Redis, Cassandra, Couchbase). Excellent problem solving and troubleshooting skills. Quickly master new languages and technologies. Passion for software development and for learning cloud-native application technologies. Excellent communication and interpersonal skills.  Category : Engineering and Technology Subcategory: Software Engineering Experience: Manager and Professional Full Time/ Part Time: Full Time Posted Date: 2021-05-07  VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.  Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",software engineer
"Company Overview iboss is a cloud security company that provides organizations and their employees secure access to the Internet on any device, from any location, in the cloud. This eliminates the need for traditional security appliances, which are ineffective at protecting a cloud-first and mobile world. Leveraging a purpose-built cloud architecture backed by over 190 issued and pending patents and more than 100 points of presence globally, iboss protects more than 4,000 organizations worldwide. The Company is headquartered in Boston, MA, and has operations in Orlando, San Diego, London, and the Philippines. At iboss, we believe that exceptional employees are the key to our success. Our teams are hands on, diverse, nimble and highly empowered to drive excellence. Come be a part of the team that will transform the way cybersecurity is delivered!  Job Description As a Software Engineer at iboss, you’ll have the opportunity to work on multiple technologies. Our development scope extends from device specific driver, service, and communication protocols to cloud scalable connectivity and big data processing through third-party analytics tool integration and customer enterprise UI creation for security policy management. The pace is fast. The process is agile. This is an excellent opportunity to become a core member of a rapidly growing software development team. There are many exciting projects on which to work. iboss software developers excel at solving tough problems, collaborating well, and working with customer teams to rapidly deploy solutions. Responsibilities Ability to design and develop clean and maintainable code Quickly understand and extend engineering architectural patterns Document engineering designs Analyze and estimate development efforts Deliver high quality code that has been thoroughly tested Qualifications 1+ years of experience using Java technology stack and servlet containers 1+ years of experience with frontend technologies (Javascript, HTML, CSS) Working knowledge of database technologies and SQL, especially PostgreSQL Experience with OO design and design patterns Comfortable working on a Unix environment Experience working in an Agile environment Team player with excellent interpersonal skills and the ability to work in a fast-paced environment Demonstrate excellent oral and written communication skills with the ability to listen, articulate, facilitate and advocate Preferred Skills Experience with Tomcat and Spring Experience with single-page applications using frameworks such as AngularJS Knowledge of security, networking and handling of large datasets Ability to identify and resolve performance problems in code Experience building RESTful JSON APIs Benefits Health, Vision, Dental, Chiropractic - open to domestic partners 401K with company match Paid Time Off (PTO) Company paid holidays Optimistic, supportive, and fun work environment Fantastic quarterly company events Free catered lunch every Friday Free snacks Free on-site gym membership The duties and responsibilities described above are essential functions of the job. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, status as a veteran or as an individual with a disability. This position is not eligible for sponsorship of work visas",software engineer
"Description We are the world’s learning company with more than 20,000 employees operating in 70 countries. We combine world-class educational content and assessment,powered by services and technology, to enable more effective teaching and personalized learning at scale. We believe that wherever learning flourishes so do people. At Pearson, we’re committed to a world that’s always learning and our talented team who makes it all possible. From bringing lectures vividly to life to turning textbooks into laptop lessons, we are always re-examining the way people learn best, whether it’s a child in our own backyard or an education community across the globe. We are bold thinkers and standout innovators who motivate each other to explore new frontiers and push the boundaries of technology to enhance students’ educational experiences. Collaborating, supporting, and inspiring one another, we create seeds of learning that become the catalyst for the world’s innovations, personal and global, large and small. It is a great time to invest your talent in a formative EdTech industry with Pearson leading the charge! We have an excellent opportunity for a versatile, experienced Software Developer who thrives in a collaborative, problem-solving, and delivery-oriented environment. As an extremely skilled and motivated thinker, you will work closely with a small team of experts to cultivate new technologies for education. Here is what you will get to do: As a Senior Software Engineer, your primary responsibility will be to create, test, and maintain automated math scoring services. You will have the opportunity to solve interesting problems, develop new features, and bring an innovative technology to maturity. You will need A desire to own an application from concept to delivery An ability to work independently and as a key contributor to a small team Excellent problem-solving skills with an innovative, strategic, forward-thinking mindset Diverse technical skills, and an ability to shift between the development of front- and back-end systems An ability to evaluate alternative delivery solutions and drive operational best practices A focus on the processes and discipline required to make new innovations commercially scalable Strong leadership skills Colorado-based individuals expressing interest in this position can expect a starting salary $120-130k, and are eligible to participate in a bonus plan. Benefits available to eligible employees can be seen at: https://pearsonbenefitsus.com/Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply. Qualifications Skills/Knowledge/Abilities: 4 years of professional programming experience on Unix-like platforms 4 years of experience with Python 2 years of experience with Javascript Experience with Git Comfortable with tree structures and related operations MongoDB or similar NoSQL database Agile development methodologies Golang #LI-POST Primary Location : US-RE-Remote Work Locations : US-Remote Remote Job : Technology Organization : Assessments School Employee Status : Regular Employee Job Type : Standard Job Level : Individual Contributor Shift : Day Job Job Posting : Apr 26, 2021 Job Unposting : Ongoing Schedule: : Full-time Regular Req ID: 2105386",software engineer
"Business Summary In VMware End User Computing (EUC), we build extensible solutions that simplify and automate the employees' digital experience to help them achieve more. Our Workspace ONE platform provides every employee with the agility of being connected to the business from any device, on any Cloud, at any time. At our core, we strive to enable our customer's to transition their core business operations and technology closer to their workforce; at the edge, and increasingly mobile. We bridge the gap between compliance regulations and productivity through simplifying the employee experience, allowing enterprises to empower their end-users while ensuring best-in-class security. We are passionate about our customers, and with over 60,000 of them globally, we have consistently maintained the industry leader position in our market. Job Role As a part of the Workspace ONE UEM Device Platform team, you will be joining a group of passionate innovators responsible for building the platform specific EMM solutions. You will be tasked with challenging architectural problems; from highly scalable cloud-native micro-services - to on-premise deployable infrastructure. You will partner closely with other engineering teams and product management to design and deliver high-quality code, packaged for portability, and built following modern best-practices. You will work in a fast-paced environment, maintaining a healthy sense of urgency, and continually improving engineering processes and architectural decision-making to optimize for quality and efficiency. You are willing to ""solve the hard problems"", and writing great code is how you will do it. You will establish a high ""engineering-bar"", value execution and delivery above idealism, and win as a team. Responsibilities Design and implement highly-scalable, API driven, observable services Maintain a high-degree of ownership and transparency Champion engineering best-practices, tooling, efficiency, and continuous improvement Proactively identify technical/architectural improvements Proactively identify and implement process improvements for the way we write, test, deploy, and monitor code Write and review code Automate unit and integration tests within a CI/CD pipeline Required Skills Passion for technology and customers Experience with cloud-hosted applications and managed services (GCP, AWS, Azure) Designing and implementing resilient, highly scalable, ""observable"" services Implementing CI/CD pipelines Experience designing RESTful APIs and application of API standards C#, full-stack development Strong understanding of OOP and SOLID design principles Profiling/performance analysis 7+ years of software development experience Demonstrated track-record of execution and delivery Effective written and verbal communication skills Preferred Skills Experience with deploying, and monitoring services in AWS Experience with orchestration technologies (Service Fabric, Kubernetes, Docker Swarm, etc..) Experience writing and deploying containerized .NET Core applications Experience with high-volume, mission critical systems Experience splitting large applications (monoliths) into micro-services  Category : Engineering and Technology Subcategory: Software Engineering Experience: Manager and Professional Full Time/ Part Time: Full Time Posted Date: 2021-05-05  VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.  Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",software engineer
"Exciting opportunity for a Lead Software Engineer– Ethereum Blockchain in our Blockchain Engineering team. You will be working with a team of engineers dedicated to making the VMware Blockchain Platform the dominant Enterprise Blockchain solution. At VMware, we are building an Enterprise Blockchain with innovation, enterprise-grade capability, and solutions that will power blockchain in every market sector. You will work with a team of talented and supportive individuals from across the world as well as members of the academic community and VMware’s Research Group in this role. Our team values diversity, collaboration, and open thought while supporting VMware’s EPIC2 values. Are you ready for your next great challenge with the Blockchain Engineering team in VMware? Responsibilities Contribute to implementation of an enterprise blockchain solution. This includes but is not limited to work on the Byzantine Fault Tolerant State Machine Replication layer, work on the EVM execution engine and smart contract layer and work on the ledger layer. Collaborate effectively with other engineers and researchers to solve complex problems Collaboration with cross functional teams involved in the product delivery Working with global team in different geographical locations Requirements Experience working on Blockchain platform and Ethereum technologies – must Experience working on EVM execution engine Deep understanding of distributed computing concepts in practice Strong development experience in C++( v11 and higher) in Linux, preferred Expertise in one of the following: security/cryptography, preferred Proficient organizational skills with the ability to lead challenging demands Ability to work independently and work collaboratively in a team environment, including quickly getting up to speed with new technologies. Who you are: Self Starter – Thrive in a fast paced and changing environment. Strong collaboration skills with a “Team First” mentality. Technical engineering excellence, innovation in everything you do. “Growth” mindset in tackle problems and creating great solutions. Excellent written and verbal communication skills 10+ years experience in an equivalent role Bachelors/Masters in Computer Science or equivalent experience JoinOCTO referral campaign  Category : Engineering and Technology Subcategory: Software Engineering Experience: Business Leadership Full Time/ Part Time: Full Time Posted Date: 2021-04-21  VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.  Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",software engineer
"Job Description home by people who care. Our mission is to redefine the home experience through intelligently designed products and services delivered to every home by people who care. Who We Are: Vivint Smart Home is a leading smart home company in North America. Vivint delivers an integrated smart home system with in-home consultation, professional installation and support delivered by its Smart Home Pros, as well as 24-7 customer care and monitoring. Dedicated to redefining the home experience with intelligent products and services, Vivint serves more than 1.4 million customers throughout the U.S. and Canada. Vivint is on the Forbes 2018 list of “America’s Best Employers, as well as the Forbes 2019 list of “America’s Best Employers for Diversity.” The company is the largest tech employer in Utah, a certified Great Place to Work, and one of Fast Company’s World’s 50 Most Innovative Companies for 2017. For more information, visit www.vivint.com. Cameras(and other rich sensors) are the future(and presence, pun intended...) of connected homes. Combining cameras with an intelligent network allows customers to be more connected to their homes, and therefore their lives. Join us in connecting people to their homes through cameras! TOOLS WE USE: Rust/Python/Shell/Golang/Scala/Java/Node/C/C++ - really any language that fits our need Dbus/gRPC/QUIC/UDS/Websockets - various protocols and communication standards Pulsar/Kafka/Pubsub(GCP)/Knative/MQTT/Akka - Various bus and async communication channels k8s(GKE) - maybe someday k8s on the cameras... Webrtc/gstreamer/codecs/ JOB RESPONSIBILITIES: Connect and plumb together the pieces that connects cameras and customers Research and implement new technologies and tools that will be delivered to millions of cameras Participate in quarterly “Innovation Week”(a full week to work on whatever you want) Interact closely with our Computer Vision and other teams to support and connect everything REQUIRED SKILLS: Linux networking(eBPF, uPNP, NAT-traversal) But seriously, networking. Can haz help? An interest to be excellent and learn as much as possible Focus on customers and what they need in their lives Why Vivint: Free catered lunch/snacks/drinks; new menu daily Paid holidays and flexible paid time away Your choice between Mac or PC Employee pricing on smart home products Casual dress code Onsite gym Onsite health clinic Medical/dental/vision/life coverage What We Stand For: Honesty and Integrity Come First - Do the right thing Customer Obsession is Our Advantage - A relentless passion to serve the customer Innovation is Essential - Today’s innovation is tomorrow’s lifeblood We Win Together - Individuals win games: teams win championships Exceptional is Expected - Talk is cheap: create value, not just motion We Give Back - Helping people is core to our DNA",software engineer
